Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,
30,W-NCP,WNCP0030,2007,WNCP01,WS0027,8.76 ,14.43 ,4.23 ,2430.6,844.6,168.8,1428.5,3007.06,Cinnamon soils,sandy loam,15,27,109,7.8,225,150,150,7845,
31,W-NCP,WNCP0031,2008,WNCP01,WS0027,9.63 ,15.94 ,4.55 ,2582.9,973.3,120.9,1620.9,3211.11,Cinnamon soils,sandy loam,22,32.6,132,8.2,180,150,120,4713,
32,W-NCP,WNCP0032,2008,WNCP01,WS0027,8.86 ,15.20 ,3.77 ,2280.7,791.1,95.4,1540.1,2988.47,Cinnamon soils,loam,15,39.2,116,8.3,225,150,150,6396,
33,W-NCP,WNCP0033,2007,WNCP01,WS0027,8.66 ,14.32 ,4.14 ,2395.8,819.8,177.3,1424.2,2989.87,Cinnamon soils,loam,18,35,147,7.8,225,150,150,8835,
34,W-NCP,WNCP0034,2007,WNCP01,WS0028,8.43 ,13.87 ,3.83 ,2276.3,804.3,170.3,1336.3,2848.85,Fluvo-aquic soils,loam,21,22,69,8,210,90,90,6545,
35,W-NCP,WNCP0035,2007,WNCP01,WS0028,7.92 ,13.37 ,3.29 ,2053.2,701.2,147.7,1288.2,2717.54,Cinnamon soils,sandy loam,11.4,22,91,7.9,225,113,105,6348,
36,W-NCP,WNCP0036,2007,WNCP01,WS0028,8.04 ,13.53 ,3.40 ,2122.5,720.5,147.7,1330.8,2787.55,Cinnamon soils,sandy clay loam,15.5,8.8,70,7.9,225,120,150,6977,
37,W-NCP,WNCP0037,2008,WNCP01,WS0028,9.36 ,15.30 ,4.26 ,2444.4,936.3,119.3,1529.1,3080.7,Fluvo-aquic soils,loam,21,22,69,8,210,90,90,6884,
38,W-NCP,WNCP0038,2008,WNCP01,WS0028,8.72 ,14.67 ,3.57 ,2181.5,793.4,104.1,1454.2,2907.06,Cinnamon soils,sandy loam,11.4,22,91,7.9,225,113,105,6773,
39,W-NCP,WNCP0039,2007,WNCP01,WS0028,8.13 ,13.62 ,3.49 ,2158.9,736.9,150.5,1341.1,2811.48,Cinnamon soils,sandy clay loam,14.6,14,71,7.9,210,135,120,6318,
40,W-NCP,WNCP0040,2008,WNCP01,WS0028,9.04 ,15.01 ,3.88 ,2319,860.9,104.1,1512.5,3010.32,Cinnamon soils,sandy clay loam,14.6,14,71,7.9,210,135,120,6102,
41,W-NCP,WNCP0041,2008,WNCP01,WS0028,9.04 ,15.01 ,3.88 ,2319,860.9,104.1,1512.5,3010.32,Cinnamon soils,loam,15.4,26.2,65,7.9,210,135,120,6705,
42,W-NCP,WNCP0042,2007,WNCP01,WS0028,8.45 ,13.89 ,3.85 ,2289.1,807.1,170.3,1346.6,2865.26,Cinnamon soils,silt loam,8.5,15,39,7.9,210,105,90,6248,
43,W-NCP,WNCP0043,2007,WNCP01,WS0028,8.24 ,13.67 ,3.64 ,2194.1,762.1,170.3,1320.7,2801.59,Cinnamon soils,loamy sand,13.6,38.1,76,8.2,210,105,90,6092,
44,W-NCP,WNCP0044,2008,WNCP01,WS0028,9.40 ,15.35 ,4.29 ,2464.1,946,119.3,1537.7,3095,Cinnamon soils,silt loam,8.5,15,39,7.9,210,105,90,5720,
45,W-NCP,WNCP0045,2008,WNCP01,WS0028,9.15 ,15.10 ,4.01 ,2354.1,886,107.2,1513.7,3033.1,Cinnamon soils,loamy sand,13.6,38.1,76,8.2,210,105,90,5685,
46,W-NCP,WNCP0046,2008,WNCP01,WS0028,9.22 ,15.65 ,3.69 ,2427.7,950.3,137.1,1688.3,3215.56,Fluvo-aquic soils,silt loam,9.6,26.4,38,8.3,210,90,90,5516,
47,W-NCP,WNCP0047,2008,WNCP01,WS0024,9.38 ,15.59 ,4.28 ,2431,920.4,80.8,1704.8,3236.38,Cinnamon soils,loam,19.8,71.4,134,8,73,150,150,6105,
48,W-NCP,WNCP0048,2008,WNCP01,WS0024,9.22 ,15.42 ,4.12 ,2361.5,880.9,80.8,1676.7,3174.39,Cinnamon soils,loamy sand,15.2,25.5,111,8,60,150,120,6147,
49,W-NCP,WNCP0049,2006,WNCP01,WS0024,9.73 ,15.44 ,5.01 ,2513.2,973.8,141,1423.5,2932.71,Cinnamon soils,loam,23.5,52,125,8.5,73,150,150,6534,
50,W-NCP,WNCP0050,2006,WNCP01,WS0024,9.87 ,15.58 ,5.13 ,2556.8,1007.4,141,1437.4,2979.83,Cinnamon soils,loam,24.2,79,111,8.5,73,150,150,6656,
51,W-NCP,WNCP0051,2006,WNCP01,WS0024,9.68 ,15.40 ,4.96 ,2499.2,959.8,141,1419.1,2915.62,Fluvo-aquic soils,loam,9.3,8.5,129,8.5,60,150,120,7635,
52,W-NCP,WNCP0052,2007,WNCP01,WS0024,8.66 ,14.23 ,4.03 ,2299.1,800.3,229.8,1515.5,3044.66,Cinnamon soils,loam,19.1,56,64,8.4,73,150,150,7425,
53,W-NCP,WNCP0053,2008,WNCP01,WS0024,9.71 ,15.89 ,4.63 ,2550.2,999.6,88.4,1718.7,3300.01,Cinnamon soils,loam,19,54.3,68,8.4,73,150,150,7824,
