crop,Tave_high,Tmax_high,Tmin_high,GDD>0_high,GDD>10_high,PRE_high,SSD_high,RAD_high,Tave_low,Tmax_low,Tmin_low,GDD>0_low,GDD>10_low,PRE_low,SSD_low,RAD_low
ER-SC,26.3 ,30.3 ,23.5 ,2336.7 ,1446.7 ,865.1 ,352.7 ,1219.7 ,26.3 ,30.3 ,23.5 ,2336.7 ,1446.7 ,865.1 ,352.7 ,1219.7 
ER-SC,25.2 ,29.9 ,22.2 ,2269.6 ,1369.6 ,,339.1 ,1206.3 ,25.6 ,30.4 ,22.5 ,2294.1 ,1399.1 ,,332.0 ,1191.6 
ER-SC,25.2 ,29.6 ,22.1 ,2554.1 ,1539.1 ,939.3 ,348.6 ,1302.8 ,26.3 ,30.8 ,23.4 ,2835.4 ,1758.8 ,1047.9 ,449.8 ,1507.0 
ER-SC,25.8 ,30.1 ,23.0 ,2299.3 ,1409.3 ,709.2 ,394.3 ,1219.4 ,25.9 ,30.4 ,22.9 ,2421.1 ,1486.1 ,764.7 ,406.8 ,1255.7 
ER-SC,25.1 ,29.7 ,22.2 ,2721.0 ,1636.0 ,1020.5 ,451.2 ,1517.1 ,25.3 ,30.2 ,22.1 ,2684.1 ,1624.1 ,1072.2 ,457.7 ,1512.9 
ER-SC,25.5 ,30.0 ,22.7 ,2681.4 ,1631.4 ,937.3 ,321.4 ,1415.6 ,25.6 ,30.1 ,22.8 ,2532.7 ,1542.7 ,915.0 ,297.9 ,1347.1 
ER-SC,25.4 ,29.6 ,22.5 ,2462.1 ,1492.1 ,1359.6 ,285.9 ,1161.7 ,25.4 ,29.6 ,22.5 ,2462.1 ,1492.1 ,1359.6 ,285.9 ,1161.7 
ER-SC,27.0 ,30.5 ,24.5 ,2729.2 ,1719.2 ,1252.0 ,426.6 ,1425.5 ,27.0 ,30.5 ,24.5 ,2729.2 ,1719.2 ,1252.0 ,426.6 ,1425.5 
ER-SC,25.2 ,29.3 ,22.7 ,2519.7 ,1519.7 ,,397.4 ,1365.1 ,25.3 ,29.3 ,22.7 ,2532.4 ,1532.4 ,,264.2 ,1144.9 
ER-SC,24.8 ,29.8 ,20.5 ,1958.2 ,1168.2 ,267.8 ,497.9 ,1387.3 ,24.5 ,29.7 ,20.7 ,1914.0 ,1134.0 ,304.7 ,444.8 ,1293.8 
ER-SC,25.3 ,30.0 ,21.7 ,1933.6 ,1169.3 ,382.2 ,372.6 ,1164.8 ,26.1 ,30.5 ,22.8 ,2287.8 ,1409.8 ,384.4 ,505.6 ,1465.0 
ER-SC,25.9 ,30.5 ,22.3 ,2172.0 ,1332.0 ,307.0 ,501.6 ,1429.9 ,26.0 ,30.7 ,22.5 ,2183.2 ,1343.2 ,386.0 ,475.8 ,1389.3 
ER-SC,25.9 ,30.7 ,22.3 ,2047.3 ,1257.3 ,436.4 ,398.0 ,1226.1 ,26.7 ,30.9 ,23.7 ,2005.2 ,1255.2 ,319.4 ,436.5 ,1260.8 
ER-SC,24.7 ,29.6 ,20.9 ,1975.7 ,1175.7 ,461.5 ,430.5 ,1281.4 ,24.7 ,29.6 ,20.9 ,1975.7 ,1175.7 ,461.5 ,430.5 ,1281.4 
ER-SC,25.9 ,30.5 ,22.4 ,2169.6 ,1332.4 ,375.5 ,514.7 ,1448.1 ,26.1 ,30.6 ,22.6 ,2071.0 ,1277.6 ,380.8 ,488.6 ,1375.0 
ER-SC,26.0 ,30.7 ,22.5 ,2106.4 ,1296.4 ,511.5 ,429.8 ,1290.3 ,25.5 ,30.3 ,21.9 ,2069.1 ,1257.1 ,566.4 ,444.0 ,1315.7 
ER-SC,25.8 ,30.7 ,22.2 ,1832.5 ,1122.5 ,353.3 ,345.9 ,1081.0 ,25.6 ,30.2 ,22.1 ,1943.8 ,1183.8 ,565.6 ,421.8 ,1242.4 
ER-SC,26.1 ,30.6 ,22.6 ,2243.3 ,1383.3 ,590.6 ,471.7 ,1395.0 ,26.1 ,30.6 ,22.6 ,2243.3 ,1383.3 ,590.6 ,471.7 ,1395.0 
