Sort,Soil quality,Crop,Year,Province,n.site,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
6,high,early rice,2009,ERSC08,1,25.9 ,30.3 ,22.5 ,2121.2 ,1301.2 ,572.7 ,447.4 ,1326.6 ,early_maturity,Paddy soils,,34.6 ,61.2 ,36.0 ,5.7 ,180 ,60 ,135 ,3873 ,6008 
7,low,early rice,2008,ERSC08,1,25.9 ,30.3 ,22.5 ,2121.2 ,1301.2 ,572.7 ,447.4 ,1326.6 ,medium_maturity,Paddy soils,,24.7 ,15.3 ,47.0 ,4.9 ,135 ,60 ,135 ,3218 ,5543 
8,low,early rice,2008,ERSC08,1,25.9 ,30.3 ,22.5 ,2121.2 ,1301.2 ,572.7 ,447.4 ,1326.6 ,medium_maturity,Paddy soils,,26.0 ,11.8 ,72.0 ,5.3 ,180 ,54 ,135 ,5120 ,7889 
9,high,early rice,2008,ERSC08,1,25.0 ,29.9 ,21.6 ,1927.3 ,1157.3 ,586.7 ,330.3 ,1098.5 ,medium_maturity,Paddy soils,,36.4 ,17.5 ,59.0 ,4.9 ,150 ,57 ,117 ,3420 ,6105 
10,high,early rice,2007,ERSC08,1,25.0 ,29.9 ,21.6 ,1927.3 ,1157.3 ,586.7 ,330.3 ,1098.5 ,early_maturity,Paddy soils,,41.4 ,24.2 ,100.0 ,5.1 ,150 ,60 ,120 ,2670 ,5925 
11,high,early rice,2009,ERSC08,1,24.9 ,30.3 ,21.1 ,1993.6 ,1193.6 ,405.7 ,420.2 ,1267.7 ,medium_maturity,Paddy soils,,38.0 ,25.4 ,68.0 ,5.3 ,150 ,60 ,120 ,3906 ,6444 
12,low,early rice,2006,ERSC08,1,26.0 ,30.0 ,22.8 ,1742.3 ,1072.3 ,580.6 ,354.7 ,1068.2 ,late_maturity,Paddy soils,,29.3 ,9.6 ,38.0 ,4.8 ,138 ,54 ,120 ,3218 ,6210 
13,low,early rice,2008,ERSC08,1,26.1 ,30.8 ,22.6 ,1958.2 ,1208.2 ,648.8 ,420.9 ,1233.0 ,medium_maturity,Paddy soils,,31.9 ,4.3 ,71.0 ,4.9 ,135 ,45 ,102 ,3975 ,7425 
14,low,early rice,2009,ERSC08,1,25.2 ,29.7 ,21.5 ,2065.4 ,1245.4 ,531.5 ,479.5 ,1378.0 ,medium_maturity,Paddy soils,,22.2 ,9.4 ,79.0 ,4.8 ,128 ,38 ,105 ,4508 ,6908 
15,high,early rice,2006,ERSC08,1,26.0 ,30.0 ,22.8 ,1742.3 ,1072.3 ,580.6 ,354.7 ,1068.2 ,medium_maturity,Paddy soils,,34.2 ,21.7 ,33.0 ,5.0 ,138 ,60 ,120 ,3300 ,5850 
16,high,early rice,2007,ERSC08,1,24.9 ,29.0 ,21.8 ,1893.5 ,1133.5 ,533.4 ,416.9 ,1232.6 ,late_maturity,Paddy soils,,42.5 ,26.1 ,261.0 ,5.0 ,138 ,90 ,135 ,2783 ,6270 
17,low,early rice,2006,ERSC08,1,26.0 ,30.0 ,22.8 ,1742.3 ,1072.3 ,580.6 ,354.7 ,1068.2 ,late_maturity,Paddy soils,,19.3 ,9.5 ,35.0 ,4.6 ,138 ,45 ,123 ,3750 ,5250 
18,low,early rice,2008,ERSC08,1,26.1 ,30.8 ,22.6 ,1958.2 ,1208.2 ,648.8 ,420.9 ,1233.0 ,late_maturity,Paddy soils,,32.0 ,7.1 ,81.0 ,4.7 ,120 ,45 ,96 ,2970 ,6668 
19,low,early rice,2007,ERSC08,1,26.1 ,30.8 ,22.7 ,2010.2 ,1240.2 ,357.1 ,428.8 ,1259.7 ,medium_maturity,Paddy soils,,29.8 ,15.4 ,93.0 ,6.0 ,135 ,63 ,113 ,4050 ,6675 
20,low,early rice,2009,ERSC08,1,25.9 ,30.6 ,22.3 ,2073.4 ,1273.4 ,398.7 ,461.5 ,1335.6 ,medium_maturity,Paddy soils,,33.1 ,9.0 ,89.0 ,4.8 ,134 ,60 ,99 ,5475 ,7800 
21,high,early rice,2008,ERSC08,1,26.2 ,30.7 ,22.8 ,2308.1 ,1428.1 ,708.5 ,523.5 ,1494.1 ,medium_maturity,Paddy soils,,39.8 ,23.8 ,102.0 ,4.6 ,138 ,54 ,135 ,4385 ,6500 
22,high,early rice,2009,ERSC08,1,26.2 ,30.7 ,22.8 ,2308.1 ,1428.1 ,708.5 ,523.5 ,1494.1 ,medium_maturity,Paddy soils,,48.7 ,16.5 ,120.0 ,5.3 ,138 ,54 ,135 ,5582 ,8025 
23,high,early rice,2008,ERSC08,1,26.2 ,30.7 ,22.8 ,2308.1 ,1428.1 ,708.5 ,523.5 ,1494.1 ,medium_maturity,Paddy soils,,36.6 ,19.5 ,70.0 ,5.6 ,138 ,54 ,135 ,4463 ,6545 
24,high,early rice,2009,ERSC08,1,26.2 ,30.7 ,22.8 ,2308.1 ,1428.1 ,708.5 ,523.5 ,1494.1 ,medium_maturity,Paddy soils,,36.6 ,19.5 ,70.0 ,5.6 ,138 ,54 ,135 ,5118 ,7685 
25,high,early rice,2008,ERSC08,1,26.2 ,30.7 ,22.8 ,2308.1 ,1428.1 ,708.5 ,523.5 ,1494.1 ,medium_maturity,Paddy soils,,48.0 ,16.0 ,190.0 ,5.6 ,138 ,54 ,135 ,4601 ,6645 
26,high,early rice,2009,ERSC08,1,26.2 ,30.7 ,22.8 ,2308.1 ,1428.1 ,708.5 ,523.5 ,1494.1 ,medium_maturity,Paddy soils,,48.0 ,16.0 ,190.0 ,5.6 ,138 ,54 ,135 ,4761 ,7304 
27,high,early rice,2009,ERSC08,1,26.4 ,31.0 ,22.7 ,2426.5 ,1506.5 ,466.7 ,575.9 ,1597.7 ,medium_maturity,Paddy soils,,48.7 ,16.5 ,121.0 ,5.3 ,145 ,74 ,113 ,4532 ,7337 
28,high,early rice,2009,ERSC08,1,26.8 ,31.4 ,23.1 ,2305.7 ,1445.7 ,421.3 ,534.5 ,1489.7 ,medium_maturity,Paddy soils,,36.6 ,19.5 ,70.0 ,5.6 ,138 ,72 ,135 ,4518 ,7385 
29,high,early rice,2009,ERSC08,1,26.6 ,31.1 ,22.9 ,2310.8 ,1440.8 ,422.5 ,540.9 ,1506.7 ,late_maturity,Paddy soils,,48.0 ,16.0 ,190.0 ,5.6 ,152 ,77 ,117 ,4761 ,7454 
30,low,early rice,2008,ERSC08,1,25.6 ,30.2 ,22.1 ,1943.8 ,1183.8 ,565.6 ,421.8 ,1242.4 ,medium_maturity,Paddy soils,,23.9 ,14.3 ,75.0 ,5.2 ,138 ,66 ,105 ,4290 ,6405 
31,low,early rice,2008,ERSC08,1,25.6 ,30.2 ,22.1 ,1943.8 ,1183.8 ,565.6 ,421.8 ,1242.4 ,medium_maturity,Paddy soils,,24.5 ,10.5 ,92.0 ,5.0 ,138 ,66 ,105 ,3645 ,6750 
32,high,early rice,2008,ERSC08,1,25.8 ,30.7 ,22.2 ,1832.5 ,1122.5 ,353.3 ,345.9 ,1081.0 ,medium_maturity,Paddy soils,,36.5 ,32.0 ,135.0 ,5.0 ,138 ,66 ,105 ,2730 ,6000 
33,low,early rice,2008,ERSC08,1,25.2 ,30.3 ,21.3 ,2194.9 ,1324.9 ,729.4 ,554.8 ,1534.5 ,medium_maturity,Paddy soils,,31.7 ,11.6 ,92.0 ,4.9 ,139 ,64 ,100 ,3569 ,6437 
34,high,early rice,2009,ERSC08,1,26.4 ,31.5 ,22.5 ,2406.3 ,1496.3 ,531.7 ,560.9 ,1575.8 ,medium_maturity,Paddy soils,,38.4 ,33.3 ,42.0 ,5.2 ,152 ,78 ,130 ,4967 ,6801 
35,low,early rice,2009,ERSC08,1,25.3 ,31.4 ,20.7 ,2024.0 ,1224.0 ,476.8 ,483.6 ,1371.6 ,medium_maturity,Paddy soils,,29.1 ,6.5 ,35.0 ,4.9 ,180 ,69 ,137 ,4125 ,7619 
36,low,early rice,2009,ERSC08,1,25.3 ,31.4 ,20.7 ,2024.0 ,1224.0 ,476.8 ,483.6 ,1371.6 ,medium_maturity,Paddy soils,,31.9 ,13.6 ,79.0 ,4.8 ,255 ,141 ,225 ,3870 ,6105 
37,high,early rice,2010,ERSC08,1,23.5 ,28.3 ,20.4 ,1718.8 ,988.8 ,1125.1 ,300.4 ,1024.0 ,medium_maturity,Paddy soils,,46.8 ,32.1 ,290.0 ,5.2 ,117 ,59 ,77 ,5630 ,9450 
38,low,early rice,2009,ERSC08,1,25.4 ,31.5 ,20.9 ,2035.1 ,1235.1 ,476.8 ,486.5 ,1376.6 ,early_maturity,Paddy soils,,30.1 ,12.7 ,95.0 ,5.2 ,141 ,72 ,95 ,3402 ,5762 
39,high,early rice,2009,ERSC08,1,25.2 ,31.2 ,20.5 ,2012.8 ,1212.8 ,405.4 ,496.4 ,1391.0 ,medium_maturity,Paddy soils,,36.2 ,21.2 ,120.0 ,5.1 ,278 ,49 ,180 ,3900 ,6675 
41,low,early rice,2006,ERSC08,1,25.2 ,29.9 ,22.0 ,1938.8 ,1168.8 ,988.3 ,365.6 ,1157.9 ,medium_maturity,Paddy soils,,32.9 ,7.1 ,66.0 ,5.4 ,255 ,141 ,225 ,3090 ,5040 
42,low,early rice,2006,ERSC08,1,25.2 ,29.9 ,22.0 ,1938.8 ,1168.8 ,988.3 ,365.6 ,1157.9 ,medium_maturity,Paddy soils,,30.1 ,6.9 ,75.0 ,4.9 ,270 ,150 ,240 ,5280 ,6135 
43,low,early rice,2006,ERSC08,1,25.2 ,29.9 ,22.0 ,1938.8 ,1168.8 ,988.3 ,365.6 ,1157.9 ,medium_maturity,Paddy soils,,32.2 ,8.4 ,73.0 ,6.1 ,270 ,150 ,240 ,3555 ,6375 
44,low,early rice,2006,ERSC08,1,25.2 ,29.9 ,22.0 ,1938.8 ,1168.8 ,988.3 ,365.6 ,1157.9 ,medium_maturity,Paddy soils,,32.9 ,7.1 ,66.0 ,5.4 ,255 ,141 ,225 ,2985 ,5745 
45,low,early rice,2006,ERSC08,1,25.2 ,29.9 ,22.0 ,1938.8 ,1168.8 ,988.3 ,365.6 ,1157.9 ,medium_maturity,Paddy soils,,32.9 ,7.1 ,66.0 ,5.4 ,255 ,141 ,225 ,3870 ,6105 
46,low,early rice,2007,ERSC08,1,26.6 ,32.2 ,22.6 ,1994.4 ,1244.4 ,455.1 ,416.1 ,1226.0 ,medium_maturity,Paddy soils,,26.3 ,12.6 ,57.0 ,6.6 ,240 ,135 ,228 ,2880 ,4680 
47,low,early rice,2007,ERSC08,1,26.6 ,32.2 ,22.6 ,1994.4 ,1244.4 ,455.1 ,416.1 ,1226.0 ,medium_maturity,Paddy soils,,33.1 ,7.3 ,66.0 ,5.3 ,255 ,141 ,228 ,3690 ,4935 
48,high,early rice,2008,ERSC08,1,26.1 ,31.4 ,22.2 ,1931.6 ,1191.6 ,553.1 ,434.1 ,1249.0 ,medium_maturity,Paddy soils,,35.2 ,17.3 ,78.0 ,5.2 ,255 ,141 ,225 ,3570 ,6915 
49,low,early rice,2009,ERSC08,1,25.9 ,31.3 ,21.7 ,2071.4 ,1271.4 ,531.0 ,474.2 ,1356.3 ,medium_maturity,Paddy soils,,24.4 ,8.0 ,65.0 ,5.9 ,225 ,138 ,195 ,3105 ,6225 
50,low,early rice,2009,ERSC08,1,25.9 ,31.3 ,21.7 ,2071.4 ,1271.4 ,531.0 ,474.2 ,1356.3 ,medium_maturity,Paddy soils,,18.1 ,3.9 ,44.0 ,5.4 ,255 ,141 ,225 ,3495 ,6855 
51,low,early rice,2009,ERSC08,1,25.9 ,31.3 ,21.7 ,2071.4 ,1271.4 ,531.0 ,474.2 ,1356.3 ,medium_maturity,Paddy soils,,31.5 ,2.8 ,49.0 ,5.6 ,240 ,113 ,185 ,3390 ,6165 
52,low,early rice,2007,ERSC08,1,27.0 ,32.4 ,23.2 ,2028.5 ,1278.5 ,405.5 ,387.9 ,1180.0 ,medium_maturity,Paddy soils,,21.6 ,11.5 ,30.0 ,4.7 ,149 ,67 ,100 ,4350 ,6015 
53,high,early rice,2008,ERSC08,1,26.6 ,31.7 ,22.8 ,1965.3 ,1225.3 ,482.3 ,387.6 ,1164.5 ,medium_maturity,Paddy soils,,39.0 ,17.4 ,40.0 ,5.6 ,135 ,80 ,117 ,5477 ,8298 
54,low,early rice,2010,ERSC08,1,25.1 ,29.5 ,22.0 ,1882.6 ,1132.6 ,1133.6 ,297.1 ,1033.0 ,early_maturity,Paddy soils,,26.5 ,13.6 ,64.0 ,5.3 ,135 ,60 ,75 ,3825 ,6105 
56,low,early rice,2010,ERSC08,1,25.6 ,29.5 ,22.8 ,2153.4 ,1313.4 ,1055.9 ,360.5 ,1200.0 ,medium_maturity,Paddy soils,,15.4 ,10.5 ,67.0 ,4.8 ,180 ,90 ,108 ,4688 ,6875 
57,high,early rice,2007,ERSC08,1,24.8 ,29.4 ,21.4 ,2130.3 ,1270.3 ,669.3 ,487.9 ,1417.3 ,medium_maturity,Paddy soils,,37.9 ,18.0 ,63.0 ,5.1 ,129 ,72 ,90 ,3675 ,6630 
58,high,early rice,2010,ERSC08,1,25.2 ,30.5 ,21.0 ,2240.3 ,1350.3 ,550.5 ,577.6 ,1584.3 ,medium_maturity,Paddy soils,,36.5 ,16.0 ,62.0 ,5.1 ,135 ,66 ,103 ,3510 ,7140 
59,high,early rice,2008,ERSC08,1,25.1 ,30.4 ,21.2 ,2008.2 ,1208.2 ,459.1 ,440.6 ,1296.8 ,medium_maturity,Paddy soils,,47.2 ,28.6 ,89.0 ,5.1 ,137 ,48 ,104 ,3075 ,6150 
60,low,early rice,2007,ERSC08,1,24.8 ,29.4 ,21.4 ,2130.3 ,1270.3 ,669.3 ,487.9 ,1417.3 ,medium_maturity,Paddy soils,,18.5 ,11.9 ,25.0 ,4.8 ,131 ,57 ,90 ,4610 ,6000 
61,low,early rice,2006,ERSC08,1,25.1 ,30.0 ,21.4 ,1907.4 ,1147.4 ,774.7 ,387.8 ,1185.7 ,medium_maturity,Paddy soils,,24.0 ,7.1 ,82.0 ,5.0 ,104 ,54 ,81 ,3945 ,5942 
62,high,early rice,2006,ERSC08,1,25.1 ,30.0 ,21.4 ,1907.4 ,1147.4 ,774.7 ,387.8 ,1185.7 ,medium_maturity,Paddy soils,,37.0 ,16.3 ,75.0 ,5.5 ,96 ,54 ,72 ,4328 ,6201 
63,low,early rice,2009,ERSC08,1,25.8 ,31.1 ,21.8 ,2008.5 ,1228.5 ,463.1 ,456.2 ,1313.5 ,medium_maturity,Paddy soils,,4.1 ,7.3 ,62.0 ,5.2 ,134 ,60 ,95 ,3405 ,6525 
64,high,early rice,2010,ERSC08,1,24.3 ,28.8 ,21.1 ,1898.9 ,1118.9 ,955.1 ,263.3 ,998.7 ,medium_maturity,Paddy soils,,38.8 ,16.3 ,73.0 ,4.9 ,150 ,60 ,99 ,3390 ,6585 
65,low,early rice,2008,ERSC08,1,25.1 ,30.2 ,21.3 ,2162.1 ,1302.1 ,585.9 ,419.7 ,1309.6 ,medium_maturity,Paddy soils,,31.5 ,9.9 ,98.0 ,4.5 ,116 ,62 ,89 ,3570 ,6375 
66,low,early rice,2007,ERSC08,1,25.8 ,30.6 ,22.2 ,2189.6 ,1339.6 ,551.1 ,426.5 ,1314.1 ,early_maturity,Paddy soils,,26.0 ,14.9 ,209.0 ,5.2 ,159 ,68 ,153 ,3513 ,7752 
67,high,early rice,2010,ERSC08,1,25.6 ,30.5 ,21.9 ,2201.4 ,1341.4 ,512.2 ,448.7 ,1356.4 ,early_maturity,Paddy soils,,36.0 ,18.9 ,101.0 ,4.7 ,150 ,69 ,150 ,3887 ,7523 
68,low,early rice,2010,ERSC08,1,25.1 ,29.7 ,21.8 ,2188.0 ,1318.0 ,1009.1 ,311.0 ,1139.6 ,early_maturity,Paddy soils,,26.0 ,12.5 ,61.0 ,4.9 ,154 ,72 ,148 ,3887 ,7296 
69,high,early rice,2008,ERSC08,1,25.8 ,30.6 ,22.2 ,2189.6 ,1339.6 ,551.1 ,426.5 ,1314.1 ,medium_maturity,Paddy soils,,37.0 ,25.6 ,106.0 ,5.3 ,156 ,68 ,150 ,3750 ,7364 
70,low,early rice,2007,ERSC08,1,26.0 ,29.8 ,23.2 ,2133.1 ,1313.1 ,582.6 ,456.9 ,1343.3 ,medium_maturity,Paddy soils,,27.5 ,9.9 ,78.0 ,4.4 ,138 ,60 ,99 ,5160 ,6870 
71,low,early rice,2006,ERSC08,1,26.0 ,29.8 ,23.2 ,2133.1 ,1313.1 ,582.6 ,456.9 ,1343.3 ,medium_maturity,Paddy soils,,33.9 ,13.2 ,75.0 ,7.1 ,153 ,72 ,120 ,3300 ,6210 
72,high,early rice,2006,ERSC08,1,26.0 ,29.8 ,23.2 ,2133.1 ,1313.1 ,582.6 ,456.9 ,1343.3 ,medium_maturity,Paddy soils,,41.6 ,15.6 ,123.0 ,6.2 ,153 ,72 ,120 ,3600 ,7065 
73,low,early rice,2006,ERSC08,1,26.0 ,29.8 ,23.2 ,2133.1 ,1313.1 ,582.6 ,456.9 ,1343.3 ,medium_maturity,Paddy soils,,34.0 ,7.4 ,108.0 ,6.1 ,153 ,72 ,120 ,3840 ,6585 
74,high,early rice,2006,ERSC08,1,26.0 ,29.8 ,23.2 ,2133.1 ,1313.1 ,582.6 ,456.9 ,1343.3 ,medium_maturity,Paddy soils,,40.6 ,38.5 ,134.0 ,7.5 ,153 ,72 ,120 ,4860 ,7995 
75,low,early rice,2008,ERSC08,1,24.2 ,29.1 ,21.0 ,2206.6 ,1296.6 ,626.8 ,362.0 ,1238.0 ,medium_maturity,Paddy soils,,32.5 ,9.3 ,42.0 ,4.9 ,170 ,75 ,113 ,3900 ,7440 
76,low,early rice,2008,ERSC08,1,24.2 ,29.1 ,21.0 ,2206.6 ,1296.6 ,626.8 ,362.0 ,1238.0 ,medium_maturity,Paddy soils,,12.0 ,12.3 ,26.0 ,5.0 ,170 ,75 ,113 ,4470 ,7290 
77,low,early rice,2010,ERSC08,1,25.1 ,29.6 ,21.8 ,2210.0 ,1330.0 ,620.4 ,310.5 ,1142.9 ,medium_maturity,Paddy soils,,32.9 ,9.5 ,118.0 ,6.0 ,169 ,75 ,113 ,4335 ,7115 
78,low,early rice,2008,ERSC08,1,23.2 ,28.4 ,19.9 ,2113.1 ,1203.1 ,807.7 ,311.4 ,1163.2 ,medium_maturity,Paddy soils,,24.0 ,9.3 ,37.0 ,5.6 ,135 ,60 ,135 ,3600 ,5738 
79,high,early rice,2008,ERSC08,1,23.2 ,28.4 ,19.9 ,2113.1 ,1203.1 ,807.7 ,311.4 ,1163.2 ,medium_maturity,Paddy soils,,34.8 ,25.0 ,65.0 ,5.2 ,135 ,60 ,135 ,3720 ,5855 
80,high,early rice,2010,ERSC08,1,25.4 ,30.2 ,22.1 ,2311.7 ,1401.7 ,838.1 ,315.3 ,1174.2 ,late_maturity,Paddy soils,,36.5 ,27.7 ,139.0 ,4.9 ,135 ,60 ,105 ,5220 ,8430 
81,high,early rice,2010,ERSC08,1,25.4 ,30.2 ,22.1 ,2311.7 ,1401.7 ,838.1 ,315.3 ,1174.2 ,late_maturity,Paddy soils,,36.5 ,27.7 ,139.0 ,4.9 ,135 ,60 ,105 ,5100 ,8265 
82,high,early rice,2010,ERSC08,1,25.2 ,29.9 ,22.0 ,2294.1 ,1384.1 ,833.3 ,347.2 ,1226.7 ,late_maturity,Paddy soils,,43.4 ,21.2 ,102.0 ,4.9 ,158 ,90 ,135 ,4377 ,6828 
83,high,early rice,2008,ERSC08,1,25.2 ,30.5 ,21.5 ,2063.9 ,1243.9 ,559.3 ,406.5 ,1260.7 ,early_maturity,Paddy soils,,40.2 ,21.4 ,169.0 ,5.1 ,165 ,48 ,111 ,3809 ,5976 
84,low,early rice,2008,ERSC08,1,25.3 ,30.7 ,21.6 ,1898.3 ,1148.3 ,684.2 ,446.6 ,1277.9 ,medium_maturity,Paddy soils,,21.0 ,10.5 ,47.0 ,4.2 ,177 ,76 ,140 ,4728 ,6666 
85,high,early rice,2008,ERSC08,1,25.0 ,30.4 ,21.2 ,2198.3 ,1318.3 ,727.0 ,516.7 ,1484.8 ,medium_maturity,Paddy soils,,43.0 ,20.7 ,44.0 ,5.6 ,177 ,76 ,140 ,5343 ,7230 
86,high,early rice,2008,ERSC08,1,26.0 ,30.6 ,22.6 ,2239.6 ,1379.6 ,447.8 ,483.8 ,1416.0 ,medium_maturity,Paddy soils,,38.8 ,18.6 ,82.0 ,5.1 ,146 ,54 ,108 ,2907 ,3954 
87,low,early rice,2006,ERSC08,1,25.7 ,30.1 ,22.6 ,2028.4 ,1238.4 ,527.1 ,358.0 ,1158.5 ,medium_maturity,Paddy soils,,11.6 ,8.7 ,43.0 ,5.1 ,138 ,63 ,126 ,2711 ,4247 
88,low,early rice,2008,ERSC08,1,26.0 ,30.6 ,22.6 ,2239.6 ,1379.6 ,447.8 ,483.8 ,1416.0 ,medium_maturity,Paddy soils,,32.3 ,12.6 ,71.0 ,5.0 ,146 ,54 ,108 ,4172 ,7404 
89,low,early rice,2008,ERSC08,1,26.0 ,30.6 ,22.6 ,2239.6 ,1379.6 ,447.8 ,483.8 ,1416.0 ,medium_maturity,Paddy soils,,33.6 ,11.3 ,92.0 ,5.0 ,146 ,54 ,108 ,2859 ,5574 
91,low,early rice,2009,ERSC08,1,26.4 ,31.2 ,22.7 ,2032.7 ,1262.7 ,489.3 ,390.1 ,1198.7 ,medium_maturity,Paddy soils,,25.9 ,13.1 ,27.0 ,5.1 ,149 ,54 ,114 ,3765 ,6480 
92,low,early rice,2007,ERSC08,1,25.7 ,30.1 ,22.6 ,2028.4 ,1238.4 ,527.1 ,358.0 ,1158.5 ,early_maturity,Paddy soils,,31.0 ,15.2 ,117.0 ,4.8 ,138 ,54 ,108 ,3405 ,5955 
93,low,early rice,2009,ERSC08,1,26.0 ,30.6 ,22.6 ,2239.6 ,1379.6 ,447.8 ,483.8 ,1416.0 ,medium_maturity,Paddy soils,,18.0 ,9.9 ,21.0 ,5.0 ,165 ,54 ,162 ,3915 ,7245 
94,high,early rice,2006,ERSC08,1,25.1 ,29.8 ,21.7 ,2054.8 ,1234.8 ,742.0 ,353.7 ,1174.1 ,medium_maturity,Paddy soils,,38.0 ,60.0 ,101.0 ,4.9 ,135 ,68 ,135 ,4125 ,7200 
95,high,early rice,2009,ERSC08,1,24.9 ,30.2 ,21.0 ,2141.6 ,1281.6 ,535.7 ,410.8 ,1295.9 ,medium_maturity,Paddy soils,,42.0 ,31.1 ,48.0 ,5.1 ,138 ,54 ,117 ,3900 ,6600 
96,high,early rice,2007,ERSC08,1,25.1 ,29.8 ,21.7 ,2054.8 ,1234.8 ,742.0 ,353.7 ,1174.1 ,medium_maturity,Paddy soils,,36.5 ,32.9 ,60.0 ,4.9 ,153 ,54 ,135 ,4050 ,7200 
97,high,early rice,2007,ERSC08,1,25.1 ,29.8 ,21.7 ,2054.8 ,1234.8 ,742.0 ,353.7 ,1174.1 ,medium_maturity,Paddy soils,,35.9 ,15.6 ,39.0 ,5.3 ,138 ,54 ,117 ,3960 ,6750 
98,high,early rice,2009,ERSC08,1,24.9 ,30.2 ,21.0 ,2141.6 ,1281.6 ,535.7 ,410.8 ,1295.9 ,medium_maturity,Paddy soils,,42.6 ,16.8 ,95.0 ,4.8 ,137 ,68 ,158 ,2850 ,6600 
99,high,early rice,2008,ERSC08,1,24.6 ,30.3 ,20.7 ,2116.8 ,1256.8 ,477.7 ,429.0 ,1325.9 ,medium_maturity,Paddy soils,,35.7 ,18.3 ,117.0 ,5.3 ,146 ,54 ,135 ,4047 ,7596 
100,low,early rice,2009,ERSC08,1,24.9 ,30.7 ,20.7 ,2014.8 ,1204.8 ,387.5 ,389.1 ,1224.6 ,medium_maturity,Paddy soils,,24.3 ,10.6 ,140.0 ,5.8 ,152 ,54 ,135 ,3608 ,8106 
101,low,early rice,2008,ERSC08,1,24.6 ,30.3 ,20.7 ,2116.8 ,1256.8 ,477.7 ,429.0 ,1325.9 ,medium_maturity,Paddy soils,,26.2 ,11.3 ,55.0 ,5.3 ,152 ,54 ,135 ,5952 ,8165 
102,low,early rice,2009,ERSC08,1,24.9 ,30.7 ,20.7 ,2014.8 ,1204.8 ,387.5 ,389.1 ,1224.6 ,medium_maturity,Paddy soils,,26.2 ,11.3 ,55.0 ,5.3 ,152 ,54 ,135 ,5954 ,8165 
103,high,early rice,2008,ERSC08,1,26.0 ,30.7 ,22.7 ,2236.3 ,1376.3 ,488.9 ,434.9 ,1335.8 ,medium_maturity,Paddy soils,,42.1 ,44.2 ,50.0 ,4.6 ,138 ,54 ,135 ,3690 ,5850 
104,low,early rice,2008,ERSC08,1,26.0 ,30.7 ,22.7 ,2236.3 ,1376.3 ,488.9 ,434.9 ,1335.8 ,medium_maturity,Paddy soils,,16.6 ,8.0 ,30.0 ,5.4 ,149 ,48 ,104 ,3999 ,7467 
105,high,early rice,2008,ERSC08,1,26.4 ,31.7 ,22.4 ,2033.3 ,1263.3 ,399.3 ,428.1 ,1261.1 ,medium_maturity,Paddy soils,,36.5 ,23.2 ,45.0 ,5.0 ,150 ,75 ,150 ,3792 ,6251 
106,high,early rice,2008,ERSC08,1,26.4 ,31.7 ,22.4 ,2033.3 ,1263.3 ,399.3 ,428.1 ,1261.1 ,medium_maturity,Paddy soils,,56.0 ,20.4 ,48.0 ,5.4 ,150 ,75 ,150 ,4545 ,7608 
107,high,early rice,2010,ERSC08,1,25.9 ,30.0 ,22.9 ,2230.9 ,1370.9 ,1133.8 ,342.7 ,1185.1 ,early_maturity,Paddy soils,,47.1 ,37.4 ,108.0 ,4.9 ,143 ,75 ,75 ,4298 ,7656 
108,high,early rice,2008,ERSC08,1,26.1 ,30.6 ,22.6 ,2243.3 ,1383.3 ,590.6 ,471.7 ,1395.0 ,early_maturity,Paddy soils,,39.5 ,18.8 ,140.0 ,4.9 ,138 ,63 ,120 ,4020 ,7410 
109,high,early rice,2008,ERSC08,1,26.1 ,30.6 ,22.6 ,2243.3 ,1383.3 ,590.6 ,471.7 ,1395.0 ,medium_maturity,Paddy soils,,54.5 ,26.3 ,64.0 ,4.7 ,158 ,83 ,128 ,4455 ,7365 
110,high,early rice,2010,ERSC08,1,25.9 ,30.0 ,22.9 ,2230.9 ,1370.9 ,1133.8 ,342.7 ,1185.1 ,medium_maturity,Paddy soils,,54.5 ,26.3 ,64.0 ,4.7 ,162 ,69 ,120 ,1935 ,4032 
111,low,early rice,2008,ERSC08,1,26.1 ,30.6 ,22.6 ,2243.3 ,1383.3 ,590.6 ,471.7 ,1395.0 ,early_maturity,Paddy soils,,27.0 ,10.7 ,115.0 ,5.2 ,138 ,63 ,120 ,4290 ,7815 
112,low,early rice,2010,ERSC08,1,25.9 ,30.0 ,22.9 ,2230.9 ,1370.9 ,1133.8 ,342.7 ,1185.1 ,early_maturity,Paddy soils,,27.0 ,10.7 ,115.0 ,5.2 ,138 ,63 ,120 ,4290 ,7815 
113,high,early rice,2010,ERSC08,1,25.9 ,30.0 ,22.9 ,2230.9 ,1370.9 ,1133.8 ,342.7 ,1185.1 ,late_maturity,Paddy soils,,37.6 ,16.4 ,75.0 ,4.9 ,138 ,66 ,108 ,4250 ,6482 
114,low,early rice,2006,ERSC08,1,24.8 ,29.6 ,21.3 ,2034.0 ,1214.0 ,907.3 ,422.1 ,1284.5 ,medium_maturity,Paddy soils,,30.5 ,15.0 ,161.0 ,4.9 ,162 ,78 ,123 ,4080 ,5505 
