Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk,,
285,LR-SC,LRSC0285,2009,LRSC04,medium_maturity,27.4 ,32.2 ,24.1 ,2521.6 ,1601.6 ,249.4 ,585.9 ,1464.6 ,Paddy soil,sandy loam,42.3 ,26.2 ,43.0 ,6.4 ,195 ,75 ,150 ,3627 ,7056 ,,
286,LR-SC,LRSC0286,2010,LRSC04,late_maturity,25.5 ,30.3 ,22.2 ,2571.7 ,1561.7 ,381.8 ,581.8 ,1471.1 ,Paddy soil,clay,40.9 ,29.3 ,48.0 ,5.1 ,150 ,60 ,120 ,2477 ,5841 ,,
287,LR-SC,LRSC0287,2010,LRSC04,late_maturity,26.1 ,30.9 ,22.9 ,2743.4 ,1693.4 ,417.6 ,633.5 ,1609.0 ,Paddy soil,clay,47.2 ,55.4 ,179.0 ,5.6 ,213 ,75 ,131 ,5588 ,7020 ,,
288,LR-SC,LRSC0288,2010,LRSC04,medium_maturity,26.0 ,30.8 ,22.7 ,2544.0 ,1564.0 ,394.6 ,576.1 ,1469.2 ,Paddy soil,clay loam,25.4 ,6.4 ,60.0 ,5.6 ,150 ,60 ,120 ,5678 ,8183 ,,
289,LR-SC,LRSC0289,2008,LRSC04,late_maturity,26.7 ,31.8 ,23.2 ,2399.6 ,1499.6 ,470.1 ,571.0 ,1459.7 ,Paddy soil,loam,47.3 ,13.4 ,55.5 ,7.0 ,195 ,75 ,150 ,4050 ,7301 ,,
290,LR-SC,LRSC0290,2008,LRSC04,medium_maturity,27.0 ,32.3 ,23.6 ,2243.8 ,1413.8 ,177.0 ,469.4 ,1296.6 ,Paddy soil,clay loam,52.0 ,21.5 ,65.0 ,5.2 ,120 ,45 ,90 ,3666 ,6450 ,,
291,LR-SC,LRSC0291,2009,LRSC04,medium_maturity,25.7 ,31.6 ,21.5 ,2056.5 ,1256.5 ,125.7 ,552.6 ,1309.0 ,Paddy soil,clay loam,36.6 ,18.4 ,43.7 ,7.6 ,150 ,60 ,120 ,1860 ,5361 ,,
292,LR-SC,LRSC0292,2008,LRSC04,medium_maturity,25.8 ,31.1 ,22.2 ,2246.3 ,1376.3 ,136.9 ,561.7 ,1391.8 ,Paddy soil,clay loam,36.6 ,5.3 ,50.0 ,4.9 ,120 ,45 ,90 ,2525 ,5525 ,,
293,LR-SC,LRSC0293,2008,LRSC04,medium_maturity,25.9 ,31.2 ,22.3 ,2281.5 ,1401.5 ,139.5 ,562.6 ,1402.5 ,Paddy soil,clay loam,28.6 ,9.0 ,32.0 ,6.2 ,150 ,60 ,120 ,3027 ,5906 ,,
294,LR-SC,LRSC0294,2008,LRSC04,medium_maturity,26.3 ,31.4 ,23.1 ,2500.2 ,1550.2 ,371.7 ,697.1 ,1663.5 ,Paddy soil,clay loam,44.7 ,12.2 ,60.0 ,6.2 ,150 ,60 ,120 ,3518 ,6338 ,,
295,LR-SC,LRSC0295,2008,LRSC04,late_maturity,26.0 ,31.3 ,22.4 ,2393.2 ,1473.2 ,143.9 ,579.4 ,1458.2 ,Paddy soil,clay loam,40.2 ,49.2 ,128.0 ,6.9 ,210 ,90 ,210 ,3645 ,7536 ,,
296,LR-SC,LRSC0296,2008,LRSC04,late_maturity,26.1 ,31.4 ,22.4 ,2034.5 ,1254.5 ,133.3 ,523.2 ,1284.2 ,Paddy soil,clay loam,39.3 ,16.3 ,67.0 ,6.1 ,210 ,90 ,210 ,2627 ,7577 ,,
297,LR-SC,LRSC0297,2008,LRSC04,medium_maturity,25.1 ,30.8 ,21.4 ,2584.9 ,1554.9 ,260.0 ,708.8 ,1669.4 ,Paddy soil,sandy loam,25.5 ,45.0 ,58.0 ,5.9 ,152 ,32 ,126 ,4920 ,7590 ,,
298,LR-SC,LRSC0298,2009,LRSC04,medium_maturity,25.0 ,31.1 ,21.2 ,2453.3 ,1477.2 ,209.1 ,715.8 ,1660.8 ,Paddy soil,sandy loam,26.7 ,38.2 ,34.9 ,4.7 ,225 ,105 ,225 ,4200 ,6390 ,,
299,LR-SC,LRSC0299,2010,LRSC04,medium_maturity,24.3 ,30.1 ,20.7 ,2383.8 ,1403.8 ,372.7 ,643.6 ,1535.7 ,Paddy soil,sandy loam,36.1 ,53.0 ,66.2 ,5.2 ,225 ,105 ,225 ,4095 ,7605 ,,
300,LR-SC,LRSC0300,2008,LRSC04,late_maturity,25.3 ,31.0 ,21.7 ,2610.2 ,1580.2 ,260.2 ,708.3 ,1678.9 ,Paddy soil,clay,21.5 ,34.3 ,36.1 ,5.3 ,138 ,38 ,108 ,5010 ,9060 ,,
301,LR-SC,LRSC0301,2008,LRSC04,medium_maturity,25.2 ,30.9 ,21.5 ,2597.0 ,1567.0 ,260.0 ,711.3 ,1678.1 ,Paddy soil,clay,22.7 ,49.6 ,70.1 ,5.9 ,193 ,60 ,162 ,4485 ,7425 ,,
302,LR-SC,LRSC0302,2009,LRSC04,medium_maturity,24.6 ,30.6 ,20.8 ,2553.6 ,1517.5 ,216.1 ,741.6 ,1726.5 ,Paddy soil,sandy loam,20.2 ,39.6 ,89.3 ,5.4 ,225 ,105 ,225 ,4020 ,4350 ,,
303,LR-SC,LRSC0303,2009,LRSC04,medium_maturity,24.8 ,30.7 ,20.9 ,2475.0 ,1478.9 ,209.1 ,724.7 ,1681.4 ,Paddy soil,sandy loam,23.6 ,53.0 ,66.2 ,5.8 ,225 ,105 ,225 ,5061 ,6410 ,,
304,LR-SC,LRSC0304,2007,LRSC04,medium_maturity,26.1 ,31.3 ,22.5 ,2457.6 ,1517.6 ,332.6 ,602.2 ,1513.8 ,Paddy soil,loam,21.0 ,17.5 ,32.0 ,5.6 ,120 ,38 ,90 ,4122 ,5654 ,,
305,LR-SC,LRSC0305,2006,LRSC04,medium_maturity,26.6 ,32.0 ,22.9 ,2317.9 ,1447.9 ,93.4 ,558.2 ,1381.1 ,Paddy soil,loam,29.0 ,67.2 ,25.0 ,7.4 ,180 ,60 ,135 ,3140 ,6459 ,,
306,LR-SC,LRSC0306,2007,LRSC04,medium_maturity,26.1 ,31.2 ,22.5 ,2429.0 ,1499.0 ,331.2 ,593.7 ,1492.7 ,Paddy soil,loam,12.0 ,11.6 ,34.0 ,8.0 ,210 ,60 ,150 ,5433 ,8673 ,,
307,LR-SC,LRSC0307,2006,LRSC04,medium_maturity,26.8 ,32.0 ,23.2 ,2438.5 ,1528.5 ,176.7 ,552.7 ,1415.2 ,Paddy soil,loam,5.0 ,8.2 ,74.0 ,7.4 ,180 ,60 ,135 ,4157 ,6806 ,,
308,LR-SC,LRSC0308,2006,LRSC04,medium_maturity,26.8 ,32.0 ,23.2 ,2438.5 ,1528.5 ,176.7 ,552.7 ,1415.2 ,Paddy soil,loam,18.2 ,19.0 ,68.0 ,7.8 ,180 ,60 ,135 ,4994 ,7350 ,,
309,LR-SC,LRSC0309,2006,LRSC04,medium_maturity,26.5 ,31.8 ,22.7 ,2198.1 ,1368.1 ,77.7 ,526.0 ,1300.4 ,Paddy soil,loam,18.0 ,19.0 ,67.0 ,7.8 ,180 ,60 ,135 ,4872 ,7136 ,,
310,LR-SC,LRSC0310,2007,LRSC04,medium_maturity,25.5 ,30.5 ,22.0 ,2215.8 ,1345.8 ,331.2 ,511.3 ,1310.2 ,Paddy soil,loam,45.0 ,14.2 ,40.0 ,7.5 ,150 ,53 ,120 ,6350 ,9150 ,,
311,LR-SC,LRSC0311,2006,LRSC04,medium_maturity,26.8 ,32.0 ,23.2 ,2438.5 ,1528.5 ,176.7 ,552.7 ,1415.2 ,Paddy soil,loam,33.1 ,39.9 ,74.0 ,7.4 ,165 ,53 ,120 ,4785 ,7436 ,,
312,LR-SC,LRSC0312,2007,LRSC04,medium_maturity,25.3 ,30.3 ,21.7 ,2298.7 ,1388.7 ,337.4 ,543.7 ,1378.3 ,Paddy soil,loam,25.0 ,38.4 ,57.0 ,7.5 ,165 ,53 ,120 ,4799 ,7334 ,,
313,LR-SC,LRSC0313,2007,LRSC04,medium_maturity,23.9 ,29.2 ,20.3 ,2011.6 ,1171.6 ,317.8 ,496.6 ,1237.7 ,Paddy soil,sandy loam,33.7 ,19.3 ,88.2 ,7.1 ,195 ,75 ,150 ,3239 ,7347 ,,
314,LR-SC,LRSC0314,2008,LRSC04,late_maturity,25.3 ,30.3 ,22.1 ,2382.5 ,1442.5 ,417.3 ,546.4 ,1396.7 ,Paddy soil,sandy loam,23.5 ,26.8 ,83.2 ,6.8 ,150 ,60 ,120 ,6128 ,8090 ,,
315,LR-SC,LRSC0315,2007,LRSC04,late_maturity,23.8 ,29.3 ,20.1 ,2214.8 ,1284.8 ,340.3 ,563.9 ,1386.6 ,Paddy soil,loam,58.6 ,26.5 ,70.4 ,7.7 ,150 ,60 ,120 ,3785 ,6557 ,,
316,LR-SC,LRSC0316,2009,LRSC04,medium_maturity,26.6 ,32.0 ,23.0 ,2264.3 ,1414.3 ,189.8 ,592.9 ,1433.0 ,Paddy soil,sandy loam,43.2 ,26.5 ,70.4 ,7.2 ,150 ,60 ,120 ,3300 ,7100 ,,
317,LR-SC,LRSC0317,2008,LRSC04,medium_maturity,25.3 ,30.3 ,22.1 ,2382.5 ,1442.5 ,417.3 ,546.4 ,1396.7 ,Paddy soil,sandy loam,16.7 ,32.1 ,76.3 ,6.7 ,120 ,45 ,90 ,4550 ,6701 ,,
318,LR-SC,LRSC0318,2008,LRSC04,medium_maturity,25.3 ,30.3 ,22.1 ,2382.5 ,1442.5 ,417.3 ,546.4 ,1396.7 ,Paddy soil,sandy loam,36.8 ,39.6 ,138.3 ,7.4 ,195 ,75 ,150 ,4475 ,6020 ,,
319,LR-SC,LRSC0319,2009,LRSC04,late_maturity,26.6 ,32.0 ,23.0 ,2264.3 ,1414.3 ,189.8 ,592.9 ,1433.0 ,Paddy soil,sandy loam,58.7 ,26.4 ,96.3 ,7.1 ,195 ,75 ,150 ,3600 ,6105 ,,
320,LR-SC,LRSC0320,2007,LRSC04,medium_maturity,25.5 ,30.6 ,22.0 ,2700.3 ,1640.3 ,515.8 ,657.5 ,1681.7 ,Paddy soil,sandy loam,49.4 ,8.5 ,103.0 ,6.2 ,150 ,60 ,120 ,3839 ,6579 ,,
321,LR-SC,LRSC0321,2008,LRSC04,medium_maturity,25.1 ,29.9 ,21.9 ,2433.6 ,1463.6 ,460.2 ,520.1 ,1361.5 ,Paddy soil,sandy loam,43.1 ,11.9 ,125.0 ,6.2 ,150 ,60 ,120 ,4635 ,8030 ,,
322,LR-SC,LRSC0322,2008,LRSC04,early_maturity,26.1 ,31.4 ,22.5 ,2450.2 ,1510.2 ,207.3 ,549.5 ,1440.1 ,Paddy soil,loam,30.1 ,79.3 ,66.1 ,5.2 ,150 ,60 ,120 ,4350 ,7155 ,,
323,LR-SC,LRSC0323,2009,LRSC04,medium_maturity,26.6 ,32.3 ,22.8 ,2262.3 ,1412.3 ,103.7 ,540.7 ,1369.8 ,Paddy soil,sandy loam,27.5 ,9.3 ,40.5 ,4.7 ,150 ,60 ,120 ,4151 ,7400 ,,
324,LR-SC,LRSC0324,2009,LRSC04,medium_maturity,26.6 ,32.3 ,22.8 ,2262.3 ,1412.3 ,103.7 ,540.7 ,1369.8 ,Paddy soil,sandy loam,38.9 ,19.6 ,44.0 ,5.8 ,150 ,60 ,120 ,4151 ,7001 ,,
325,LR-SC,LRSC0325,2008,LRSC04,medium_maturity,26.0 ,31.3 ,22.4 ,2443.0 ,1503.0 ,207.3 ,547.0 ,1431.2 ,Paddy soil,sandy loam,52.8 ,24.8 ,97.3 ,6.2 ,120 ,45 ,90 ,4250 ,8250 ,,
326,LR-SC,LRSC0326,2008,LRSC04,medium_maturity,26.5 ,31.9 ,22.8 ,2408.0 ,1498.0 ,188.3 ,559.8 ,1444.5 ,Paddy soil,sandy loam,27.5 ,31.9 ,76.9 ,5.8 ,195 ,75 ,150 ,4695 ,7781 ,,
327,LR-SC,LRSC0327,2009,LRSC04,medium_maturity,25.5 ,31.6 ,21.5 ,2348.5 ,1428.5 ,104.2 ,587.8 ,1438.9 ,Paddy soil,loam,33.4 ,5.9 ,33.0 ,5.6 ,150 ,60 ,120 ,3930 ,5846 ,,
328,LR-SC,LRSC0328,2010,LRSC04,medium_maturity,25.1 ,30.9 ,21.5 ,2312.1 ,1392.1 ,432.3 ,588.6 ,1446.0 ,Paddy soil,clay loam,27.9 ,19.8 ,90.1 ,6.2 ,150 ,60 ,120 ,3840 ,5700 ,,
329,LR-SC,LRSC0329,2008,LRSC04,late_maturity,24.6 ,30.3 ,21.1 ,2513.5 ,1493.5 ,383.5 ,629.1 ,1467.0 ,Paddy soil,loam,50.6 ,13.2 ,73.9 ,7.8 ,195 ,75 ,150 ,4155 ,5400 ,,
330,LR-SC,LRSC0330,2010,LRSC04,late_maturity,24.3 ,30.4 ,20.5 ,2309.1 ,1359.1 ,429.8 ,618.8 ,1472.6 ,Paddy soil,sandy loam,29.5 ,12.5 ,59.3 ,5.3 ,150 ,60 ,120 ,5100 ,6600 ,,
331,LR-SC,LRSC0331,2008,LRSC04,medium_maturity,25.2 ,30.8 ,21.6 ,2366.4 ,1426.4 ,382.3 ,587.2 ,1373.1 ,Paddy soil,sandy loam,17.7 ,29.3 ,41.2 ,5.1 ,120 ,45 ,90 ,5801 ,7151 ,,
332,LR-SC,LRSC0332,2006,LRSC04,late_maturity,26.2 ,31.8 ,22.2 ,2409.9 ,1489.9 ,178.6 ,631.6 ,1454.8 ,Paddy soil,sandy loam,47.5 ,14.5 ,45.2 ,7.2 ,195 ,60 ,135 ,4641 ,8180 ,,
333,LR-SC,LRSC0333,2006,LRSC04,late_maturity,26.2 ,31.8 ,22.2 ,2409.9 ,1489.9 ,178.6 ,631.6 ,1454.8 ,Paddy soil,clay loam,30.0 ,15.3 ,228.2 ,5.5 ,150 ,53 ,108 ,4950 ,7470 ,,
334,LR-SC,LRSC0334,2008,LRSC04,late_maturity,23.3 ,28.3 ,19.8 ,2093.0 ,1193.0 ,512.8 ,437.0 ,1168.4 ,Paddy soil,clay,39.8 ,26.7 ,61.0 ,7.8 ,120 ,45 ,90 ,3588 ,5918 ,,
335,LR-SC,LRSC0335,2006,LRSC04,early_maturity,25.0 ,30.3 ,21.3 ,2071.2 ,1241.2 ,142.2 ,350.3 ,1044.3 ,Paddy soil,clay loam,36.5 ,9.7 ,58.0 ,6.0 ,150 ,53 ,108 ,2757 ,5280 ,,
336,LR-SC,LRSC0336,2007,LRSC04,late_maturity,23.5 ,28.7 ,19.9 ,2140.4 ,1230.4 ,321.1 ,426.7 ,1194.3 ,Paddy soil,clay loam,51.2 ,22.4 ,110.0 ,6.3 ,120 ,45 ,90 ,5430 ,6845 ,,
337,LR-SC,LRSC0337,2007,LRSC04,late_maturity,23.5 ,28.7 ,19.9 ,2140.4 ,1230.4 ,321.1 ,426.7 ,1194.3 ,Paddy soil,clay loam,57.2 ,22.4 ,110.0 ,6.3 ,120 ,45 ,90 ,5165 ,6513 ,,
338,LR-SC,LRSC0338,2008,LRSC04,medium_maturity,24.8 ,29.7 ,21.3 ,2080.1 ,1240.1 ,362.9 ,405.6 ,1136.4 ,Paddy soil,loam,24.4 ,6.1 ,20.0 ,7.2 ,120 ,45 ,90 ,3195 ,4814 ,,
339,LR-SC,LRSC0339,2007,LRSC04,medium_maturity,23.3 ,28.7 ,19.5 ,2396.2 ,1366.2 ,323.2 ,516.8 ,1388.9 ,Paddy soil,loam,44.2 ,8.7 ,66.0 ,6.4 ,150 ,60 ,120 ,3395 ,4743 ,,
340,LR-SC,LRSC0340,2006,LRSC04,early_maturity,25.2 ,30.5 ,21.7 ,2089.8 ,1259.8 ,192.3 ,334.9 ,1037.6 ,Paddy soil,clay loam,36.0 ,11.8 ,118.0 ,5.8 ,150 ,53 ,108 ,2990 ,5390 ,,
341,LR-SC,LRSC0341,2007,LRSC04,medium_maturity,23.4 ,28.6 ,19.8 ,2156.5 ,1236.5 ,321.1 ,436.0 ,1211.3 ,Paddy soil,clay loam,32.4 ,10.8 ,37.0 ,5.7 ,150 ,60 ,120 ,3851 ,6200 ,,
342,LR-SC,LRSC0342,2008,LRSC04,late_maturity,24.5 ,29.4 ,21.1 ,2134.7 ,1264.7 ,416.6 ,408.3 ,1152.5 ,Paddy soil,sandy loam,40.0 ,18.1 ,58.0 ,6.1 ,150 ,60 ,120 ,4301 ,6626 ,,
343,LR-SC,LRSC0343,2006,LRSC04,medium_maturity,24.4 ,30.0 ,20.6 ,2416.1 ,1426.1 ,151.1 ,441.2 ,1254.2 ,Paddy soil,loam,24.4 ,13.7 ,57.0 ,6.3 ,150 ,53 ,108 ,2775 ,5201 ,,
344,LR-SC,LRSC0344,2007,LRSC04,medium_maturity,23.7 ,28.9 ,20.1 ,2227.6 ,1287.6 ,323.2 ,452.3 ,1257.4 ,Paddy soil,loam,38.8 ,19.0 ,149.0 ,6.1 ,150 ,60 ,120 ,2775 ,4725 ,,
345,LR-SC,LRSC0345,2008,LRSC04,late_maturity,25.7 ,30.4 ,22.5 ,2569.9 ,1569.9 ,534.4 ,442.9 ,1300.0 ,Paddy soil,loam,55.6 ,19.4 ,110.0 ,5.8 ,195 ,75 ,150 ,5289 ,7436 ,,
346,LR-SC,LRSC0346,2008,LRSC04,late_maturity,25.4 ,30.1 ,22.3 ,2237.5 ,1357.5 ,470.8 ,382.4 ,1116.1 ,Paddy soil,sandy loam,28.6 ,3.4 ,69.0 ,5.3 ,120 ,45 ,90 ,3293 ,5676 ,,
347,LR-SC,LRSC0347,2008,LRSC05,medium_maturity,26.7 ,31.9 ,23.9 ,2640.6 ,1650.6 ,1418.9 ,491.1 ,1414.7 ,Paddy soil,sandy loam,54.9 ,23.5 ,62.3 ,4.9 ,135 ,68 ,135 ,2947 ,4714 ,,110.0011
348,LR-SC,LRSC0348,2007,LRSC05,late_maturity,25.9 ,31.2 ,22.8 ,2380.1 ,1460.1 ,619.9 ,388.7 ,1179.1 ,Paddy soil,sandy loam,31.0 ,15.8 ,58.0 ,5.1 ,173 ,30 ,207 ,3558 ,6350 ,,
349,LR-SC,LRSC0349,2007,LRSC05,late_maturity,26.5 ,31.5 ,23.0 ,2489.1 ,1549.1 ,350.1 ,558.1 ,1452.0 ,Paddy soil,sandy loam,27.9 ,35.2 ,138.0 ,5.6 ,137 ,168 ,258 ,4640 ,6275 ,,
350,LR-SC,LRSC0350,2007,LRSC05,late_maturity,26.5 ,31.9 ,23.5 ,2546.3 ,1586.3 ,743.5 ,420.2 ,1301.0 ,Paddy soil,loam,26.0 ,24.3 ,26.0 ,5.0 ,139 ,72 ,180 ,5230 ,8465 ,,
351,LR-SC,LRSC0351,2008,LRSC05,late_maturity,26.4 ,31.9 ,23.3 ,2932.2 ,1822.2 ,1128.6 ,465.8 ,1418.4 ,Paddy soil,sandy loam,12.9 ,37.8 ,142.0 ,5.5 ,150 ,60 ,150 ,5452 ,8086 ,,
352,LR-SC,LRSC0352,2007,LRSC05,medium_maturity,26.4 ,31.6 ,23.5 ,2320.7 ,1440.7 ,691.6 ,357.9 ,1138.9 ,Paddy soil,loamy sand,15.2 ,7.0 ,56.0 ,4.8 ,101 ,57 ,191 ,3810 ,7763 ,,
353,LR-SC,LRSC0353,2006,LRSC06,late_maturity,25.1 ,30.1 ,21.1 ,2514.7 ,1514.7 ,128.6 ,646.1 ,1587.5 ,Paddy soil,loam,19.5 ,41.6 ,118.0 ,4.5 ,150 ,45 ,90 ,3002 ,6240 ,,
354,LR-SC,LRSC0354,2006,LRSC06,late_maturity,24.7 ,29.8 ,20.5 ,2492.1 ,1482.1 ,128.6 ,654.5 ,1585.3 ,Paddy soil,clay loam,39.6 ,20.6 ,40.0 ,6.4 ,150 ,45 ,90 ,4008 ,8340 ,,
355,LR-SC,LRSC0355,2007,LRSC06,late_maturity,24.4 ,29.4 ,21.1 ,2297.6 ,1357.6 ,233.9 ,539.1 ,1401.4 ,Paddy soil,silty clay loam,38.8 ,27.0 ,62.0 ,5.6 ,165 ,60 ,120 ,4875 ,6434 ,,
356,LR-SC,LRSC0356,2006,LRSC06,medium_maturity,25.9 ,30.6 ,22.6 ,2356.6 ,1446.6 ,213.6 ,500.1 ,1320.0 ,Paddy soil,loam,32.7 ,6.6 ,110.0 ,5.5 ,165 ,60 ,105 ,6615 ,8754 ,,
357,LR-SC,LRSC0357,2007,LRSC06,medium_maturity,27.2 ,31.7 ,24.1 ,2098.0 ,1328.0 ,219.5 ,382.7 ,1084.3 ,Paddy soil,clay loam,30.6 ,7.0 ,115.0 ,5.5 ,165 ,60 ,105 ,2625 ,6003 ,,
358,LR-SC,LRSC0358,2006,LRSC06,medium_maturity,25.9 ,30.6 ,22.6 ,2356.6 ,1446.6 ,213.6 ,500.1 ,1320.0 ,Paddy soil,sandy loam,20.6 ,9.6 ,29.0 ,7.4 ,165 ,75 ,105 ,5495 ,8003 ,,
359,LR-SC,LRSC0359,2006,LRSC06,medium_maturity,24.9 ,29.6 ,21.6 ,2320.0 ,1390.0 ,204.2 ,490.9 ,1285.5 ,Paddy soil,sandy loam,19.7 ,11.5 ,175.0 ,4.2 ,165 ,75 ,105 ,3651 ,6960 ,,
360,LR-SC,LRSC0360,2009,LRSC06,medium_maturity,27.2 ,31.9 ,23.8 ,2228.4 ,1408.4 ,266.5 ,541.1 ,1357.8 ,Paddy soil,sandy loam,9.0 ,23.0 ,80.0 ,6.0 ,158 ,60 ,86 ,5201 ,8303 ,,
361,LR-SC,LRSC0361,2007,LRSC06,medium_maturity,24.9 ,29.7 ,21.5 ,2190.3 ,1310.3 ,200.2 ,611.8 ,1459.5 ,Paddy soil,silty clay loam,18.9 ,17.0 ,27.0 ,4.9 ,165 ,60 ,120 ,3651 ,6003 ,,
362,LR-SC,LRSC0362,2007,LRSC06,medium_maturity,25.1 ,29.8 ,21.6 ,2664.3 ,1604.3 ,215.6 ,775.4 ,1815.9 ,Paddy soil,loamy sand,27.6 ,11.0 ,77.0 ,7.8 ,195 ,75 ,120 ,4193 ,10800 ,,
363,LR-SC,LRSC0363,2007,LRSC06,medium_maturity,25.7 ,30.4 ,22.2 ,2573.0 ,1573.0 ,191.9 ,751.5 ,1762.7 ,Paddy soil,loamy sand,35.3 ,6.8 ,128.0 ,5.9 ,195 ,75 ,120 ,4650 ,11505 ,,
364,LR-SC,LRSC0364,2006,LRSC06,early_maturity,25.7 ,31.6 ,21.4 ,2082.2 ,1272.2 ,221.4 ,571.7 ,1360.2 ,Paddy soil,silty clay loam,19.4 ,17.8 ,85.0 ,5.4 ,150 ,60 ,120 ,4451 ,7143 ,,
365,LR-SC,LRSC0365,2007,LRSC06,medium_maturity,25.1 ,30.1 ,21.6 ,2381.7 ,1431.7 ,178.5 ,614.4 ,1496.2 ,Paddy soil,sandy loam,49.2 ,8.1 ,48.0 ,5.9 ,180 ,45 ,113 ,3951 ,7835 ,,
366,LR-SC,LRSC0366,2009,LRSC07,medium_maturity,26.9 ,31.0 ,23.9 ,2261.6 ,1421.6 ,136.7 ,527.0 ,1358.6 ,Paddy soil,clay loam,33.5 ,15.2 ,74.0 ,6.0 ,150 ,36 ,90 ,4476 ,7073 ,,
367,LR-SC,LRSC0367,2008,LRSC07,medium_maturity,26.6 ,31.0 ,23.3 ,2550.9 ,1590.9 ,354.5 ,591.0 ,1526.5 ,Paddy soil,sandy loam,25.3 ,6.1 ,73.0 ,6.3 ,150 ,36 ,75 ,4598 ,7920 ,,
368,LR-SC,LRSC0368,2009,LRSC07,late_maturity,27.4 ,31.5 ,24.3 ,2493.7 ,1583.7 ,136.7 ,611.8 ,1547.5 ,Paddy soil,clay loam,30.8 ,8.2 ,59.0 ,5.9 ,150 ,36 ,75 ,3765 ,7583 ,,
369,LR-SC,LRSC0369,2007,LRSC07,late_maturity,26.8 ,31.2 ,23.6 ,2220.3 ,1390.3 ,275.9 ,546.5 ,1390.8 ,Paddy soil,sandy loam,39.0 ,38.1 ,155.0 ,4.5 ,150 ,36 ,75 ,5175 ,7920 ,,
370,LR-SC,LRSC0370,2010,LRSC07,late_maturity,24.6 ,28.7 ,21.6 ,2729.2 ,1619.2 ,383.2 ,712.0 ,1759.1 ,Paddy soil,sandy loam,36.0 ,28.4 ,85.0 ,5.2 ,150 ,72 ,68 ,4215 ,6462 ,,
371,LR-SC,LRSC0371,2008,LRSC07,late_maturity,26.5 ,30.9 ,23.2 ,2597.3 ,1617.3 ,354.5 ,608.5 ,1559.9 ,Paddy soil,clay loam,45.5 ,34.1 ,74.0 ,4.9 ,150 ,36 ,75 ,5700 ,8105 ,,
372,LR-SC,LRSC0372,2009,LRSC07,late_maturity,27.1 ,31.3 ,24.0 ,2523.7 ,1593.7 ,138.5 ,618.7 ,1562.3 ,Paddy soil,sandy loam,29.1 ,20.9 ,43.0 ,7.6 ,150 ,36 ,75 ,4260 ,7785 ,,
373,LR-SC,LRSC0373,2009,LRSC07,late_maturity,27.5 ,31.6 ,24.4 ,2527.0 ,1607.0 ,136.7 ,623.3 ,1573.5 ,Paddy soil,sandy loam,26.1 ,11.5 ,69.0 ,4.8 ,150 ,36 ,75 ,4335 ,7830 ,,
374,LR-SC,LRSC0374,2008,LRSC07,medium_maturity,26.4 ,30.8 ,23.1 ,2504.6 ,1554.6 ,354.5 ,587.1 ,1503.3 ,Paddy soil,sandy loam,34.5 ,17.0 ,23.0 ,5.4 ,150 ,36 ,75 ,5730 ,8199 ,,
375,LR-SC,LRSC0375,2009,LRSC07,late_maturity,27.0 ,31.1 ,23.8 ,2534.4 ,1594.4 ,141.4 ,618.0 ,1560.8 ,Paddy soil,sandy loam,31.0 ,19.3 ,137.0 ,5.8 ,150 ,36 ,75 ,4050 ,7815 ,,
376,LR-SC,LRSC0376,2008,LRSC07,early_maturity,26.5 ,32.0 ,22.6 ,2436.3 ,1516.3 ,252.1 ,626.9 ,1569.1 ,Paddy soil,clay loam,40.4 ,10.3 ,77.0 ,6.6 ,195 ,54 ,113 ,6300 ,7755 ,,
377,LR-SC,LRSC0377,2010,LRSC07,medium_maturity,25.4 ,30.7 ,21.7 ,2592.7 ,1572.7 ,275.2 ,690.1 ,1721.9 ,Paddy soil,clay loam,26.4 ,16.2 ,201.0 ,5.6 ,150 ,36 ,75 ,3639 ,6000 ,,
378,LR-SC,LRSC0378,2006,LRSC07,late_maturity,25.5 ,31.6 ,21.3 ,2372.2 ,1442.2 ,206.3 ,598.3 ,1521.7 ,Paddy soil,sandy loam,31.4 ,26.9 ,83.0 ,5.0 ,180 ,54 ,75 ,5400 ,8010 ,,
379,LR-SC,LRSC0379,2008,LRSC07,medium_maturity,26.0 ,31.7 ,22.0 ,2419.6 ,1489.6 ,251.5 ,634.9 ,1561.2 ,Paddy soil,clay loam,29.4 ,13.8 ,88.0 ,5.1 ,165 ,36 ,75 ,5370 ,7260 ,,
380,LR-SC,LRSC0380,2007,LRSC07,late_maturity,25.6 ,31.3 ,21.7 ,2354.8 ,1434.8 ,292.3 ,611.1 ,1528.6 ,Paddy soil,sandy loam,28.9 ,17.9 ,144.0 ,5.0 ,180 ,72 ,113 ,3330 ,7140 ,,
381,LR-SC,LRSC0381,2006,LRSC07,medium_maturity,25.9 ,31.9 ,21.7 ,2379.2 ,1459.2 ,172.5 ,610.4 ,1551.3 ,Paddy soil,sandy loam,36.2 ,50.0 ,221.0 ,5.4 ,180 ,72 ,75 ,6510 ,8625 ,,
382,LR-SC,LRSC0382,2007,LRSC07,late_maturity,26.2 ,31.9 ,22.2 ,2406.4 ,1486.4 ,292.0 ,631.5 ,1577.5 ,Paddy soil,sandy loam,36.2 ,50.0 ,221.0 ,5.4 ,150 ,36 ,75 ,3285 ,5310 ,,
