Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk,,
22,LR-SC,LRSC0022,2007,LRSC02,late_maturity,26.6 ,32.1 ,22.6 ,2691.1 ,1681.1 ,365.9 ,515.7 ,1438.0 ,Paddy soil,silty clay loam,34.6 ,33.6 ,45.0 ,5.3 ,150 ,60 ,105 ,5190 ,6270 ,,
23,LR-SC,LRSC0023,2007,LRSC02,late_maturity,26.6 ,32.1 ,22.6 ,2691.1 ,1681.1 ,365.9 ,515.7 ,1438.0 ,Paddy soil,silty clay loam,29.7 ,31.1 ,74.0 ,5.2 ,150 ,60 ,105 ,6420 ,7365 ,,
24,LR-SC,LRSC0024,2007,LRSC02,late_maturity,26.6 ,32.1 ,22.6 ,2691.1 ,1681.1 ,365.9 ,515.7 ,1438.0 ,Paddy soil,silty clay loam,35.4 ,75.5 ,54.0 ,5.2 ,150 ,60 ,105 ,5190 ,7260 ,,
25,LR-SC,LRSC0025,2008,LRSC02,late_maturity,27.1 ,32.2 ,23.4 ,2924.1 ,1844.1 ,349.4 ,742.4 ,1827.1 ,Paddy soil,clay loam,10.6 ,7.6 ,37.0 ,4.9 ,180 ,72 ,126 ,5732 ,7998 ,,
26,LR-SC,LRSC0026,2008,LRSC02,late_maturity,27.2 ,32.3 ,23.5 ,2854.8 ,1804.8 ,349.4 ,719.5 ,1782.5 ,Paddy soil,silty clay loam,23.5 ,12.8 ,98.0 ,5.0 ,180 ,72 ,126 ,3834 ,8877 ,,
27,LR-SC,LRSC0027,2008,LRSC02,late_maturity,26.4 ,32.4 ,22.7 ,2850.7 ,1770.7 ,351.4 ,666.6 ,1731.4 ,Paddy soil,silty clay loam,21.9 ,22.6 ,106.0 ,6.2 ,180 ,90 ,126 ,5700 ,7575 ,,
28,LR-SC,LRSC0028,2008,LRSC02,late_maturity,27.2 ,33.9 ,23.2 ,2852.7 ,1802.7 ,359.8 ,654.1 ,1730.0 ,Paddy soil,silty clay loam,27.9 ,45.0 ,122.0 ,5.2 ,165 ,60 ,105 ,8598 ,9975 ,,
29,LR-SC,LRSC0029,2008,LRSC02,late_maturity,27.1 ,33.8 ,23.1 ,2897.4 ,1827.4 ,359.8 ,664.1 ,1754.4 ,Paddy soil,loam,35.5 ,43.8 ,136.0 ,4.8 ,165 ,60 ,105 ,7754 ,9951 ,,
30,LR-SC,LRSC0030,2007,LRSC02,late_maturity,24.1 ,30.5 ,19.7 ,2383.6 ,1393.6 ,397.8 ,604.6 ,1517.1 ,Paddy soil,silty clay loam,36.8 ,24.6 ,116.0 ,5.0 ,180 ,41 ,120 ,5635 ,8020 ,,
31,LR-SC,LRSC0031,2008,LRSC02,late_maturity,24.9 ,30.8 ,21.4 ,2568.2 ,1538.2 ,405.3 ,468.7 ,1335.5 ,Paddy soil,silty clay loam,38.8 ,62.3 ,109.0 ,4.5 ,165 ,72 ,126 ,6210 ,7440 ,,
32,LR-SC,LRSC0032,2007,LRSC02,late_maturity,23.6 ,29.9 ,19.6 ,2359.0 ,1359.0 ,184.1 ,453.0 ,1260.2 ,Paddy soil,loam,28.3 ,13.3 ,104.0 ,4.8 ,165 ,72 ,126 ,4500 ,5745 ,,
33,LR-SC,LRSC0033,2007,LRSC02,late_maturity,25.3 ,30.0 ,21.9 ,2758.1 ,1668.1 ,1168.1 ,605.8 ,1579.5 ,Paddy soil,loam,29.2 ,33.0 ,38.0 ,5.9 ,150 ,60 ,105 ,3101 ,5325 ,,
34,LR-SC,LRSC0034,2007,LRSC02,late_maturity,25.2 ,29.9 ,21.8 ,2792.7 ,1682.7 ,1171.1 ,609.3 ,1592.8 ,Paddy soil,loam,48.9 ,31.0 ,164.0 ,6.1 ,150 ,60 ,105 ,3935 ,5730 ,,
35,LR-SC,LRSC0035,2007,LRSC02,late_maturity,25.0 ,29.7 ,21.5 ,2845.3 ,1705.3 ,1171.1 ,628.1 ,1629.6 ,Paddy soil,loam,37.6 ,2.9 ,204.0 ,6.2 ,150 ,60 ,105 ,4301 ,6551 ,,
36,LR-SC,LRSC0036,2007,LRSC02,late_maturity,25.2 ,29.9 ,21.7 ,2842.8 ,1712.8 ,1171.1 ,621.8 ,1624.5 ,Paddy soil,loam,28.5 ,3.1 ,132.0 ,6.0 ,150 ,60 ,105 ,3251 ,5756 ,,
37,LR-SC,LRSC0037,2007,LRSC02,early_maturity,25.9 ,30.7 ,22.4 ,2771.6 ,1701.6 ,1257.9 ,606.4 ,1589.4 ,Paddy soil,clay,43.7 ,4.3 ,141.0 ,6.0 ,150 ,60 ,105 ,4350 ,5750 ,,
38,LR-SC,LRSC0038,2007,LRSC02,late_maturity,25.9 ,30.7 ,22.4 ,2771.6 ,1701.6 ,1257.9 ,606.4 ,1589.4 ,Paddy soil,clay,29.3 ,10.0 ,89.0 ,6.2 ,150 ,60 ,105 ,3300 ,5700 ,,
39,LR-SC,LRSC0039,2007,LRSC02,late_maturity,25.9 ,30.7 ,22.4 ,2694.9 ,1654.9 ,1157.9 ,601.9 ,1564.1 ,Paddy soil,clay,40.6 ,15.0 ,82.0 ,6.0 ,150 ,60 ,105 ,3356 ,5595 ,,
40,LR-SC,LRSC0040,2007,LRSC02,late_maturity,25.7 ,30.5 ,22.3 ,2856.6 ,1746.6 ,1269.0 ,623.3 ,1635.7 ,Paddy soil,clay,34.9 ,8.0 ,183.0 ,5.3 ,150 ,60 ,105 ,3650 ,5801 ,,
41,LR-SC,LRSC0041,2007,LRSC02,late_maturity,25.7 ,30.4 ,22.2 ,2770.4 ,1690.4 ,1168.1 ,613.0 ,1597.1 ,Paddy soil,clay,32.9 ,12.0 ,151.0 ,6.2 ,150 ,60 ,105 ,4650 ,6650 ,,
42,LR-SC,LRSC0042,2006,LRSC02,late_maturity,26.5 ,31.6 ,22.8 ,2593.8 ,1613.8 ,284.5 ,664.8 ,1598.2 ,Paddy soil,clay loam,21.2 ,16.9 ,24.0 ,6.3 ,150 ,60 ,105 ,6303 ,7854 ,,
43,LR-SC,LRSC0043,2006,LRSC02,medium_maturity,24.3 ,29.3 ,20.9 ,2822.0 ,1662.0 ,353.0 ,639.9 ,1599.9 ,Paddy soil,sandy loam,26.3 ,37.8 ,42.0 ,5.3 ,150 ,60 ,105 ,5459 ,6945 ,,
44,LR-SC,LRSC0044,2006,LRSC02,medium_maturity,24.0 ,29.0 ,20.5 ,2831.5 ,1651.5 ,353.0 ,637.2 ,1583.9 ,Paddy soil,sandy loam,22.1 ,30.3 ,53.0 ,7.0 ,150 ,60 ,105 ,5111 ,7792 ,,
45,LR-SC,LRSC0045,2006,LRSC02,medium_maturity,24.1 ,29.2 ,20.7 ,2824.3 ,1654.3 ,353.0 ,647.1 ,1599.3 ,Paddy soil,sandy loam,19.4 ,21.7 ,49.0 ,6.4 ,150 ,60 ,105 ,5014 ,7681 ,,
46,LR-SC,LRSC0046,2006,LRSC02,medium_maturity,24.1 ,29.1 ,20.6 ,2843.4 ,1663.4 ,353.0 ,648.7 ,1605.5 ,Paddy soil,silty clay loam,29.2 ,52.9 ,81.0 ,5.4 ,150 ,60 ,105 ,4833 ,8031 ,,
47,LR-SC,LRSC0047,2006,LRSC02,medium_maturity,24.3 ,29.3 ,20.9 ,2746.4 ,1616.4 ,353.0 ,612.4 ,1539.8 ,Paddy soil,silty clay loam,18.8 ,43.4 ,52.0 ,5.2 ,150 ,60 ,105 ,4659 ,7311 ,,
48,LR-SC,LRSC0048,2006,LRSC02,medium_maturity,24.9 ,30.0 ,21.4 ,2693.3 ,1613.3 ,333.1 ,624.2 ,1556.6 ,Paddy soil,silty clay loam,18.6 ,37.8 ,43.0 ,5.3 ,150 ,60 ,105 ,4431 ,6778 ,,
49,LR-SC,LRSC0049,2006,LRSC02,medium_maturity,24.3 ,29.3 ,20.8 ,2939.8 ,1729.8 ,353.5 ,679.9 ,1681.0 ,Paddy soil,silty clay loam,28.2 ,44.9 ,74.0 ,5.6 ,150 ,60 ,105 ,6035 ,6906 ,,
50,LR-SC,LRSC0050,2008,LRSC02,late_maturity,25.8 ,32.1 ,21.6 ,2556.0 ,1566.0 ,283.0 ,628.1 ,1559.6 ,Paddy soil,silty clay loam,31.8 ,46.0 ,30.0 ,5.6 ,150 ,60 ,105 ,8546 ,10196 ,,
51,LR-SC,LRSC0051,2008,LRSC02,late_maturity,25.7 ,32.0 ,21.6 ,2445.5 ,1495.5 ,227.8 ,598.6 ,1483.0 ,Paddy soil,clay,33.0 ,15.0 ,45.0 ,5.1 ,150 ,60 ,105 ,6714 ,9420 ,,
52,LR-SC,LRSC0052,2008,LRSC02,late_maturity,25.8 ,32.1 ,21.7 ,2713.2 ,1663.2 ,387.2 ,651.4 ,1640.4 ,Paddy soil,silty clay loam,39.4 ,35.9 ,85.0 ,5.6 ,150 ,60 ,105 ,6630 ,8874 ,,
53,LR-SC,LRSC0053,2008,LRSC02,late_maturity,26.5 ,32.7 ,22.3 ,2937.1 ,1827.1 ,543.2 ,713.2 ,1844.4 ,Paddy soil,clay,44.5 ,30.8 ,76.0 ,4.9 ,150 ,60 ,105 ,7856 ,8711 ,,
54,LR-SC,LRSC0054,2008,LRSC02,late_maturity,26.0 ,32.2 ,21.8 ,2621.7 ,1611.7 ,387.1 ,632.5 ,1596.7 ,Paddy soil,clay,37.9 ,34.9 ,58.0 ,5.3 ,150 ,60 ,105 ,4998 ,7709 ,,
55,LR-SC,LRSC0055,2008,LRSC02,late_maturity,26.0 ,32.2 ,21.9 ,2571.5 ,1581.5 ,386.4 ,622.0 ,1567.5 ,Paddy soil,loam,41.6 ,61.3 ,176.0 ,5.5 ,150 ,45 ,105 ,6579 ,8882 ,,
56,LR-SC,LRSC0056,2006,LRSC02,late_maturity,26.2 ,32.1 ,22.3 ,2751.4 ,1701.4 ,400.8 ,653.4 ,1690.6 ,Paddy soil,silty clay loam,29.6 ,10.9 ,45.0 ,5.0 ,165 ,60 ,105 ,8265 ,9737 ,,
57,LR-SC,LRSC0057,2006,LRSC02,late_maturity,26.3 ,32.3 ,22.3 ,2600.2 ,1610.2 ,324.8 ,631.8 ,1620.6 ,Paddy soil,silty clay loam,25.7 ,67.2 ,86.0 ,5.0 ,165 ,60 ,105 ,6399 ,8552 ,,
58,LR-SC,LRSC0058,2006,LRSC02,late_maturity,26.3 ,32.3 ,22.3 ,2600.2 ,1610.2 ,324.8 ,631.8 ,1620.6 ,Paddy soil,silty clay loam,51.3 ,27.6 ,49.0 ,5.1 ,165 ,60 ,105 ,6891 ,10625 ,,
59,LR-SC,LRSC0059,2006,LRSC02,late_maturity,25.9 ,31.9 ,21.9 ,2767.7 ,1697.7 ,324.8 ,688.4 ,1731.9 ,Paddy soil,silty clay loam,36.9 ,19.2 ,45.0 ,4.8 ,165 ,60 ,105 ,6731 ,8682 ,,
60,LR-SC,LRSC0060,2006,LRSC02,late_maturity,25.9 ,31.9 ,21.9 ,2767.7 ,1697.7 ,324.8 ,688.4 ,1731.9 ,Paddy soil,loamy sand,37.7 ,23.3 ,32.0 ,5.4 ,165 ,60 ,105 ,6050 ,7601 ,,
61,LR-SC,LRSC0061,2006,LRSC02,late_maturity,25.6 ,31.8 ,21.5 ,2763.2 ,1683.2 ,324.8 ,696.2 ,1736.0 ,Paddy soil,clay,31.4 ,53.7 ,76.0 ,5.4 ,165 ,60 ,105 ,7800 ,8801 ,,
62,LR-SC,LRSC0062,2006,LRSC02,late_maturity,26.0 ,32.0 ,22.1 ,2758.8 ,1698.8 ,324.8 ,678.1 ,1718.1 ,Paddy soil,loamy sand,27.9 ,34.1 ,28.0 ,5.4 ,165 ,60 ,105 ,4466 ,6575 ,,
63,LR-SC,LRSC0063,2006,LRSC02,late_maturity,25.7 ,31.9 ,21.6 ,2928.7 ,1788.7 ,344.6 ,736.5 ,1840.2 ,Paddy soil,clay,20.5 ,41.4 ,55.0 ,5.6 ,165 ,60 ,105 ,5100 ,8000 ,,
64,LR-SC,LRSC0064,2006,LRSC02,late_maturity,25.5 ,31.7 ,21.4 ,2882.2 ,1752.2 ,324.8 ,740.7 ,1828.9 ,Paddy soil,clay,32.8 ,34.8 ,96.0 ,4.8 ,165 ,60 ,105 ,7952 ,8424 ,,
65,LR-SC,LRSC0065,2006,LRSC02,late_maturity,25.5 ,31.8 ,21.4 ,2933.3 ,1783.3 ,324.8 ,755.5 ,1862.5 ,Paddy soil,clay,30.2 ,50.3 ,46.0 ,4.6 ,165 ,60 ,105 ,8093 ,10140 ,,
66,LR-SC,LRSC0066,2006,LRSC02,late_maturity,25.7 ,31.8 ,21.7 ,2773.4 ,1693.4 ,324.8 ,696.4 ,1741.4 ,Paddy soil,clay,37.5 ,39.1 ,44.0 ,4.8 ,165 ,60 ,105 ,8295 ,9594 ,,
