Sort,Crop,NO,Year,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
36,M-SWC,MSWC0036,2008,21.1,25.7,18.1,3184.4,1674.4,1228.6,518.5,1903.4,medium_maturity,Limestone soils,,29.4,8.4,48,5.8,210,135,210,9066
37,M-SWC,MSWC0037,2008,21.1,25.7,18.1,3103.2,1633.2,1212.1,497.9,1845.2,medium_maturity,Limestone soils,,28,10,53,5.9,225,150,225,8794
38,M-SWC,MSWC0038,2008,21.6,26.3,18.6,3218.7,1728.7,1171.3,554.2,1931.5,medium_maturity,Yellow earths,,35.3,22,223,5.8,210,135,210,10632
39,M-SWC,MSWC0039,2008,21.6,26.2,18.6,3305.4,1775.4,1215.6,551.8,1949.3,medium_maturity,Yellow earths,,30.2,12.6,259,6.3,210,135,210,10565
40,M-SWC,MSWC0040,2008,21.7,26.3,18.7,3187.1,1717.1,1171.3,543.2,1897.8,medium_maturity,Yellow earths,,35.9,17.4,204,5.7,210,135,210,9425
41,M-SWC,MSWC0041,2008,21.9,26.5,19,3020.4,1640.4,1146.5,483.6,1718.9,medium_maturity,Yellow earths,,36.9,3.3,152,5.7,225,150,240,9916
42,M-SWC,MSWC0042,2008,21.9,26.5,19,2978.9,1618.9,1092.1,481,1703.8,medium_maturity,Yellow earths,,40.9,22,248,5.4,210,135,210,9916
43,M-SWC,MSWC0043,2008,21.3,26.4,17.8,3555.2,1885.2,787.6,616.9,2164.9,late_maturity,Limestone soils,,59.9,9.6,156,5.5,180,120,180,6390
44,M-SWC,MSWC0044,2009,21.4,26,18.2,3054.2,1624.2,609.5,554.1,1918.5,late_maturity,Limestone soils,,39.6,17.4,70,4.7,225,150,225,5790
45,M-SWC,MSWC0045,2008,22,27.1,18.5,3100,1690,729.3,537.5,1858.7,late_maturity,Limestone soils,,31.9,11.4,80,7.7,225,150,240,9926
46,M-SWC,MSWC0046,2009,21.1,25.7,17.9,2947.6,1547.6,608.9,518.7,1841.4,medium_maturity,Limestone soils,,16.6,4.8,40,8.1,180,120,180,6575
47,M-SWC,MSWC0047,2009,20.6,25.2,17.5,2867.3,1479.6,616.5,481.9,1774.4,late_maturity,Limestone soils,,33.2,14.3,115,7.6,210,135,210,7050
48,M-SWC,MSWC0048,2008,22.1,27.3,18.6,3098.6,1698.6,712.7,554.8,1875.1,late_maturity,Limestone soils,,27.5,20.3,330,6.8,210,135,210,9720
49,M-SWC,MSWC0049,2007,20.5,25.4,17,3305.7,1696.6,947.3,651.2,2191.1,medium_maturity,Yellow earths,,28.8,9.7,184,6.5,210,135,210,7338
50,M-SWC,MSWC0050,2007,20.4,25.4,16.8,3147.2,1612.4,927.3,639.2,2129.3,late_maturity,Yellow earths,,28.5,8,179,6.2,210,135,210,8079
51,M-SWC,MSWC0051,2008,19.8,24.9,16.2,3419.5,1694.5,771.5,658.5,2275.2,medium_maturity,Yellow earths,,23.6,16.9,293,5.9,210,135,210,9228
52,M-SWC,MSWC0052,2008,20.7,25.8,17.1,3195.3,1655.3,763.1,599.2,2057.3,medium_maturity,Yellow earths,,21.8,5,103,7.8,210,135,210,9750
53,M-SWC,MSWC0053,2008,19.9,25,16.3,3361.4,1676.4,770.5,638.2,2218.9,medium_maturity,Yellow earths,,8,46,142,6.2,225,150,240,10467
54,M-SWC,MSWC0054,2008,19.9,25.1,16.4,3469.7,1734.7,778.3,657.7,2280.3,medium_maturity,Yellow earths,,25.9,27.6,100,4.8,180,120,180,6317
55,M-SWC,MSWC0055,2007,20.1,24.9,16.6,3354,1698.2,973.4,645.3,2221,medium_maturity,Yellow earths,,25.3,17.8,156,6.5,210,135,210,7046
56,M-SWC,MSWC0056,2007,20.1,25,16.6,3317.8,1682,967.2,645.3,2208.6,late_maturity,Limestone soils,,25.9,3.6,162,6.4,210,135,210,8362
57,M-SWC,MSWC0057,2007,19.4,24.3,15.9,3594.8,1772.4,982.2,703.8,2422.2,medium_maturity,Yellow earths,,19,30.6,122,5.6,210,135,210,10673
58,M-SWC,MSWC0058,2009,19,23.4,16.2,2869.4,1359.5,662.3,702.5,2200.3,medium_maturity,Yellow earths,,37.7,16.8,106,6.3,210,135,210,7667
59,M-SWC,MSWC0059,2009,18.8,23.2,16,2907.7,1357.8,714,719.5,2258.9,medium_maturity,Yellow earths,,15,12.2,104,6.6,210,135,210,9731
60,M-SWC,MSWC0060,2009,19,23.3,16.2,2904.1,1374.2,674.8,709.9,2225.9,medium_maturity,Yellow earths,,30.4,42.2,157,6.6,180,120,180,8073
61,M-SWC,MSWC0061,2009,19,23.4,16.2,2868.6,1358.7,674.8,712.9,2219.6,medium_maturity,Yellow earths,,26.5,7.6,130,6.4,180,120,180,7398
62,M-SWC,MSWC0062,2009,19,23.3,16.2,2939.5,1389.6,689.7,727.2,2267.3,medium_maturity,Yellow earths,,15.9,11,208,5.4,210,135,210,9011
63,M-SWC,MSWC0063,2009,18.9,23.3,16.1,3028.2,1428.3,705.9,744.8,2322.8,medium_maturity,Yellow earths,,32.3,32.5,110,6.4,180,120,180,7980
64,M-SWC,MSWC0064,2009,18.8,23.3,16,3147.8,1477.9,721.7,781.1,2423.4,medium_maturity,Yellow earths,,32.7,23.7,190,6.8,225,150,240,8663
65,M-SWC,MSWC0065,2009,19.9,25.4,16.2,3290.8,1640.8,571.1,767.4,2390.1,late_maturity,Yellow earths,,42.7,11.9,84,5.6,180,120,180,5593
66,M-SWC,MSWC0066,2009,20,25.5,16.3,3267.8,1637.8,569.2,744.6,2338,late_maturity,Yellow earths,,37.3,16.4,101,7.2,225,150,240,9104
67,M-SWC,MSWC0067,2009,20.1,25.5,16.3,3228.6,1618.6,569.2,741.8,2322.1,late_maturity,Yellow earths,,41.2,14.8,172,7.8,210,135,210,8062
68,M-SWC,MSWC0068,2007,18.8,24.6,15.1,3465.3,1649,768.4,735.2,2457.9,late_maturity,Yellow earths,,20.2,14,96,5.6,180,120,180,6368
69,M-SWC,MSWC0069,2007,18.9,24.5,15.3,3269.2,1562.9,761.8,650.5,2262.7,late_maturity,Yellow earths,,20.5,17,72,6.1,210,135,210,6834
70,M-SWC,MSWC0070,2007,19.1,24.8,15.4,3249.6,1560.3,759.1,674.7,2278.5,late_maturity,Yellow earths,,20.6,17,123,5.9,225,150,240,8234
71,M-SWC,MSWC0071,2009,19.7,25.1,16,3419.5,1680.8,571.8,775,2458.8,late_maturity,Yellow earths,,24.7,19.4,162,6.1,210,135,210,10709
72,M-SWC,MSWC0072,2009,19.7,25.1,16,3325.8,1637.1,571.7,754,2397.8,late_maturity,Yellow earths,,22.9,10.6,101,6.3,180,120,180,9407
73,M-SWC,MSWC0073,2009,20,25.4,16.2,3271.8,1631.8,571.1,758.8,2371.3,late_maturity,Yellow earths,,24.6,27.7,149,6.6,225,150,240,10800
74,M-SWC,MSWC0074,2008,19.2,25,15.4,3393.2,1623.9,823.1,720.8,2387.7,late_maturity,Yellow earths,,23.6,20,230,7.2,225,150,240,9644
75,M-SWC,MSWC0075,2008,19.2,25,15.5,3324.9,1595.6,821.2,711,2348.7,late_maturity,Yellow earths,,21.6,20.5,110,4.9,180,120,180,7273
76,M-SWC,MSWC0076,2008,19.2,24.9,15.5,3282.1,1572.8,822.9,688.7,2298.9,late_maturity,Yellow earths,,22.8,40.8,195,5.2,210,135,210,8978
77,M-SWC,MSWC0077,2007,19,24.6,15.3,3299.2,1582.9,761.8,656.1,2279,late_maturity,Purplish soils,,20.5,18,165,5.9,225,150,240,8386
78,M-SWC,MSWC0078,2007,18.9,24.6,15.2,3372.3,1611.4,766.8,707.2,2375,late_maturity,Purplish soils,,20,14,137,5.7,180,120,180,5333
79,M-SWC,MSWC0079,2007,19,24.6,15.3,3299.2,1582.9,761.8,656.1,2279,late_maturity,Purplish soils,,21.3,16,145,5.9,210,135,210,6850
80,M-SWC,MSWC0080,2008,19.2,24.9,15.5,3321.6,1592.3,822.9,702.9,2334.9,late_maturity,Yellow earths,,21.2,38.7,316,4.6,180,120,180,8568
81,M-SWC,MSWC0081,2008,22.1,26.9,18.7,3423.1,1873.1,683.2,480.8,1875.9,medium_maturity,Yellow earths,,23.4,18.1,142,7.2,210,135,210,9000
82,M-SWC,MSWC0082,2008,22,26.9,18.7,3394.7,1854.7,645.9,480.1,1868.4,medium_maturity,Yellow earths,,22,11.4,87,5.4,210,135,210,9501
83,M-SWC,MSWC0083,2008,22,26.9,18.7,3478.7,1898.7,683.3,492.6,1913.5,medium_maturity,Yellow earths,,29.6,24.1,159,6.4,225,150,240,10051
84,M-SWC,MSWC0084,2008,22.2,27.1,18.9,3380.9,1860.9,682.5,480.1,1855.6,medium_maturity,Yellow earths,,21.4,15.6,206,5.2,180,120,180,7100
85,M-SWC,MSWC0085,2008,22.3,27.2,18.9,3365.9,1855.9,682.3,477.8,1845.4,medium_maturity,Yellow earths,,21,14.5,62,6.8,180,120,180,7451
86,M-SWC,MSWC0086,2009,22.4,26.8,19.2,3577.9,1980.9,529.9,565,2040.5,medium_maturity,Yellow earths,,29.6,15.5,162,7.6,225,150,240,9901
87,M-SWC,MSWC0087,2009,22.4,26.9,19.3,3411.8,1891.8,519.8,519.1,1917.4,medium_maturity,Yellow earths,,24.5,41.5,345,5.9,180,120,180,6950
88,M-SWC,MSWC0088,2009,22.3,26.7,19.1,3494.8,1927.8,529.9,535.2,1974.7,medium_maturity,Yellow earths,,24.9,7.3,68,5.5,210,135,210,7800
89,M-SWC,MSWC0089,2008,22.2,27,18.8,3456.6,1896.6,683.1,492.6,1900.7,medium_maturity,Yellow earths,,15.6,22.2,97,6,210,135,210,9776
90,M-SWC,MSWC0090,2008,22.3,27.2,18.9,3544,1954,682.5,513.9,1952.6,medium_maturity,Yellow earths,,30.3,29.3,129,6.5,225,150,240,10475
91,M-SWC,MSWC0091,2008,22.2,27,18.8,3413.1,1873.1,683.1,480.8,1869.5,medium_maturity,Yellow earths,,25.8,26.3,152,5.3,210,135,210,7961
92,M-SWC,MSWC0092,2008,22.2,27.1,18.9,3380.9,1860.9,682.5,480.1,1855.6,medium_maturity,Yellow earths,,20,38.3,176,6.6,180,120,180,8201
93,M-SWC,MSWC0093,2009,22.2,26.6,19.1,3440.3,1893.3,529.9,519.1,1936.6,medium_maturity,Yellow earths,,61.9,34,96,7.2,180,120,180,7301
94,M-SWC,MSWC0094,2009,22.7,27.3,19.5,3592.3,2012.3,517.3,576.8,2045.8,medium_maturity,Yellow earths,,19.7,13.4,83,6.5,225,150,240,9926
95,M-SWC,MSWC0095,2009,22.4,26.8,19.2,3450.1,1910.1,521.5,526.7,1942.2,medium_maturity,Yellow earths,,16.3,19.8,104,6.8,210,135,210,9626
96,M-SWC,MSWC0096,2006,20.9,26.1,17.4,3308.2,1728.2,718.5,711.2,2255.9,medium_maturity,Limestone soils,,33.5,33.4,161,7.2,225,150,240,7560
97,M-SWC,MSWC0097,2008,20,25.1,16.6,2997.8,1497.8,1290.4,615.6,2060.6,late_maturity,Yellow-brown earths,,44,9.2,144,8,210,135,210,10068
98,M-SWC,MSWC0098,2008,19.3,24.5,15.9,3281.4,1585.3,1303.4,689.1,2308.6,late_maturity,Limestone soils,,39.3,2.6,145,5.5,210,135,210,7544
99,M-SWC,MSWC0099,2006,21.1,26.1,17.6,3159.9,1659.9,718.5,654.3,2118.7,late_maturity,Yellow earths,,58,14.6,227,7,225,150,240,7620
100,M-SWC,MSWC0100,2006,21.3,26.4,17.7,2853.8,1513.8,545.7,601.2,1934.9,medium_maturity,Limestone soils,,40.9,19.1,180,6.6,225,150,240,7545
101,M-SWC,MSWC0101,2006,20.9,26,17.4,3305.8,1725.8,718.5,712.4,2254.6,medium_maturity,Yellow earths,,52.7,16.7,296,7.3,225,150,240,6825
102,M-SWC,MSWC0102,2008,20.5,25.2,17.5,2710.1,1390.1,705.5,663.8,2016.6,medium_maturity,Yellow earths,,33,10.5,125,6.2,180,150,180,8129
103,M-SWC,MSWC0103,2008,20,24.8,17,2700.7,1350.7,728.2,670.4,2061.6,medium_maturity,Limestone soils,,44.4,14.9,179,6.9,225,120,150,7988
104,M-SWC,MSWC0104,2008,20,24.9,16.9,2806.9,1406.9,728.2,721.5,2177.3,medium_maturity,Yellow earths,,31.8,13.2,126,6.1,225,120,150,8938
105,M-SWC,MSWC0105,2008,16.2,21.4,13,2850.9,1101.8,859.3,667.5,2294.1,late_maturity,Yellow-brown earths,,21.5,16.8,80,7.7,300,180,360,8883
106,M-SWC,MSWC0106,2007,16.6,21.7,13.3,2672.2,1072.6,876.3,552.9,2030.8,late_maturity,Yellow-brown earths,,25.3,18.2,99,7.3,240,120,240,8223
107,M-SWC,MSWC0107,2009,16,21.4,12.8,2557,998.4,543.4,674.7,2223.3,late_maturity,Yellow-brown earths,,35.9,46.2,188,7.1,300,180,360,8883
108,M-SWC,MSWC0108,2009,16.9,22.3,13.8,2673.4,1100,502.5,676.8,2197.7,late_maturity,Yellow-brown earths,,45.5,51.6,150,6.8,270,150,300,8312
109,M-SWC,MSWC0109,2008,16.2,21.4,13.1,2791.9,1082.8,845.6,657.6,2256.9,late_maturity,Yellow-brown earths,,32.1,31.5,109,5.2,300,150,300,9845
110,M-SWC,MSWC0110,2007,16.5,21.6,13.2,2832,1122.4,887,613.4,2187.4,late_maturity,Yellow-brown earths,,38.1,30.8,209,7.9,360,180,360,9362
111,M-SWC,MSWC0111,2007,17.3,22,14.3,2265.1,956.4,794.2,382.8,1549.5,late_maturity,Yellow-brown earths,,65.7,10.4,89,5.3,360,180,360,8701
112,M-SWC,MSWC0112,2007,17.4,22,14.5,2189,930.3,728.7,357.9,1476.3,late_maturity,Yellow-brown earths,,56.7,26.8,99,5.6,300,150,300,8963
113,M-SWC,MSWC0113,2007,17.5,22.2,14.7,2139,919,731.4,353.8,1436.3,late_maturity,Yellow-brown earths,,45.9,14.8,60,5.9,300,150,300,8264
114,M-SWC,MSWC0114,2007,16.6,21.6,13.5,2812.1,1132.5,885.4,596.6,2116.6,late_maturity,Yellow-brown earths,,23.2,17,100,8.1,210,135,180,8228
115,M-SWC,MSWC0115,2007,16.6,21.6,13.4,2770.5,1110.9,901.6,587.5,2099.3,late_maturity,Yellow-brown earths,,23.2,20,189,6.5,180,120,150,6842
116,M-SWC,MSWC0116,2007,16.6,21.6,13.4,2859.1,1149.5,901.6,618.6,2176,late_maturity,Yellow-brown earths,,18.6,16.1,89,5.6,225,150,225,9084
117,M-SWC,MSWC0117,2008,16.6,21.6,13.6,2589.6,1029.9,840.9,553.4,1967.4,late_maturity,Yellow-brown earths,,29.1,5.9,189,7.8,240,120,270,8300
118,M-SWC,MSWC0118,2008,19.4,25.3,15.6,3390,1640.4,988.1,764.1,2443.6,medium_maturity,Fluvo-aquic soils,,23.8,14.2,167,7,225,150,240,9722
119,M-SWC,MSWC0119,2008,19.4,25.4,15.6,3479.1,1689.5,988.1,802.9,2532.1,medium_maturity,Fluvo-aquic soils,,29.8,21.4,137,7,180,120,180,8107
120,M-SWC,MSWC0120,2008,19.4,25.2,15.6,3370.3,1630.7,988.1,761.3,2430.8,medium_maturity,Fluvo-aquic soils,,37.4,7.6,177,7,210,135,210,8130
121,M-SWC,MSWC0121,2009,20.1,26.2,16.1,3278.7,1648.7,561.9,796.8,2434.1,late_maturity,Fluvo-aquic soils,,30.6,24.4,167,6.5,210,135,210,8369
122,M-SWC,MSWC0122,2009,20,26,15.9,3173.1,1584.5,559.3,768.4,2366.2,late_maturity,Fluvo-aquic soils,,29.2,34.4,139,6.7,210,135,210,7965
123,M-SWC,MSWC0123,2009,20.1,26.1,16,3290.3,1650.3,563.6,798.8,2443.8,late_maturity,Fluvo-aquic soils,,30,25,178,6.9,210,135,210,8237
124,M-SWC,MSWC0124,2008,19.4,25.3,15.6,3392.4,1642.8,1008.1,767.6,2444.4,medium_maturity,Purplish soils,,31.5,10.6,180,7,225,150,240,10721
125,M-SWC,MSWC0125,2008,19.4,25.2,15.6,3388.8,1639.2,992.6,762.8,2438.6,medium_maturity,Purplish soils,,39.4,5.2,88,7,225,150,240,10007
126,M-SWC,MSWC0126,2009,20,26.1,16,3579.6,1789.6,643.1,878.6,2645.6,medium_maturity,Purplish soils,,63.4,49.9,214,7.1,210,135,210,9140
127,M-SWC,MSWC0127,2009,20,26.1,16,3522.5,1762.5,613.6,862.9,2607.2,late_maturity,Purplish soils,,56.2,17.6,210,7.1,210,135,210,6083
128,M-SWC,MSWC0128,2008,18.8,24.5,15.1,3009.7,1416.3,863.9,758.4,2352,late_maturity,Yellow earths,,33.6,16,96,8.2,225,150,240,8613
129,M-SWC,MSWC0129,2008,19.5,25.2,15.8,3023.1,1473.1,908.3,751.9,2314.6,late_maturity,Yellow earths,,21.1,44,83,6.7,210,135,210,7087
130,M-SWC,MSWC0130,2008,19.5,25.1,15.8,2963.3,1444.1,881.2,725.5,2254.2,late_maturity,Yellow earths,,20,43,86,6.8,180,120,180,6069
131,M-SWC,MSWC0131,2009,19,24.1,15.8,3104.9,1495.3,771.8,748.6,2353.3,late_maturity,Yellow earths,,22.3,26.3,85,6.8,210,135,210,7704
132,M-SWC,MSWC0132,2009,19,24.1,15.7,3232.1,1552.5,771.8,796,2472.2,late_maturity,Yellow earths,,12,6.6,55,5.2,210,135,210,6437
133,M-SWC,MSWC0133,2008,19.7,25.4,16,3309.1,1629.1,937.9,833.8,2519.2,late_maturity,Yellow earths,,24.9,25,190,6.1,210,135,210,7437
134,M-SWC,MSWC0134,2008,19.1,24.7,15.5,3039.6,1455.7,883.8,743.3,2326.1,late_maturity,Yellow earths,,22.7,28,158,6.7,180,120,180,6137
135,M-SWC,MSWC0135,2009,19.1,24.2,15.8,3231.5,1561.9,771.8,799.2,2472.2,late_maturity,Yellow earths,,34,42,45,7.1,225,150,240,7871
136,M-SWC,MSWC0136,2009,19.4,24.5,16.1,3431,1681.4,771.8,876.3,2643.4,late_maturity,Yellow earths,,35.5,42.4,95,6.3,210,135,210,7437
137,M-SWC,MSWC0137,2009,19.2,24.4,15.9,3399.9,1650.3,771.8,867.5,2628.6,late_maturity,Yellow earths,,9.7,22.1,85,6.8,180,120,180,6237
138,M-SWC,MSWC0138,2008,19.6,25.1,15.9,3050.5,1490.5,918.4,746.7,2310.3,late_maturity,Yellow earths,,35.3,39,68,6.3,225,150,240,8588
