Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,,
30,LR-SC,LRSC0030,2007,LRSC03,WS0855,24.08 ,30.48 ,19.72 ,2383.6,1393.6,397.8,604.6,1517.12,Paddy soil,silty clay loam,36.8,24.6,116,5,180,41,120,8020,,
31,LR-SC,LRSC0031,2008,LRSC03,WS0853,24.93 ,30.77 ,21.44 ,2568.2,1538.2,405.3,468.7,1335.52,Paddy soil,silty clay loam,38.8,62.3,109,4.5,165,72,126,7440,,
32,LR-SC,LRSC0032,2007,LRSC03,WS0853,23.59 ,29.87 ,19.62 ,2359,1359,184.1,453,1260.19,Paddy soil,loam,28.3,13.3,104,4.8,165,72,126,5745,,
33,LR-SC,LRSC0033,2007,LRSC03,WS0857,25.30 ,30.04 ,21.91 ,2758.1,1668.1,1168.1,605.83,1579.46,Paddy soil,loam,29.2,33,38,5.9,150,60,105,5325,,
34,LR-SC,LRSC0034,2007,LRSC03,WS0857,25.16 ,29.90 ,21.76 ,2792.7,1682.7,1171.1,609.33,1592.84,Paddy soil,loam,48.9,31,164,6.1,150,60,105,5730,,
35,LR-SC,LRSC0035,2007,LRSC03,WS0857,24.96 ,29.73 ,21.53 ,2845.3,1705.3,1171.1,628.13,1629.63,Paddy soil,loam,37.6,2.9,204,6.2,150,60,105,6551,,
36,LR-SC,LRSC0036,2007,LRSC03,WS0857,25.16 ,29.92 ,21.73 ,2842.8,1712.8,1171.1,621.83,1624.48,Paddy soil,loam,28.5,3.1,132,6,150,60,105,5756,,
37,LR-SC,LRSC0037,2007,LRSC03,WS0857,25.90 ,30.74 ,22.44 ,2771.6,1701.6,1257.9,606.43,1589.39,Paddy soil,clay,43.7,4.3,141,6,150,60,105,5750,,
38,LR-SC,LRSC0038,2007,LRSC03,WS0857,25.90 ,30.74 ,22.44 ,2771.6,1701.6,1257.9,606.43,1589.39,Paddy soil,clay,29.3,10,89,6.2,150,60,105,5700,,
39,LR-SC,LRSC0039,2007,LRSC03,WS0857,25.91 ,30.74 ,22.44 ,2694.9,1654.9,1157.9,601.93,1564.13,Paddy soil,clay,40.6,15,82,6,150,60,105,5595,,
40,LR-SC,LRSC0040,2007,LRSC03,WS0857,25.74 ,30.53 ,22.32 ,2856.6,1746.6,1269,623.33,1635.69,Paddy soil,clay,34.9,8,183,5.3,150,60,105,5801,,
41,LR-SC,LRSC0041,2007,LRSC03,WS0857,25.65 ,30.43 ,22.25 ,2770.4,1690.4,1168.1,613.03,1597.11,Paddy soil,clay,32.9,12,151,6.2,150,60,105,6650,,
42,LR-SC,LRSC0042,2006,LRSC03,WS0903,26.47 ,31.65 ,22.77 ,2593.8,1613.8,284.5,664.8,1598.17,Paddy soil,clay loam,21.2,16.9,24,6.3,150,60,105,7854,,
43,LR-SC,LRSC0043,2006,LRSC03,WS0902,24.33 ,29.34 ,20.87 ,2822,1662,353,639.9,1599.92,Paddy soil,sandy loam,26.3,37.8,42,5.3,150,60,105,6945,,
44,LR-SC,LRSC0044,2006,LRSC03,WS0902,24.00 ,29.03 ,20.54 ,2831.5,1651.5,353,637.2,1583.92,Paddy soil,sandy loam,22.1,30.3,53,7,150,60,105,7792,,
45,LR-SC,LRSC0045,2006,LRSC03,WS0902,24.14 ,29.19 ,20.65 ,2824.3,1654.3,353,647.1,1599.33,Paddy soil,sandy loam,19.4,21.7,49,6.4,150,60,105,7681,,
46,LR-SC,LRSC0046,2006,LRSC03,WS0902,24.10 ,29.15 ,20.62 ,2843.4,1663.4,353,648.7,1605.5,Paddy soil,silty clay loam,29.2,52.9,81,5.4,150,60,105,8031,,
47,LR-SC,LRSC0047,2006,LRSC03,WS0902,24.30 ,29.31 ,20.85 ,2746.4,1616.4,353,612.4,1539.81,Paddy soil,silty clay loam,18.8,43.4,52,5.2,150,60,105,7311,,
48,LR-SC,LRSC0048,2006,LRSC03,WS0902,24.94 ,30.03 ,21.42 ,2693.3,1613.3,333.1,624.2,1556.62,Paddy soil,silty clay loam,18.6,37.8,43,5.3,150,60,105,6778,,
49,LR-SC,LRSC0049,2006,LRSC03,WS0902,24.30 ,29.33 ,20.83 ,2939.8,1729.8,353.5,679.9,1681.01,Paddy soil,silty clay loam,28.2,44.9,74,5.6,150,60,105,6906,,
50,LR-SC,LRSC0050,2008,LRSC03,WS0901,25.82 ,32.11 ,21.61 ,2556,1566,283,628.1,1559.56,Paddy soil,silty clay loam,31.8,46,30,5.6,150,60,105,10196,,
51,LR-SC,LRSC0051,2008,LRSC03,WS0901,25.74 ,32.03 ,21.55 ,2445.5,1495.5,227.8,598.6,1482.96,Paddy soil,clay,33,15,45,5.1,150,60,105,9420,,
52,LR-SC,LRSC0052,2008,LRSC03,WS0901,25.84 ,32.06 ,21.73 ,2713.2,1663.2,387.2,651.4,1640.37,Paddy soil,silty clay loam,39.4,35.9,85,5.6,150,60,105,8874,,
53,LR-SC,LRSC0053,2008,LRSC03,WS0901,26.46 ,32.74 ,22.34 ,2937.1,1827.1,543.2,713.2,1844.38,Paddy soil,clay,44.5,30.8,76,4.9,150,60,105,8711,,
54,LR-SC,LRSC0054,2008,LRSC03,WS0901,25.96 ,32.17 ,21.83 ,2621.7,1611.7,387.1,632.5,1596.67,Paddy soil,clay,37.9,34.9,58,5.3,150,60,105,7709,,
55,LR-SC,LRSC0055,2008,LRSC03,WS0901,25.97 ,32.19 ,21.86 ,2571.5,1581.5,386.4,622,1567.54,Paddy soil,loam,41.6,61.3,176,5.5,150,45,105,8882,,
56,LR-SC,LRSC0056,2008,LRSC03,WS0901,26.09 ,32.41 ,21.92 ,2582.9,1592.9,382.2,642.5,1606.17,Paddy soil,silty clay loam,34.3,22,124,5.4,180,90,180,9377,,
57,LR-SC,LRSC0057,2006,LRSC03,WS0877,26.20 ,32.12 ,22.35 ,2751.4,1701.4,400.8,653.4,1690.56,Paddy soil,silty clay loam,29.6,10.9,45,5,165,60,105,9737,,
58,LR-SC,LRSC0058,2006,LRSC03,WS0877,26.26 ,32.27 ,22.34 ,2600.2,1610.2,324.8,631.8,1620.58,Paddy soil,silty clay loam,25.7,67.2,86,5,165,60,105,8552,,
59,LR-SC,LRSC0059,2006,LRSC03,WS0877,26.26 ,32.27 ,22.34 ,2600.2,1610.2,324.8,631.8,1620.58,Paddy soil,silty clay loam,51.3,27.6,49,5.1,165,60,105,10625,,
60,LR-SC,LRSC0060,2006,LRSC03,WS0877,25.87 ,31.91 ,21.89 ,2767.7,1697.7,324.8,688.4,1731.93,Paddy soil,silty clay loam,36.9,19.2,45,4.8,165,60,105,8682,,
61,LR-SC,LRSC0061,2006,LRSC03,WS0877,25.87 ,31.91 ,21.89 ,2767.7,1697.7,324.8,688.4,1731.93,Paddy soil,loamy sand,37.7,23.3,32,5.4,165,60,105,7601,,
62,LR-SC,LRSC0062,2006,LRSC03,WS0877,25.59 ,31.77 ,21.52 ,2763.2,1683.2,324.8,696.2,1735.97,Paddy soil,clay,31.4,53.7,76,5.4,165,60,105,8801,,
63,LR-SC,LRSC0063,2006,LRSC03,WS0877,26.03 ,32.02 ,22.08 ,2758.8,1698.8,324.8,678.1,1718.1,Paddy soil,loamy sand,27.9,34.1,28,5.4,165,60,105,6575,,
64,LR-SC,LRSC0064,2006,LRSC03,WS0877,25.69 ,31.85 ,21.65 ,2928.7,1788.7,344.6,736.5,1840.19,Paddy soil,clay,20.5,41.4,55,5.6,165,60,105,8000,,
65,LR-SC,LRSC0065,2006,LRSC03,WS0877,25.51 ,31.75 ,21.40 ,2882.2,1752.2,324.8,740.7,1828.89,Paddy soil,clay,32.8,34.8,96,4.8,165,60,105,8424,,
66,LR-SC,LRSC0066,2006,LRSC03,WS0877,25.51 ,31.76 ,21.38 ,2933.3,1783.3,324.8,755.5,1862.51,Paddy soil,clay,30.2,50.3,46,4.6,165,60,105,10140,,
67,LR-SC,LRSC0067,2006,LRSC03,WS0877,25.68 ,31.83 ,21.65 ,2773.4,1693.4,324.8,696.4,1741.39,Paddy soil,clay,37.5,39.1,44,4.8,165,60,105,9594,,
68,LR-SC,LRSC0068,2008,LRSC03,WS0876,25.81 ,31.63 ,22.06 ,2478.2,1518.2,582.2,614.8,1576.49,Paddy soil,silty clay loam,36.7,7.6,40,5.2,165,75,120,8300,,
69,LR-SC,LRSC0069,2008,LRSC03,WS0876,25.56 ,31.41 ,21.79 ,2607.2,1587.2,545.5,659.3,1664.98,Paddy soil,silty clay loam,42.3,8.2,27,5.5,165,75,120,8283,,
70,LR-SC,LRSC0070,2008,LRSC03,WS0876,25.81 ,31.63 ,22.06 ,2478.2,1518.2,582.2,614.8,1576.49,Paddy soil,silty clay loam,36.3,45.9,112,5.2,165,75,120,8939,,
71,LR-SC,LRSC0071,2008,LRSC03,WS0876,25.81 ,31.63 ,22.06 ,2478.2,1518.2,582.2,614.8,1576.49,Paddy soil,sandy loam,23.1,58.8,190,5.5,165,75,120,8435,,
72,LR-SC,LRSC0072,2008,LRSC03,WS0876,25.81 ,31.63 ,22.06 ,2478.2,1518.2,582.2,614.8,1576.49,Paddy soil,sandy loam,31.1,36.6,30,5.2,165,75,120,9705,,
73,LR-SC,LRSC0073,2008,LRSC03,WS0876,25.65 ,31.47 ,21.90 ,2564.7,1564.7,545.5,647.1,1638.64,Paddy soil,silty clay loam,29.6,19.9,32,5.5,165,75,120,8516,,
74,LR-SC,LRSC0074,2008,LRSC03,WS0876,25.70 ,31.53 ,21.95 ,2699,1649,590.4,679.8,1728.3,Paddy soil,silty clay loam,42.2,16.4,131,4.7,165,75,120,8235,,
75,LR-SC,LRSC0075,2008,LRSC03,WS0876,25.70 ,31.53 ,21.95 ,2699,1649,590.4,679.8,1728.3,Paddy soil,sandy loam,37.3,18.9,78,4.8,165,75,120,8270,,
76,LR-SC,LRSC0076,2008,LRSC03,WS0876,25.39 ,31.21 ,21.67 ,2564.2,1554.2,547,630.7,1597.45,Paddy soil,clay,21.6,52.2,120,5.3,165,75,120,6570,,
77,LR-SC,LRSC0077,2008,LRSC03,WS0876,25.39 ,31.21 ,21.67 ,2564.2,1554.2,547,630.7,1597.45,Paddy soil,clay,20.2,9.6,36,4.8,165,75,120,8069,,
78,LR-SC,LRSC0078,2008,LRSC03,WS0861,25.69 ,31.75 ,21.60 ,2697.4,1647.4,479.9,659.7,1738.66,Paddy soil,silty clay loam,32.9,18.9,108,4.6,119,33,83,8670,,
79,LR-SC,LRSC0079,2007,LRSC03,WS0864,25.66 ,31.74 ,21.69 ,2745.7,1675.7,306.4,531.7,1490.56,Paddy soil,silty clay loam,43.5,22.5,108,5,165,60,105,9023,,
80,LR-SC,LRSC0080,2007,LRSC03,WS0864,27.12 ,33.09 ,23.28 ,2386.7,1506.7,318.7,429.6,1264.86,Paddy soil,silty clay loam,41,12.3,67,5,165,60,105,6900,,
81,LR-SC,LRSC0081,2007,LRSC03,WS0864,25.90 ,31.94 ,21.97 ,2667.7,1637.7,306.4,512.2,1445.17,Paddy soil,silty clay loam,26,21.6,61,4.9,165,60,105,9533,,
82,LR-SC,LRSC0082,2008,LRSC03,WS0864,27.28 ,33.40 ,23.12 ,2755.1,1745.1,397.8,570.8,1546.13,Paddy soil,silty clay loam,34.2,40.7,105,5,150,60,135,8988,,
