Soil quality,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
low,early rice,ERSC0275,2008,ERSC04,WS0940,27.02 ,30.50 ,24.50 ,2729.2,1719.2,1252,426.6,1425.52,Paddy soils,,33.5 ,6.5 ,49 ,5.3 ,150 ,60 ,120 ,4884 
high,early rice,ERSC0279,2007,ERSC04,WS0940,28.27 ,32.10 ,25.46 ,2261.8,1461.8,1063.5,521.9,1434.51,Paddy soils,,38.6 ,19.7 ,56 ,4.5 ,120 ,45 ,90 ,6267 
high,early rice,ERSC0281,2009,ERSC04,WS0940,27.46 ,31.21 ,24.95 ,2416.2,1536.2,926.7,445.3,1362.87,Paddy soils,,42.3 ,24.2 ,47 ,4.5 ,150 ,60 ,120 ,6396 
high,early rice,ERSC0283,2009,ERSC04,WS0940,27.46 ,31.21 ,24.95 ,2416.2,1536.2,926.7,445.3,1362.87,Paddy soils,,49.6 ,21.8 ,68 ,4.9 ,195 ,53 ,150 ,5985 
high,early rice,ERSC0284,2010,ERSC04,WS0940,28.22 ,31.77 ,25.68 ,2596,1676,676.4,503.6,1488.26,Paddy soils,,45.1 ,17.1 ,68 ,5.0 ,195 ,60 ,150 ,4910 
high,early rice,ERSC0286,2009,ERSC04,WS0940,27.46 ,31.21 ,24.95 ,2416.2,1536.2,926.7,445.3,1362.87,Paddy soils,,37.5 ,64.3 ,125 ,5.0 ,177 ,60 ,150 ,7763 
high,early rice,ERSC0287,2009,ERSC04,WS0940,27.46 ,31.21 ,24.95 ,2416.2,1536.2,926.7,445.3,1362.87,Paddy soils,,42.2 ,64.8 ,23 ,5.2 ,195 ,75 ,150 ,7515 
low,early rice,ERSC0289,2007,ERSC04,WS0940,28.27 ,32.10 ,25.46 ,2261.8,1461.8,1063.5,521.9,1434.51,Paddy soils,,31.7 ,11.5 ,93 ,4.8 ,150 ,60 ,120 ,7001 
low,early rice,ERSC0290,2007,ERSC04,WS0940,28.27 ,32.10 ,25.46 ,2261.8,1461.8,1063.5,521.9,1434.51,Paddy soils,,31.7 ,11.5 ,93 ,4.8 ,150 ,60 ,120 ,5630 
low,early rice,ERSC0292,2007,ERSC04,WS0940,28.27 ,32.10 ,25.46 ,2261.8,1461.8,1063.5,521.9,1434.51,Paddy soils,,30.3 ,5.0 ,66 ,4.9 ,120 ,45 ,90 ,5987 
low,early rice,ERSC0293,2007,ERSC04,WS0940,28.27 ,32.10 ,25.46 ,2261.8,1461.8,1063.5,521.9,1434.51,Paddy soils,,25.8 ,13.4 ,70 ,5.8 ,120 ,45 ,90 ,6330 
low,early rice,ERSC0294,2008,ERSC04,WS0940,27.02 ,30.50 ,24.50 ,2729.2,1719.2,1252,426.6,1425.52,Paddy soils,,33.7 ,9.5 ,186 ,5.3 ,120 ,45 ,90 ,4100 
high,early rice,ERSC0299,2009,ERSC04,WS0940,27.46 ,31.21 ,24.95 ,2416.2,1536.2,926.7,445.3,1362.87,Paddy soils,,35.5 ,15.5 ,71 ,4.8 ,150 ,60 ,120 ,7545 
low,early rice,ERSC0300,2010,ERSC04,WS0940,28.22 ,31.77 ,25.68 ,2596,1676,676.4,503.6,1488.26,Paddy soils,,31.9 ,6.2 ,51 ,4.5 ,150 ,52 ,120 ,6315 
high,early rice,ERSC0301,2007,ERSC04,WS0929,26.07 ,30.85 ,22.44 ,2580.8,1590.8,730.9,418.8,1394.97,Paddy soils,,42.9 ,36.8 ,209 ,5.1 ,195 ,75 ,150 ,8529 
high,early rice,ERSC0303,2008,ERSC04,WS0929,25.38 ,29.57 ,22.46 ,2462.1,1492.1,1359.6,285.9,1161.71,Paddy soils,,34.2 ,46.8 ,100 ,5.6 ,195 ,75 ,150 ,7101 
low,early rice,ERSC0306,2007,ERSC04,WS0929,26.17 ,30.97 ,22.53 ,2564.6,1584.6,730.5,418.8,1388.27,Paddy soils,,30.7 ,4.5 ,62 ,4.5 ,120 ,45 ,90 ,7133 
low,early rice,ERSC0309,2007,ERSC04,WS0929,26.38 ,31.19 ,22.71 ,2400.3,1490.3,713.5,393.3,1297.82,Paddy soils,,32.4 ,5.7 ,88 ,5.0 ,150 ,60 ,120 ,7254 
low,early rice,ERSC0315,2008,ERSC04,WS0929,25.38 ,29.57 ,22.46 ,2462.1,1492.1,1359.6,285.9,1161.71,Paddy soils,,27.4 ,13.7 ,56 ,6.7 ,195 ,75 ,150 ,6720 
high,early rice,ERSC0317,2010,ERSC04,WS0929,26.17 ,30.42 ,23.17 ,2538.1,1568.1,842.1,357.4,1278.74,Paddy soils,,40.1 ,25.1 ,55 ,5.3 ,150 ,60 ,120 ,4226 
high,early rice,ERSC0318,2010,ERSC04,WS0929,26.17 ,30.42 ,23.17 ,2538.1,1568.1,842.1,357.4,1278.74,Paddy soils,,37.6 ,29.1 ,82 ,5.2 ,150 ,60 ,120 ,4976 
low,early rice,ERSC0326,2008,ERSC04,WS0648,25.07 ,29.71 ,22.11 ,2431.6,1461.6,1294.3,355.1,1280.93,Paddy soils,,28.1 ,12.8 ,215 ,4.8 ,120 ,45 ,90 ,6719 
low,early rice,ERSC0327,2008,ERSC04,WS0648,25.18 ,29.84 ,22.25 ,2416.9,1456.9,1318.7,358.3,1280.31,Paddy soils,,30.1 ,6.4 ,67 ,5.6 ,150 ,60 ,120 ,8691 
low,early rice,ERSC0337,2009,ERSC04,WS0648,26.85 ,31.48 ,23.83 ,2578,1618,1137.9,422.9,1385.4,Paddy soils,,23.8 ,12.5 ,66 ,5.6 ,120 ,45 ,90 ,5673 
low,early rice,ERSC0338,2009,ERSC04,WS0648,25.41 ,30.02 ,22.34 ,2642.5,1602.5,1225.9,427.3,1448.56,Paddy soils,,27.7 ,11.5 ,76 ,5.8 ,210 ,90 ,210 ,8055 
low,early rice,ERSC0339,2009,ERSC04,WS0648,25.41 ,30.02 ,22.34 ,2642.5,1602.5,1225.9,427.3,1448.56,Paddy soils,,29.1 ,12.2 ,46 ,5.5 ,210 ,45 ,210 ,7551 
high,early rice,ERSC0347,2008,ERSC04,WS0914,26.26 ,30.31 ,23.52 ,2336.7,1446.7,865.1,352.7,1219.74,Paddy soils,,41.3 ,25.7 ,61 ,6.7 ,150 ,60 ,120 ,7310 
high,early rice,ERSC0348,2008,ERSC04,WS0914,26.26 ,30.31 ,23.52 ,2336.7,1446.7,865.1,352.7,1219.74,Paddy soils,,37.0 ,30.2 ,60 ,5.9 ,150 ,60 ,120 ,6579 
low,early rice,ERSC0349,2008,ERSC04,WS0914,26.26 ,30.31 ,23.52 ,2336.7,1446.7,865.1,352.7,1219.74,Paddy soils,,28.1 ,7.7 ,44 ,5.2 ,195 ,75 ,150 ,7863 
high,early rice,ERSC0351,2007,ERSC04,WS0914,27.27 ,31.52 ,24.15 ,2345.1,1485.1,545.9,494.2,1431.48,Paddy soils,,45.2 ,22.6 ,117 ,5.5 ,195 ,75 ,150 ,6401 
high,early rice,ERSC0352,2007,ERSC04,WS0914,27.27 ,31.52 ,24.15 ,2345.1,1485.1,545.9,494.2,1431.48,Paddy soils,,37.0 ,32.0 ,67 ,5.0 ,195 ,75 ,150 ,7175 
low,early rice,ERSC0354,2007,ERSC04,WS0914,27.27 ,31.52 ,24.15 ,2345.1,1485.1,545.9,494.2,1431.48,Paddy soils,,31.2 ,5.9 ,48 ,5.2 ,195 ,75 ,150 ,6776 
high,early rice,ERSC0355,2008,ERSC04,WS0914,26.26 ,30.31 ,23.52 ,2336.7,1446.7,865.1,352.7,1219.74,Paddy soils,,36.6 ,31.8 ,47 ,5.0 ,240 ,120 ,270 ,7214 
high,early rice,ERSC0359,2007,ERSC04,WS0930,25.53 ,30.06 ,22.46 ,2706.5,1646.9,453.9,634.5,1798.89,Paddy soils,,39.1 ,63.6 ,105 ,5.4 ,195 ,75 ,150 ,7791 
low,early rice,ERSC0363,2007,ERSC04,WS0930,25.53 ,30.06 ,22.46 ,2706.5,1646.9,453.9,634.5,1798.89,Paddy soils,,25.6 ,14.1 ,104 ,5.3 ,150 ,60 ,120 ,5927 
low,early rice,ERSC0364,2007,ERSC04,WS0930,25.53 ,30.06 ,22.46 ,2706.5,1646.9,453.9,634.5,1798.89,Paddy soils,,17.5 ,14.1 ,60 ,5.7 ,120 ,45 ,90 ,5109 
high,early rice,ERSC0367,2008,ERSC04,WS0930,25.20 ,29.25 ,22.68 ,2519.7,1519.7,1060,397.4,1365.05,Paddy soils,,35.6 ,43.8 ,68 ,5.1 ,195 ,75 ,150 ,7751 
high,early rice,ERSC0374,2007,ERSC04,WS0930,25.53 ,30.06 ,22.46 ,2706.5,1646.9,453.9,634.5,1798.89,Paddy soils,,44.7 ,20.2 ,112 ,5.4 ,195 ,75 ,150 ,7824 
high,early rice,ERSC0376,2008,ERSC04,WS0930,25.20 ,29.25 ,22.68 ,2519.7,1519.7,1060,397.4,1365.05,Paddy soils,,38.6 ,19.7 ,132 ,5.1 ,195 ,75 ,150 ,6267 
high,early rice,ERSC0378,2009,ERSC04,WS0930,25.82 ,30.40 ,22.86 ,2840.3,1740.3,1044,587.6,1748.56,Paddy soils,,40.5 ,16.8 ,107 ,5.1 ,195 ,60 ,150 ,7661 
high,early rice,ERSC0386,2007,ERSC04,WS0933,25.53 ,29.95 ,22.35 ,2705.7,1645.7,434.3,558.6,1673.21,Paddy soils,,40.2 ,19.1 ,69 ,5.1 ,255 ,128 ,330 ,9138 
high,early rice,ERSC0390,2007,ERSC04,WS0933,25.53 ,29.95 ,22.35 ,2705.7,1645.7,434.3,558.6,1673.21,Paddy soils,,34.6 ,51.9 ,64 ,5.5 ,120 ,45 ,90 ,7220 
low,early rice,ERSC0394,2007,ERSC04,WS0933,25.53 ,29.95 ,22.35 ,2705.7,1645.7,434.3,558.6,1673.21,Paddy soils,,31.1 ,14.3 ,41 ,5.6 ,150 ,60 ,120 ,7517 
low,early rice,ERSC0395,2008,ERSC04,WS0933,25.32 ,29.31 ,22.67 ,2532.4,1532.4,1444.8,264.2,1144.86,Paddy soils,,28.4 ,10.8 ,44 ,4.8 ,180 ,37 ,120 ,6245 
high,early rice,ERSC0398,2009,ERSC04,WS0931,27.43 ,31.85 ,24.50 ,2797.8,1777.8,1006.2,519,1584.75,Paddy soils,,40.3 ,31.4 ,56 ,5.7 ,150 ,60 ,120 ,6696 
low,early rice,ERSC0399,2009,ERSC04,WS0931,27.26 ,31.68 ,24.32 ,2562.4,1622.4,981.2,468.9,1445.36,Paddy soils,,28.6 ,13.4 ,64 ,5.0 ,150 ,60 ,120 ,6402 
low,early rice,ERSC0401,2009,ERSC04,WS0931,27.24 ,31.64 ,24.29 ,2942.1,1862.1,1034.2,539.5,1659.08,Paddy soils,,33.7 ,13.4 ,39 ,5.5 ,150 ,60 ,120 ,7079 
high,early rice,ERSC0402,2009,ERSC04,WS0931,26.45 ,30.79 ,23.53 ,2909.3,1809.3,1079.9,492.4,1590.87,Paddy soils,,43.2 ,36.0 ,114 ,5.3 ,195 ,75 ,150 ,5673 
low,early rice,ERSC0403,2009,ERSC04,WS0931,26.87 ,31.22 ,23.93 ,2901.7,1821.7,1042.9,512.6,1612.65,Paddy soils,,25.5 ,10.2 ,49 ,6.1 ,150 ,60 ,120 ,5333 
high,early rice,ERSC0419,2008,ERSC04,WS0648,25.34 ,30.00 ,22.40 ,2204.9,1334.9,1277.6,319.2,1152.7,Paddy soils,,34.1 ,37.5 ,74 ,5.9 ,150 ,60 ,120 ,8001 
high,early rice,ERSC0420,2008,ERSC04,WS0648,25.34 ,30.00 ,22.40 ,2204.9,1334.9,1277.6,319.2,1152.7,Paddy soils,,38.6 ,24.7 ,67 ,5.6 ,225 ,105 ,225 ,7650 
high,early rice,ERSC0424,2007,ERSC04,WS0647,25.85 ,30.94 ,22.43 ,2171.8,1331.8,742.5,399.4,1263.58,Paddy soils,,37.7 ,18.7 ,97 ,6.4 ,150 ,60 ,120 ,7481 
low,early rice,ERSC0425,2008,ERSC04,WS0647,24.82 ,29.54 ,21.75 ,2159.7,1289.7,910.9,321.1,1155.89,Paddy soils,,27.4 ,10.2 ,70 ,6.5 ,225 ,105 ,225 ,9641 
low,early rice,ERSC0429,2007,ERSC04,WS0647,25.94 ,31.01 ,22.54 ,2152.9,1322.9,742.5,396.3,1251.86,Paddy soils,,20.8 ,11.4 ,62 ,6.0 ,150 ,60 ,120 ,5993 
low,early rice,ERSC0430,2007,ERSC04,WS0647,25.94 ,31.01 ,22.54 ,2152.9,1322.9,742.5,396.3,1251.86,Paddy soils,,32.9 ,11.4 ,67 ,5.8 ,165 ,60 ,135 ,7095 
high,early rice,ERSC0431,2007,ERSC04,WS0647,25.94 ,31.01 ,22.54 ,2152.9,1322.9,742.5,396.3,1251.86,Paddy soils,,50.3 ,22.0 ,135 ,5.9 ,150 ,60 ,120 ,7217 
high,early rice,ERSC0432,2007,ERSC04,WS0647,25.94 ,31.01 ,22.54 ,2152.9,1322.9,742.5,396.3,1251.86,Paddy soils,,48.5 ,27.5 ,116 ,6.0 ,120 ,45 ,90 ,7242 
high,early rice,ERSC0435,2009,ERSC04,WS0616,23.79 ,28.69 ,20.52 ,2379.2,1379.2,667,501.9,1544.6,Paddy soils,,54.5 ,22.8 ,63 ,5.3 ,195 ,60 ,150 ,8982 
high,early rice,ERSC0436,2009,ERSC04,WS0616,23.79 ,28.69 ,20.52 ,2379.2,1379.2,667,501.9,1544.6,Paddy soils,,38.5 ,28.2 ,23 ,5.5 ,131 ,72 ,158 ,7838 
high,early rice,ERSC0437,2008,ERSC04,WS0646,24.93 ,29.50 ,21.97 ,2443.3,1463.3,1277.4,323.9,1237.24,Paddy soils,,53.4 ,26.7 ,151 ,5.2 ,150 ,60 ,120 ,8207 
low,early rice,ERSC0438,2009,ERSC04,WS0646,25.46 ,30.26 ,22.34 ,2113.4,1283.4,1011.7,319.7,1125.18,Paddy soils,,33.2 ,13.8 ,50 ,4.6 ,120 ,45 ,90 ,7050 
low,early rice,ERSC0439,2010,ERSC04,WS0888,26.08 ,30.32 ,23.04 ,2321.1,1431.1,753.1,271.1,1087.38,Paddy soils,,22.5 ,2.5 ,60 ,6.5 ,195 ,75 ,150 ,8319 
low,early rice,ERSC0440,2008,ERSC04,WS0888,26.08 ,30.83 ,22.98 ,2346.8,1446.8,741.3,341.2,1210.44,Paddy soils,,14.2 ,13.0 ,46 ,5.5 ,150 ,60 ,120 ,6404 
low,early rice,ERSC0441,2008,ERSC04,WS0888,25.94 ,30.74 ,22.83 ,2386.4,1466.4,761,349.6,1238.26,Paddy soils,,32.4 ,5.0 ,25 ,6.1 ,150 ,60 ,120 ,6402 
low,early rice,ERSC0442,2008,ERSC04,WS0888,25.66 ,30.42 ,22.63 ,2283.5,1393.5,762.3,316.1,1161.62,Paddy soils,,11.7 ,5.0 ,27 ,5.7 ,195 ,75 ,150 ,8072 
high,early rice,ERSC0445,2009,ERSC04,WS0891,26.87 ,31.51 ,23.50 ,2767.5,1737.5,685.6,511.5,1581.51,Paddy soils,,41.9 ,38.8 ,46 ,7.1 ,195 ,75 ,150 ,8034 
high,early rice,ERSC0450,2009,ERSC04,WS0891,26.37 ,31.01 ,23.01 ,2425.7,1505.7,662.2,438.3,1383.88,Paddy soils,,45.1 ,27.7 ,59 ,5.9 ,225 ,105 ,225 ,8091 
low,early rice,ERSC0453,2009,ERSC04,WS0892,27.11 ,31.79 ,23.77 ,2656.3,1676.3,638.5,492.1,1514.72,Paddy soils,,15.7 ,14.6 ,45 ,5.5 ,120 ,45 ,90 ,8316 
high,early rice,ERSC0474,2008,ERSC04,WS0886,25.50 ,30.16 ,22.63 ,2397,1457,1063.3,409.8,1351,Paddy soils,,77.3 ,15.8 ,27 ,8.1 ,150 ,60 ,120 ,8526 
high,early rice,ERSC0483,2008,ERSC04,WS0645,24.76 ,29.16 ,21.78 ,3044.9,1814.9,977.6,492.5,1683.2,Paddy soils,,68.4 ,59.5 ,175 ,4.6 ,150 ,60 ,120 ,6300 
low,early rice,ERSC0485,2008,ERSC04,WS0644,25.32 ,30.18 ,22.09 ,2684.1,1624.1,1072.2,457.7,1512.87,Paddy soils,,23.8 ,7.7 ,94 ,5.7 ,150 ,60 ,120 ,8250 
low,early rice,ERSC0486,2008,ERSC04,WS0644,25.32 ,30.18 ,22.09 ,2684.1,1624.1,1072.2,457.7,1512.87,Paddy soils,,30.4 ,8.9 ,98 ,5.7 ,195 ,75 ,150 ,7730 
low,early rice,ERSC0488,2009,ERSC04,WS0912,27.50 ,32.41 ,24.16 ,2612.6,1662.6,535,509.9,1411.73,Paddy soils,,33.9 ,6.3 ,88 ,7.0 ,150 ,60 ,120 ,6360 
low,early rice,ERSC0490,2008,ERSC04,WS0912,25.95 ,30.80 ,22.82 ,2542.8,1562.8,820.1,419.3,1292.02,Paddy soils,,30.5 ,5.8 ,26 ,5.7 ,150 ,60 ,120 ,7301 
low,early rice,ERSC0491,2009,ERSC04,WS0912,27.28 ,32.22 ,23.88 ,2482.7,1572.7,530.7,492.3,1350,Paddy soils,,33.5 ,6.8 ,76 ,5.0 ,120 ,45 ,90 ,7250 
low,early rice,ERSC0492,2009,ERSC04,WS0912,27.28 ,32.22 ,23.88 ,2482.7,1572.7,530.7,492.3,1350,Paddy soils,,21.1 ,9.1 ,125 ,6.2 ,150 ,60 ,120 ,7500 
low,early rice,ERSC0493,2009,ERSC04,WS0912,27.28 ,32.22 ,23.88 ,2482.7,1572.7,530.7,492.3,1350,Paddy soils,,28.1 ,8.0 ,76 ,5.8 ,195 ,75 ,150 ,7001 
low,early rice,ERSC0496,2006,ERSC04,WS0913,26.42 ,30.77 ,23.33 ,2298.8,1428.8,645.2,465.9,1331.91,Paddy soils,,26.0 ,11.5 ,77 ,6.0 ,120 ,45 ,90 ,7143 
high,early rice,ERSC0497,2006,ERSC04,WS0913,26.42 ,30.77 ,23.33 ,2298.8,1428.8,645.2,465.9,1331.91,Paddy soils,,59.2 ,26.4 ,61 ,7.5 ,150 ,53 ,108 ,7109 
high,early rice,ERSC0501,2008,ERSC04,WS0913,25.83 ,30.09 ,23.01 ,2299.3,1409.3,709.2,394.3,1219.38,Paddy soils,,36.6 ,15.8 ,94 ,6.3 ,120 ,41 ,90 ,8360 
high,early rice,ERSC0502,2009,ERSC04,WS0913,26.24 ,30.56 ,23.11 ,2439.9,1509.9,597.7,466.5,1392.33,Paddy soils,,53.4 ,23.3 ,85 ,6.0 ,120 ,45 ,90 ,8019 
high,early rice,ERSC0503,2009,ERSC04,WS0913,26.24 ,30.56 ,23.11 ,2439.9,1509.9,597.7,466.5,1392.33,Paddy soils,,53.4 ,23.3 ,85 ,6.0 ,197 ,50 ,143 ,7230 
low,early rice,ERSC0505,2008,ERSC04,WS0913,25.83 ,30.09 ,23.01 ,2299.3,1409.3,709.2,394.3,1219.38,Paddy soils,,28.2 ,6.9 ,76 ,6.0 ,120 ,38 ,90 ,6144 
high,early rice,ERSC0506,2008,ERSC04,WS0913,25.83 ,30.09 ,23.01 ,2299.3,1409.3,709.2,394.3,1219.38,Paddy soils,,40.4 ,22.7 ,72 ,6.3 ,150 ,60 ,120 ,7769 
high,early rice,ERSC0514,2009,ERSC04,WS0913,26.24 ,30.56 ,23.11 ,2439.9,1509.9,597.7,466.5,1392.33,Paddy soils,,46.6 ,43.4 ,50 ,6.0 ,152 ,50 ,127 ,8199 
high,early rice,ERSC0516,2008,ERSC04,WS0884,24.68 ,29.14 ,21.69 ,2443.4,1453.4,925.2,290,1189.04,Paddy soils,,41.0 ,16.3 ,40 ,6.0 ,150 ,60 ,120 ,8285 
low,early rice,ERSC0518,2007,ERSC04,WS0884,25.60 ,30.47 ,22.29 ,2687.6,1637.6,735.2,473.9,1534.27,Paddy soils,,28.1 ,7.0 ,115 ,8.2 ,195 ,75 ,150 ,8060 
low,early rice,ERSC0519,2007,ERSC04,WS0884,25.89 ,30.77 ,22.64 ,2382.3,1462.3,697.4,391.2,1307.13,Paddy soils,,32.4 ,11.2 ,51 ,6.0 ,120 ,45 ,90 ,5550 
high,early rice,ERSC0525,2007,ERSC04,WS0884,25.65 ,30.53 ,22.37 ,2591,1581,735.2,447.6,1463.09,Paddy soils,,40.0 ,18.1 ,58 ,6.1 ,195 ,75 ,150 ,7667 
high,early rice,ERSC0527,2008,ERSC04,WS0889,25.29 ,29.93 ,22.18 ,2225.3,1345.3,755.4,394,1282.39,Paddy soils,,63.3 ,25.7 ,118 ,7.7 ,120 ,45 ,90 ,7059 
low,early rice,ERSC0528,2007,ERSC04,WS0889,26.47 ,31.53 ,23.09 ,2170.9,1350.9,502.8,464.5,1356.21,Paddy soils,,33.6 ,12.7 ,175 ,5.8 ,150 ,60 ,120 ,6741 
low,early rice,ERSC0531,2008,ERSC04,WS0883,26.21 ,30.69 ,23.16 ,2700.1,1670.1,1006.6,406.4,1408.71,Paddy soils,,34.0 ,12.3 ,57 ,5.1 ,120 ,45 ,90 ,6026 
high,late rice,LRSC0163,2007,LRSC01,WS0908,25.03 ,29.79 ,21.35 ,2477.8,1487.8,304,506.8,1563.45,Paddy soil,loam,63.5 ,33.5 ,114 ,5.2 ,120 ,45 ,90 ,8100 
high,late rice,LRSC0164,2007,LRSC01,WS0908,25.03 ,29.79 ,21.35 ,2477.8,1487.8,304,506.8,1563.45,Paddy soil,clay loam,58.2 ,11.4 ,80 ,5.8 ,150 ,60 ,120 ,7362 
high,late rice,LRSC0165,2007,LRSC01,WS0908,24.57 ,29.31 ,20.86 ,2284.6,1354.6,261.9,475.7,1444.67,Paddy soil,loam,57.3 ,16.6 ,98 ,5.1 ,195 ,75 ,150 ,8261 
low,late rice,LRSC0167,2007,LRSC01,WS0908,25.13 ,29.87 ,21.44 ,2487.5,1497.5,304.1,507.3,1574.61,Paddy soil,loam,41.5 ,27.3 ,50 ,6.7 ,150 ,60 ,120 ,6161 
low,late rice,LRSC0168,2007,LRSC01,WS0908,25.03 ,29.79 ,21.35 ,2477.8,1487.8,304,506.8,1563.45,Paddy soil,loam,39.7 ,18.0 ,29 ,5.5 ,195 ,75 ,150 ,6786 
high,late rice,LRSC1141,2008,LRSC09,WS0790,25.31 ,30.27 ,21.94 ,3087.4,1867.4,602,573.6,1617.6,Paddy soil,sandy loam,43.8 ,17.6 ,134 ,6.1 ,195 ,75 ,149 ,9313 
low,late rice,LRSC1161,2009,LRSC09,WS0817,23.26 ,27.88 ,19.84 ,2721.4,1578.3,549.4,557.6,1489.05,Paddy soil,clay loam,26.8 ,15.4 ,68 ,6.8 ,230 ,45 ,113 ,6450 
high,late rice,LRSC1162,2009,LRSC09,WS0817,25.12 ,29.76 ,21.66 ,2386.4,1436.4,441.9,486.8,1301.81,Paddy soil,clay loam,29.8 ,23.5 ,131 ,6.1 ,225 ,45 ,113 ,7125 
low,late rice,LRSC1163,2009,LRSC09,WS0817,26.12 ,30.61 ,22.77 ,2507.5,1547.5,476.4,494.8,1358.01,Paddy soils,clay loam,25.8 ,11.2 ,65 ,6.1 ,230 ,45 ,113 ,6435 
low,late rice,LRSC1185,2006,LRSC09,WS0845,25.49 ,30.63 ,22.06 ,2625.9,1595.9,421.8,568.8,1464.97,Paddy soil,clay loam,33.9 ,4.8 ,78 ,6.0 ,206 ,36 ,68 ,7233 
low,late rice,LRSC1186,2007,LRSC09,WS0845,24.65 ,29.28 ,21.50 ,2612.6,1552.6,1078,534.1,1416.18,Paddy soil,clay loam,26.1 ,2.6 ,70 ,6.1 ,210 ,36 ,68 ,4734 
low,late rice,LRSC1187,2008,LRSC09,WS0845,26.27 ,30.73 ,23.43 ,2390.9,1480.9,469.6,402,1173.34,Paddy soil,clay loam,33.0 ,11.4 ,57 ,5.7 ,210 ,36 ,90 ,6333 
high,late rice,LRSC1188,2007,LRSC09,WS0845,25.13 ,29.73 ,22.01 ,2613.6,1573.6,1077.1,531.7,1424.03,Paddy soil,clay loam,30.7 ,3.9 ,96 ,5.9 ,210 ,36 ,68 ,7301 
high,late rice,LRSC1189,2008,LRSC09,WS0845,25.27 ,29.64 ,22.50 ,2603.3,1573.3,314.1,439.2,1261.33,Paddy soil,clay loam,27.4 ,6.5 ,97 ,6.3 ,210 ,36 ,90 ,7584 
high,late rice,LRSC1190,2006,LRSC09,WS0845,25.27 ,30.49 ,21.81 ,2375.8,1435.8,417.8,513.4,1315.19,Paddy soil,clay loam,31.1 ,5.2 ,85 ,6.0 ,210 ,36 ,68 ,6333 
low,late rice,LRSC1191,2007,LRSC09,WS0845,26.31 ,30.91 ,23.25 ,2420.9,1500.9,1077.2,474.2,1311.99,Paddy soil,clay loam,27.5 ,3.1 ,72 ,5.8 ,210 ,36 ,68 ,6750 
low,late rice,LRSC1195,2007,LRSC09,WS0845,24.88 ,29.45 ,21.80 ,2463,1473,1077.1,483.1,1309.11,Paddy soil,clay loam,36.1 ,5.7 ,41 ,5.9 ,210 ,36 ,68 ,5766 
high,late rice,LRSC0833,2007,LRSC08,WS0825,26.99 ,31.10 ,23.98 ,2537,1597,233.4,615.6,1552.76,Paddy soil,sandy loam,37.3 ,56.1 ,149 ,5.5 ,150 ,45 ,135 ,6177 
high,late rice,LRSC0836,2008,LRSC08,WS0825,27.58 ,31.88 ,24.50 ,2703.1,1723.1,188,602,1555.68,Paddy soil,sandy loam,47.3 ,18.2 ,153 ,4.7 ,188 ,45 ,135 ,7947 
high,late rice,LRSC0838,2008,LRSC08,WS0825,27.23 ,31.57 ,24.15 ,2560,1620,181.8,564.9,1453.43,Paddy soil,sandy loam,47.3 ,18.2 ,153 ,4.7 ,188 ,45 ,135 ,7898 
high,late rice,LRSC0815,2009,LRSC08,WS0825,27.49 ,31.69 ,24.66 ,2309.2,1469.2,130.1,470,1264.45,Paddy soil,sandy loam,36.8 ,6.0 ,232 ,5.2 ,180 ,45 ,135 ,7130 
low,late rice,LRSC0841,2007,LRSC08,WS0821,26.33 ,31.47 ,22.93 ,2237.8,1387.8,262.2,523.4,1354.61,Paddy soil,sandy loam,18.1 ,24.7 ,32 ,5.6 ,150 ,75 ,120 ,6765 
low,late rice,LRSC0843,2008,LRSC08,WS0821,25.53 ,30.48 ,22.22 ,2196,1336,323.6,452.5,1213.59,Paddy soil,sandy loam,35.7 ,31.0 ,70 ,5.5 ,150 ,60 ,117 ,7380 
high,late rice,LRSC0845,2007,LRSC08,WS0822,25.84 ,30.76 ,22.28 ,2377.6,1457.6,255,570.4,1446.57,Paddy soil,clay loam,41.4 ,6.0 ,148 ,4.7 ,146 ,72 ,113 ,6975 
low,late rice,LRSC0846,2008,LRSC08,WS0822,25.53 ,30.43 ,22.11 ,2221.1,1351.1,247,509.2,1292.97,Paddy soil,clay loam,31.9 ,4.3 ,71 ,4.9 ,149 ,47 ,123 ,7050 
low,late rice,LRSC0847,2009,LRSC08,WS0822,25.78 ,31.08 ,22.05 ,2371.9,1451.9,159.7,562.4,1409.92,Paddy soil,clay loam,22.2 ,9.4 ,79 ,4.8 ,146 ,45 ,113 ,6960 
high,late rice,LRSC0852,2008,LRSC08,WS0826,27.77 ,32.27 ,24.41 ,2443.5,1563.5,224.9,552.6,1418.05,Paddy soil,loam,39.8 ,23.8 ,102 ,4.6 ,155 ,72 ,135 ,7080 
high,late rice,LRSC0853,2008,LRSC08,WS0826,27.72 ,32.21 ,24.37 ,2383.6,1523.6,224.9,540.4,1383.74,Paddy soil,silty clay loam,48.7 ,16.5 ,120 ,5.3 ,155 ,72 ,135 ,7658 
high,late rice,LRSC0856,2008,LRSC08,WS0826,27.41 ,31.90 ,24.07 ,2274.9,1444.9,224.9,509.6,1307.68,Paddy soil,loam,48.0 ,16.0 ,190 ,5.6 ,155 ,72 ,135 ,7035 
