Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
25,M-SWC,MSWC0025,2007,MSWC01,21.1 ,25.8 ,18.0 ,2695.7 ,1415.7 ,665.7 ,512.3 ,1753.4 ,late_maturity,Limestone soils,,22.4 ,16.5 ,60.0 ,6.3 ,210 ,135 ,210 ,7219 ,8889 
26,M-SWC,MSWC0026,2007,MSWC01,21.2 ,25.8 ,18.2 ,2668.3 ,1408.3 ,717.9 ,485.6 ,1696.2 ,late_maturity,Limestone soils,,39.1 ,26.6 ,125.0 ,4.9 ,180 ,120 ,180 ,5472 ,9275 
27,M-SWC,MSWC0027,2008,MSWC01,20.7 ,25.3 ,17.7 ,2728.8 ,1408.8 ,596.9 ,414.1 ,1617.3 ,medium_maturity,Limestone soils,,37.8 ,9.4 ,139.0 ,6.0 ,210 ,135 ,210 ,5319 ,10355 
28,M-SWC,MSWC0028,2008,MSWC01,21.0 ,25.6 ,18.0 ,2766.4 ,1446.4 ,589.4 ,414.1 ,1613.6 ,late_maturity,Limestone soils,,25.5 ,18.7 ,56.0 ,6.5 ,180 ,120 ,180 ,3761 ,7982 
29,M-SWC,MSWC0029,2008,MSWC01,21.0 ,25.6 ,18.0 ,2682.4 ,1402.4 ,583.9 ,405.4 ,1575.1 ,late_maturity,Limestone soils,,21.4 ,6.7 ,105.0 ,6.7 ,210 ,135 ,210 ,4428 ,7965 
30,M-SWC,MSWC0030,2008,MSWC01,20.0 ,24.5 ,17.0 ,2517.6 ,1257.9 ,509.4 ,374.6 ,1512.5 ,medium_maturity,Limestone soils,,30.8 ,9.6 ,154.0 ,7.0 ,210 ,135 ,210 ,4136 ,6772 
31,M-SWC,MSWC0031,2008,MSWC01,21.0 ,25.7 ,18.1 ,2903.9 ,1523.9 ,607.9 ,441.5 ,1692.7 ,medium_maturity,Yellow earths,,45.4 ,17.2 ,134.0 ,5.7 ,225 ,150 ,240 ,5940 ,9839 
32,M-SWC,MSWC0032,2009,MSWC01,20.1 ,24.2 ,17.3 ,2471.0 ,1241.0 ,657.3 ,424.2 ,1573.5 ,late_maturity,Yellow earths,,43.4 ,23.1 ,77.0 ,5.2 ,210 ,135 ,210 ,4716 ,9119 
33,M-SWC,MSWC0033,2009,MSWC01,20.1 ,24.2 ,17.3 ,2471.0 ,1241.0 ,657.3 ,424.2 ,1573.5 ,medium_maturity,Yellow earths,,21.6 ,16.2 ,116.0 ,5.7 ,210 ,135 ,210 ,1399 ,7450 
34,M-SWC,MSWC0034,2009,MSWC01,20.1 ,24.2 ,17.3 ,2471.0 ,1241.0 ,657.3 ,424.2 ,1573.5 ,medium_maturity,Yellow earths,,25.7 ,5.9 ,107.0 ,5.8 ,225 ,150 ,240 ,7958 ,10986 
