Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
51,W-YZB,WYZB0051,2008,WYZB01,12.2 ,16.7 ,8.5 ,2798.0 ,971.4 ,278.3 ,1229.0 ,2734.0 ,small_spike,Lime concretion fluvo-aquic soils,silty clay loam,20.0 ,18.1 ,147.0 ,6.6 ,210 ,75 ,60 ,3825 ,7680 
52,W-YZB,WYZB0052,2009,WYZB01,11.1 ,15.4 ,7.7 ,2719.3 ,969.6 ,553.5 ,1234.2 ,2863.7 ,small_spike,Yellow-cinnamon soils,silty clay loam,22.3 ,12.9 ,69.0 ,5.8 ,225 ,90 ,75 ,3555 ,6960 
53,W-YZB,WYZB0053,2007,WYZB01,12.2 ,16.7 ,8.5 ,2827.5 ,980.9 ,278.3 ,1245.8 ,2753.6 ,small_spike,Paddy soils,silty clay loam,20.3 ,12.6 ,79.0 ,6.6 ,225 ,75 ,98 ,3825 ,7680 
54,W-YZB,WYZB0054,2008,WYZB01,12.2 ,16.7 ,8.5 ,2827.5 ,980.9 ,278.3 ,1245.8 ,2753.6 ,small_spike,Yellow-cinnamon soils,silty clay loam,20.0 ,18.1 ,147.0 ,6.6 ,210 ,75 ,60 ,3825 ,7680 
55,W-YZB,WYZB0055,2007,WYZB01,12.7 ,16.9 ,9.4 ,3144.6 ,1246.4 ,506.6 ,1264.6 ,2995.6 ,small_spike,Paddy soils,clay loam,15.4 ,15.0 ,156.0 ,6.9 ,225 ,75 ,98 ,2775 ,6840 
56,W-YZB,WYZB0056,2008,WYZB01,12.2 ,16.7 ,8.5 ,2798.0 ,971.4 ,278.3 ,1229.0 ,2734.0 ,small_spike,Paddy soils,clay loam,15.4 ,14.0 ,116.0 ,6.5 ,210 ,75 ,60 ,2835 ,7845 
57,W-YZB,WYZB0057,2009,WYZB01,10.7 ,15.0 ,7.3 ,2523.2 ,863.5 ,481.8 ,1187.9 ,2731.5 ,small_spike,Paddy soils,clay loam,19.8 ,16.3 ,135.0 ,6.8 ,225 ,90 ,75 ,3162 ,7218 
58,W-YZB,WYZB0058,2008,WYZB01,12.2 ,16.7 ,8.5 ,2840.1 ,983.5 ,279.9 ,1236.0 ,2740.1 ,small_spike,Lime concretion fluvo-aquic soils,clay loam,20.0 ,13.4 ,156.0 ,6.6 ,210 ,75 ,60 ,3720 ,7920 
59,W-YZB,WYZB0059,2008,WYZB01,11.9 ,16.5 ,8.3 ,2701.5 ,914.9 ,278.3 ,1197.8 ,2663.4 ,small_spike,Paddy soils,clay loam,27.3 ,24.6 ,132.0 ,6.6 ,210 ,75 ,60 ,3102 ,6690 
60,W-YZB,WYZB0060,2009,WYZB01,11.1 ,15.3 ,7.7 ,2699.0 ,959.3 ,553.5 ,1229.7 ,2853.0 ,small_spike,Fluvo-aquic soils,sandy loam,15.3 ,9.3 ,86.0 ,7.6 ,225 ,90 ,75 ,3600 ,7050 
61,W-YZB,WYZB0061,2009,WYZB01,10.7 ,15.0 ,7.3 ,2535.3 ,865.6 ,482.2 ,1184.0 ,2720.6 ,small_spike,Paddy soils,clay loam,20.6 ,33.6 ,288.0 ,6.1 ,225 ,90 ,75 ,3753 ,7004 
62,W-YZB,WYZB0062,2007,WYZB01,11.6 ,15.9 ,8.2 ,2674.7 ,946.5 ,455.1 ,1229.8 ,2773.5 ,small_spike,Fluvo-aquic soils,silty clay loam,21.0 ,28.0 ,156.0 ,7.7 ,225 ,75 ,98 ,4110 ,7200 
63,W-YZB,WYZB0063,2008,WYZB01,12.3 ,16.8 ,8.6 ,2881.8 ,1015.2 ,278.3 ,1265.7 ,2800.5 ,medium_spike,Paddy soils,clay loam,14.8 ,12.2 ,121.0 ,6.9 ,225 ,75 ,75 ,3300 ,7005 
64,W-YZB,WYZB0064,2009,WYZB01,10.7 ,15.0 ,7.3 ,2523.2 ,863.5 ,481.8 ,1187.9 ,2731.5 ,small_spike,Paddy soils,clay loam,14.8 ,14.8 ,121.0 ,6.9 ,225 ,90 ,75 ,3750 ,7020 
65,W-YZB,WYZB0065,2008,WYZB01,12.3 ,16.8 ,8.6 ,2881.8 ,1015.2 ,278.3 ,1265.7 ,2800.5 ,medium_spike,Paddy soils,clay loam,14.8 ,12.2 ,121.0 ,6.9 ,225 ,75 ,75 ,3300 ,7005 
66,W-YZB,WYZB0066,2005,WYZB01,10.4 ,15.5 ,6.3 ,2235.8 ,755.3 ,314.4 ,1121.8 ,2516.0 ,small_spike,Paddy soils,clay,18.7 ,42.9 ,96.0 ,6.4 ,195 ,75 ,98 ,2225 ,5475 
67,W-YZB,WYZB0067,2005,WYZB01,10.4 ,15.5 ,6.3 ,2235.8 ,755.3 ,314.4 ,1121.8 ,2516.0 ,medium_spike,Paddy soils,silty clay loam,18.9 ,42.9 ,93.0 ,5.9 ,195 ,75 ,98 ,3375 ,6000 
68,W-YZB,WYZB0068,2007,WYZB01,10.5 ,15.3 ,6.5 ,2425.6 ,808.4 ,384.0 ,1230.3 ,2750.4 ,small_spike,Paddy soils,silty clay loam,25.6 ,35.6 ,87.0 ,6.6 ,210 ,45 ,75 ,3084 ,6267 
69,W-YZB,WYZB0069,2005,WYZB01,10.5 ,15.6 ,6.3 ,2315.1 ,774.6 ,315.8 ,1150.4 ,2569.7 ,medium_spike,Paddy soils,silty clay loam,21.6 ,39.5 ,82.0 ,6.4 ,195 ,75 ,98 ,3500 ,7751 
70,W-YZB,WYZB0070,2009,WYZB01,10.3 ,14.7 ,6.6 ,2426.9 ,829.5 ,508.3 ,1068.8 ,2595.4 ,small_spike,Paddy soils,silty clay loam,21.1 ,8.8 ,45.0 ,6.4 ,225 ,75 ,75 ,2561 ,5951 
71,W-YZB,WYZB0071,2005,WYZB01,10.7 ,15.8 ,6.5 ,2352.9 ,822.4 ,314.4 ,1164.5 ,2615.2 ,medium_spike,Paddy soils,clay,17.8 ,58.1 ,84.0 ,7.0 ,195 ,75 ,98 ,3150 ,5949 
72,W-YZB,WYZB0072,2005,WYZB01,11.8 ,16.8 ,7.7 ,2672.9 ,934.5 ,389.2 ,1230.0 ,2719.5 ,small_spike,Paddy soils,clay,18.9 ,27.5 ,62.0 ,6.5 ,195 ,60 ,90 ,2934 ,6534 
73,W-YZB,WYZB0073,2007,WYZB01,10.6 ,15.5 ,6.7 ,2504.8 ,847.6 ,391.5 ,1253.2 ,2808.2 ,small_spike,Paddy soils,clay,25.6 ,25.6 ,60.0 ,6.6 ,210 ,45 ,75 ,2316 ,7034 
74,W-YZB,WYZB0074,2006,WYZB01,11.7 ,16.8 ,7.7 ,2654.9 ,926.5 ,389.3 ,1220.9 ,2708.5 ,small_spike,Paddy soils,silty clay loam,20.7 ,48.9 ,89.0 ,6.4 ,195 ,60 ,90 ,2145 ,6330 
75,W-YZB,WYZB0075,2006,WYZB01,11.3 ,16.2 ,7.3 ,2583.8 ,852.1 ,290.0 ,1154.7 ,2626.4 ,small_spike,Paddy soils,clay,20.6 ,28.0 ,86.0 ,6.5 ,225 ,45 ,75 ,2201 ,5400 
76,W-YZB,WYZB0076,2007,WYZB01,10.3 ,15.2 ,6.4 ,2320.7 ,773.5 ,391.5 ,1199.1 ,2692.3 ,small_spike,Paddy soils,clay,20.6 ,28.0 ,86.0 ,6.5 ,210 ,45 ,75 ,2040 ,6795 
77,W-YZB,WYZB0077,2005,WYZB01,10.7 ,15.8 ,6.5 ,2383.7 ,823.2 ,315.8 ,1173.3 ,2627.5 ,medium_spike,Paddy soils,silty clay loam,18.6 ,55.1 ,89.0 ,6.2 ,195 ,75 ,98 ,4100 ,5151 
78,W-YZB,WYZB0078,2005,WYZB01,10.4 ,15.2 ,6.4 ,2353.9 ,786.7 ,391.5 ,1205.9 ,2709.1 ,small_spike,Paddy soils,silty clay loam,21.4 ,37.8 ,81.0 ,7.6 ,240 ,45 ,75 ,2667 ,7466 
79,W-YZB,WYZB0079,2006,WYZB01,11.8 ,16.8 ,7.8 ,2698.2 ,949.8 ,396.1 ,1220.9 ,2723.3 ,small_spike,Paddy soils,silty clay loam,32.8 ,45.2 ,90.0 ,6.1 ,195 ,60 ,90 ,3384 ,7200 
80,W-YZB,WYZB0080,2005,WYZB01,10.7 ,15.9 ,6.6 ,2420.2 ,839.7 ,315.8 ,1192.5 ,2667.2 ,medium_spike,Lime concretion fluvo-aquic soils,clay,27.0 ,58.9 ,83.0 ,6.3 ,195 ,75 ,98 ,3276 ,4976 
81,W-YZB,WYZB0081,2005,WYZB01,11.8 ,16.8 ,7.8 ,2698.2 ,949.8 ,396.1 ,1220.9 ,2723.3 ,medium_spike,Paddy soils,clay,19.3 ,40.6 ,79.0 ,6.6 ,195 ,60 ,90 ,2883 ,6033 
82,W-YZB,WYZB0082,2005,WYZB01,10.9 ,16.0 ,6.7 ,2458.5 ,868.0 ,316.3 ,1197.6 ,2688.9 ,small_spike,Paddy soils,clay,19.1 ,43.5 ,92.0 ,8.0 ,195 ,75 ,98 ,4001 ,6500 
83,W-YZB,WYZB0083,2007,WYZB01,10.2 ,15.1 ,6.3 ,2310.1 ,752.9 ,384.0 ,1178.2 ,2644.2 ,small_spike,Yellow-cinnamon soils,clay,24.1 ,40.2 ,95.0 ,7.0 ,225 ,45 ,75 ,3251 ,7001 
84,W-YZB,WYZB0084,2005,WYZB01,12.0 ,17.0 ,7.9 ,2764.7 ,986.3 ,397.3 ,1238.4 ,2762.7 ,medium_spike,Paddy soils,silty clay loam,15.0 ,44.6 ,82.0 ,5.3 ,195 ,60 ,90 ,1815 ,7170 
85,W-YZB,WYZB0085,2007,WYZB01,10.4 ,15.2 ,6.5 ,2405.6 ,788.4 ,384.0 ,1216.1 ,2718.7 ,small_spike,Lime concretion fluvo-aquic soils,silty clay loam,14.3 ,56.9 ,105.0 ,5.6 ,225 ,45 ,90 ,4277 ,7529 
86,W-YZB,WYZB0086,2007,WYZB01,10.3 ,15.2 ,6.4 ,2375.2 ,778.0 ,384.0 ,1207.1 ,2698.2 ,small_spike,Paddy soils,silty clay loam,17.9 ,40.1 ,83.0 ,5.3 ,225 ,45 ,75 ,4845 ,8112 
87,W-YZB,WYZB0087,2008,WYZB01,10.5 ,14.9 ,6.8 ,2546.4 ,879.0 ,508.3 ,1118.6 ,2680.5 ,small_spike,Paddy soils,silty clay loam,15.8 ,47.0 ,56.0 ,6.7 ,225 ,75 ,75 ,2595 ,6795 
88,W-YZB,WYZB0088,2006,WYZB01,11.9 ,16.9 ,7.8 ,2719.2 ,960.8 ,389.2 ,1241.9 ,2744.6 ,small_spike,Paddy soils,silty clay loam,22.0 ,42.9 ,77.0 ,7.3 ,195 ,60 ,90 ,2300 ,6834 
89,W-YZB,WYZB0089,2006,WYZB01,11.9 ,16.9 ,7.8 ,2721.4 ,963.0 ,396.1 ,1229.5 ,2739.1 ,small_spike,Paddy soils,silty clay loam,14.8 ,39.2 ,100.0 ,7.3 ,195 ,60 ,90 ,2540 ,5852 
90,W-YZB,WYZB0090,2006,WYZB01,10.3 ,15.2 ,6.4 ,2330.7 ,773.5 ,384.0 ,1203.2 ,2697.3 ,medium_spike,Paddy soils,silty clay loam,27.8 ,51.2 ,39.0 ,7.2 ,210 ,45 ,75 ,2292 ,6401 
91,W-YZB,WYZB0091,2008,WYZB01,11.1 ,16.0 ,7.1 ,2504.7 ,803.0 ,290.0 ,1135.2 ,2567.5 ,small_spike,Paddy soils,silty clay loam,21.5 ,30.5 ,62.0 ,7.2 ,225 ,45 ,75 ,2019 ,6276 
92,W-YZB,WYZB0092,2005,WYZB01,10.9 ,16.0 ,6.8 ,2502.9 ,883.0 ,316.3 ,1209.7 ,2721.6 ,medium_spike,Lime concretion fluvo-aquic soils,clay,15.4 ,28.5 ,62.0 ,5.6 ,195 ,75 ,98 ,3600 ,6243 
93,W-YZB,WYZB0093,2006,WYZB01,10.4 ,15.9 ,5.9 ,2200.6 ,651.3 ,344.8 ,1171.0 ,2567.5 ,small_spike,Yellow-cinnamon soils,loam,21.2 ,8.5 ,249.0 ,8.0 ,210 ,120 ,120 ,2067 ,6767 
94,W-YZB,WYZB0094,2008,WYZB01,10.0 ,15.5 ,5.5 ,2207.2 ,652.6 ,265.4 ,1258.9 ,2697.4 ,small_spike,Yellow-cinnamon soils,silty clay loam,17.8 ,16.8 ,156.0 ,5.4 ,195 ,72 ,150 ,2775 ,7710 
95,W-YZB,WYZB0095,2008,WYZB01,10.6 ,16.2 ,6.1 ,2452.9 ,788.3 ,290.5 ,1347.4 ,2901.6 ,small_spike,Yellow-cinnamon soils,loam,16.4 ,21.4 ,153.0 ,5.2 ,195 ,72 ,150 ,1905 ,7770 
96,W-YZB,WYZB0096,2009,WYZB01,9.2 ,14.0 ,5.4 ,2052.3 ,602.7 ,465.4 ,1125.4 ,2574.0 ,small_spike,Yellow-cinnamon soils,silty clay loam,18.1 ,16.8 ,146.0 ,5.7 ,195 ,72 ,150 ,2355 ,6585 
97,W-YZB,WYZB0097,2009,WYZB01,9.2 ,14.0 ,5.4 ,2032.8 ,593.2 ,465.4 ,1116.4 ,2558.5 ,small_spike,Yellow-cinnamon soils,silty clay loam,17.8 ,16.8 ,156.0 ,5.4 ,195 ,72 ,150 ,2340 ,5835 
98,W-YZB,WYZB0098,2009,WYZB01,9.2 ,14.1 ,5.4 ,2064.2 ,604.6 ,465.4 ,1125.7 ,2564.6 ,small_spike,Yellow-cinnamon soils,silty clay loam,20.1 ,16.0 ,117.0 ,6.0 ,195 ,72 ,150 ,2795 ,6033 
