Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1421,M-NCP,MNCP1421,2006,MNCP03,medium_maturity,22.5,26.6,19.8,2118.5,1178.5,607.3,581.2,1590.4,Skeletal soil,loam,9.6,32.5,85,5.4,255,120,150,7977
1422,M-NCP,MNCP1422,2007,MNCP03,medium_maturity,21.8,26.4,18.4,2766.6,1496.6,689.2,862.9,2251.6,Aeolian sandy soils,loam,14.1,54.8,50,5.4,180,60,120,8269
1423,M-NCP,MNCP1423,2007,MNCP03,medium_maturity,21.9,26.5,18.5,2734.7,1484.7,689.2,840.5,2203.9,Brown earths,loam,13.6,31.8,50,5.3,180,60,120,7638
1424,M-NCP,MNCP1424,2007,MNCP03,late_maturity,22.8,27.2,19.7,2397.1,1347.1,672,665.6,1792.2,Skeletal soil,loam,7.4,42.5,80,5.2,180,60,120,7577
1425,M-NCP,MNCP1425,2007,MNCP03,medium_maturity,22.1,26.8,18.1,2690.4,1470.4,760.5,910.8,2299.3,Brown earths,loam,9.1,39,47,5.8,180,90,150,5823
1426,M-NCP,MNCP1426,2007,MNCP03,medium_maturity,23.7,27.8,20.5,2445.3,1415.3,933.4,614.6,1613.3,Brown earths,loam,14,23.4,35,5.4,180,90,150,5708
1427,M-NCP,MNCP1427,2009,MNCP03,medium_maturity,23.3,28.1,19.3,2402.6,1372.6,428.8,755.6,1822.7,Brown earths,loam,12,49,123,5.7,180,90,150,7187
1428,M-NCP,MNCP1428,2009,MNCP03,medium_maturity,23.3,28.1,19.3,2402.6,1372.6,428.8,755.6,1822.7,Brown earths,loam,11.3,43.2,174,6.3,180,90,150,8256
1429,M-NCP,MNCP1429,2008,MNCP03,medium_maturity,22.6,26.3,19.8,2921.4,1631.4,598.3,720.8,1995.6,Brown earths,loam,10,12.8,92,6,225,105,15,9400
1430,M-NCP,MNCP1430,2008,MNCP03,medium_maturity,23,26.6,20.1,2892.3,1632.3,577.7,714.5,1958.1,Brown earths,silty clay loam,11,26.4,79,6.4,315,90,75,8472
1431,M-NCP,MNCP1431,2008,MNCP03,medium_maturity,23.2,27,20.1,2507.8,1427.8,475.7,641.5,1629.3,Brown earths,loam,11,13.8,101,6.6,225,105,30,8307
1432,M-NCP,MNCP1432,2008,MNCP03,medium_maturity,22.8,26.8,19.6,2601.5,1461.5,475.7,684.3,1694.2,Brown earths,silty clay loam,12,13.1,78,6.7,240,120,120,9458
1433,M-NCP,MNCP1433,2009,MNCP03,medium_maturity,23.7,27.8,20.2,2797.1,1617.1,469.4,804.9,2053.8,Brown earths,loam,15,19.7,86,5.8,315,117,114,9056
1434,M-NCP,MNCP1434,2008,MNCP03,medium_maturity,22.9,26.9,19.7,2565.7,1445.7,475.7,668.8,1667.5,Brown earths,clay loam,12,32.5,91,6.9,270,45,75,7583
1435,M-NCP,MNCP1435,2008,MNCP03,late_maturity,21.9,25.5,19.2,2738.7,1488.7,620.3,671.5,1931.6,Brown earths,sandy clay loam,13,17.1,89,6.4,330,135,30,8708
1436,M-NCP,MNCP1436,2007,MNCP03,medium_maturity,23.6,28.2,20.1,2596.7,1496.7,753.5,599.1,1623.5,Brown earths,sandy loam,8.7,18.3,76,6.8,195,60,90,7473
1437,M-NCP,MNCP1437,2007,MNCP03,medium_maturity,23.6,28.2,20,2664.4,1534.4,754.7,623.4,1681.6,Brown earths,loam,9.2,15.4,88,7.1,195,60,90,7784
1438,M-NCP,MNCP1438,2008,MNCP03,medium_maturity,23.5,28.2,19.8,2559.4,1469.4,544.8,667.6,1725.8,Brown earths,loam,8.7,14,86,6.9,188,60,90,7547
1439,M-NCP,MNCP1439,2008,MNCP03,medium_maturity,23.2,28.1,19.4,2594.7,1474.7,525.3,699.6,1762.5,Cinnamon soils,loam,8.7,18,85,6.8,150,45,75,7509
1440,M-NCP,MNCP1440,2008,MNCP03,medium_maturity,23.4,28.2,19.7,2553.7,1463.7,544.8,669.3,1717.3,Brown earths,loam,7.6,15,81,6.7,150,45,75,6780
1441,M-NCP,MNCP1441,2008,MNCP03,medium_maturity,23.3,28.1,19.5,2580.8,1470.8,525.3,689.5,1745.3,Lime concretion fluvo-aquic soils,sandy loam,12.5,18,94,7.3,188,60,90,9363
1442,M-NCP,MNCP1442,2008,MNCP03,medium_maturity,23.3,28.1,19.6,2584.9,1474.9,545.6,679.5,1735.6,Lime concretion fluvo-aquic soils,sandy loam,13.7,26,109,7.2,188,60,90,10050
1443,M-NCP,MNCP1443,2008,MNCP03,medium_maturity,23.4,28.3,19.9,2414.7,1384.7,551,578.1,1540.4,Brown earths,sandy clay loam,18,46.2,120,6.5,195,60,90,9042
1444,M-NCP,MNCP1444,2008,MNCP03,medium_maturity,23.4,28.3,19.9,2414.7,1384.7,551,578.1,1540.4,Brown earths,silt loam,13.7,24.6,66,6.5,195,60,90,7892
1445,M-NCP,MNCP1445,2008,MNCP03,medium_maturity,23.4,28.3,19.9,2414.7,1384.7,551,578.1,1540.4,Brown earths,loam,10.3,16.8,64,6.7,195,60,90,9551
1446,M-NCP,MNCP1446,2008,MNCP03,medium_maturity,23.4,28.3,19.9,2414.7,1384.7,551,578.1,1540.4,Brown earths,loam,18.2,12.5,82,6.8,195,60,90,9660
1447,M-NCP,MNCP1447,2009,MNCP03,medium_maturity,24.4,29,20.6,2636.2,1556.2,447.3,749.9,1834.5,Brown earths,sandy clay loam,14.2,54.2,134,7,195,60,90,9990
1448,M-NCP,MNCP1448,2008,MNCP03,medium_maturity,24.1,28.4,20.6,2528.9,1478.9,604,599.2,1576,Brown earths,loam,16,23.1,117,7,195,60,90,10131
1449,M-NCP,MNCP1449,2007,MNCP03,medium_maturity,24.9,29,21.6,2412.5,1442.5,788.8,482.7,1379.3,Brown earths,clay loam,7,7.4,122,7.1,195,60,75,7950
1450,M-NCP,MNCP1450,2009,MNCP03,medium_maturity,24.4,29,20.6,2636.2,1556.2,447.3,749.9,1834.5,Brown earths,loam,16.2,18.1,83,7,195,60,90,6873
1451,M-NCP,MNCP1451,2009,MNCP03,medium_maturity,24.4,29,20.6,2636.2,1556.2,447.3,749.9,1834.5,Lime concretion fluvo-aquic soils,clay loam,10,13.5,58,7,195,60,90,7541
1452,M-NCP,MNCP1452,2006,MNCP03,medium_maturity,24.7,29.1,21.3,2425.3,1445.3,423.1,542.7,1467.3,Fluvo-aquic soils,clay loam,16,32.8,98,7.1,195,60,90,4796
1453,M-NCP,MNCP1453,2007,MNCP03,medium_maturity,24.8,28.8,21.5,2451.2,1461.2,801.6,482.7,1389.6,Lime concretion fluvo-aquic soils,clay loam,12,33,81,7,195,60,75,7365
1454,M-NCP,MNCP1454,2009,MNCP03,medium_maturity,24.4,29,20.6,2636.2,1556.2,447.3,749.9,1834.5,Brown earths,loam,16,23.1,117,7,195,60,90,9153
