Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
1,M-NCP,MNCP0001,2005,MNCP01,medium_maturity,25.2,30.6,20.7,2944.6,1774.6,514.7,898.4,2166.6,Fluvo-aquic soils,loam,9.7,23.3,85,8.1,270,135,113,9386
2,M-NCP,MNCP0002,2005,MNCP01,medium_maturity,25.1,30.5,20.6,2932.3,1762.3,532.6,887.9,2145.1,Fluvo-aquic soils,loam,9.8,21.2,192,8.2,270,135,113,10268
3,M-NCP,MNCP0003,2009,MNCP01,medium_maturity,24.7,30,20.1,3007.3,1787.3,443.1,897.6,2220.5,Fluvo-aquic soils,loam,10.4,77.8,106,7.5,180,60,120,10268
4,M-NCP,MNCP0004,2009,MNCP01,medium_maturity,24.6,29.9,20,3072.4,1822.4,443.1,931.1,2295.6,Fluvo-aquic soils,loam,8.7,17.7,153,7.5,225,60,150,11201
5,M-NCP,MNCP0005,2009,MNCP01,medium_maturity,24.6,30,20.1,3050.8,1810.8,443.1,919.2,2264.9,Fluvo-aquic soils,loam,6.5,19.3,46,7.3,180,60,120,10334
6,M-NCP,MNCP0006,2009,MNCP01,medium_maturity,24.6,30,20.1,3028.2,1798.2,443.1,909.4,2246.5,Cinnamon soils,loamy sand,17.1,11.7,155,7.6,225,60,150,11190
7,M-NCP,MNCP0007,2009,MNCP01,medium_maturity,24.6,29.9,20,3072.7,1822.7,443.1,931.3,2291.4,Cinnamon soils,loamy sand,12.8,14.2,75,7.5,180,60,120,10380
8,M-NCP,MNCP0008,2009,MNCP01,medium_maturity,24.6,29.9,20,3072.7,1822.7,443.1,931.3,2291.4,Fluvo-aquic soils,loam,17.4,16.2,145,7.5,225,60,150,11135
9,M-NCP,MNCP0009,2009,MNCP01,medium_maturity,24.6,29.9,20,3093.3,1833.3,443.1,935.8,2302.5,Fluvo-aquic soils,loam,16.5,15.9,145,7.3,180,60,120,9470
10,M-NCP,MNCP0010,2009,MNCP01,medium_maturity,24.7,30,20.1,3008,1788,443,907.9,2244.2,Fluvo-aquic soils,loam,21.5,21.6,66,7.3,225,60,120,10967
11,M-NCP,MNCP0011,2009,MNCP01,medium_maturity,24.6,30,20.1,3029.8,1799.8,443.1,909.5,2238.8,Fluvo-aquic soils,loam,14.6,12.8,125,7.5,180,60,120,9365
12,M-NCP,MNCP0012,2008,MNCP01,medium_maturity,23.6,28.9,19.7,2496.9,1436.9,367.4,586.4,1544.9,Cinnamon soils,loam,16.4,7.5,154,7.2,180,60,120,5856
13,M-NCP,MNCP0013,2010,MNCP01,medium_maturity,26.5,31.2,22.3,2936.9,1826.9,356.2,746.2,1886.6,Cinnamon soils,loam,21.5,6.3,117,7.7,180,30,60,5400
14,M-NCP,MNCP0014,2008,MNCP01,medium_maturity,25.4,30.2,21.4,2696.4,1636.4,539.3,583.9,1588.1,Cinnamon soils,loam,21.3,20.1,107,8,180,60,120,5700
15,M-NCP,MNCP0015,2008,MNCP01,medium_maturity,25,29.8,20.9,2824.2,1694.2,543.8,629.1,1684.7,Cinnamon soils,loam,19.7,29.3,187,8.2,180,60,120,6870
16,M-NCP,MNCP0016,2008,MNCP01,medium_maturity,24.9,29.8,20.8,2616.3,1566.3,541.7,584.3,1548.5,Cinnamon soils,loam,20,53.8,167,7.8,225,60,150,5670
17,M-NCP,MNCP0017,2010,MNCP01,medium_maturity,26.5,31.3,22.4,2837.3,1767.3,354,716.3,1809.7,Cinnamon soils,sandy loam,16.6,65.7,213,7.3,195,15,60,6009
18,M-NCP,MNCP0018,2010,MNCP01,medium_maturity,26.5,31.3,22.4,2837.3,1767.3,354,716.3,1809.7,Cinnamon soils,loam,13.5,10.9,105,7.4,180,30,60,6210
19,M-NCP,MNCP0019,2008,MNCP01,medium_maturity,23.9,28.8,20.2,2655.1,1545.1,432.1,595.8,1620.9,Cinnamon soils,sandy clay loam,15.5,8.8,70,7.9,225,120,150,8639
20,M-NCP,MNCP0020,2009,MNCP01,medium_maturity,24.5,29.8,20.3,2722,1612,431.4,647.1,1703.2,Cinnamon soils,sandy loam,11.4,22,91,7.9,225,113,105,8939
21,M-NCP,MNCP0021,2009,MNCP01,medium_maturity,24.5,29.7,20.3,2696.3,1596.3,431.4,638,1681.4,Fluvo-aquic soils,loam,21,22,69,8,210,90,90,7199
22,M-NCP,MNCP0022,2009,MNCP01,medium_maturity,24.5,29.8,20.3,2722,1612,431.4,647.1,1703.2,Cinnamon soils,sandy clay loam,15.5,8.8,70,7.9,225,120,150,8588
23,M-NCP,MNCP0023,2008,MNCP01,medium_maturity,23.9,28.8,20.1,2674.7,1554.7,432.1,605,1637.2,Cinnamon soils,loam,15.4,26.2,65,7.9,210,135,120,8807
24,M-NCP,MNCP0024,2008,MNCP01,medium_maturity,24,28.8,20.2,2636.9,1536.9,432.1,589,1607.6,Cinnamon soils,sandy clay loam,14.6,14,71,7.9,210,135,120,8639
25,M-NCP,MNCP0025,2009,MNCP01,medium_maturity,24.5,29.8,20.3,2741.5,1621.5,431.4,658.4,1722.3,Cinnamon soils,loam,15.4,26.2,65,7.9,210,135,120,7560
26,M-NCP,MNCP0026,2009,MNCP01,medium_maturity,24.5,29.8,20.3,2699.4,1599.4,431.4,637.2,1685.8,Cinnamon soils,sandy clay loam,14.6,14,71,7.9,210,135,120,7896
27,M-NCP,MNCP0027,2008,MNCP01,medium_maturity,23.3,28.2,19.5,2748.6,1568.6,420.7,644,1706.1,Cinnamon soils,silt loam,8.5,15,39,7.9,210,105,90,7448
28,M-NCP,MNCP0028,2009,MNCP01,medium_maturity,23.9,29.2,19.7,2823.3,1643.3,431.4,683.2,1769.1,Cinnamon soils,silt loam,8.5,15,39,7.9,210,105,90,6186
29,M-NCP,MNCP0029,2009,MNCP01,medium_maturity,24.6,29.9,20.3,2758,1638,431.4,674.4,1761.8,Cinnamon soils,loamy sand,13.6,38.1,76,8.2,210,105,90,6393
30,M-NCP,MNCP0030,2008,MNCP01,medium_maturity,23.9,28.8,20.1,2723.5,1583.5,432.1,617.6,1672,Fluvo-aquic soils,silt loam,9.6,26.4,38,8.3,210,90,90,7299
31,M-NCP,MNCP0031,2009,MNCP01,medium_maturity,24.5,29.8,20.3,2794.6,1654.6,431.4,681.9,1774.1,Fluvo-aquic soils,silt loam,9.6,26.4,38,8.3,210,90,90,6609
32,M-NCP,MNCP0032,2009,MNCP01,medium_maturity,25,30.2,20.6,2820.2,1690.2,378,771.3,1910.9,Fluvo-aquic soils,loam,16.7,11,59,8.3,225,60,150,6426
33,M-NCP,MNCP0033,2009,MNCP01,medium_maturity,24.6,29.9,20.2,2753.8,1633.8,375.5,767.1,1860.3,Cinnamon soils,loam,19,54.3,68,8.4,225,60,150,8099
34,M-NCP,MNCP0034,2009,MNCP01,late_maturity,24.5,29.7,20.1,2837.1,1677.1,378.4,783.3,1908.1,Cinnamon soils,loam,15.3,26.8,120,8,225,60,150,8594
35,M-NCP,MNCP0035,2009,MNCP01,late_maturity,24.7,30,20.3,2812.2,1672.2,378,777.6,1897.7,Cinnamon soils,clay,22.8,49,149,8.3,225,60,150,8366
36,M-NCP,MNCP0036,2007,MNCP01,medium_maturity,24.5,29.4,20.5,2739.4,1619.4,426.2,582.8,1596.2,Cinnamon soils,loam,24.1,78,111,8.4,77,60,150,8589
37,M-NCP,MNCP0037,2007,MNCP01,medium_maturity,24.8,29.8,20.7,2682.1,1602.1,371.9,582,1582.7,Cinnamon soils,loam,19.4,57.2,120,8.5,43,60,90,5519
38,M-NCP,MNCP0038,2007,MNCP01,medium_maturity,24.7,29.6,20.6,2763.7,1643.7,385.6,604,1638.8,Cinnamon soils,loam,14.1,15.2,57,8,77,60,150,6675
39,M-NCP,MNCP0039,2007,MNCP01,medium_maturity,25.1,30.2,20.9,2664.6,1604.6,345,594,1594.3,Cinnamon soils,sandy loam,15,9.9,73,8.2,60,60,120,6540
40,M-NCP,MNCP0040,2008,MNCP01,medium_maturity,24,29,20.1,2619.5,1529.5,399.7,625.3,1628.6,Cinnamon soils,loam,13.5,18.5,65,8.3,43,60,90,7229
41,M-NCP,MNCP0041,2009,MNCP01,medium_maturity,24.9,30.1,20.6,2738.4,1638.4,378,733.4,1828.9,Cinnamon soils,loam,13.4,8.1,100,8.1,135,60,90,6668
42,M-NCP,MNCP0042,2008,MNCP01,medium_maturity,24,28.9,20.1,2592.7,1512.7,399.7,620.2,1613.1,Cinnamon soils,loam,16.8,38.6,117,8.1,43,60,90,6447
43,M-NCP,MNCP0043,2009,MNCP01,late_maturity,24.9,30.2,20.5,2988.9,1788.9,393.4,826.4,2049.6,Cinnamon soils,loam,15.3,5.1,61,6.9,135,60,90,5970
44,M-NCP,MNCP0044,2009,MNCP01,late_maturity,24.7,30.5,20,2915.1,1735.1,420.9,811,1982.8,Cinnamon soils,loamy sand,25.5,72.6,150,6.8,225,60,150,9960
45,M-NCP,MNCP0045,2009,MNCP01,medium_maturity,24.6,30.4,20,2857.6,1697.6,420.9,784.2,1925.8,Cinnamon soils,sandy clay loam,18.8,12.7,74,7.2,180,60,120,8913
46,M-NCP,MNCP0046,2009,MNCP01,medium_maturity,24.6,30.3,19.9,2850,1690,420.9,782.2,1916.7,Cinnamon soils,loamy sand,19.2,14.2,73,6.9,135,60,90,8225
47,M-NCP,MNCP0047,2009,MNCP01,medium_maturity,24.8,30.5,20.2,2831.3,1691.3,420.9,765,1899.5,Cinnamon soils,clay,15.6,15.3,54,7.1,225,60,150,9758
48,M-NCP,MNCP0048,2009,MNCP01,medium_maturity,24.6,30.4,20,2857.6,1697.6,420.9,784.2,1925.8,Cinnamon soils,loamy sand,22.9,20.4,80,6.8,180,60,120,9174
49,M-NCP,MNCP0049,2009,MNCP01,late_maturity,24.8,30.5,20.2,2776.4,1656.4,420.9,740.7,1846.4,Cinnamon soils,loam,20.5,27.4,82,8.3,180,60,120,8871
50,M-NCP,MNCP0050,2009,MNCP01,medium_maturity,24.6,30.4,20,2857.6,1697.6,420.9,784.2,1925.8,Cinnamon soils,loam,13.7,34.6,108,7.7,180,60,120,9117
51,M-NCP,MNCP0051,2009,MNCP01,late_maturity,24.7,30.4,20,2887.2,1717.2,420.9,797.5,1954.1,Cinnamon soils,loamy sand,21.4,49.5,136,8,225,60,150,9744
52,M-NCP,MNCP0052,2010,MNCP01,medium_maturity,25,30.1,20.8,2721.4,1631.4,396.2,636.5,1656.4,Cinnamon soils,loamy sand,18.6,30.1,146,8.4,225,60,150,9881
53,M-NCP,MNCP0053,2010,MNCP01,late_maturity,24.9,29.9,20.8,2539.5,1519.5,382.7,567.7,1502.1,Cinnamon soils,loamy sand,16.8,20.1,72,7.9,225,60,150,9663
54,M-NCP,MNCP0054,2010,MNCP01,medium_maturity,25.1,30.2,20.9,2636.6,1586.6,381.3,599,1579,Cinnamon soils,loamy sand,19.5,14.6,92,8.3,180,60,120,7683
55,M-NCP,MNCP0055,2010,MNCP01,medium_maturity,24.9,30.1,20.7,2691.9,1611.9,382.7,628.8,1630.6,Cinnamon soils,loamy sand,11.2,22.1,75,8.1,180,60,120,7436
56,M-NCP,MNCP0056,2010,MNCP01,late_maturity,24.9,30,20.7,2635.4,1575.4,382.7,604.3,1577.2,Cinnamon soils,loamy sand,16.7,27.7,93,7.9,180,60,120,7323
57,M-NCP,MNCP0057,2010,MNCP01,early_maturity,25,30.1,20.8,2697.2,1617.2,393.9,627.3,1634.5,Cinnamon soils,loamy sand,13.9,35.1,109,7.7,225,60,150,9198
58,M-NCP,MNCP0058,2010,MNCP01,late_maturity,24.9,29.9,20.8,2539.5,1519.5,382.7,567.7,1502.1,Cinnamon soils,loamy sand,20.3,32.4,94,8.3,225,60,150,9411
59,M-NCP,MNCP0059,2010,MNCP01,late_maturity,24.8,29.9,20.6,2604.4,1554.4,382.7,595.3,1555.5,Cinnamon soils,loamy sand,13.5,42.6,98,8.3,225,150,150,8061
60,M-NCP,MNCP0060,2010,MNCP01,late_maturity,25,30.1,20.8,2721.4,1631.4,396.2,636.5,1656.4,Cinnamon soils,loamy sand,13.6,63.6,149,8.4,225,60,150,8810
61,M-NCP,MNCP0061,2009,MNCP01,medium_maturity,25.3,30.7,20.8,2655.2,1605.2,454.7,684.7,1742.8,Cinnamon soils,loamy sand,15.8,21.9,158,7.8,225,60,150,8940
62,M-NCP,MNCP0062,2009,MNCP01,medium_maturity,25.3,30.7,20.8,2681,1621,454.7,694.9,1766.4,Cinnamon soils,loamy sand,14.1,7.5,216,8,180,60,120,10020
63,M-NCP,MNCP0063,2009,MNCP01,medium_maturity,25.3,30.7,20.8,2678.1,1618.1,454.7,691.5,1756.8,Cinnamon soils,loamy sand,16.3,6.7,110,8.1,180,60,120,6060
64,M-NCP,MNCP0064,2010,MNCP01,medium_maturity,25.7,30.6,21.6,2873.4,1753.4,295.7,675.9,1764.5,Cinnamon soils,loamy sand,19.5,6.3,117,7.9,225,60,150,10920
65,M-NCP,MNCP0065,2010,MNCP01,medium_maturity,25.7,30.7,21.7,2959.6,1809.6,295.7,697.1,1829.3,Cinnamon soils,loamy sand,14.2,11.2,133,8,225,60,150,8295
66,M-NCP,MNCP0066,2010,MNCP01,medium_maturity,25.4,30.3,21.5,2669.3,1619.3,292.2,595,1575.2,Cinnamon soils,loamy sand,15.8,21.9,158,7.8,225,60,150,8820
67,M-NCP,MNCP0067,2010,MNCP01,medium_maturity,25.5,30.5,21.6,2682,1632,295.3,602.4,1596.4,Cinnamon soils,loamy sand,14.1,7.5,216,8,180,60,120,8505
68,M-NCP,MNCP0068,2010,MNCP01,medium_maturity,26,30.9,22,2908.8,1788.8,295.7,674.3,1784.4,Cinnamon soils,loamy sand,14.7,6,109,8,180,60,120,8220
69,M-NCP,MNCP0069,2010,MNCP01,medium_maturity,25.7,30.7,21.7,2959.6,1809.6,295.7,697.1,1829.3,Cinnamon soils,loamy sand,21.5,6.4,133,7.6,180,60,120,6630
70,M-NCP,MNCP0070,2006,MNCP01,medium_maturity,25.1,30.8,20.6,2688.1,1618.1,208.5,684.2,1748.1,Cinnamon soils,loam,20.8,34,60,8,180,150,120,8306
71,M-NCP,MNCP0071,2006,MNCP01,medium_maturity,25.1,30.8,20.6,2690.3,1620.3,209.3,694.3,1767,Fluvo-aquic soils,loam,20.4,38.4,123,8.1,225,60,150,7889
72,M-NCP,MNCP0072,2006,MNCP01,medium_maturity,25.1,30.8,20.6,2715.7,1635.7,209.3,703.3,1788.6,Cinnamon soils,loamy sand,15.6,18,120,8,180,150,120,7917
73,M-NCP,MNCP0073,2006,MNCP01,medium_maturity,25.2,30.8,20.6,2666.6,1606.6,208.5,682,1740.1,Cinnamon soils,loamy sand,19.8,46.6,170,8,180,150,120,7856
74,M-NCP,MNCP0074,2006,MNCP01,medium_maturity,25.1,30.8,20.5,2740.7,1650.7,209.3,714.9,1814.3,Cinnamon soils,loam,17.2,47,140,8.1,225,60,150,7955
75,M-NCP,MNCP0075,2006,MNCP01,medium_maturity,25.1,30.8,20.6,2690.3,1620.3,209.3,694.3,1767,Cinnamon soils,loam,22.3,40.4,110,8,225,60,150,8186
76,M-NCP,MNCP0076,2006,MNCP01,medium_maturity,25.2,30.8,20.6,2666.6,1606.6,208.5,682,1740.1,Cinnamon soils,sandy loam,20.8,41,90,7.9,180,150,120,7905
77,M-NCP,MNCP0077,2007,MNCP01,medium_maturity,25.3,30.7,20.8,2630.3,1590.3,361.4,557,1535.1,Cinnamon soils,loam,20.4,38.4,123,8.1,180,150,120,8145
78,M-NCP,MNCP0078,2007,MNCP01,medium_maturity,25.4,30.9,20.8,2714.1,1644.1,361.4,576.3,1588,Cinnamon soils,loamy sand,14.7,15.2,70,8.1,180,150,120,8000
79,M-NCP,MNCP0079,2007,MNCP01,medium_maturity,25.4,31,20.8,2773.1,1683.1,361.4,594.9,1632.2,Cinnamon soils,loam,16.2,17.9,82,8,180,150,120,9449
80,M-NCP,MNCP0080,2007,MNCP01,medium_maturity,25.4,31,20.8,2773.1,1683.1,361.4,594.9,1632.2,Cinnamon soils,loamy sand,21.8,38.7,110,8.3,225,60,150,7829
81,M-NCP,MNCP0081,2008,MNCP01,medium_maturity,25,30.2,20.7,2651.8,1591.8,537.1,656.2,1703.1,Cinnamon soils,loam,14.7,14.7,70,8.1,180,150,120,7937
82,M-NCP,MNCP0082,2008,MNCP01,medium_maturity,25.1,30.3,20.7,2736.5,1646.5,533.7,695.2,1789.5,Cinnamon soils,loamy sand,17.9,22,120,8,180,150,120,8175
83,M-NCP,MNCP0083,2008,MNCP01,medium_maturity,25.1,30.3,20.7,2736.5,1646.5,533.7,695.2,1789.5,Cinnamon soils,sandy clay loam,20.8,41,90,7.9,180,150,120,8960
84,M-NCP,MNCP0084,2008,MNCP01,medium_maturity,24.9,30.1,20.6,2639.9,1579.9,537.1,652.1,1692.7,Cinnamon soils,loam,21.8,38.7,110,8.3,225,60,150,8496
85,M-NCP,MNCP0085,2009,MNCP01,medium_maturity,25,30.7,20.2,2651.4,1591.4,475.9,678.3,1739.6,Cinnamon soils,loam,17.9,22,120,8,180,150,120,9209
86,M-NCP,MNCP0086,2009,MNCP01,medium_maturity,24.9,30.7,20.1,2839.6,1699.6,526.5,732.1,1875.2,Cinnamon soils,loamy sand,20.8,41,90,7.9,180,150,120,7658
87,M-NCP,MNCP0087,2009,MNCP01,medium_maturity,24.9,30.7,20.2,2693.5,1613.5,502.7,681.8,1754.3,Cinnamon soils,loamy sand,10.7,31.9,79,8.2,180,150,120,7896
88,M-NCP,MNCP0088,2009,MNCP01,medium_maturity,24.9,30.7,20.1,2742.1,1642.1,502.7,695.8,1788.2,Cinnamon soils,loam,15.1,21.8,100,8.2,180,150,120,8826
89,M-NCP,MNCP0089,2009,MNCP01,medium_maturity,24.9,30.7,20.1,2811.8,1681.8,502.7,711.8,1829.5,Cinnamon soils,loam,14.7,14.7,70,8.1,180,150,120,8645
90,M-NCP,MNCP0090,2009,MNCP01,medium_maturity,25,30.8,20.2,2753.3,1653.3,499.7,717.6,1831.4,Cinnamon soils,loam,21.6,21.2,100,8,225,60,150,10728
91,M-NCP,MNCP0091,2009,MNCP01,medium_maturity,25,30.7,20.2,2673.6,1603.6,475.9,681.8,1749.3,Cinnamon soils,loam,22.8,44,140,8.3,225,60,150,9090
92,M-NCP,MNCP0092,2009,MNCP01,medium_maturity,24.9,30.6,20.2,2688.6,1608.6,502.7,674.3,1739.4,Cinnamon soils,loamy sand,19.4,48,120,8.1,180,150,120,8496
93,M-NCP,MNCP0093,2008,MNCP01,medium_maturity,25.2,29.9,21.3,2623.9,1583.9,420.5,587.6,1574.2,Fluvo-aquic soils,loamy sand,17.3,80,82,7.9,180,60,120,8315
94,M-NCP,MNCP0094,2008,MNCP01,medium_maturity,25.3,30.1,21.4,2633.4,1593.4,417.6,590.7,1581.7,Fluvo-aquic soils,loam,21.1,32,70,7.9,225,60,150,8735
95,M-NCP,MNCP0095,2008,MNCP01,medium_maturity,24.9,29.6,21,2758.4,1648.4,431,611.6,1647.8,Fluvo-aquic soils,loamy sand,13.7,19,40,8.3,180,60,120,7713
96,M-NCP,MNCP0096,2009,MNCP01,medium_maturity,25.2,30.4,20.9,2596.2,1566.2,379.6,713.3,1765.8,Fluvo-aquic soils,loamy sand,17.3,80,82,7.9,180,60,120,8771
97,M-NCP,MNCP0097,2009,MNCP01,medium_maturity,25.2,30.4,20.9,2596.2,1566.2,379.6,713.3,1765.8,Fluvo-aquic soils,loamy sand,14.8,20,80,8.2,180,60,120,8291
98,M-NCP,MNCP0098,2009,MNCP01,medium_maturity,25.2,30.4,20.9,2596.2,1566.2,379.6,713.3,1765.8,Fluvo-aquic soils,loamy sand,12.2,36,130,8.5,180,60,120,8541
99,M-NCP,MNCP0099,2009,MNCP01,medium_maturity,25.2,30.4,20.9,2596.2,1566.2,379.6,713.3,1765.8,Fluvo-aquic soils,loam,21.1,32,70,7.9,225,60,150,8822
100,M-NCP,MNCP0100,2010,MNCP01,medium_maturity,25.5,30.3,21.6,2679.8,1629.8,311.1,648.3,1662.9,Fluvo-aquic soils,loamy sand,22.1,27.4,80,8.1,180,60,120,8622
101,M-NCP,MNCP0101,2010,MNCP01,medium_maturity,25.5,30.3,21.6,2679.8,1629.8,311.1,648.3,1662.9,Fluvo-aquic soils,loamy sand,17.2,26,140,8.1,180,60,120,8505
102,M-NCP,MNCP0102,2010,MNCP01,medium_maturity,25.5,30.3,21.6,2679.8,1629.8,311.1,648.3,1662.9,Fluvo-aquic soils,loamy sand,24.1,34.7,90,8.1,225,60,150,10025
103,M-NCP,MNCP0103,2010,MNCP01,medium_maturity,25.5,30.3,21.6,2679.8,1629.8,311.1,648.3,1662.9,Fluvo-aquic soils,loamy sand,24.6,34.3,70,8.1,225,60,150,9402
104,M-NCP,MNCP0104,2010,MNCP01,medium_maturity,25.5,30.3,21.6,2679.8,1629.8,311.1,648.3,1662.9,Fluvo-aquic soils,loamy sand,17.8,25.7,90,8.1,180,60,120,8786
105,M-NCP,MNCP0105,2010,MNCP01,medium_maturity,25.5,30.3,21.6,2679.8,1629.8,311.1,648.3,1662.9,Fluvo-aquic soils,loamy sand,15.3,28,90,8.1,180,60,120,8199
106,M-NCP,MNCP0106,2010,MNCP01,medium_maturity,25.5,30.3,21.6,2679.8,1629.8,311.1,648.3,1662.9,Fluvo-aquic soils,loamy sand,16.6,26.9,80,8.1,180,60,120,8799
107,M-NCP,MNCP0107,2010,MNCP01,medium_maturity,25.5,30.3,21.6,2679.8,1629.8,311.1,648.3,1662.9,Fluvo-aquic soils,loamy sand,16.2,29.3,80,8.1,180,60,120,8628
108,M-NCP,MNCP0108,2008,MNCP01,medium_maturity,25.3,30,21.3,2604.1,1574.1,414.3,587.6,1566.7,Fluvo-aquic soils,loamy sand,12.2,36,130,8.5,180,60,120,7713
109,M-NCP,MNCP0109,2007,MNCP01,medium_maturity,25.3,30.4,21.3,2531.7,1531.7,243.6,716.2,1729.4,Fluvo-aquic soils,loam,16.2,30.9,80,8.7,180,60,120,8475
110,M-NCP,MNCP0110,2007,MNCP01,medium_maturity,24.9,29.9,21,2641.5,1581.5,262.1,731.1,1784.5,Fluvo-aquic soils,loamy sand,12.3,24.6,70,8.8,180,60,120,8736
111,M-NCP,MNCP0111,2007,MNCP01,medium_maturity,25,29.9,21,2596.2,1556.2,255.7,725,1759.8,Fluvo-aquic soils,loamy sand,15.1,51.8,120,8.1,180,60,120,8609
112,M-NCP,MNCP0112,2007,MNCP01,medium_maturity,25,30,21.1,2626.5,1576.5,261.6,722.3,1771.3,Fluvo-aquic soils,loam,18.8,22.5,120,8.7,225,60,150,9225
113,M-NCP,MNCP0113,2007,MNCP01,medium_maturity,24.8,29.6,20.9,2675.6,1595.6,279.9,731.1,1793.9,Fluvo-aquic soils,loam,9.8,16.1,130,8.6,135,60,90,9432
114,M-NCP,MNCP0114,2007,MNCP01,medium_maturity,24.8,29.7,20.8,3048.7,1818.7,291.6,838.6,2065.3,Fluvo-aquic soils,loam,18.7,27.9,150,8.6,225,60,150,5903
115,M-NCP,MNCP0115,2007,MNCP01,medium_maturity,25.1,30.1,21,2834.9,1704.9,261.6,785.5,1926.2,Fluvo-aquic soils,loamy sand,19.9,31.8,120,8.6,225,60,150,9120
116,M-NCP,MNCP0116,2008,MNCP01,medium_maturity,24.8,29.7,20.9,2756.7,1646.7,363.6,828.7,1965.7,Fluvo-aquic soils,loamy sand,12.9,18.2,130,8.7,180,60,120,10340
117,M-NCP,MNCP0117,2008,MNCP01,medium_maturity,24.8,29.6,20.9,2730.5,1630.5,362.4,821.7,1944.3,Fluvo-aquic soils,loamy sand,13.3,18.8,120,8.7,180,60,120,9630
118,M-NCP,MNCP0118,2008,MNCP01,medium_maturity,25.1,29.8,21.2,2681.4,1611.4,363.6,794.6,1903.3,Fluvo-aquic soils,loam,25.8,24.6,170,8.5,225,60,150,10671
119,M-NCP,MNCP0119,2008,MNCP01,medium_maturity,25.3,30,21.4,2701.9,1631.9,383.3,786.7,1898.7,Fluvo-aquic soils,loam,22.6,17.8,150,8.5,180,60,120,10892
120,M-NCP,MNCP0120,2008,MNCP01,medium_maturity,24.7,29.5,20.8,2742.5,1632.5,364.8,821.7,1948.9,Fluvo-aquic soils,loam,17.7,72,110,8.8,135,60,90,9509
121,M-NCP,MNCP0121,2010,MNCP01,medium_maturity,25.1,29.8,21.2,2557.9,1537.9,374,565.1,1495,Fluvo-aquic soils,loamy sand,16.5,26.3,110,8.5,180,60,120,8880
122,M-NCP,MNCP0122,2010,MNCP01,medium_maturity,25,29.7,21.1,2675.7,1605.7,374,591.1,1563.4,Fluvo-aquic soils,loam,17.9,20.3,110,8.5,135,60,90,7455
123,M-NCP,MNCP0123,2010,MNCP01,medium_maturity,25.4,30,21.6,2640.1,1600.1,374.7,558.6,1517.4,Fluvo-aquic soils,loam,23.2,25.7,120,8.4,225,60,150,10185
124,M-NCP,MNCP0124,2007,MNCP01,medium_maturity,25.2,30.4,20.6,2674.9,1614.9,281.6,577,1559.6,Cinnamon soils,loam,17.6,18,84,8,225,105,105,8340
125,M-NCP,MNCP0125,2007,MNCP01,medium_maturity,25.2,30.4,20.6,2726,1646,281.6,587.6,1591.2,Cinnamon soils,loam,20.2,18,98,8.1,225,105,105,9600
126,M-NCP,MNCP0126,2007,MNCP01,medium_maturity,24.6,29.6,20.2,2855.5,1695.5,359.9,599.1,1643.8,Cinnamon soils,sandy clay loam,15.8,19,73,7.9,195,83,75,9000
127,M-NCP,MNCP0127,2007,MNCP01,medium_maturity,25.2,30.4,20.6,2674.9,1614.9,281.6,577,1559.6,Cinnamon soils,loamy sand,12.1,10,44,7.9,195,83,75,7920
128,M-NCP,MNCP0128,2007,MNCP01,medium_maturity,24.7,29.7,20.2,2787.6,1657.6,356,588.5,1607.5,Cinnamon soils,loam,26.9,30,108,7.9,225,105,105,8550
129,M-NCP,MNCP0129,2007,MNCP01,medium_maturity,24.6,29.6,20.2,2804.4,1664.4,359.9,588.5,1612.1,Cinnamon soils,loam,19.8,42,122,7.8,225,105,105,8460
130,M-NCP,MNCP0130,2007,MNCP01,medium_maturity,24.8,29.9,20.3,2779.3,1659.3,321.5,599.1,1622.4,Cinnamon soils,loamy sand,15.8,10,88,8.1,195,83,75,9015
131,M-NCP,MNCP0131,2007,MNCP01,late_maturity,25.1,30.3,20.5,2714.3,1634.3,299.6,587.6,1588.6,Cinnamon soils,loam,16.1,32,94,8,195,83,75,8850
132,M-NCP,MNCP0132,2007,MNCP01,medium_maturity,25.3,30.5,20.6,2683.9,1623.9,281.3,587.6,1578.8,Cinnamon soils,loam,16.9,27,54,8,165,83,60,7650
133,M-NCP,MNCP0133,2007,MNCP01,medium_maturity,24.7,29.7,20.2,2787.6,1657.6,356,588.5,1607.5,Cinnamon soils,loam,15.8,15,88,7.8,165,83,60,7800
134,M-NCP,MNCP0134,2008,MNCP01,medium_maturity,24.6,29.6,20.3,2701.1,1601.1,474,638.3,1682.3,Cinnamon soils,loam,16.9,19,85,7.8,225,105,105,8790
135,M-NCP,MNCP0135,2008,MNCP01,medium_maturity,25,30.1,20.8,2603.2,1563.2,456.2,617.7,1624.2,Cinnamon soils,sandy clay loam,15.5,21,76,7.9,195,83,75,7845
136,M-NCP,MNCP0136,2008,MNCP01,medium_maturity,24.6,29.6,20.4,2682.9,1592.9,474,630.4,1667.5,Cinnamon soils,loamy sand,13.2,14,55,8.1,195,83,75,8655
137,M-NCP,MNCP0137,2008,MNCP01,medium_maturity,24.9,29.9,20.7,2637.9,1577.9,473.9,617.7,1636.7,Cinnamon soils,loam,19.3,21,101,8.1,225,105,105,8400
