Sort,Crop,NO,Year,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
39,W-YZB,WYZB0039,2008,12.2,16.7,8.5,2798,971.4,278.3,1229,2734,small_spike,Lime concretion fluvo-aquic soils,clay loam,13.7,11.5,126,5.9,210,75,60,7605
40,W-YZB,WYZB0040,2009,11.1,15.3,7.7,2691.2,951.5,553.8,1221,2832.2,small_spike,Lime concretion fluvo-aquic soils,clay loam,19.9,12.1,122,6.4,225,90,75,7530
41,W-YZB,WYZB0041,2009,11.1,15.4,7.7,2708,968.3,553.5,1228.8,2856.9,small_spike,Lime concretion fluvo-aquic soils,clay loam,25.6,25.8,67,5.6,225,90,75,7020
42,W-YZB,WYZB0042,2008,12.2,16.7,8.5,2820.8,984.2,278.3,1237.9,2750.1,small_spike,Lime concretion fluvo-aquic soils,clay loam,11.7,4.8,86,5.5,210,75,60,7605
43,W-YZB,WYZB0043,2008,12.2,16.8,8.6,2828.9,992.3,278.3,1236.6,2758.4,small_spike,Fluvo-aquic soils,sandy loam,12.4,9.6,81,6.6,225,75,75,6750
44,W-YZB,WYZB0044,2009,12.2,16.4,8.8,3193.8,1264.1,554.3,1341.1,3154.7,small_spike,Paddy soils,silty clay loam,23.4,18.2,88,6.1,225,90,75,6795
45,W-YZB,WYZB0045,2007,11.7,16,8.2,2693.2,965,455.1,1233.7,2795.2,medium_spike,Paddy soils,clay loam,16.9,19.9,121,5.9,225,75,98,6975
46,W-YZB,WYZB0046,2008,12.2,16.7,8.5,2798,971.4,278.3,1229,2734,small_spike,Lime concretion fluvo-aquic soils,clay loam,18.8,20.4,131,6.4,225,75,75,6282
47,W-YZB,WYZB0047,2008,12.2,16.7,8.5,2802.1,975.5,278.3,1226.4,2734.5,small_spike,Paddy soils,clay loam,22.1,20.4,132,6.5,225,75,75,6900
48,W-YZB,WYZB0048,2009,10.7,14.9,7.3,2515.3,855.6,481.8,1183.6,2715.2,small_spike,Paddy soils,clay loam,22.5,15.8,138,6.4,225,90,75,7280
49,W-YZB,WYZB0049,2008,12.2,16.7,8.5,2798,971.4,278.3,1229,2734,small_spike,Paddy soils,clay loam,28,21.3,60,5.1,210,75,60,7301
50,W-YZB,WYZB0050,2009,10.9,15.2,7.5,2613.7,914,551.7,1207.6,2793,small_spike,Paddy soils,clay loam,27.2,18.7,135,5.8,225,90,75,7380
51,W-YZB,WYZB0051,2008,12.2,16.7,8.5,2798,971.4,278.3,1229,2734,small_spike,Lime concretion fluvo-aquic soils,silty clay loam,20,18.1,147,6.6,210,75,60,7680
52,W-YZB,WYZB0052,2009,11.1,15.4,7.7,2719.3,969.6,553.5,1234.2,2863.7,small_spike,Yellow-cinnamon soils,silty clay loam,22.3,12.9,69,5.8,225,90,75,6960
53,W-YZB,WYZB0053,2007,12.2,16.7,8.5,2827.5,980.9,278.3,1245.8,2753.6,small_spike,Paddy soils,silty clay loam,20.3,12.6,79,6.6,225,75,98,7680
54,W-YZB,WYZB0054,2008,12.2,16.7,8.5,2827.5,980.9,278.3,1245.8,2753.6,small_spike,Yellow-cinnamon soils,silty clay loam,20,18.1,147,6.6,210,75,60,7680
55,W-YZB,WYZB0055,2007,12.7,16.9,9.4,3144.6,1246.4,506.6,1264.6,2995.6,small_spike,Paddy soils,clay loam,15.4,15,156,6.9,225,75,98,6840
56,W-YZB,WYZB0056,2008,12.2,16.7,8.5,2798,971.4,278.3,1229,2734,small_spike,Paddy soils,clay loam,15.4,14,116,6.5,210,75,60,7845
57,W-YZB,WYZB0057,2009,10.7,15,7.3,2523.2,863.5,481.8,1187.9,2731.5,small_spike,Paddy soils,clay loam,19.8,16.3,135,6.8,225,90,75,7218
58,W-YZB,WYZB0058,2008,12.2,16.7,8.5,2840.1,983.5,279.9,1236,2740.1,small_spike,Lime concretion fluvo-aquic soils,clay loam,20,13.4,156,6.6,210,75,60,7920
59,W-YZB,WYZB0059,2008,11.9,16.5,8.3,2701.5,914.9,278.3,1197.8,2663.4,small_spike,Paddy soils,clay loam,27.3,24.6,132,6.6,210,75,60,6690
60,W-YZB,WYZB0060,2009,11.1,15.3,7.7,2699,959.3,553.5,1229.7,2853,small_spike,Fluvo-aquic soils,sandy loam,15.3,9.3,86,7.6,225,90,75,7050
61,W-YZB,WYZB0061,2009,10.7,15,7.3,2535.3,865.6,482.2,1184,2720.6,small_spike,Paddy soils,clay loam,20.6,33.6,288,6.1,225,90,75,7004
62,W-YZB,WYZB0062,2007,11.6,15.9,8.2,2674.7,946.5,455.1,1229.8,2773.5,small_spike,Fluvo-aquic soils,silty clay loam,21,28,156,7.7,225,75,98,7200
63,W-YZB,WYZB0063,2008,12.3,16.8,8.6,2881.8,1015.2,278.3,1265.7,2800.5,medium_spike,Paddy soils,clay loam,14.8,12.2,121,6.9,225,75,75,7005
64,W-YZB,WYZB0064,2009,10.7,15,7.3,2523.2,863.5,481.8,1187.9,2731.5,small_spike,Paddy soils,clay loam,14.8,14.8,121,6.9,225,90,75,7020
65,W-YZB,WYZB0065,2008,12.3,16.8,8.6,2881.8,1015.2,278.3,1265.7,2800.5,medium_spike,Paddy soils,clay loam,14.8,12.2,121,6.9,225,75,75,7005
66,W-YZB,WYZB0066,2005,10.4,15.5,6.3,2235.8,755.3,314.4,1121.8,2516,small_spike,Paddy soils,clay,18.7,42.9,96,6.4,195,75,98,5475
67,W-YZB,WYZB0067,2005,10.4,15.5,6.3,2235.8,755.3,314.4,1121.8,2516,medium_spike,Paddy soils,silty clay loam,18.9,42.9,93,5.9,195,75,98,6000
68,W-YZB,WYZB0068,2007,10.5,15.3,6.5,2425.6,808.4,384,1230.3,2750.4,small_spike,Paddy soils,silty clay loam,25.6,35.6,87,6.6,210,45,75,6267
69,W-YZB,WYZB0069,2005,10.5,15.6,6.3,2315.1,774.6,315.8,1150.4,2569.7,medium_spike,Paddy soils,silty clay loam,21.6,39.5,82,6.4,195,75,98,7751
70,W-YZB,WYZB0070,2009,10.3,14.7,6.6,2426.9,829.5,508.3,1068.8,2595.4,small_spike,Paddy soils,silty clay loam,21.1,8.8,45,6.4,225,75,75,5951
71,W-YZB,WYZB0071,2005,10.7,15.8,6.5,2352.9,822.4,314.4,1164.5,2615.2,medium_spike,Paddy soils,clay,17.8,58.1,84,7,195,75,98,5949
72,W-YZB,WYZB0072,2005,11.8,16.8,7.7,2672.9,934.5,389.2,1230,2719.5,small_spike,Paddy soils,clay,18.9,27.5,62,6.5,195,60,90,6534
73,W-YZB,WYZB0073,2007,10.6,15.5,6.7,2504.8,847.6,391.5,1253.2,2808.2,small_spike,Paddy soils,clay,25.6,25.6,60,6.6,210,45,75,7034
74,W-YZB,WYZB0074,2006,11.7,16.8,7.7,2654.9,926.5,389.3,1220.9,2708.5,small_spike,Paddy soils,silty clay loam,20.7,48.9,89,6.4,195,60,90,6330
75,W-YZB,WYZB0075,2006,11.3,16.2,7.3,2583.8,852.1,290,1154.7,2626.4,small_spike,Paddy soils,clay,20.6,28,86,6.5,225,45,75,5400
76,W-YZB,WYZB0076,2007,10.3,15.2,6.4,2320.7,773.5,391.5,1199.1,2692.3,small_spike,Paddy soils,clay,20.6,28,86,6.5,210,45,75,6795
77,W-YZB,WYZB0077,2005,10.7,15.8,6.5,2383.7,823.2,315.8,1173.3,2627.5,medium_spike,Paddy soils,silty clay loam,18.6,55.1,89,6.2,195,75,98,5151
78,W-YZB,WYZB0078,2005,10.4,15.2,6.4,2353.9,786.7,391.5,1205.9,2709.1,small_spike,Paddy soils,silty clay loam,21.4,37.8,81,7.6,240,45,75,7466
79,W-YZB,WYZB0079,2006,11.8,16.8,7.8,2698.2,949.8,396.1,1220.9,2723.3,small_spike,Paddy soils,silty clay loam,32.8,45.2,90,6.1,195,60,90,7200
80,W-YZB,WYZB0080,2005,10.7,15.9,6.6,2420.2,839.7,315.8,1192.5,2667.2,medium_spike,Lime concretion fluvo-aquic soils,clay,27,58.9,83,6.3,195,75,98,4976
81,W-YZB,WYZB0081,2005,11.8,16.8,7.8,2698.2,949.8,396.1,1220.9,2723.3,medium_spike,Paddy soils,clay,19.3,40.6,79,6.6,195,60,90,6033
82,W-YZB,WYZB0082,2005,10.9,16,6.7,2458.5,868,316.3,1197.6,2688.9,small_spike,Paddy soils,clay,19.1,43.5,92,8,195,75,98,6500
83,W-YZB,WYZB0083,2007,10.2,15.1,6.3,2310.1,752.9,384,1178.2,2644.2,small_spike,Yellow-cinnamon soils,clay,24.1,40.2,95,7,225,45,75,7001
84,W-YZB,WYZB0084,2005,12,17,7.9,2764.7,986.3,397.3,1238.4,2762.7,medium_spike,Paddy soils,silty clay loam,15,44.6,82,5.3,195,60,90,7170
85,W-YZB,WYZB0085,2007,10.4,15.2,6.5,2405.6,788.4,384,1216.1,2718.7,small_spike,Lime concretion fluvo-aquic soils,silty clay loam,14.3,56.9,105,5.6,225,45,90,7529
86,W-YZB,WYZB0086,2007,10.3,15.2,6.4,2375.2,778,384,1207.1,2698.2,small_spike,Paddy soils,silty clay loam,17.9,40.1,83,5.3,225,45,75,8112
87,W-YZB,WYZB0087,2008,10.5,14.9,6.8,2546.4,879,508.3,1118.6,2680.5,small_spike,Paddy soils,silty clay loam,15.8,47,56,6.7,225,75,75,6795
88,W-YZB,WYZB0088,2006,11.9,16.9,7.8,2719.2,960.8,389.2,1241.9,2744.6,small_spike,Paddy soils,silty clay loam,22,42.9,77,7.3,195,60,90,6834
89,W-YZB,WYZB0089,2006,11.9,16.9,7.8,2721.4,963,396.1,1229.5,2739.1,small_spike,Paddy soils,silty clay loam,14.8,39.2,100,7.3,195,60,90,5852
90,W-YZB,WYZB0090,2006,10.3,15.2,6.4,2330.7,773.5,384,1203.2,2697.3,medium_spike,Paddy soils,silty clay loam,27.8,51.2,39,7.2,210,45,75,6401
91,W-YZB,WYZB0091,2008,11.1,16,7.1,2504.7,803,290,1135.2,2567.5,small_spike,Paddy soils,silty clay loam,21.5,30.5,62,7.2,225,45,75,6276
92,W-YZB,WYZB0092,2005,10.9,16,6.8,2502.9,883,316.3,1209.7,2721.6,medium_spike,Lime concretion fluvo-aquic soils,clay,15.4,28.5,62,5.6,195,75,98,6243
93,W-YZB,WYZB0093,2006,10.4,15.9,5.9,2200.6,651.3,344.8,1171,2567.5,small_spike,Yellow-cinnamon soils,loam,21.2,8.5,249,8,210,120,120,6767
94,W-YZB,WYZB0094,2008,10,15.5,5.5,2207.2,652.6,265.4,1258.9,2697.4,small_spike,Yellow-cinnamon soils,silty clay loam,17.8,16.8,156,5.4,195,72,150,7710
95,W-YZB,WYZB0095,2008,10.6,16.2,6.1,2452.9,788.3,290.5,1347.4,2901.6,small_spike,Yellow-cinnamon soils,loam,16.4,21.4,153,5.2,195,72,150,7770
96,W-YZB,WYZB0096,2009,9.2,14,5.4,2052.3,602.7,465.4,1125.4,2574,small_spike,Yellow-cinnamon soils,silty clay loam,18.1,16.8,146,5.7,195,72,150,6585
97,W-YZB,WYZB0097,2009,9.2,14,5.4,2032.8,593.2,465.4,1116.4,2558.5,small_spike,Yellow-cinnamon soils,silty clay loam,17.8,16.8,156,5.4,195,72,150,5835
98,W-YZB,WYZB0098,2009,9.2,14.1,5.4,2064.2,604.6,465.4,1125.7,2564.6,small_spike,Yellow-cinnamon soils,silty clay loam,20.1,16,117,6,195,72,150,6033
99,W-YZB,WYZB0099,2009,9.7,14.5,5.8,2224.4,694.8,465.4,1197.6,2732.4,small_spike,Yellow-cinnamon soils,silty clay loam,17.2,21,156,5.2,195,72,150,6504
100,W-YZB,WYZB0100,2006,10.2,15.7,5.7,2082.1,602.8,333.7,1135.6,2491.3,small_spike,Yellow-cinnamon soils,silty clay loam,19.3,20.4,29,5.7,195,90,180,4736
101,W-YZB,WYZB0101,2007,9.8,15.1,5.5,2305.6,702.7,331.7,1289.9,2839.7,small_spike,Yellow-cinnamon soils,silty clay loam,18.1,16.8,118,5.7,195,90,180,5415
102,W-YZB,WYZB0102,2008,9.9,15.4,5.4,2144.7,620.1,265.4,1247.7,2660.3,small_spike,Yellow-cinnamon soils,silty clay loam,24.1,18.7,143,5.5,195,72,150,6750
103,W-YZB,WYZB0103,2008,10,15.6,5.5,2220.8,656.2,265.4,1267.3,2712.1,small_spike,Yellow-cinnamon soils,silty clay loam,18.1,16.8,146,5.7,195,72,150,5768
104,W-YZB,WYZB0104,2009,8.9,13.6,5.1,1919.8,530.2,463.8,1070.4,2453.9,small_spike,Yellow-cinnamon soils,silty clay loam,24.1,18.7,143,5.5,195,72,150,5012
105,W-YZB,WYZB0105,2008,10.1,15.6,5.5,2217.4,662.8,265.4,1269.5,2717.6,small_spike,Yellow-cinnamon soils,silty clay loam,16.3,22.3,163,6.1,195,72,150,8501
106,W-YZB,WYZB0106,2007,9.5,14.8,5.2,2152,649.1,330.8,1229.4,2716.9,small_spike,Yellow-cinnamon soils,silty clay loam,19.6,20.6,110,5.4,195,90,180,6315
107,W-YZB,WYZB0107,2008,9.9,15.5,5.4,2162.6,638,265.4,1245,2667.7,small_spike,Yellow-cinnamon soils,silty clay loam,22.6,19.1,153,5.2,195,72,150,6315
108,W-YZB,WYZB0108,2009,8.9,13.7,5.1,1927.8,538.2,465.4,1069.7,2464.5,small_spike,Yellow-cinnamon soils,silty clay loam,22.6,19.1,153,5.2,195,72,150,4755
109,W-YZB,WYZB0109,2007,9.7,14.9,5.3,2198.2,675.3,330.8,1249.9,2764.7,small_spike,Yellow-cinnamon soils,silty clay loam,19.7,14.2,95,7.1,195,90,180,7710
110,W-YZB,WYZB0110,2008,10,15.6,5.5,2202.5,657.9,265.4,1263,2705.4,small_spike,Yellow-cinnamon soils,silty clay loam,19.8,17.4,136,5.7,195,72,150,8213
111,W-YZB,WYZB0111,2007,9.3,14.5,5,2049.3,596.4,314.5,1192.8,2635.6,small_spike,Yellow-cinnamon soils,silty clay loam,16.3,16.4,88,5.7,195,90,180,6315
112,W-YZB,WYZB0112,2009,8.8,13.5,5,1859.5,516,456.8,1053,2431.9,small_spike,Yellow-cinnamon soils,silty clay loam,23.6,19.3,116,6.4,210,90,180,6623
113,W-YZB,WYZB0113,2006,10.6,16.1,6.1,2280.8,701.5,344.8,1195,2628.2,small_spike,Yellow-cinnamon soils,loam,12.6,8.7,69,6.6,195,90,180,7437
114,W-YZB,WYZB0114,2006,10.6,15.9,6.3,2140.1,690.8,355.6,1082.2,2479.6,small_spike,Yellow-cinnamon soils,loam,12,3.4,169,7.3,210,120,120,6956
115,W-YZB,WYZB0115,2007,9.8,15.1,5.5,2272.4,709.5,330.8,1276.9,2823,small_spike,Yellow-cinnamon soils,silty clay loam,17.2,12,161,5.7,195,90,180,7770
116,W-YZB,WYZB0116,2009,9.1,13.9,5.3,1994.7,575.1,465.4,1098.8,2528.2,small_spike,Yellow-cinnamon soils,silty clay loam,19.8,17.4,136,5.7,210,90,180,7107
117,W-YZB,WYZB0117,2006,10.7,16.2,6.2,2293.1,713.8,344.6,1206,2649,small_spike,Yellow-cinnamon soils,silty clay loam,17.2,18.1,69,5.6,195,90,180,6440
118,W-YZB,WYZB0118,2006,10.3,15.8,5.8,2113.3,624,344.1,1139.4,2510.5,small_spike,Yellow-cinnamon soils,silty clay loam,14.8,28.3,45,6.7,195,90,180,6633
119,W-YZB,WYZB0119,2007,9.4,14.6,5.1,2091.1,618.2,330.8,1208.1,2670,small_spike,Yellow-cinnamon soils,silty clay loam,20.4,18.7,79,5.7,195,90,180,6525
120,W-YZB,WYZB0120,2007,9.4,14.6,5.1,2095,612.1,312.8,1214.6,2672.6,small_spike,Yellow-cinnamon soils,silty clay loam,21.1,17,74,7.6,195,90,180,6936
121,W-YZB,WYZB0121,2008,10,15.5,5.5,2213.2,648.6,267.2,1274.8,2717.4,small_spike,Yellow-cinnamon soils,silty clay loam,22.3,13.5,126,6.3,210,90,180,7470
122,W-YZB,WYZB0122,2006,10.5,16,6,2205.9,666.6,344.1,1171.7,2575.2,small_spike,Yellow-cinnamon soils,silty clay loam,19.5,23.7,51,5.8,195,90,180,7436
123,W-YZB,WYZB0123,2007,9.2,14.5,4.9,1984.1,591.2,326.8,1177.6,2599.7,small_spike,Yellow-cinnamon soils,silty clay loam,19.7,18.4,86,5.5,195,90,180,6630
124,W-YZB,WYZB0124,2008,9.9,15.5,5.3,2097.5,622.9,265.3,1252.2,2663.2,small_spike,Yellow-cinnamon soils,silty clay loam,23.6,19.3,116,5.4,210,90,180,6630
125,W-YZB,WYZB0125,2009,9.1,13.9,5.3,2000.3,570.7,465.4,1101.6,2514.9,small_spike,Yellow-cinnamon soils,silty clay loam,22.3,13.5,126,6.3,210,90,180,7421
126,W-YZB,WYZB0126,2009,10.3,14.9,6.6,2587.5,916.9,488.7,1250.6,2948,small_spike,Paddy soils,silty clay loam,11.6,39.5,125,7.6,225,90,75,8025
127,W-YZB,WYZB0127,2009,9.9,14.5,6.3,2416.6,826,488.7,1194.3,2824.8,small_spike,Fluvo-aquic soils,silty clay loam,14.8,24.1,173,8,225,90,75,8700
128,W-YZB,WYZB0128,2009,10.4,15,6.8,2590,949.4,488.7,1224.2,2941.6,small_spike,Paddy soils,silty clay loam,15.2,6.7,219,7.8,225,90,75,8100
129,W-YZB,WYZB0129,2008,10.1,15,6,2171.2,646.6,211,1114.5,2484.7,small_spike,Fluvo-aquic soils,sandy loam,14.4,9.4,293,7.7,225,75,180,7553
130,W-YZB,WYZB0130,2009,8.5,12.9,5,1847.5,516.9,402.4,1032.5,2422.1,medium_spike,Fluvo-aquic soils,sandy loam,20.5,18.6,97,8,225,75,180,7553
131,W-YZB,WYZB0131,2008,11.2,16.1,7.2,2755.3,930.7,235.7,1260.3,2827.4,small_spike,Yellow earths,silty clay loam,15.7,18.5,163,7.6,225,90,60,7877
132,W-YZB,WYZB0132,2008,9.8,14.6,5.9,2116.2,591.6,166.5,1046.1,2276.8,small_spike,Yellow earths,silty clay loam,20.9,9,91,8.1,225,90,60,7379
133,W-YZB,WYZB0133,2008,10,14.8,6,2167,622.4,161.8,1084.4,2358.2,small_spike,Yellow earths,silty clay loam,9.6,17.4,65,5.9,225,90,60,7871
134,W-YZB,WYZB0134,2008,9.2,14,5.3,1871.9,477.3,161.6,977.7,2113.1,small_spike,Yellow earths,silty clay loam,14.3,17.5,100,6.4,225,90,60,8352
135,W-YZB,WYZB0135,2008,9.9,14.7,6,2138.9,604.3,166.5,1041.7,2267.2,small_spike,Yellow earths,silty clay loam,17.9,16.1,99,6.6,225,90,60,8334
136,W-YZB,WYZB0136,2009,10.3,15,6.7,2597.6,927,488.7,1248.4,2950.6,small_spike,Fluvo-aquic soils,silty clay loam,14.7,40.8,49,8,225,90,75,8400
137,W-YZB,WYZB0137,2009,9.8,14.3,6.2,2327.9,787.3,488.7,1148.5,2750.8,small_spike,Yellow-brown earths,clay loam,16.7,36.2,154,5,225,90,75,6840
138,W-YZB,WYZB0138,2009,10.6,15.1,6.9,2632.4,981.8,488.7,1236.9,2975,small_spike,Yellow-brown earths,silty clay loam,9.7,12,63,5.8,225,90,75,8175
139,W-YZB,WYZB0139,2009,9.6,14.1,6,2274.7,744.1,481.5,1148.4,2724.4,small_spike,Yellow-brown earths,silty clay loam,11.5,8.4,120,6.8,225,90,75,7800
140,W-YZB,WYZB0140,2009,9.6,14.1,6,2274.7,744.1,481.5,1148.4,2724.4,small_spike,Yellow-brown earths,silty clay loam,20.2,12.6,145,6.8,225,90,75,8325
141,W-YZB,WYZB0141,2008,10,15,5.9,2156.2,641.6,210.4,1114.5,2480.5,small_spike,Fluvo-aquic soils,silty clay loam,14.4,9.5,158,7.5,225,75,180,7253
142,W-YZB,WYZB0142,2009,8.4,12.9,4.9,1811.2,500.6,393.9,1022.9,2395.1,medium_spike,Fluvo-aquic soils,silty clay loam,19.9,33.5,190,7.7,225,75,90,7253
143,W-YZB,WYZB0143,2007,9.3,15.2,4.6,2223.9,662.9,358,1230.7,2774.2,small_spike,Fluvo-aquic soils,silty clay loam,21.2,28.6,107,6.4,180,90,150,7085
144,W-YZB,WYZB0144,2007,9.3,15.2,4.6,2223.9,662.9,358,1230.7,2774.2,small_spike,Paddy soils,silty clay loam,20.9,29.1,113,6.4,180,90,150,7154
145,W-YZB,WYZB0145,2007,9.2,15,4.5,2177.4,636.4,358,1210.8,2727.4,small_spike,Paddy soils,clay,18.9,25.5,105,5.7,180,90,150,5534
146,W-YZB,WYZB0146,2007,9.3,15.2,4.6,2223.9,662.9,358,1230.7,2774.2,small_spike,Yellow-brown earths,clay,12.7,27.1,68,5.1,180,90,150,6876
