Sort,Crop,NO,Year,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
42,ER-SC,ERSC0042,2007,late_maturity,24.2 ,29.5 ,20.7 ,2713.2 ,1593.2 ,1013.5 ,455.2 ,1543.61,Paddy soils,,38.6 ,54.2 ,31.0 ,4.8 ,165 ,60 ,105 ,8070 
43,ER-SC,ERSC0043,2007,late_maturity,25.1 ,31.7 ,20.9 ,2489.3 ,1499.3 ,576.0 ,478.1 ,1493.17,Paddy soils,,73.7 ,58.2 ,55.0 ,4.8 ,165 ,60 ,105 ,7419 
44,ER-SC,ERSC0044,2008,late_maturity,24.7 ,30.8 ,20.6 ,2642.4 ,1572.4 ,759.9 ,504.7 ,1593.99,Paddy soils,,70.2 ,19.3 ,89.0 ,5.0 ,150 ,60 ,135 ,9123 
45,ER-SC,ERSC0045,2008,late_maturity,24.2 ,30.2 ,20.2 ,2321.9 ,1361.9 ,662.8 ,422.5 ,1380.18,Paddy soils,,61.2 ,11.4 ,95.0 ,4.6 ,150 ,60 ,135 ,6881 
46,ER-SC,ERSC0046,2007,late_maturity,25.4 ,32.0 ,21.1 ,2768.3 ,1678.3 ,577.8 ,556.1 ,1691.54,Paddy soils,,34.2 ,37.5 ,73.0 ,5.0 ,165 ,60 ,105 ,8324 
47,ER-SC,ERSC0047,2008,late_maturity,24.3 ,30.3 ,20.3 ,2381.2 ,1401.2 ,662.8 ,440.6 ,1424.29,Paddy soils,,38.8 ,6.0 ,21.0 ,4.9 ,150 ,60 ,135 ,6824 
48,ER-SC,ERSC0048,2008,late_maturity,24.5 ,30.6 ,20.5 ,2576.5 ,1526.5 ,759.9 ,484.6 ,1545.1,Paddy soils,,42.9 ,4.0 ,27.0 ,5.0 ,150 ,60 ,135 ,8004 
49,ER-SC,ERSC0049,2008,late_maturity,24.7 ,30.8 ,20.6 ,2687.9 ,1597.9 ,759.9 ,515.2 ,1623.15,Paddy soils,,18.8 ,16.1 ,111.0 ,4.7 ,150 ,60 ,135 ,8723 
50,ER-SC,ERSC0050,2008,late_maturity,24.7 ,30.9 ,20.6 ,2718.2 ,1618.2 ,759.9 ,526.5 ,1648.81,Paddy soils,,41.0 ,11.3 ,89.0 ,4.9 ,150 ,60 ,135 ,8709 
51,ER-SC,ERSC0051,2008,late_maturity,24.7 ,30.8 ,20.6 ,2694.7 ,1604.7 ,759.9 ,522.1 ,1635.19,Paddy soils,,26.6 ,22.7 ,90.0 ,5.0 ,165 ,60 ,105 ,8040 
52,ER-SC,ERSC0052,2007,late_maturity,24.8 ,31.3 ,20.6 ,2582.6 ,1542.6 ,580.0 ,494.3 ,1553.07,Paddy soils,,37.7 ,52.9 ,89.0 ,5.1 ,165 ,60 ,105 ,8643 
53,ER-SC,ERSC0053,2007,late_maturity,24.9 ,31.4 ,20.7 ,2613.7 ,1563.7 ,580.0 ,505.8 ,1579.11,Paddy soils,,47.9 ,34.6 ,56.0 ,5.0 ,165 ,60 ,105 ,9213 
54,ER-SC,ERSC0054,2007,late_maturity,25.9 ,32.1 ,21.8 ,2250.9 ,1380.9 ,544.6 ,412.6 ,1305.43,Paddy soils,,56.6 ,39.6 ,67.0 ,4.9 ,165 ,60 ,105 ,9389 
55,ER-SC,ERSC0055,2007,late_maturity,23.5 ,28.8 ,19.8 ,2280.5 ,1310.5 ,653.0 ,375.1 ,1307.11,Paddy soils,,28.3 ,42.4 ,184.0 ,5.3 ,180 ,72 ,135 ,7134 
56,ER-SC,ERSC0056,2007,late_maturity,24.8 ,30.1 ,21.1 ,2406.4 ,1436.4 ,670.7 ,411.5 ,1372.86,Paddy soils,,49.3 ,41.2 ,220.0 ,4.6 ,180 ,72 ,135 ,7625 
57,ER-SC,ERSC0057,2007,late_maturity,24.9 ,30.3 ,21.1 ,2568.8 ,1538.8 ,681.5 ,448.1 ,1474.94,Paddy soils,,44.4 ,16.4 ,118.0 ,4.6 ,180 ,72 ,135 ,4958 
58,ER-SC,ERSC0058,2007,late_maturity,24.8 ,30.1 ,21.1 ,2354.9 ,1404.9 ,670.7 ,397.1 ,1335.33,Paddy soils,,47.5 ,34.0 ,88.0 ,5.0 ,180 ,72 ,135 ,6915 
59,ER-SC,ERSC0059,2007,late_maturity,24.3 ,29.7 ,20.5 ,2381.2 ,1401.2 ,681.5 ,402.8 ,1362.97,Paddy soils,,50.4 ,25.7 ,195.0 ,5.4 ,180 ,72 ,135 ,6666 
60,ER-SC,ERSC0060,2007,late_maturity,24.5 ,29.9 ,20.7 ,2424.4 ,1434.4 ,681.5 ,413.2 ,1387.89,Paddy soils,,50.4 ,33.8 ,175.0 ,6.0 ,180 ,72 ,135 ,6584 
61,ER-SC,ERSC0061,2007,late_maturity,24.6 ,30.0 ,20.8 ,2484.2 ,1474.2 ,681.5 ,430.4 ,1430.48,Paddy soils,,47.9 ,13.4 ,96.0 ,4.8 ,180 ,72 ,135 ,5850 
62,ER-SC,ERSC0062,2007,late_maturity,24.6 ,30.0 ,20.8 ,2484.2 ,1474.2 ,681.5 ,430.4 ,1430.48,Paddy soils,,45.7 ,9.4 ,125.0 ,5.4 ,180 ,72 ,135 ,6584 
63,ER-SC,ERSC0063,2010,late_maturity,25.8 ,30.1 ,22.9 ,2165.7 ,1325.7 ,815.1 ,277.0 ,1060.88,Paddy soils,,23.7 ,22.4 ,67.0 ,5.0 ,167 ,36 ,135 ,6869 
64,ER-SC,ERSC0064,2008,late_maturity,24.4 ,28.9 ,21.7 ,2368.5 ,1398.5 ,1681.3 ,231.4 ,1073.82,Paddy soils,,33.1 ,15.1 ,120.0 ,5.2 ,167 ,36 ,135 ,7191 
65,ER-SC,ERSC0065,2006,medium_maturity,24.7 ,28.9 ,21.9 ,2248.8 ,1338.8 ,811.6 ,365.9 ,1245.88,Paddy soils,,23.8 ,43.6 ,109.0 ,6.3 ,135 ,68 ,104 ,4625 
66,ER-SC,ERSC0066,2007,medium_maturity,24.8 ,29.4 ,21.6 ,2254.1 ,1344.3 ,802.0 ,478.2 ,1432.16,Paddy soils,,34.7 ,41.8 ,169.0 ,5.1 ,165 ,60 ,150 ,5775 
67,ER-SC,ERSC0067,2006,late_maturity,24.7 ,28.9 ,21.9 ,2248.8 ,1338.8 ,811.6 ,365.9 ,1245.88,Paddy soils,,23.8 ,20.1 ,44.0 ,5.6 ,135 ,68 ,104 ,7134 
68,ER-SC,ERSC0068,2007,medium_maturity,24.8 ,29.4 ,21.6 ,2254.1 ,1344.3 ,802.0 ,478.2 ,1432.16,Paddy soils,,23.9 ,20.6 ,45.0 ,5.6 ,165 ,60 ,150 ,6285 
69,ER-SC,ERSC0069,2006,late_maturity,24.7 ,28.9 ,21.9 ,2248.8 ,1338.8 ,811.6 ,365.9 ,1245.88,Paddy soils,,29.9 ,32.4 ,40.0 ,5.6 ,135 ,68 ,104 ,5625 
70,ER-SC,ERSC0070,2007,medium_maturity,24.8 ,29.4 ,21.6 ,2254.1 ,1344.3 ,802.0 ,478.2 ,1432.16,Paddy soils,,29.9 ,32.7 ,41.0 ,5.6 ,165 ,60 ,150 ,7980 
71,ER-SC,ERSC0071,2010,medium_maturity,26.6 ,30.5 ,23.7 ,2656.5 ,1656.5 ,1034.2 ,517.3 ,1569.75,Paddy soils,,31.4 ,7.1 ,68.0 ,5.2 ,146 ,42 ,117 ,6950 
72,ER-SC,ERSC0072,2008,late_maturity,27.4 ,32.0 ,24.4 ,2633.4 ,1673.4 ,1015.7 ,498.6 ,1509.52,Paddy soils,,43.3 ,29.4 ,97.0 ,5.2 ,125 ,36 ,117 ,8965 
73,ER-SC,ERSC0073,2010,late_maturity,28.1 ,32.4 ,25.1 ,2305.3 ,1485.3 ,648.6 ,554.0 ,1496.39,Paddy soils,,34.7 ,9.1 ,95.0 ,5.7 ,165 ,45 ,117 ,7867 
74,ER-SC,ERSC0074,2008,medium_maturity,27.4 ,32.0 ,24.4 ,2686.9 ,1706.9 ,1015.7 ,510.6 ,1543.22,Paddy soils,,54.1 ,72.2 ,70.0 ,5.3 ,173 ,36 ,117 ,7620 
75,ER-SC,ERSC0075,2006,medium_maturity,24.8 ,29.3 ,21.6 ,2604.8 ,1554.8 ,1167.2 ,332.5 ,1270.1,Paddy soils,,30.7 ,15.8 ,66.0 ,6.5 ,158 ,30 ,75 ,8973 
76,ER-SC,ERSC0076,2007,medium_maturity,25.5 ,30.8 ,21.9 ,2528.3 ,1538.3 ,861.6 ,457.2 ,1409.11,Paddy soils,,44.5 ,7.1 ,114.0 ,5.0 ,158 ,30 ,75 ,9725 
77,ER-SC,ERSC0077,2008,medium_maturity,25.2 ,29.9 ,22.0 ,2515.1 ,1515.1 ,735.1 ,430.2 ,1422.57,Paddy soils,,52.8 ,10.6 ,120.8 ,5.5 ,158 ,30 ,75 ,9056 
78,ER-SC,ERSC0078,2007,late_maturity,24.8 ,28.5 ,22.1 ,3204.8 ,1914.8 ,1219.8 ,789.0 ,2202.11,Paddy soils,,12.7 ,56.1 ,51.0 ,4.8 ,166 ,40 ,113 ,7455 
79,ER-SC,ERSC0079,2006,medium_maturity,25.3 ,29.1 ,22.6 ,2863.8 ,1733.8 ,1378.8 ,396.1 ,1446.11,Paddy soils,,33.0 ,10.9 ,149.0 ,6.1 ,138 ,36 ,90 ,5880 
80,ER-SC,ERSC0080,2007,late_maturity,25.2 ,28.8 ,22.7 ,2569.0 ,1549.0 ,710.5 ,621.9 ,1748.09,Paddy soils,,30.6 ,46.1 ,54.7 ,5.2 ,221 ,27 ,113 ,7875 
81,ER-SC,ERSC0081,2009,late_maturity,25.8 ,30.1 ,22.8 ,2525.6 ,1545.6 ,709.7 ,593.7 ,1677.92,Paddy soils,,15.7 ,7.3 ,78.0 ,5.6 ,159 ,54 ,135 ,6135 
82,ER-SC,ERSC0082,2007,late_maturity,24.9 ,30.2 ,21.5 ,2287.2 ,1367.2 ,901.6 ,483.3 ,1451.15,Paddy soils,,29.6 ,13.4 ,23.0 ,4.9 ,156 ,36 ,113 ,8664 
83,ER-SC,ERSC0083,2008,late_maturity,24.9 ,29.5 ,21.9 ,2565.8 ,1535.8 ,961.1 ,433.6 ,1445.73,Paddy soils,,28.0 ,16.0 ,112.0 ,5.2 ,157 ,54 ,135 ,8450 
84,ER-SC,ERSC0084,2008,late_maturity,24.8 ,29.4 ,21.9 ,2458.0 ,1468.0 ,917.1 ,407.4 ,1373.9,Paddy soils,,27.9 ,53.4 ,62.9 ,5.5 ,155 ,45 ,95 ,7842 
85,ER-SC,ERSC0085,2008,late_maturity,25.9 ,29.4 ,23.5 ,2411.2 ,1481.2 ,588.2 ,523.2 ,1519.7,Paddy soils,,32.8 ,35.7 ,201.0 ,4.9 ,166 ,66 ,132 ,7400 
86,ER-SC,ERSC0086,2007,late_maturity,27.2 ,31.4 ,24.3 ,2531.8 ,1601.8 ,864.7 ,570.8 ,1604.02,Paddy soils,,42.2 ,23.6 ,85.0 ,5.4 ,165 ,60 ,135 ,5627 
87,ER-SC,ERSC0087,2007,late_maturity,27.7 ,32.0 ,24.7 ,2605.6 ,1665.6 ,886.3 ,619.1 ,1692.37,Paddy soils,,21.8 ,49.3 ,36.0 ,4.9 ,165 ,60 ,135 ,5888 
88,ER-SC,ERSC0088,2006,medium_maturity,26.6 ,31.2 ,23.7 ,2683.0 ,1673.0 ,935.3 ,461.6 ,1479.13,Paddy soils,,32.6 ,61.7 ,33.0 ,5.5 ,150 ,45 ,105 ,8001 
89,ER-SC,ERSC0089,2007,late_maturity,26.6 ,31.5 ,23.3 ,2818.6 ,1758.6 ,701.9 ,652.5 ,1828.61,Paddy soils,,24.0 ,32.5 ,97.0 ,5.8 ,150 ,38 ,90 ,6870 
90,ER-SC,ERSC0090,2008,medium_maturity,26.0 ,30.2 ,23.4 ,2699.2 ,1659.2 ,1439.8 ,359.3 ,1329.91,Paddy soils,,25.5 ,40.7 ,108.3 ,5.2 ,158 ,75 ,90 ,7397 
91,ER-SC,ERSC0091,2008,medium_maturity,26.3 ,30.7 ,23.7 ,2760.6 ,1710.6 ,1530.1 ,409.9 ,1424.76,Paddy soils,,26.9 ,31.0 ,180.4 ,5.1 ,150 ,38 ,75 ,6132 
92,ER-SC,ERSC0092,2008,medium_maturity,26.0 ,30.3 ,23.5 ,2655.6 ,1635.6 ,1416.6 ,358.5 ,1314.85,Paddy soils,,33.3 ,36.8 ,70.2 ,5.3 ,150 ,45 ,105 ,7074 
93,ER-SC,ERSC0093,2008,medium_maturity,25.5 ,29.0 ,23.2 ,2446.1 ,1486.1 ,1383.1 ,287.3 ,1155.25,Paddy soils,,13.3 ,18.9 ,67.0 ,5.0 ,158 ,42 ,113 ,6855 
94,ER-SC,ERSC0094,2008,late_maturity,25.3 ,29.5 ,22.8 ,2024.4 ,1224.4 ,1037.0 ,246.6 ,975.65,Paddy soils,,45.6 ,58.2 ,149.0 ,4.5 ,158 ,45 ,135 ,7307 
95,ER-SC,ERSC0095,2008,medium_maturity,25.3 ,29.5 ,22.8 ,1997.1 ,1207.1 ,1037.0 ,244.2 ,964.98,Paddy soils,,39.5 ,10.9 ,183.0 ,3.9 ,158 ,45 ,135 ,7308 
96,ER-SC,ERSC0096,2008,late_maturity,25.4 ,29.6 ,22.8 ,2053.9 ,1243.9 ,988.0 ,251.7 ,990.2,Paddy soils,,40.0 ,3.8 ,166.0 ,3.8 ,158 ,45 ,135 ,7220 
97,ER-SC,ERSC0097,2008,late_maturity,25.4 ,29.6 ,22.8 ,2053.9 ,1243.9 ,988.0 ,251.7 ,990.2,Paddy soils,,43.3 ,13.0 ,139.0 ,3.9 ,158 ,45 ,135 ,7274 
98,ER-SC,ERSC0098,2008,late_maturity,25.3 ,29.6 ,22.8 ,2104.0 ,1274.0 ,1074.3 ,251.9 ,1004.95,Paddy soils,,29.6 ,18.5 ,108.0 ,4.0 ,158 ,45 ,135 ,7293 
99,ER-SC,ERSC0099,2008,late_maturity,25.5 ,29.8 ,23.0 ,2343.1 ,1423.1 ,975.5 ,202.9 ,991.14,Paddy soils,,28.7 ,51.5 ,54.8 ,5.1 ,138 ,27 ,90 ,7046 
100,ER-SC,ERSC0100,2008,late_maturity,25.5 ,29.8 ,23.0 ,2497.7 ,1517.7 ,1000.0 ,225.9 ,1070.53,Paddy soils,,28.2 ,28.0 ,94.7 ,5.0 ,138 ,27 ,90 ,4490 
101,ER-SC,ERSC0101,2007,medium_maturity,27.0 ,30.1 ,24.8 ,2512.1 ,1582.1 ,737.8 ,621.2 ,1689.97,Paddy soils,,26.3 ,32.4 ,56.0 ,5.2 ,83 ,29 ,87 ,7337 
102,ER-SC,ERSC0102,2007,late_maturity,26.5 ,29.7 ,24.2 ,2465.6 ,1535.6 ,790.3 ,576.3 ,1614.28,Paddy soils,,26.6 ,11.5 ,82.0 ,5.7 ,83 ,29 ,87 ,6009 
103,ER-SC,ERSC0103,2008,medium_maturity,25.3 ,28.3 ,23.4 ,2325.2 ,1405.2 ,1695.2 ,309.3 ,1166.25,Paddy soils,,18.0 ,38.7 ,43.2 ,5.2 ,138 ,45 ,144 ,5919 
104,ER-SC,ERSC0104,2007,medium_maturity,26.9 ,31.2 ,23.4 ,2821.8 ,1771.8 ,807.0 ,531.1 ,1950.63,Paddy soils,,52.3 ,7.9 ,76.0 ,4.9 ,195 ,75 ,150 ,8340 
105,ER-SC,ERSC0105,2007,late_maturity,26.8 ,31.2 ,23.4 ,2792.2 ,1752.2 ,807.0 ,525.4 ,1928.53,Paddy soils,,54.7 ,14.6 ,64.0 ,5.4 ,150 ,60 ,120 ,7151 
106,ER-SC,ERSC0106,2008,late_maturity,26.0 ,30.0 ,23.3 ,2727.0 ,1677.0 ,1082.5 ,372.2 ,1538.66,Paddy soils,,60.5 ,11.2 ,87.0 ,5.8 ,120 ,45 ,90 ,6680 
107,ER-SC,ERSC0107,2007,late_maturity,25.4 ,29.7 ,21.9 ,2463.2 ,1493.2 ,706.8 ,443.0 ,1686.6,Paddy soils,,43.2 ,14.8 ,70.0 ,4.8 ,195 ,75 ,150 ,6414 
108,ER-SC,ERSC0108,2008,late_maturity,26.0 ,30.0 ,23.3 ,2727.0 ,1677.0 ,1082.5 ,372.2 ,1538.66,Paddy soils,,44.8 ,10.1 ,97.0 ,5.2 ,195 ,75 ,150 ,7347 
109,ER-SC,ERSC0109,2008,late_maturity,26.0 ,30.0 ,23.3 ,2727.0 ,1677.0 ,1082.5 ,372.2 ,1538.66,Paddy soils,,77.2 ,44.6 ,124.0 ,5.9 ,195 ,75 ,150 ,7901 
110,ER-SC,ERSC0110,2009,late_maturity,26.6 ,30.8 ,23.8 ,2844.2 ,1774.2 ,1108.0 ,464.0 ,1748.03,Paddy soils,,56.7 ,19.9 ,68.0 ,5.5 ,150 ,60 ,120 ,6122 
111,ER-SC,ERSC0111,2007,late_maturity,26.8 ,31.1 ,23.3 ,2890.2 ,1810.2 ,807.0 ,536.6 ,1995.48,Paddy soils,,43.3 ,33.6 ,108.0 ,5.0 ,120 ,45 ,90 ,6293 
112,ER-SC,ERSC0112,2007,late_maturity,26.9 ,31.3 ,23.5 ,2799.5 ,1759.5 ,806.8 ,531.1 ,1943.89,Paddy soils,,49.0 ,10.8 ,36.0 ,5.7 ,150 ,60 ,120 ,7719 
