Sort,Crop,N0,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
310,M-NCP,MNCP0310,2010,MNCP01,WS0037,25.37 ,30.68 ,20.74 ,2664.2,1614.2,347.1,636.1,1577.07,Cinnamon soils,loam,12.7,19.9,90,8.7,225,60,150,10140
311,M-NCP,MNCP0311,2010,MNCP01,WS0037,25.37 ,30.68 ,20.74 ,2664.2,1614.2,347.1,636.1,1577.07,Cinnamon soils,loam,19.5,14.6,100,8.1,135,60,90,8100
312,M-NCP,MNCP0312,2010,MNCP01,WS0037,25.39 ,30.70 ,20.75 ,2691.2,1631.2,347.1,645.2,1600.51,Cinnamon soils,loamy sand,12.5,25.6,110,8.2,225,150,150,9525
313,M-NCP,MNCP0313,2010,MNCP01,WS0037,25.65 ,30.93 ,21.03 ,2590.5,1580.5,347.1,607.4,1510.61,Cinnamon soils,loam,18.1,8.4,60,8.3,135,60,90,7650
314,M-NCP,MNCP0314,2010,MNCP01,WS0037,25.33 ,30.64 ,20.68 ,2659.4,1609.4,347.1,629.2,1557.57,Fluvo-aquic soils,loam,16.3,14.4,70,8.5,180,60,120,7995
315,M-NCP,MNCP0315,2010,MNCP01,WS0037,25.45 ,30.73 ,20.84 ,2646.7,1606.7,347.1,627.8,1560.32,Fluvo-aquic soils,loam,12.5,19.3,90,8.1,180,60,120,9120
316,M-NCP,MNCP0316,2006,MNCP01,WS0034,24.69 ,30.74 ,19.38 ,2666.7,1586.7,406,607.1,1648.57,Cinnamon soils,loamy sand,15.8,39,129,7.3,225,150,150,8574
317,M-NCP,MNCP0317,2006,MNCP01,WS0034,24.69 ,30.74 ,19.38 ,2666.7,1586.7,406,607.1,1648.57,Cinnamon soils,loamy sand,21.5,45.3,94,7.5,180,150,120,8760
318,M-NCP,MNCP0318,2006,MNCP01,WS0034,24.69 ,30.74 ,19.38 ,2666.7,1586.7,406,607.1,1648.57,Cinnamon soils,loamy sand,16.5,23.9,90,7.6,225,150,150,10074
319,M-NCP,MNCP0319,2006,MNCP01,WS0034,24.69 ,30.74 ,19.38 ,2666.7,1586.7,406,607.1,1648.57,Cinnamon soils,loamy sand,10.1,29.8,101,7.4,225,150,150,9941
320,M-NCP,MNCP0320,2006,MNCP01,WS0034,24.69 ,30.74 ,19.38 ,2666.7,1586.7,406,607.1,1648.57,Cinnamon soils,loamy sand,14.9,27.2,123,7.4,225,150,150,9198
321,M-NCP,MNCP0321,2006,MNCP01,WS0034,24.69 ,30.74 ,19.38 ,2666.7,1586.7,406,607.1,1648.57,Cinnamon soils,loamy sand,10.6,17.4,91,7.5,180,150,120,10223
322,M-NCP,MNCP0322,2006,MNCP01,WS0034,24.69 ,30.74 ,19.38 ,2666.7,1586.7,406,607.1,1648.57,Cinnamon soils,loam,18.7,25.4,117,7.3,225,150,150,10623
323,M-NCP,MNCP0323,2007,MNCP01,WS0034,24.25 ,30.20 ,18.99 ,2740.3,1610.3,262.2,662.9,1750.3,Cinnamon soils,loamy sand,20.9,44.9,142,7.7,180,60,120,6753
324,M-NCP,MNCP0324,2007,MNCP01,WS0034,24.25 ,30.20 ,18.99 ,2740.3,1610.3,262.2,662.9,1750.3,Cinnamon soils,loamy sand,21.5,45.3,94,7.5,135,60,90,8079
325,M-NCP,MNCP0325,2007,MNCP01,WS0034,24.25 ,30.20 ,18.99 ,2740.3,1610.3,262.2,662.9,1750.3,Cinnamon soils,loamy sand,14.9,27.2,123,7.4,180,60,120,7719
326,M-NCP,MNCP0326,2007,MNCP01,WS0034,24.25 ,30.20 ,18.99 ,2740.3,1610.3,262.2,662.9,1750.3,Cinnamon soils,loamy sand,11.5,34.9,79,7.5,225,60,150,9915
327,M-NCP,MNCP0327,2007,MNCP01,WS0034,24.25 ,30.20 ,18.99 ,2740.3,1610.3,262.2,662.9,1750.3,Cinnamon soils,loamy sand,15.5,70.3,90,7.5,180,60,120,7871
328,M-NCP,MNCP0328,2008,MNCP01,WS0034,23.94 ,29.49 ,19.17 ,2633.2,1533.2,352.4,613,1641.64,Cinnamon soils,loamy sand,16.5,23.9,90,7.6,225,60,150,8910
329,M-NCP,MNCP0329,2008,MNCP01,WS0034,23.94 ,29.49 ,19.17 ,2633.2,1533.2,352.4,613,1641.64,Cinnamon soils,loamy sand,18.9,9.1,80,7.5,180,60,120,8820
330,M-NCP,MNCP0330,2008,MNCP01,WS0034,23.94 ,29.49 ,19.17 ,2633.2,1533.2,352.4,613,1641.64,Cinnamon soils,loamy sand,17.2,29.8,113,7.4,180,60,120,8895
331,M-NCP,MNCP0331,2008,MNCP01,WS0034,23.94 ,29.49 ,19.17 ,2633.2,1533.2,352.4,613,1641.64,Cinnamon soils,loamy sand,15,12.3,100,7.3,180,60,120,8955
332,M-NCP,MNCP0332,2008,MNCP01,WS0034,23.94 ,29.49 ,19.17 ,2633.2,1533.2,352.4,613,1641.64,Cinnamon soils,loamy sand,20.6,17.6,117,7.5,180,60,120,9015
333,M-NCP,MNCP0333,2008,MNCP01,WS0034,23.94 ,29.49 ,19.17 ,2633.2,1533.2,352.4,613,1641.64,Cinnamon soils,loamy sand,12.2,16.8,79,7.3,135,60,90,7305
334,M-NCP,MNCP0334,2008,MNCP01,WS0034,23.94 ,29.49 ,19.17 ,2633.2,1533.2,352.4,613,1641.64,Cinnamon soils,loamy sand,21.5,45.3,94,7.5,135,60,90,7485
335,M-NCP,MNCP0335,2008,MNCP01,WS0034,23.94 ,29.49 ,19.17 ,2633.2,1533.2,352.4,613,1641.64,Cinnamon soils,loamy sand,10.6,17.4,91,7.5,135,60,90,7425
336,M-NCP,MNCP0336,2009,MNCP01,WS0034,24.36 ,30.36 ,18.65 ,2752.2,1622.2,385.1,781.5,1936.97,Cinnamon soils,loamy sand,22.3,17.2,188,7.2,180,60,120,9375
337,M-NCP,MNCP0337,2009,MNCP01,WS0034,24.36 ,30.36 ,18.65 ,2752.2,1622.2,385.1,781.5,1936.97,Cinnamon soils,loam,20.9,54.6,239,7.3,225,60,150,9120
338,M-NCP,MNCP0338,2009,MNCP01,WS0034,24.36 ,30.36 ,18.65 ,2752.2,1622.2,385.1,781.5,1936.97,Cinnamon soils,loamy sand,18.3,46.1,106,7.4,225,60,150,8970
339,M-NCP,MNCP0339,2009,MNCP01,WS0034,24.36 ,30.36 ,18.65 ,2752.2,1622.2,385.1,781.5,1936.97,Cinnamon soils,loamy sand,17.2,25.3,83,7.4,180,60,120,9045
340,M-NCP,MNCP0340,2009,MNCP01,WS0034,24.36 ,30.36 ,18.65 ,2752.2,1622.2,385.1,781.5,1936.97,Cinnamon soils,loamy sand,20.6,17.6,117,7.5,180,60,120,9180
341,M-NCP,MNCP0341,2009,MNCP01,WS0034,24.36 ,30.36 ,18.65 ,2752.2,1622.2,385.1,781.5,1936.97,Cinnamon soils,loamy sand,12.2,16.8,79,7.3,135,60,90,7530
342,M-NCP,MNCP0342,2009,MNCP01,WS0034,24.36 ,30.36 ,18.65 ,2752.2,1622.2,385.1,781.5,1936.97,Cinnamon soils,loam,10.6,8.4,90,7.5,135,60,90,7350
343,M-NCP,MNCP0343,2008,MNCP01,WS0038,24.74 ,30.11 ,20.18 ,2498.9,1488.9,308.3,725.3,1763.44,Fluvo-aquic soils,loamy sand,21.4,51,179,8,135,60,90,9660
344,M-NCP,MNCP0344,2008,MNCP01,WS0038,24.49 ,29.80 ,20.00 ,2620,1550,320.2,743.7,1834.96,Fluvo-aquic soils,loam,26.5,34,74,8.1,135,60,90,9405
345,M-NCP,MNCP0345,2008,MNCP01,WS0038,24.60 ,29.94 ,20.08 ,2607.1,1547.1,318,743.7,1830.01,Fluvo-aquic soils,loam,23.8,16,142,8.1,135,60,90,9105
346,M-NCP,MNCP0346,2008,MNCP01,WS0038,24.81 ,30.22 ,20.19 ,2530.5,1510.5,300.2,739.3,1795.52,Cinnamon soils,loamy sand,17.4,13,105,8.1,135,60,90,9435
347,M-NCP,MNCP0347,2008,MNCP01,WS0161,24.85 ,30.05 ,20.79 ,2609.4,1559.4,267.4,597.6,1584.07,Fluvo-aquic soils,loam,20,39,115,8.1,180,60,120,7005
348,M-NCP,MNCP0348,2008,MNCP01,WS0161,24.85 ,30.05 ,20.79 ,2609.4,1559.4,267.4,597.6,1584.07,Fluvo-aquic soils,loam,18.1,24.2,97,8,225,60,150,7755
349,M-NCP,MNCP0349,2008,MNCP01,WS0161,24.85 ,30.05 ,20.79 ,2609.4,1559.4,267.4,597.6,1584.07,Fluvo-aquic soils,loam,15.2,29.5,177,8,225,60,150,7125
350,M-NCP,MNCP0350,2008,MNCP01,WS0161,24.85 ,30.05 ,20.79 ,2609.4,1559.4,267.4,597.6,1584.07,Fluvo-aquic soils,loam,13.3,37,55,8.1,135,60,90,5775
351,M-NCP,MNCP0351,2008,MNCP01,WS0161,24.84 ,30.05 ,20.76 ,2633.3,1573.3,267.4,607.8,1607.66,Fluvo-aquic soils,loam,14.7,25,73,8.2,180,60,120,7050
352,M-NCP,MNCP0352,2008,MNCP01,WS0161,24.81 ,30.05 ,20.72 ,2629.9,1569.9,267.4,606.4,1600.08,Fluvo-aquic soils,loamy sand,13.1,29,101,7.9,135,60,90,6270
353,M-NCP,MNCP0353,2008,MNCP01,WS0161,24.84 ,30.05 ,20.76 ,2633.3,1573.3,267.4,607.8,1607.66,Fluvo-aquic soils,loam,13,19.5,95,8,225,60,150,7260
354,M-NCP,MNCP0354,2008,MNCP01,WS0161,24.84 ,30.05 ,20.76 ,2633.3,1573.3,267.4,607.8,1607.66,Fluvo-aquic soils,loamy sand,13.1,31,110,7.9,135,60,90,6435
355,M-NCP,MNCP0355,2008,MNCP01,WS0161,24.80 ,30.05 ,20.69 ,2653.8,1583.8,267.4,616.6,1623.67,Fluvo-aquic soils,loam,11.5,19.7,73,8,180,60,120,6720
356,M-NCP,MNCP0356,2008,MNCP01,WS0161,24.84 ,30.05 ,20.76 ,2633.3,1573.3,267.4,607.8,1607.66,Fluvo-aquic soils,loam,15.1,20.5,73,7.9,180,60,120,6705
357,M-NCP,MNCP0357,2008,MNCP01,WS0161,24.74 ,29.99 ,20.67 ,2771.4,1651.4,274.5,625.4,1675.12,Fluvo-aquic soils,sandy loam,19.2,29.4,181,8.3,225,60,150,6270
358,M-NCP,MNCP0358,2008,MNCP01,WS0161,24.76 ,29.97 ,20.70 ,2698.9,1608.9,271,616.6,1644.08,Fluvo-aquic soils,loam,18.7,31.7,196,8.3,180,60,120,6825
359,M-NCP,MNCP0359,2008,MNCP01,WS0161,24.78 ,29.99 ,20.74 ,2750.9,1640.9,274.5,616.6,1659.11,Fluvo-aquic soils,loam,20.5,49,160,8.2,180,60,120,6915
360,M-NCP,MNCP0360,2008,MNCP01,WS0161,24.78 ,29.99 ,20.74 ,2750.9,1640.9,274.5,616.6,1659.11,Fluvo-aquic soils,loam,17.8,23,77,8.3,135,60,90,7830
361,M-NCP,MNCP0361,2008,MNCP01,WS0161,24.78 ,29.99 ,20.74 ,2750.9,1640.9,274.5,616.6,1659.11,Fluvo-aquic soils,loam,19.4,33,110,8.2,180,60,120,7110
362,M-NCP,MNCP0362,2008,MNCP01,WS0161,24.74 ,29.99 ,20.67 ,2771.4,1651.4,274.5,625.4,1675.12,Fluvo-aquic soils,loam,18.6,30.8,256,8.1,225,60,150,8055
363,M-NCP,MNCP0363,2008,MNCP01,WS0161,24.74 ,29.99 ,20.67 ,2771.4,1651.4,274.5,625.4,1675.12,Fluvo-aquic soils,loamy sand,11.6,17,65,8.2,135,60,90,5715
364,M-NCP,MNCP0364,2008,MNCP01,WS0161,24.78 ,29.99 ,20.74 ,2750.9,1640.9,274.5,616.6,1659.11,Fluvo-aquic soils,loam,13.8,13,65,8,180,60,120,6825
365,M-NCP,MNCP0365,2008,MNCP01,WS0161,24.78 ,29.99 ,20.74 ,2750.9,1640.9,274.5,616.6,1659.11,Fluvo-aquic soils,loamy sand,10.8,43,60,8.1,135,60,90,6090
366,M-NCP,MNCP0366,2010,MNCP01,WS0161,25.54 ,30.27 ,21.33 ,2809.2,1709.2,405.2,624.8,1671.39,Fluvo-aquic soils,loam,18.9,23,190,8,180,60,150,7275
367,M-NCP,MNCP0367,2010,MNCP01,WS0161,25.59 ,30.32 ,21.37 ,2789.2,1699.2,405.2,614.9,1653.87,Fluvo-aquic soils,loam,19.6,37.2,180,8.1,180,60,120,7230
368,M-NCP,MNCP0368,2010,MNCP01,WS0161,25.59 ,30.32 ,21.37 ,2789.2,1699.2,405.2,614.9,1653.87,Fluvo-aquic soils,sandy loam,17.8,23.5,140,8,180,60,150,7245
369,M-NCP,MNCP0369,2010,MNCP01,WS0161,24.68 ,29.62 ,20.35 ,3036.2,1806.2,405.2,730.4,1860.72,Fluvo-aquic soils,loam,16.7,20.4,130,8.1,180,60,120,6090
370,M-NCP,MNCP0370,2010,MNCP01,WS0161,25.00 ,29.91 ,20.68 ,3000.4,1800.4,405.2,705.3,1824.17,Fluvo-aquic soils,loam,11.8,18.9,110,8.2,135,60,90,4863
371,M-NCP,MNCP0371,2010,MNCP01,WS0161,25.00 ,29.91 ,20.68 ,3000.4,1800.4,405.2,705.3,1824.17,Fluvo-aquic soils,loamy sand,13.1,19.6,60,8.1,135,60,90,6057
372,M-NCP,MNCP0372,2010,MNCP01,WS0161,25.00 ,29.91 ,20.68 ,3000.4,1800.4,405.2,705.3,1824.17,Fluvo-aquic soils,loam,12.1,19.6,70,8.1,180,60,120,7500
373,M-NCP,MNCP0373,2010,MNCP01,WS0161,25.00 ,29.91 ,20.68 ,3000.4,1800.4,405.2,705.3,1824.17,Fluvo-aquic soils,loamy sand,13.4,13.1,90,8.1,135,60,90,5723
374,M-NCP,MNCP0374,2007,MNCP01,WS0043,25.23 ,30.03 ,20.70 ,2598.3,1568.3,334.2,600.4,1601.02,Cinnamon soils,loam,11.6,22.1,109,7.3,135,45,90,8625
375,M-NCP,MNCP0375,2007,MNCP01,WS0043,25.11 ,29.95 ,20.57 ,2787.7,1677.7,345.7,636.1,1710.35,Cinnamon soils,loamy sand,15,12.8,88,7.3,135,45,90,7292
376,M-NCP,MNCP0376,2008,MNCP01,WS0043,24.06 ,28.89 ,19.73 ,2790.4,1630.4,252.4,683.6,1791.82,Cinnamon soils,sandy loam,13.5,12.7,102,7.5,180,45,120,7320
377,M-NCP,MNCP0377,2008,MNCP01,WS0043,24.35 ,29.14 ,20.04 ,2727.3,1607.3,239.9,664.5,1753.78,Cinnamon soils,loam,22.8,33,152,7.5,180,45,120,7620
378,M-NCP,MNCP0378,2008,MNCP01,WS0043,24.31 ,29.17 ,19.94 ,2820.4,1660.4,239.9,685.2,1805.32,Cinnamon soils,sandy clay loam,22.3,25,103,7.3,135,45,90,5820
379,M-NCP,MNCP0379,2008,MNCP01,WS0043,24.37 ,29.14 ,20.14 ,2363.5,1393.5,237,584.9,1520.73,Cinnamon soils,sandy loam,24.1,13.8,163,7.3,180,45,120,6225
380,M-NCP,MNCP0380,2008,MNCP01,WS0043,24.42 ,29.41 ,19.60 ,3126.2,1846.2,327.8,848.3,2226.83,Cinnamon soils,sandy loam,13.6,13.3,111,7.3,135,45,90,5951
381,M-NCP,MNCP0381,2008,MNCP01,WS0043,24.80 ,29.61 ,20.43 ,2654,1584,220.7,643.2,1700.71,Cinnamon soils,loamy sand,15.1,16.3,121,7.4,135,45,90,6420
382,M-NCP,MNCP0382,2009,MNCP01,WS0043,25.14 ,30.21 ,20.68 ,2815.3,1695.3,309.8,667.5,1764.09,Cinnamon soils,loam,22.8,18,152,7.5,180,105,120,7680
383,M-NCP,MNCP0383,2009,MNCP01,WS0043,24.94 ,30.09 ,20.38 ,3067.2,1837.2,315.4,764,1972.43,Cinnamon soils,sandy loam,12,11.5,105,7.5,180,45,120,7290
384,M-NCP,MNCP0384,2009,MNCP01,WS0043,25.28 ,30.34 ,20.80 ,2705,1635,309.3,637.9,1699.47,Cinnamon soils,loamy sand,14.5,18.2,123,7.5,135,45,90,6795
385,M-NCP,MNCP0385,2009,MNCP01,WS0043,24.76 ,29.62 ,20.55 ,2401.4,1431.4,286.4,548.7,1468.08,Cinnamon soils,sandy loam,18.5,12.5,156,7.5,180,75,90,6120
386,M-NCP,MNCP0386,2009,MNCP01,WS0041,23.63 ,29.95 ,18.50 ,2670.3,1540.3,224.3,728.2,1836.51,Cinnamon soils,loam,13.7,12.1,122,7.8,150,90,60,7005
387,M-NCP,MNCP0387,2009,MNCP01,WS0041,23.63 ,29.95 ,18.50 ,2670.3,1540.3,224.3,728.2,1836.51,Cinnamon soils,loam,19.6,12.9,152,7.6,150,90,60,7647
388,M-NCP,MNCP0388,2009,MNCP01,WS0041,23.69 ,29.98 ,18.58 ,2653.8,1533.8,224.3,717.3,1817.77,Cinnamon soils,loam,21.1,18.9,122,7.5,180,120,90,8055
389,M-NCP,MNCP0389,2009,MNCP01,WS0041,23.69 ,29.98 ,18.58 ,2653.8,1533.8,224.3,717.3,1817.77,Cinnamon soils,sandy loam,20.6,10.5,102,8.3,150,90,60,8691
390,M-NCP,MNCP0390,2007,MNCP01,WS0068,24.76 ,30.22 ,20.11 ,2574.6,1534.6,227.7,660.3,1710.76,Cinnamon soils,loamy sand,12.9,21.3,332,8.2,225,150,150,6162
391,M-NCP,MNCP0391,2008,MNCP01,WS0068,24.57 ,29.49 ,20.02 ,2702.6,1602.6,469.8,563.9,1606.54,Cinnamon soils,loamy sand,9.3,17.4,154,8,180,60,120,10628
392,M-NCP,MNCP0392,2008,MNCP01,WS0068,23.74 ,28.78 ,19.16 ,2848.9,1648.9,471.8,619.8,1724.91,Cinnamon soils,loamy sand,14.8,16.3,302,8,180,60,120,10055
393,M-NCP,MNCP0393,2009,MNCP01,WS0068,24.07 ,29.59 ,19.50 ,2719.4,1589.4,291.8,707.9,1824.61,Cinnamon soils,loamy sand,12,7.8,300,8.1,225,60,150,11186
394,M-NCP,MNCP0394,2009,MNCP01,WS0200,24.29 ,29.81 ,19.92 ,2598.8,1528.8,328.6,621.2,1640,Fluvo-aquic soils,loam,11.2,15,127,7.1,225,60,150,10730
395,M-NCP,MNCP0395,2008,MNCP01,WS0200,24.41 ,29.23 ,20.41 ,2782.7,1642.7,448.1,591.2,1656.32,Fluvo-aquic soils,clay,12.6,15.9,165,7.2,180,60,120,5664
396,M-NCP,MNCP0396,2008,MNCP01,WS0200,24.41 ,29.23 ,20.41 ,2782.7,1642.7,448.1,591.2,1656.32,Fluvo-aquic soils,clay,10.5,10.9,164,7.2,180,60,120,6423
397,M-NCP,MNCP0397,2008,MNCP01,WS0200,24.41 ,29.23 ,20.41 ,2782.7,1642.7,448.1,591.2,1656.32,Fluvo-aquic soils,clay,11.6,11.7,132,7.3,180,60,120,5922
398,M-NCP,MNCP0398,2009,MNCP01,WS0200,24.29 ,29.81 ,19.92 ,2598.8,1528.8,328.6,621.2,1640,Fluvo-aquic soils,loam,12.2,15.5,158,7.3,180,60,120,5381
399,M-NCP,MNCP0399,2009,MNCP01,WS0200,24.29 ,29.81 ,19.92 ,2598.8,1528.8,328.6,621.2,1640,Fluvo-aquic soils,loam,10.2,10.6,157,7.7,180,60,120,6102
400,M-NCP,MNCP0400,2009,MNCP01,WS0200,24.29 ,29.81 ,19.92 ,2598.8,1528.8,328.6,621.2,1640,Fluvo-aquic soils,loam,11.3,11.4,127,7.2,180,60,120,5627
401,M-NCP,MNCP0401,2009,MNCP01,WS0163,24.97 ,30.35 ,20.06 ,2696.8,1616.8,353.6,660.3,1728.19,Cinnamon soils,loam,12,30.7,149,7.6,240,60,90,9870
402,M-NCP,MNCP0402,2009,MNCP01,WS0163,24.97 ,30.35 ,20.06 ,2696.8,1616.8,353.6,660.3,1728.19,Fluvo-aquic soils,loam,13,29.2,135,7.1,240,60,90,9255
403,M-NCP,MNCP0403,2009,MNCP01,WS0163,24.97 ,30.35 ,20.06 ,2696.8,1616.8,353.6,660.3,1728.19,Cinnamon soils,loamy sand,12,27.6,139,7.6,240,60,90,9540
404,M-NCP,MNCP0404,2009,MNCP01,WS0163,24.93 ,30.28 ,20.05 ,2691.9,1611.9,353.5,654.5,1715.38,Cinnamon soils,loam,12,25.5,115,7.4,240,60,90,8250
405,M-NCP,MNCP0405,2009,MNCP01,WS0163,24.93 ,30.28 ,20.05 ,2691.9,1611.9,353.5,654.5,1715.38,Cinnamon soils,loam,11,25.1,109,7.3,240,60,90,8565
406,M-NCP,MNCP0406,2009,MNCP01,WS0163,24.93 ,30.28 ,20.05 ,2691.9,1611.9,353.5,654.5,1715.38,Fluvo-aquic soils,loam,11,24.7,123,7.4,240,60,90,8385
407,M-NCP,MNCP0407,2009,MNCP01,WS0163,24.93 ,30.28 ,20.05 ,2691.9,1611.9,353.5,654.5,1715.38,Cinnamon soils,loam,11,25.3,108,7.5,240,60,90,8820
408,M-NCP,MNCP0408,2009,MNCP01,WS0163,24.88 ,30.25 ,20.03 ,2687.4,1607.4,353.5,654.4,1710.33,Cinnamon soils,loam,9,20.7,95,7.6,240,60,90,7170
409,M-NCP,MNCP0409,2009,MNCP01,WS0163,24.88 ,30.25 ,20.03 ,2687.4,1607.4,353.5,654.4,1710.33,Cinnamon soils,sandy loam,9,22.2,99,7.2,240,60,90,7380
410,M-NCP,MNCP0410,2009,MNCP01,WS0163,24.88 ,30.25 ,20.03 ,2687.4,1607.4,353.5,654.4,1710.33,Cinnamon soils,loam,8,21.3,80,7.4,240,60,90,7425
411,M-NCP,MNCP0411,2010,MNCP01,WS0163,25.79 ,30.93 ,21.34 ,2785.5,1705.5,398.1,637.9,1697.4,Cinnamon soils,loam,16.2,30.2,150,7.4,240,60,90,6885
412,M-NCP,MNCP0412,2010,MNCP01,WS0163,25.79 ,30.93 ,21.34 ,2785.5,1705.5,398.1,637.9,1697.4,Fluvo-aquic soils,loam,15.8,29.4,137,7,240,60,90,6885
413,M-NCP,MNCP0413,2010,MNCP01,WS0163,25.68 ,30.81 ,21.23 ,2773.2,1693.2,398.1,639.5,1694.93,Cinnamon soils,loam,15.1,26.4,114,7.4,240,60,90,6345
414,M-NCP,MNCP0414,2010,MNCP01,WS0163,25.68 ,30.81 ,21.23 ,2773.2,1693.2,398.1,639.5,1694.93,Cinnamon soils,loam,14.3,26.1,110,7.6,240,60,90,6360
415,M-NCP,MNCP0415,2010,MNCP01,WS0163,25.68 ,30.81 ,21.23 ,2773.2,1693.2,398.1,639.5,1694.93,Fluvo-aquic soils,loam,8.5,25.3,125,7.2,240,60,90,6300
416,M-NCP,MNCP0416,2010,MNCP01,WS0163,25.68 ,30.81 ,21.23 ,2773.2,1693.2,398.1,639.5,1694.93,Cinnamon soils,loam,10.4,26.8,110,7.1,240,60,90,6225
417,M-NCP,MNCP0417,2010,MNCP01,WS0163,25.58 ,30.70 ,21.13 ,2762.4,1682.4,398.1,636.6,1685.81,Cinnamon soils,loam,12.8,21.2,100,7.7,240,60,90,5370
418,M-NCP,MNCP0418,2010,MNCP01,WS0163,25.58 ,30.70 ,21.13 ,2762.4,1682.4,398.1,636.6,1685.81,Cinnamon soils,sandy loam,11.6,23.2,98,7,240,60,90,5610
419,M-NCP,MNCP0419,2010,MNCP01,WS0163,25.58 ,30.70 ,21.13 ,2762.4,1682.4,398.1,636.6,1685.81,Cinnamon soils,loam,12.6,22.6,90,7.3,240,60,90,5670
420,M-NCP,MNCP0420,2008,MNCP01,WS0204,24.69 ,29.38 ,20.75 ,2567.4,1527.4,428,578,1573.64,Fluvo-aquic soils,sandy loam,12.2,70,107,7.9,180,150,150,9185
421,M-NCP,MNCP0421,2008,MNCP01,WS0204,24.78 ,29.49 ,20.84 ,2577.6,1537.6,411.3,581.6,1581.77,Fluvo-aquic soils,loam,11,80,110,7.9,225,150,150,10286
422,M-NCP,MNCP0422,2008,MNCP01,WS0204,24.55 ,29.22 ,20.65 ,2602.8,1542.8,429.5,581.6,1591.89,Fluvo-aquic soils,sandy loam,5.4,20.5,70,8.3,225,150,150,9525
423,M-NCP,MNCP0423,2009,MNCP01,WS0204,24.70 ,29.77 ,20.17 ,2642.6,1572.6,410.9,648.1,1712.66,Fluvo-aquic soils,loam,16.3,17.9,67,7.8,225,150,150,10125
424,M-NCP,MNCP0424,2009,MNCP01,WS0204,24.63 ,29.63 ,20.22 ,2561.1,1521.1,409.7,622.5,1647.22,Fluvo-aquic soils,clay,7,21.6,173,8.1,180,150,150,9825
425,M-NCP,MNCP0425,2009,MNCP01,WS0204,24.58 ,29.58 ,20.18 ,2605.7,1545.7,410.9,624.1,1662.34,Fluvo-aquic soils,loam,14,40,76,7.9,225,150,150,8520
426,M-NCP,MNCP0426,2007,MNCP01,WS0158,25.78 ,30.62 ,21.75 ,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,loam,10.7,9.5,120,8.1,180,60,120,7460
427,M-NCP,MNCP0427,2007,MNCP01,WS0158,25.78 ,30.62 ,21.75 ,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,loam,13.3,16.5,165,8.1,225,60,150,8156
428,M-NCP,MNCP0428,2007,MNCP01,WS0158,25.78 ,30.62 ,21.75 ,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,loam,14.6,16.7,172,8.1,225,60,150,8325
429,M-NCP,MNCP0429,2007,MNCP01,WS0158,25.78 ,30.62 ,21.75 ,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,sandy loam,8.7,6.5,90,8.3,135,60,90,6740
430,M-NCP,MNCP0430,2007,MNCP01,WS0158,25.78 ,30.62 ,21.75 ,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,loam,11.3,12.5,110,8.1,180,60,120,7353
431,M-NCP,MNCP0431,2007,MNCP01,WS0158,25.78 ,30.62 ,21.75 ,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,loam,9.3,13.1,132,8.1,180,60,120,7509
432,M-NCP,MNCP0432,2007,MNCP01,WS0158,25.78 ,30.62 ,21.75 ,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,loam,9,6.5,100,8.2,135,60,90,6224
433,M-NCP,MNCP0433,2007,MNCP01,WS0158,25.78 ,30.62 ,21.75 ,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,loam,8.7,8.5,110,8.3,135,60,90,6674
434,M-NCP,MNCP0434,2007,MNCP01,WS0158,25.78 ,30.62 ,21.75 ,2630,1610,259.3,717.7,1781.1,Fluvo-aquic soils,loam,9.7,12.7,112,8.1,180,60,120,7130
435,M-NCP,MNCP0435,2008,MNCP01,WS0158,25.57 ,30.33 ,21.67 ,2736.2,1666.2,433.1,654.1,1714.87,Fluvo-aquic soils,loam,13.3,17.1,168,8.2,225,60,150,8474
436,M-NCP,MNCP0436,2008,MNCP01,WS0158,25.57 ,30.33 ,21.67 ,2736.2,1666.2,433.1,654.1,1714.87,Fluvo-aquic soils,loam,12.6,16.9,175,8.2,180,60,120,8511
437,M-NCP,MNCP0437,2008,MNCP01,WS0158,25.57 ,30.33 ,21.67 ,2736.2,1666.2,433.1,654.1,1714.87,Fluvo-aquic soils,clay,14.2,16.7,162,8.2,225,60,150,8193
438,M-NCP,MNCP0438,2008,MNCP01,WS0158,25.57 ,30.33 ,21.67 ,2736.2,1666.2,433.1,654.1,1714.87,Fluvo-aquic soils,loam,12.3,14.5,135,8.3,180,60,120,7836
439,M-NCP,MNCP0439,2008,MNCP01,WS0158,25.57 ,30.33 ,21.67 ,2736.2,1666.2,433.1,654.1,1714.87,Fluvo-aquic soils,loam,11.5,13.5,110,8.2,180,60,120,7760
