Sort,Crop,N0,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
30,M-NCP,MNCP0030,2008,MNCP01,WS0028,23.29 ,28.24 ,19.48 ,2748.6,1568.6,420.7,644,1706.05,Cinnamon soils,silt loam,8.5,15,39,7.9,210,105,90,7448
31,M-NCP,MNCP0031,2009,MNCP01,WS0028,23.93 ,29.19 ,19.73 ,2823.3,1643.3,431.4,683.2,1769.11,Cinnamon soils,silt loam,8.5,15,39,7.9,210,105,90,6186
32,M-NCP,MNCP0032,2009,MNCP01,WS0028,24.63 ,29.90 ,20.34 ,2758,1638,431.4,674.4,1761.77,Cinnamon soils,loamy sand,13.6,38.1,76,8.2,210,105,90,6393
33,M-NCP,MNCP0033,2008,MNCP01,WS0028,23.89 ,28.81 ,20.09 ,2723.5,1583.5,432.1,617.6,1672.04,Fluvo-aquic soils,silt loam,9.6,26.4,38,8.3,210,90,90,7299
34,M-NCP,MNCP0034,2009,MNCP01,WS0028,24.51 ,29.84 ,20.25 ,2794.6,1654.6,431.4,681.9,1774.14,Fluvo-aquic soils,silt loam,9.6,26.4,38,8.3,210,90,90,6609
35,M-NCP,MNCP0035,2009,MNCP01,WS0024,24.96 ,30.23 ,20.57 ,2820.2,1690.2,378,771.3,1910.87,Fluvo-aquic soils,loam,16.7,11,59,8.3,225,60,150,6426
36,M-NCP,MNCP0036,2009,MNCP01,WS0024,24.59 ,29.88 ,20.19 ,2753.8,1633.8,375.5,767.1,1860.3,Cinnamon soils,loam,19,54.3,68,8.4,225,60,150,8099
37,M-NCP,MNCP0037,2009,MNCP01,WS0024,24.46 ,29.73 ,20.10 ,2837.1,1677.1,378.4,783.3,1908.05,Cinnamon soils,loam,15.3,26.8,120,8,225,60,150,8594
38,M-NCP,MNCP0038,2009,MNCP01,WS0024,24.67 ,29.98 ,20.28 ,2812.2,1672.2,378,777.6,1897.72,Cinnamon soils,clay,22.8,49,149,8.3,225,60,150,8366
39,M-NCP,MNCP0039,2007,MNCP01,WS0024,24.46 ,29.36 ,20.47 ,2739.4,1619.4,426.2,582.8,1596.21,Cinnamon soils,loam,24.1,78,111,8.4,77,60,150,8589
40,M-NCP,MNCP0040,2007,MNCP01,WS0024,24.83 ,29.82 ,20.72 ,2682.1,1602.1,371.9,582,1582.67,Cinnamon soils,loam,19.4,57.2,120,8.5,43,60,90,5519
41,M-NCP,MNCP0041,2007,MNCP01,WS0024,24.68 ,29.65 ,20.58 ,2763.7,1643.7,385.6,604,1638.76,Cinnamon soils,loam,14.1,15.2,57,8,77,60,150,6675
42,M-NCP,MNCP0042,2007,MNCP01,WS0024,25.14 ,30.20 ,20.92 ,2664.6,1604.6,345,594,1594.32,Cinnamon soils,sandy loam,15,9.9,73,8.2,60,60,120,6540
43,M-NCP,MNCP0043,2008,MNCP01,WS0024,24.03 ,28.96 ,20.12 ,2619.5,1529.5,399.7,625.3,1628.62,Cinnamon soils,loam,13.5,18.5,65,8.3,43,60,90,7229
44,M-NCP,MNCP0044,2009,MNCP01,WS0024,24.89 ,30.12 ,20.58 ,2738.4,1638.4,378,733.4,1828.91,Cinnamon soils,loam,13.4,8.1,100,8.1,135,60,90,6668
45,M-NCP,MNCP0045,2008,MNCP01,WS0024,24.01 ,28.94 ,20.11 ,2592.7,1512.7,399.7,620.2,1613.1,Cinnamon soils,loam,16.8,38.6,117,8.1,43,60,90,6447
46,M-NCP,MNCP0046,2009,MNCP01,WS0024,24.91 ,30.22 ,20.48 ,2988.9,1788.9,393.4,826.4,2049.59,Cinnamon soils,loam,15.3,5.1,61,6.9,135,60,90,5970
47,M-NCP,MNCP0047,2009,MNCP01,WS0029,24.70 ,30.47 ,19.98 ,2915.1,1735.1,420.9,811,1982.81,Cinnamon soils,loamy sand,25.5,72.6,150,6.8,225,60,150,9960
48,M-NCP,MNCP0048,2009,MNCP01,WS0029,24.63 ,30.37 ,19.97 ,2857.6,1697.6,420.9,784.2,1925.78,Cinnamon soils,sandy clay loam,18.8,12.7,74,7.2,180,60,120,8913
49,M-NCP,MNCP0049,2009,MNCP01,WS0029,24.57 ,30.29 ,19.91 ,2850,1690,420.9,782.2,1916.73,Cinnamon soils,loamy sand,19.2,14.2,73,6.9,135,60,90,8225
50,M-NCP,MNCP0050,2009,MNCP01,WS0029,24.84 ,30.54 ,20.21 ,2831.3,1691.3,420.9,765,1899.47,Cinnamon soils,clay,15.6,15.3,54,7.1,225,60,150,9758
51,M-NCP,MNCP0051,2009,MNCP01,WS0029,24.63 ,30.37 ,19.97 ,2857.6,1697.6,420.9,784.2,1925.78,Cinnamon soils,loamy sand,22.9,20.4,80,6.8,180,60,120,9174
