Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
32,ER-SC,ERSC0032,2009,ERSC03,WS0783,25.42 ,31.49 ,20.61 ,1804.5,1094.5,431.6,501.8,1334.24,Paddy soils,,11.4,8.5,56,5.8,180,72,90,6204
33,ER-SC,ERSC0033,2010,ERSC03,WS0783,24.02 ,28.72 ,20.30 ,1921.5,1121.5,546.2,396,1227.35,Paddy soils,,9.9,9.8,61,5.8,180,72,90,6066
34,ER-SC,ERSC0034,2010,ERSC03,WS0783,24.11 ,28.91 ,20.33 ,2001.4,1171.4,552.8,422,1290.74,Paddy soils,,12.6,13.5,74,5.9,180,72,90,6132
35,ER-SC,ERSC0035,2008,ERSC01,WS0867,25.74 ,31.71 ,21.53 ,2342.5,1432.5,520.7,494.1,1468.92,Paddy soils,,28.9,17,87,5.5,150,60,90,3855
36,ER-SC,ERSC0036,2008,ERSC01,WS0867,25.55 ,31.52 ,21.39 ,2504.1,1524.1,564.1,522.6,1564.35,Paddy soils,,35.4,75.5,54,5.2,150,60,90,7110
37,ER-SC,ERSC0037,2007,ERSC01,WS0867,25.55 ,31.52 ,21.39 ,2504.1,1524.1,564.1,522.6,1564.35,Paddy soils,,35.8,10.5,57,5.2,150,60,90,5415
38,ER-SC,ERSC0038,2008,ERSC01,WS0867,25.55 ,31.52 ,21.39 ,2504.1,1524.1,564.1,522.6,1564.35,Paddy soils,,36.4,8.2,85,5.2,150,60,90,4890
39,ER-SC,ERSC0039,2008,ERSC01,WS0867,25.55 ,31.52 ,21.39 ,2504.1,1524.1,564.1,522.6,1564.35,Paddy soils,,33,24.3,104,5.1,150,60,90,6795
40,ER-SC,ERSC0040,2008,ERSC01,WS0867,25.55 ,31.52 ,21.39 ,2504.1,1524.1,564.1,522.6,1564.35,Paddy soils,,37.6,8.2,36,5.4,150,60,90,7095
41,ER-SC,ERSC0041,2008,ERSC01,WS0867,25.55 ,31.52 ,21.39 ,2504.1,1524.1,564.1,522.6,1564.35,Paddy soils,,42.6,34.1,77,5.3,150,60,90,5550
42,ER-SC,ERSC0042,2008,ERSC01,WS0867,25.55 ,31.52 ,21.39 ,2504.1,1524.1,564.1,522.6,1564.35,Paddy soils,,26,22.2,77,5.4,150,60,90,5925
43,ER-SC,ERSC0043,2008,ERSC01,WS0867,25.55 ,31.52 ,21.39 ,2504.1,1524.1,564.1,522.6,1564.35,Paddy soils,,40.1,8.1,60,5.2,150,60,90,8211
44,ER-SC,ERSC0044,2008,ERSC01,WS0880,25.61 ,30.63 ,22.10 ,2637.7,1607.7,988.4,532.9,1616.91,Paddy soils,,19.7,26,54,5.4,165,66,99,7620
45,ER-SC,ERSC0045,2008,ERSC01,WS0880,25.61 ,30.63 ,22.10 ,2637.7,1607.7,988.4,532.9,1616.91,Paddy soils,,18.9,12,23,5.5,165,66,99,7545
46,ER-SC,ERSC0046,2008,ERSC01,WS0880,25.65 ,30.71 ,22.12 ,2616.6,1596.6,967.3,532.9,1610.05,Paddy soils,,20.9,58,27,5.2,165,66,99,7650
47,ER-SC,ERSC0047,2008,ERSC01,WS0880,25.56 ,30.58 ,22.04 ,2658.1,1618.1,988.6,532.9,1623.75,Paddy soils,,27.8,29,98,5.6,165,66,99,9045
48,ER-SC,ERSC0048,2006,ERSC01,WS0902,24.59 ,28.43 ,21.76 ,2409.7,1429.7,1407.2,360.6,1291.8,Paddy soils,,27.3,36.8,34,5.3,150,60,105,7091
49,ER-SC,ERSC0049,2006,ERSC01,WS0902,24.62 ,28.43 ,21.77 ,2436.9,1446.9,1483.9,360.6,1298.98,Paddy soils,,17.9,55.8,43,5.9,150,60,105,8380
50,ER-SC,ERSC0050,2006,ERSC01,WS0902,24.39 ,28.24 ,21.55 ,2365.6,1395.6,1223.9,361.9,1285.5,Paddy soils,,17.5,64,45,5.2,150,60,105,8353
51,ER-SC,ERSC0051,2006,ERSC01,WS0902,24.81 ,28.60 ,21.97 ,2431.3,1451.3,1470.5,362.9,1298.11,Paddy soils,,19.7,70.3,48,5.9,150,60,105,8010
52,ER-SC,ERSC0052,2006,ERSC01,WS0902,24.94 ,28.75 ,22.07 ,2519.3,1509.3,1470.5,397.3,1376.16,Paddy soils,,21.3,56,33,5.6,150,60,105,7634
53,ER-SC,ERSC0053,2009,ERSC01,WS0901,23.88 ,29.70 ,19.76 ,2507.4,1457.4,539.4,519.2,1598.95,Paddy soils,,27.5,75.1,38,5.8,150,60,105,9600
54,ER-SC,ERSC0054,2009,ERSC01,WS0901,25.92 ,31.63 ,21.76 ,2281.3,1401.3,412.8,501.8,1461.13,Paddy soils,,38.9,16.5,49,4.9,150,60,105,9093
55,ER-SC,ERSC0055,2009,ERSC01,WS0901,24.72 ,30.53 ,20.59 ,2447.2,1457.2,527.6,523.5,1570.35,Paddy soils,,34.7,27.4,41,4.8,150,60,105,7257
56,ER-SC,ERSC0056,2009,ERSC01,WS0901,24.72 ,30.54 ,20.52 ,2793.4,1663.4,538.8,604.9,1801.26,Paddy soils,,40.1,57.4,190,6,150,60,105,8175
57,ER-SC,ERSC0057,2009,ERSC01,WS0901,24.39 ,30.16 ,20.32 ,1853.3,1093.3,386.9,372.3,1159.64,Paddy soils,,32.9,46.6,41,5.4,150,60,105,6326
58,ER-SC,ERSC0058,2009,ERSC01,WS0901,24.79 ,30.61 ,20.64 ,2454.4,1464.4,527.5,532.4,1585.45,Paddy soils,,39,23,76,5.1,150,60,105,7950
59,ER-SC,ERSC0059,2009,ERSC01,WS0901,24.55 ,30.41 ,20.36 ,2479.6,1469.6,525.9,530.1,1593.88,Paddy soils,,37.4,43.4,48,4.9,150,60,105,9624
60,ER-SC,ERSC0060,2009,ERSC01,WS0901,24.02 ,29.84 ,19.86 ,2690.4,1570.4,550.1,567.6,1728.04,Paddy soils,,6.6,3.5,64,5.2,150,60,105,9567
61,ER-SC,ERSC0061,2008,ERSC01,WS0901,24.54 ,30.12 ,20.92 ,2699.4,1599.4,814.1,487.1,1586.83,Paddy soils,,46.7,56,48,5.7,150,60,105,7629
62,ER-SC,ERSC0062,2007,ERSC01,WS0877,23.77 ,28.99 ,20.32 ,2614.3,1514.3,1011.5,415.6,1459.63,Paddy soils,,31.7,10.8,45,5.1,165,60,105,8592
63,ER-SC,ERSC0063,2007,ERSC01,WS0877,25.00 ,30.48 ,21.34 ,2649.6,1589.6,977.7,472.6,1534.33,Paddy soils,,38.6,24,103,5,165,60,105,8144
64,ER-SC,ERSC0064,2007,ERSC01,WS0877,24.85 ,30.32 ,21.23 ,2559.7,1529.7,977.7,449.1,1474.24,Paddy soils,,34,25.5,118,5.1,165,60,105,8012
65,ER-SC,ERSC0065,2007,ERSC01,WS0877,24.23 ,29.52 ,20.71 ,2640.8,1550.8,998.7,449.1,1513.53,Paddy soils,,30.7,24.3,62,5.3,165,60,105,7403
66,ER-SC,ERSC0066,2007,ERSC01,WS0877,24.02 ,29.30 ,20.55 ,2618.6,1528.6,1013.8,428.3,1476.97,Paddy soils,,26.6,51.1,47,4.7,165,60,105,8077
67,ER-SC,ERSC0067,2007,ERSC01,WS0877,24.23 ,29.51 ,20.71 ,2713.2,1593.2,1013.5,455.2,1543.61,Paddy soils,,38.6,54.2,31,4.8,165,60,105,8070
68,ER-SC,ERSC0068,2007,ERSC01,WS0864,25.14 ,31.67 ,20.93 ,2489.3,1499.3,576,478.1,1493.17,Paddy soils,,73.7,58.2,55,4.8,165,60,105,7419
69,ER-SC,ERSC0069,2008,ERSC01,WS0864,24.70 ,30.78 ,20.63 ,2642.4,1572.4,759.9,504.7,1593.99,Paddy soils,,70.2,19.3,89,5,150,60,135,9123
