Sort,Crop,NO,Year,Province,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
32,M-SWC,MSWC0032,2009,MSWC01,WS0564,20.09 ,24.18 ,17.28 ,2471,1241,657.3,424.2,1573.53,Yellow earths,,43.4,23.1,77,5.2,210,135,210,9119
33,M-SWC,MSWC0033,2009,MSWC01,WS0564,20.09 ,24.18 ,17.28 ,2471,1241,657.3,424.2,1573.53,Yellow earths,,21.6,16.2,116,5.7,210,135,210,7450
34,M-SWC,MSWC0034,2009,MSWC01,WS0564,20.09 ,24.18 ,17.28 ,2471,1241,657.3,424.2,1573.53,Yellow earths,,25.7,5.9,107,5.8,225,150,240,10986
35,M-SWC,MSWC0035,2008,MSWC01,WS0639,21.16 ,25.75 ,18.22 ,2983.4,1573.4,1196.7,467.525,1754.56,Yellow earths,,31.8,3.5,169,5.5,180,120,180,8141
36,M-SWC,MSWC0036,2008,MSWC01,WS0639,21.09 ,25.72 ,18.10 ,3184.4,1674.4,1228.6,518.525,1903.41,Limestone soils,,29.4,8.4,48,5.8,210,135,210,9066
37,M-SWC,MSWC0037,2008,MSWC01,WS0639,21.11 ,25.73 ,18.13 ,3103.2,1633.2,1212.1,497.925,1845.21,Limestone soils,,28,10,53,5.9,225,150,225,8794
38,M-SWC,MSWC0038,2008,MSWC01,WS0639,21.60 ,26.29 ,18.56 ,3218.7,1728.7,1171.3,554.225,1931.45,Yellow earths,,35.3,22,223,5.8,210,135,210,10632
39,M-SWC,MSWC0039,2008,MSWC01,WS0639,21.60 ,26.22 ,18.64 ,3305.4,1775.4,1215.6,551.825,1949.33,Yellow earths,,30.2,12.6,259,6.3,210,135,210,10565
40,M-SWC,MSWC0040,2008,MSWC01,WS0639,21.68 ,26.34 ,18.69 ,3187.1,1717.1,1171.3,543.225,1897.76,Yellow earths,,35.9,17.4,204,5.7,210,135,210,9425
41,M-SWC,MSWC0041,2008,MSWC01,WS0639,21.89 ,26.48 ,18.96 ,3020.4,1640.4,1146.5,483.625,1718.85,Yellow earths,,36.9,3.3,152,5.7,225,150,240,9916
42,M-SWC,MSWC0042,2008,MSWC01,WS0639,21.90 ,26.51 ,18.96 ,2978.9,1618.9,1092.1,481.025,1703.75,Yellow earths,,40.9,22,248,5.4,210,135,210,9916
43,M-SWC,MSWC0043,2008,MSWC01,WS0561,21.29 ,26.41 ,17.79 ,3555.2,1885.2,787.6,616.9,2164.89,Limestone soils,,59.9,9.6,156,5.5,180,120,180,6390
44,M-SWC,MSWC0044,2009,MSWC01,WS0561,21.36 ,26.02 ,18.19 ,3054.2,1624.2,609.5,554.1,1918.49,Limestone soils,,39.6,17.4,70,4.7,225,150,225,5790
