Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,
W-NCP,WNCP0028,2008,河北省,Hebei,8653693,9.227309237,15.56305221,4.122088353,2425.2,875.6,111.4,1591,3113.36,褐土,Cinnamon soils,sandy loam,21,25.1,110,8.1,180,150,135,5614.5,
W-NCP,WNCP0029,2007,河北省,Hebei,8653693,8.786486486,14.44555985,4.267953668,2447,851,177.3,1428.5,3011.67,褐土,Cinnamon soils,sandy loam,18,34,111,7.8,180,150,120,7515,
W-NCP,WNCP0030,2007,河北省,Hebei,8653693,8.756976744,14.42751938,4.228682171,2430.6,844.6,168.8,1428.5,3007.06,褐土,Cinnamon soils,sandy loam,15,27,109,7.8,225,150,150,7845,
W-NCP,WNCP0031,2008,河北省,Hebei,8653693,9.628627451,15.94235294,4.545490196,2582.9,973.3,120.9,1620.9,3211.11,褐土,Cinnamon soils,sandy loam,22,32.6,132,8.2,180,150,120,4713,
W-NCP,WNCP0032,2008,河北省,Hebei,8653693,8.860493827,15.19794239,3.769547325,2280.7,791.1,95.4,1540.1,2988.47,褐土,Cinnamon soils,loam,15,39.2,116,8.3,225,150,150,6396,
W-NCP,WNCP0033,2007,河北省,Hebei,8653693,8.655642023,14.31828794,4.143968872,2395.8,819.8,177.3,1424.2,2989.87,褐土,Cinnamon soils,loam,18,35,147,7.8,225,150,150,8835,
W-NCP,WNCP0034,2007,河北省,Hebei,8653694,8.434939759,13.8686747,3.833333333,2276.3,804.3,170.3,1336.3,2848.85,潮土,Fluvo-aquic soils,loam,21,22,69,8,210,90,90,6544.5,
W-NCP,WNCP0035,2007,河北省,Hebei,8653694,7.920675105,13.36666667,3.294936709,2053.2,701.2,147.7,1288.2,2717.54,褐土,Cinnamon soils,sandy loam,11.4,22,91,7.9,225,112.5,105,6348,
W-NCP,WNCP0036,2007,河北省,Hebei,8653694,8.04338843,13.52561983,3.398760331,2122.5,720.5,147.7,1330.8,2787.55,褐土,Cinnamon soils,sandy clay loam,15.5,8.8,70,7.9,225,120,150,6976.5,
W-NCP,WNCP0037,2008,河北省,Hebei,8653694,9.362096774,15.29677419,4.256451613,2444.4,936.3,119.3,1529.1,3080.7,潮土,Fluvo-aquic soils,loam,21,22,69,8,210,90,90,6883.5,
W-NCP,WNCP0038,2008,河北省,Hebei,8653694,8.724152542,14.66864407,3.565677966,2181.5,793.4,104.1,1454.2,2907.06,褐土,Cinnamon soils,sandy loam,11.4,22,91,7.9,225,112.5,105,6772.5,
W-NCP,WNCP0039,2007,河北省,Hebei,8653694,8.126639344,13.61516393,3.48647541,2158.9,736.9,150.5,1341.1,2811.48,褐土,Cinnamon soils,sandy clay loam,14.6,14,71,7.9,210,135,120,6318,
W-NCP,WNCP0040,2008,河北省,Hebei,8653694,9.038683128,15.01440329,3.884773663,2319,860.9,104.1,1512.5,3010.32,褐土,Cinnamon soils,sandy clay loam,14.6,14,71,7.9,210,135,120,6102,
W-NCP,WNCP0041,2008,河北省,Hebei,8653694,9.038683128,15.01440329,3.884773663,2319,860.9,104.1,1512.5,3010.32,褐土,Cinnamon soils,loam,15.4,26.2,65,7.9,210,135,120,6705,
W-NCP,WNCP0042,2007,河北省,Hebei,8653694,8.4524,13.8944,3.8492,2289.1,807.1,170.3,1346.6,2865.26,褐土,Cinnamon soils,silt loam,8.5,15,39,7.9,210,105,90,6247.5,
W-NCP,WNCP0043,2007,河北省,Hebei,8653694,8.237142857,13.66734694,3.642040816,2194.1,762.1,170.3,1320.7,2801.59,褐土,Cinnamon soils,loamy sand,13.6,38.1,76,8.2,210,105,90,6091.5,
W-NCP,WNCP0044,2008,河北省,Hebei,8653694,9.403614458,15.34899598,4.291164659,2464.1,946,119.3,1537.7,3095,褐土,Cinnamon soils,silt loam,8.5,15,39,7.9,210,105,90,5719.5,
W-NCP,WNCP0045,2008,河北省,Hebei,8653694,9.145491803,15.10081967,4.007786885,2354.1,886,107.2,1513.7,3033.1,褐土,Cinnamon soils,loamy sand,13.6,38.1,76,8.2,210,105,90,5685,
W-NCP,WNCP0046,2008,河北省,Hebei,8653694,9.224899598,15.65180723,3.689558233,2427.7,950.3,137.1,1688.3,3215.56,潮土,Fluvo-aquic soils,silt loam,9.6,26.4,38,8.3,210,90,90,5515.5,
W-NCP,WNCP0047,2008,河北省,Hebei,8653680,9.384615385,15.59068826,4.275708502,2431,920.4,80.8,1704.8,3236.38,褐土,Cinnamon soils,loam,19.8,71.4,134,8,73.35,150,150,6105,
W-NCP,WNCP0048,2008,河北省,Hebei,8653680,9.215163934,15.41680328,4.116803279,2361.5,880.9,80.8,1676.7,3174.39,褐土,Cinnamon soils,loamy sand,15.2,25.5,111,8,60,150,120,6147,
W-NCP,WNCP0049,2006,河北省,Hebei,8653680,9.7312,15.444,5.0112,2513.2,973.8,141,1423.5,2932.71,褐土,Cinnamon soils,loam,23.5,52,125,8.5,73.35,150,150,6534,
W-NCP,WNCP0050,2006,河北省,Hebei,8653680,9.866135458,15.57609562,5.133864542,2556.8,1007.4,141,1437.4,2979.83,褐土,Cinnamon soils,loam,24.2,79,111,8.5,73.35,150,150,6655.5,
W-NCP,WNCP0051,2006,河北省,Hebei,8653680,9.6752,15.3968,4.9628,2499.2,959.8,141,1419.1,2915.62,潮土,Fluvo-aquic soils,loam,9.3,8.5,129,8.5,60,150,120,7635,
W-NCP,WNCP0052,2007,河北省,Hebei,8653680,8.659036145,14.22771084,4.034136546,2299.1,800.3,229.8,1515.5,3044.66,褐土,Cinnamon soils,loam,19.1,56,64,8.4,73.35,150,150,7425,
W-NCP,WNCP0053,2008,河北省,Hebei,8653680,9.709960159,15.88605578,4.627888446,2550.2,999.6,88.4,1718.7,3300.01,褐土,Cinnamon soils,loam,19,54.3,68,8.4,73.35,150,150,7824,
W-NCP,WNCP0054,2009,河北省,Hebei,8653680,7.722779923,13.11003861,3.242857143,2261.5,891.6,162.3,1647.7,3270.13,褐土,Cinnamon soils,loam,15.5,28.1,118,8,225,150,150,6526.5,
W-NCP,WNCP0055,2009,河北省,Hebei,8653680,6.984210526,12.35263158,2.538461538,1986.4,736.5,141.6,1545.1,3043.51,潮土,Fluvo-aquic soils,loam,16.6,8.9,65,8.3,183,150,120,7153.5,
W-NCP,WNCP0056,2007,河北省,Hebei,8653680,8.659036145,14.22771084,4.034136546,2299.1,800.3,229.8,1515.5,3044.66,褐土,Cinnamon soils,loam,13.2,17.1,111,8.5,60,150,120,5995.5,
W-NCP,WNCP0057,2009,河北省,Hebei,8653680,6.976612903,12.33024194,2.549193548,1991.5,731.6,142,1546.1,3043.29,褐土,Cinnamon soils,loamy sand,23.5,30.2,105,8,183,150,120,6396,
W-NCP,WNCP0058,2009,河北省,Hebei,8653680,7.680232558,13.05232558,3.211627907,2242.8,882.9,162.3,1637,3252.18,褐土,Cinnamon soils,loam,15,4.4,58,6.5,183,150,120,3786,
W-NCP,WNCP0059,2008,河北省,Hebei,8653695,8.891935484,15.36572581,3.731048387,2334.9,850.5,90.7,1661.3,3165.53,褐土,Cinnamon soils,loamy sand,25.5,72.6,150,6.8,225,150,150,7924.5,
W-NCP,WNCP0060,2008,河北省,Hebei,8653695,9.039759036,15.54176707,3.838955823,2380.6,886.2,89.8,1688.1,3217.97,褐土,Cinnamon soils,sandy clay loam,18.8,12.7,74,7.2,225,150,150,6430.5,
W-NCP,WNCP0061,2008,河北省,Hebei,8653695,8.956854839,15.45040323,3.772580645,2351,866.6,89.8,1674.8,3189.61,褐土,Cinnamon soils,loam,19.4,12.8,80,8.3,180,150,120,5830.5,
W-NCP,WNCP0062,2008,河北省,Hebei,8653695,9.1048,15.6096,3.8984,2405.9,901.5,89.8,1699.1,3242.73,褐土,Cinnamon soils,loamy sand,19.2,14.2,73,6.9,180,150,120,4969.5,
W-NCP,WNCP0063,2008,河北省,Hebei,8653695,8.956854839,15.45040323,3.772580645,2351,866.6,89.8,1674.8,3189.61,褐土,Cinnamon soils,clay,15.6,15.3,54,7.1,225,150,150,7999.5,
W-NCP,WNCP0064,2008,河北省,Hebei,8653695,9.1048,15.6096,3.8984,2405.9,901.5,89.8,1699.1,3242.73,褐土,Cinnamon soils,loamy sand,22.9,20.4,80,6.8,225,150,150,6619.5,
W-NCP,WNCP0065,2008,河北省,Hebei,8653695,8.9944,15.4524,3.84,2378.3,873.9,96.9,1674.8,3198.83,褐土,Cinnamon soils,loamy sand,20.5,27.4,82,8.3,225,150,150,7078.5,
W-NCP,WNCP0066,2008,河北省,Hebei,8653695,9.1048,15.6096,3.8984,2405.9,901.5,89.8,1699.1,3242.73,褐土,Cinnamon soils,loam,13.7,34.6,108,7.7,225,150,150,6490.5,
W-NCP,WNCP0067,2008,河北省,Hebei,8653695,8.956854839,15.45040323,3.772580645,2351,866.6,89.8,1674.8,3189.61,褐土,Cinnamon soils,loamy sand,21.4,49.5,136,8,225,150,150,8179.5,
W-NCP,WNCP0068,2009,河北省,Hebei,8653695,7.258203125,12.74570313,2.7875,2136.3,820.6,123.7,1540.3,3105.26,褐土,Cinnamon soils,loamy sand,18.6,30.1,146,8.4,225,150,150,6957,
W-NCP,WNCP0069,2009,河北省,Hebei,8653695,7.570930233,13.09379845,3.079844961,2231.5,895.8,134.9,1571.6,3189.88,褐土,Cinnamon soils,loamy sand,16.8,20.1,72,7.9,225,150,150,6889.5,
W-NCP,WNCP0070,2009,河北省,Hebei,8653695,7.320622568,12.80583658,2.850972763,2159.6,833.9,134.9,1549.3,3126.9,褐土,Cinnamon soils,loamy sand,19.5,14.6,92,8.3,180,150,120,5197.5,
W-NCP,WNCP0071,2009,河北省,Hebei,8653695,7.201574803,12.68110236,2.741732283,2107.4,811.7,134.9,1529.2,3088.22,褐土,Cinnamon soils,loamy sand,11.2,22.1,75,8.1,180,150,120,5065.5,
W-NCP,WNCP0072,2009,河北省,Hebei,8653695,7.325296443,12.86758893,2.811067194,2131.5,845.8,134.7,1552.9,3133.63,褐土,Cinnamon soils,loamy sand,16.7,27.7,93,7.9,180,150,120,5125.5,
W-NCP,WNCP0073,2009,河北省,Hebei,8653695,7.301167315,12.79922179,2.818287938,2154.6,828.9,123.7,1551,3123.32,褐土,Cinnamon soils,loamy sand,13.9,35.1,109,7.7,225,150,150,6172.5,
