Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,,
LR-SC,LRSC0011,2008,福建省,Fujian,8658848,25.703636,29.522727,23.065455,2827.4,1727.4,661.1,598,1573.26,水稻土,Paddy soil,clay loam,29.7,12.2,57,5.4,150,60,90,6010.5,,
LR-SC,LRSC0012,2008,福建省,Fujian,8658848,25.626126,29.455856,22.965766,2844.5,1734.5,661.1,606,1587.76,水稻土,Paddy soil,sandy loam,26.5,21.6,25,4.6,150,60,90,6613.5,,
LR-SC,LRSC0013,2008,福建省,Fujian,8658848,25.528829,29.336937,22.863063,2833.7,1723.7,661.1,602.3,1577.77,水稻土,Paddy soil,silty clay loam,38.1,30.7,31,5.2,150,60,90,6618,,
LR-SC,LRSC0014,2008,福建省,Fujian,8658848,25.626126,29.455856,22.965766,2844.5,1734.5,661.1,606,1587.76,水稻土,Paddy soil,clay loam,40,22.8,28,5.2,150,60,90,6787.5,,
LR-SC,LRSC0015,2007,福建省,Fujian,8658839,25.683,30.95,21.824,2568.3,1568.3,362,457.5,1307.4,水稻土,Paddy soil,silty clay loam,26.8,28,42,5.9,150,60,105,6990,,
LR-SC,LRSC0016,2007,福建省,Fujian,8658839,25.921905,31.273333,21.97619,2721.8,1671.8,381.3,501.5,1415.29,水稻土,Paddy soil,silty clay loam,30.7,30.9,42,5.3,150,60,105,5235,,
LR-SC,LRSC0017,2007,福建省,Fujian,8658839,26.537864,32.048544,22.458252,2733.4,1703.4,365.9,530.2,1467.2,水稻土,Paddy soil,silty clay loam,63.3,17.2,49,5.8,150,60,105,5850,,
LR-SC,LRSC0018,2007,福建省,Fujian,8658839,25.921905,31.273333,21.97619,2721.8,1671.8,381.3,501.5,1415.29,水稻土,Paddy soil,silty clay loam,29.1,69.8,29,5.5,150,60,105,6030,,
LR-SC,LRSC0019,2008,福建省,Fujian,8658839,25.973451,31.289381,22.320354,2935,1805,466.3,580.1,1549.3,水稻土,Paddy soil,loam,34.5,12.9,45,5.1,150,60,105,6030,,
LR-SC,LRSC0020,2007,福建省,Fujian,8658839,26.644554,32.131683,22.59802,2691.1,1681.1,365.9,515.7,1437.97,水稻土,Paddy soil,silty clay loam,32.8,47,56,5.3,150,60,105,6480,,
LR-SC,LRSC0021,2007,福建省,Fujian,8658839,26.644554,32.131683,22.59802,2691.1,1681.1,365.9,515.7,1437.97,水稻土,Paddy soil,silty clay loam,35.4,9.7,35,5.2,150,60,105,6675,,
LR-SC,LRSC0022,2007,福建省,Fujian,8658839,26.644554,32.131683,22.59802,2691.1,1681.1,365.9,515.7,1437.97,水稻土,Paddy soil,silty clay loam,34.6,33.6,45,5.3,150,60,105,6270,,
LR-SC,LRSC0023,2007,福建省,Fujian,8658839,26.644554,32.131683,22.59802,2691.1,1681.1,365.9,515.7,1437.97,水稻土,Paddy soil,silty clay loam,29.7,31.1,74,5.2,150,60,105,7365,,
LR-SC,LRSC0024,2007,福建省,Fujian,8658839,26.644554,32.131683,22.59802,2691.1,1681.1,365.9,515.7,1437.97,水稻土,Paddy soil,silty clay loam,35.4,75.5,54,5.2,150,60,105,7260,,
LR-SC,LRSC0025,2008,福建省,Fujian,8658834,27.075,32.199074,23.405556,2924.1,1844.1,349.4,742.4,1827.12,水稻土,Paddy soil,clay loam,10.6,7.6,37,4.9,180,72,126,7998,,
LR-SC,LRSC0026,2008,福建省,Fujian,8658834,27.188571,32.288571,23.530476,2854.8,1804.8,349.4,719.5,1782.54,水稻土,Paddy soil,silty clay loam,23.5,12.8,98,5,180,72,126,8877,,
LR-SC,LRSC0027,2008,福建省,Fujian,8658823,26.39537,32.428704,22.665741,2850.7,1770.7,351.4,666.6,1731.39,水稻土,Paddy soil,silty clay loam,21.9,22.6,106,6.2,180,90,126,7575,,
LR-SC,LRSC0028,2008,福建省,Fujian,8658821,27.168571,33.868571,23.207619,2852.7,1802.7,359.8,654.1,1729.95,水稻土,Paddy soil,silty clay loam,27.9,45,122,5.2,165,60,105,9975,,
LR-SC,LRSC0029,2008,福建省,Fujian,8658821,27.078505,33.769159,23.127103,2897.4,1827.4,359.8,664.1,1754.36,水稻土,Paddy soil,loam,35.5,43.8,136,4.8,165,60,105,9951,,
LR-SC,LRSC0030,2007,福建省,Fujian,8658731,24.076768,30.481818,19.724242,2383.6,1393.6,397.8,604.6,1517.12,水稻土,Paddy soil,silty clay loam,36.8,24.6,116,5,180,40.5,120,8020,,
LR-SC,LRSC0031,2008,福建省,Fujian,8658725,24.933981,30.76699,21.442718,2568.2,1538.2,405.3,468.7,1335.52,水稻土,Paddy soil,silty clay loam,38.8,62.3,109,4.5,165,72,126,7440,,
LR-SC,LRSC0032,2007,福建省,Fujian,8658725,23.59,29.87,19.623,2359,1359,184.1,453,1260.19,水稻土,Paddy soil,loam,28.3,13.3,104,4.8,165,72,126,5745,,
LR-SC,LRSC0033,2007,福建省,Fujian,8658754,25.30367,30.040367,21.910092,2758.1,1668.1,1168.1,605.83,1579.46,水稻土,Paddy soil,loam,29.2,33,38,5.9,150,60,105,5325,,
LR-SC,LRSC0034,2007,福建省,Fujian,8658754,25.159459,29.897297,21.763063,2792.7,1682.7,1171.1,609.33,1592.84,水稻土,Paddy soil,loam,48.9,31,164,6.1,150,60,105,5730,,
LR-SC,LRSC0035,2007,福建省,Fujian,8658754,24.958772,29.728947,21.52807,2845.3,1705.3,1171.1,628.13,1629.63,水稻土,Paddy soil,loam,37.6,2.9,204,6.2,150,60,105,6550.5,,
LR-SC,LRSC0036,2007,福建省,Fujian,8658754,25.157522,29.915929,21.732743,2842.8,1712.8,1171.1,621.83,1624.48,水稻土,Paddy soil,loam,28.5,3.1,132,6,150,60,105,5755.5,,
LR-SC,LRSC0037,2007,福建省,Fujian,8658754,25.902804,30.737383,22.439252,2771.6,1701.6,1257.9,606.43,1589.39,水稻土,Paddy soil,clay,43.7,4.3,141,6,150,60,105,5749.5,,
LR-SC,LRSC0038,2007,福建省,Fujian,8658754,25.902804,30.737383,22.439252,2771.6,1701.6,1257.9,606.43,1589.39,水稻土,Paddy soil,clay,29.3,10,89,6.2,150,60,105,5700,,
LR-SC,LRSC0039,2007,福建省,Fujian,8658754,25.9125,30.744231,22.444231,2694.9,1654.9,1157.9,601.93,1564.13,水稻土,Paddy soil,clay,40.6,15,82,6,150,60,105,5595,,
LR-SC,LRSC0040,2007,福建省,Fujian,8658754,25.735135,30.526126,22.317117,2856.6,1746.6,1269,623.33,1635.69,水稻土,Paddy soil,clay,34.9,8,183,5.3,150,60,105,5800.5,,
LR-SC,LRSC0041,2007,福建省,Fujian,8658754,25.651852,30.425926,22.248148,2770.4,1690.4,1168.1,613.03,1597.11,水稻土,Paddy soil,clay,32.9,12,151,6.2,150,60,105,6649.5,,
LR-SC,LRSC0042,2006,福建省,Fujian,8659131,26.46734694,31.64795918,22.7744898,2593.8,1613.8,284.5,664.8,1598.17,水稻土,Paddy soil,clay loam,21.2,16.9,24,6.3,150,60,105,7854,,
LR-SC,LRSC0043,2006,福建省,Fujian,8659129,24.32758621,29.34051724,20.86551724,2822,1662,353,639.9,1599.92,水稻土,Paddy soil,sandy loam,26.3,37.8,42,5.3,150,60,105,6945,,
LR-SC,LRSC0044,2006,福建省,Fujian,8659129,23.99576271,29.02711864,20.53559322,2831.5,1651.5,353,637.2,1583.92,水稻土,Paddy soil,sandy loam,22.1,30.3,53,7,150,60,105,7791.5,,
LR-SC,LRSC0045,2006,福建省,Fujian,8659129,24.13931624,29.19401709,20.65213675,2824.3,1654.3,353,647.1,1599.33,水稻土,Paddy soil,sandy loam,19.4,21.7,49,6.4,150,60,105,7680.5,,
LR-SC,LRSC0046,2006,福建省,Fujian,8659129,24.09661017,29.14745763,20.61949153,2843.4,1663.4,353,648.7,1605.5,水稻土,Paddy soil,silty clay loam,29.2,52.9,81,5.4,150,60,105,8030.5,,
LR-SC,LRSC0047,2006,福建省,Fujian,8659129,24.30442478,29.31061947,20.8539823,2746.4,1616.4,353,612.4,1539.81,水稻土,Paddy soil,silty clay loam,18.8,43.4,52,5.2,150,60,105,7311,,
LR-SC,LRSC0048,2006,福建省,Fujian,8659129,24.93796296,30.0287037,21.41759259,2693.3,1613.3,333.1,624.2,1556.62,水稻土,Paddy soil,silty clay loam,18.6,37.8,43,5.3,150,60,105,6778,,
LR-SC,LRSC0049,2006,福建省,Fujian,8659129,24.29586777,29.32809917,20.82727273,2939.8,1729.8,353.5,679.9,1681.01,水稻土,Paddy soil,silty clay loam,28.2,44.9,74,5.6,150,60,105,6906,,
LR-SC,LRSC0050,2008,福建省,Fujian,8659113,25.818182,32.114141,21.610101,2556,1566,283,628.1,1559.56,水稻土,Paddy soil,silty clay loam,31.8,46,30,5.6,150,60,105,10195.5,,
LR-SC,LRSC0051,2008,福建省,Fujian,8659113,25.742105,32.029474,21.554737,2445.5,1495.5,227.8,598.6,1482.96,水稻土,Paddy soil,clay,33,15,45,5.1,150,60,105,9420,,
LR-SC,LRSC0052,2008,福建省,Fujian,8659113,25.84,32.055238,21.725714,2713.2,1663.2,387.2,651.4,1640.37,水稻土,Paddy soil,silty clay loam,39.4,35.9,85,5.6,150,60,105,8874,,
LR-SC,LRSC0053,2008,福建省,Fujian,8659113,26.46036,32.738739,22.343243,2937.1,1827.1,543.2,713.2,1844.38,水稻土,Paddy soil,clay,44.5,30.8,76,4.9,150,60,105,8710.5,,
LR-SC,LRSC0054,2008,福建省,Fujian,8659113,25.957426,32.174257,21.832673,2621.7,1611.7,387.1,632.5,1596.67,水稻土,Paddy soil,clay,37.9,34.9,58,5.3,150,60,105,7708.5,,
LR-SC,LRSC0055,2008,福建省,Fujian,8659113,25.974747,32.189899,21.861616,2571.5,1581.5,386.4,622,1567.54,水稻土,Paddy soil,loam,41.6,61.3,176,5.5,150,45,105,8881.5,,
LR-SC,LRSC0056,2008,福建省,Fujian,8659113,26.089899,32.408081,21.918182,2582.9,1592.9,382.2,642.5,1606.17,水稻土,Paddy soil,silty clay loam,34.3,22,124,5.4,180,90,180,9376.5,,
LR-SC,LRSC0057,2006,福建省,Fujian,8658918,26.20380952,32.12095238,22.34952381,2751.4,1701.4,400.8,653.4,1690.56,水稻土,Paddy soil,silty clay loam,29.6,10.9,45,5,165,60,105,9736.5,,
LR-SC,LRSC0058,2006,福建省,Fujian,8658918,26.26464646,32.27171717,22.33939394,2600.2,1610.2,324.8,631.8,1620.58,水稻土,Paddy soil,silty clay loam,25.7,67.2,86,5,165,60,105,8551.5,,
LR-SC,LRSC0059,2006,福建省,Fujian,8658918,26.26464646,32.27171717,22.33939394,2600.2,1610.2,324.8,631.8,1620.58,水稻土,Paddy soil,silty clay loam,51.3,27.6,49,5.1,165,60,105,10624.5,,
LR-SC,LRSC0060,2006,福建省,Fujian,8658918,25.86635514,31.91401869,21.89065421,2767.7,1697.7,324.8,688.4,1731.93,水稻土,Paddy soil,silty clay loam,36.9,19.2,45,4.8,165,60,105,8682,,
LR-SC,LRSC0061,2006,福建省,Fujian,8658918,25.86635514,31.91401869,21.89065421,2767.7,1697.7,324.8,688.4,1731.93,水稻土,Paddy soil,loamy sand,37.7,23.3,32,5.4,165,60,105,7600.5,,
LR-SC,LRSC0062,2006,福建省,Fujian,8658918,25.58518519,31.76944444,21.52222222,2763.2,1683.2,324.8,696.2,1735.97,水稻土,Paddy soil,clay,31.4,53.7,76,5.4,165,60,105,8800.5,,
