Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk,,
LR-SC,LRSC0288,2007,广西壮族自治区,Guangxi,8659255,27.710989,32.303297,24.17033,2521.7,1611.7,311.6,596.6,1496.95,水稻土,Paddy soil,sandy loam,28.3,10,39.6,6.35,150,60,120,7393.5,,
LR-SC,LRSC0289,2007,广西壮族自治区,Guangxi,8659255,27.363158,31.888421,23.843158,2599.5,1649.5,337.8,603.1,1525.88,水稻土,Paddy soil,sandy loam,28.1,56,51.6,5.8,150,60,120,7654.5,,
LR-SC,LRSC0290,2009,广西壮族自治区,Guangxi,8659453,27.291111,32.136667,23.948889,2456.2,1556.2,218.3,587.4,1444.3,水稻土,Paddy soil,sandy loam,24.91,14.7,61,5.2,150,60,120,7183.5,,
LR-SC,LRSC0291,2010,广西壮族自治区,Guangxi,8659453,25.976596,30.694681,22.798936,2441.8,1501.8,381.8,544.8,1398.77,水稻土,Paddy soil,sandy loam,14.7,50.4,93,5.7,150,60,120,6993,,
LR-SC,LRSC0292,2009,广西壮族自治区,Guangxi,8659453,27.107,31.87,23.81,2710.7,1710.7,261.8,622.8,1558.94,水稻土,Paddy soil,sandy loam,17.78,15.2,24,5.4,195,75,150,7357.5,,
LR-SC,LRSC0293,2009,广西壮族自治区,Guangxi,8659453,27.408696,32.21413,24.103261,2521.6,1601.6,249.4,585.9,1464.62,水稻土,Paddy soil,sandy loam,42.34,26.2,43,6.4,195,75,150,7056,,
LR-SC,LRSC0294,2008,广西壮族自治区,Guangxi,8659453,26.870707,31.515152,23.658586,2660.2,1670.2,529.8,623.688,1548.75,水稻土,Paddy soil,loam,33.77,14.9,230,4.9,150,60,120,5031,,
LR-SC,LRSC0295,2010,广西壮族自治区,Guangxi,8659453,25.462376,30.264356,22.151485,2571.7,1561.7,381.8,581.8,1471.07,水稻土,Paddy soil,clay,40.88,29.3,48,5.1,150,60,120,5841,,
LR-SC,LRSC0296,2010,广西壮族自治区,Guangxi,8659453,26.127619,30.946667,22.869524,2743.4,1693.4,417.6,633.5,1608.98,水稻土,Paddy soil,clay,47.21,55.4,179,5.6,213,75,130.5,7020,,
LR-SC,LRSC0297,2010,广西壮族自治区,Guangxi,8659453,25.959184,30.75102,22.732653,2544,1564,394.6,576.1,1469.24,水稻土,Paddy soil,clay loam,25.38,6.4,60,5.6,150,60,120,8182.5,,
LR-SC,LRSC0298,2008,广西壮族自治区,Guangxi,8657956,26.662222,31.814444,23.201111,2399.6,1499.6,470.1,571,1459.66,水稻土,Paddy soil,loam,47.3,13.4,55.5,7,195,75,150,7300.5,,
LR-SC,LRSC0299,2008,广西壮族自治区,Guangxi,8657949,27.033735,32.271084,23.612048,2243.8,1413.8,177,469.4,1296.59,水稻土,Paddy soil,clay loam,52,21.5,65,5.2,120,45,90,6450,,
LR-SC,LRSC0300,2009,广西壮族自治区,Guangxi,8659064,25.70625,31.64625,21.45875,2056.5,1256.5,125.7,552.6,1309.02,水稻土,Paddy soil,clay loam,36.618216,18.392643,43.734986,7.6,150,60,120,5361,,
LR-SC,LRSC0301,2008,广西壮族自治区,Guangxi,8659064,25.81954,31.095402,22.185057,2246.3,1376.3,136.9,561.7,1391.81,水稻土,Paddy soil,clay loam,36.564093,5.32,50,4.85,120,45,90,5524.5,,
LR-SC,LRSC0302,2008,广西壮族自治区,Guangxi,8659064,25.926136,31.186364,22.297727,2281.5,1401.5,139.5,562.6,1402.45,水稻土,Paddy soil,clay loam,28.644736,9.0230228,32,6.2,150,60,120,5905.5,,
LR-SC,LRSC0303,2008,广西壮族自治区,Guangxi,8659064,26.317895,31.435789,23.1,2500.2,1550.2,371.7,697.1,1663.48,水稻土,Paddy soil,clay loam,44.747187,12.16332,60,6.21,150,60,120,6337.5,,
LR-SC,LRSC0304,2008,广西壮族自治区,Guangxi,8659064,26.013043,31.280435,22.406522,2393.2,1473.2,143.9,579.4,1458.19,水稻土,Paddy soil,clay loam,40.201652,49.169737,128,6.9,210,90,210,7536,,
LR-SC,LRSC0305,2008,广西壮族自治区,Guangxi,8659064,26.083333,31.402564,22.35,2034.5,1254.5,133.3,523.2,1284.18,水稻土,Paddy soil,clay loam,39.273215,16.343513,67,6.06,210,90,210,7576.5,,
LR-SC,LRSC0306,2008,广西壮族自治区,Guangxi,8659256,25.096117,30.754369,21.416505,2584.9,1554.9,260,708.8,1669.42,水稻土,Paddy soil,sandy loam,25.5,45.01,58.02,5.91,151.8,31.5,126,7590,,
LR-SC,LRSC0307,2009,广西壮族自治区,Guangxi,8659256,25.033673,31.05,21.214286,2453.3,1477.2,209.1,715.8,1660.83,水稻土,Paddy soil,sandy loam,26.7,38.21,34.92,4.65,225,105,225,6390,,
LR-SC,LRSC0308,2010,广西壮族自治区,Guangxi,8659256,24.32449,30.059184,20.730612,2383.8,1403.8,372.7,643.6,1535.74,水稻土,Paddy soil,sandy loam,36.1,53.03,66.23,5.23,225,105,225,7605,,
LR-SC,LRSC0309,2008,广西壮族自治区,Guangxi,8659256,25.341748,30.995146,21.687379,2610.2,1580.2,260.2,708.3,1678.89,水稻土,Paddy soil,clay,21.5,34.32,36.12,5.32,138,38.4,108,9060,,
LR-SC,LRSC0310,2008,广西壮族自治区,Guangxi,8659256,25.213592,30.870874,21.54466,2597,1567,260,711.3,1678.05,水稻土,Paddy soil,clay,22.7,49.62,70.12,5.89,193.2,60,162,7425,,
LR-SC,LRSC0311,2009,广西壮族自治区,Guangxi,8659256,24.553846,30.560577,20.778846,2553.6,1517.5,216.1,741.6,1726.47,水稻土,Paddy soil,sandy loam,20.2,39.61,89.25,5.43,225,105,225,4350,,
LR-SC,LRSC0312,2009,广西壮族自治区,Guangxi,8659256,24.75,30.741,20.949,2475,1478.9,209.1,724.7,1681.37,水稻土,Paddy soil,sandy loam,23.6,53.03,66.23,5.83,225,105,225,6409.5,,
LR-SC,LRSC0313,2007,广西壮族自治区,Guangxi,8659047,26.144681,31.287234,22.525532,2457.6,1517.6,332.6,602.2,1513.75,水稻土,Paddy soil,loam,21,17.5,32,5.6,120,37.5,90,5653.5,,
LR-SC,LRSC0314,2006,广西壮族自治区,Guangxi,8659047,26.64252874,31.97931034,22.8908046,2317.9,1447.9,93.4,558.2,1381.1,水稻土,Paddy soil,loam,29,67.2,25,7.4,180,60,135,6459,,
LR-SC,LRSC0315,2007,广西壮族自治区,Guangxi,8659047,26.11828,31.23871,22.496774,2429,1499,331.2,593.7,1492.69,水稻土,Paddy soil,loam,12,11.6,34,8,210,60,150,8673,,
LR-SC,LRSC0316,2006,广西壮族自治区,Guangxi,8659047,26.7967033,32.01318681,23.1967033,2438.5,1528.5,176.7,552.7,1415.24,水稻土,Paddy soil,loam,5,8.2,74,7.4,180,60,135,6805.5,,
LR-SC,LRSC0317,2006,广西壮族自治区,Guangxi,8659047,26.7967033,32.01318681,23.1967033,2438.5,1528.5,176.7,552.7,1415.24,水稻土,Paddy soil,loam,18.20000076,19,68,7.800000191,180,60,135,7350,,
LR-SC,LRSC0318,2006,广西壮族自治区,Guangxi,8659047,26.48313253,31.81686747,22.74819277,2198.1,1368.1,77.7,526,1300.37,水稻土,Paddy soil,loam,18,19,67,7.8,180,60,135,7135.5,,
LR-SC,LRSC0319,2007,广西壮族自治区,Guangxi,8659047,25.468966,30.473563,22.016092,2215.8,1345.8,331.2,511.3,1310.23,水稻土,Paddy soil,loam,45,14.2,40,7.5,150,52.5,120,9150,,
LR-SC,LRSC0320,2006,广西壮族自治区,Guangxi,8659047,26.7967033,32.01318681,23.1967033,2438.5,1528.5,176.7,552.7,1415.24,水稻土,Paddy soil,loam,33.09999847,39.90000153,74,7.400000095,165,52.5,120,7435.5,,
LR-SC,LRSC0321,2007,广西壮族自治区,Guangxi,8659047,25.26044,30.328571,21.718681,2298.7,1388.7,337.4,543.7,1378.33,水稻土,Paddy soil,loam,25,38.4,57,7.5,165,52.5,120,7333.5,,
LR-SC,LRSC0322,2007,广西壮族自治区,Guangxi,8659041,23.947619,29.240476,20.317857,2011.6,1171.6,317.8,496.6,1237.72,水稻土,Paddy soil,sandy loam,33.7,19.347,88.232,7.14,195,75,150,7347,,
LR-SC,LRSC0323,2008,广西壮族自治区,Guangxi,8659041,25.345745,30.338298,22.107447,2382.5,1442.5,417.3,546.4,1396.74,水稻土,Paddy soil,sandy loam,23.5,26.8,83.2,6.8,150,60,120,8089.5,,
LR-SC,LRSC0324,2007,广西壮族自治区,Guangxi,8659041,23.815054,29.293548,20.070968,2214.8,1284.8,340.3,563.9,1386.57,水稻土,Paddy soil,loam,58.647,26.52,70.35,7.7,150,60,120,6556.5,,
LR-SC,LRSC0325,2009,广西壮族自治区,Guangxi,8659041,26.638824,31.965882,23.010588,2264.3,1414.3,189.8,592.9,1433.01,水稻土,Paddy soil,sandy loam,43.2,26.52,70.35,7.15,150,60,120,7099.5,,
LR-SC,LRSC0326,2008,广西壮族自治区,Guangxi,8659041,25.345745,30.338298,22.107447,2382.5,1442.5,417.3,546.4,1396.74,水稻土,Paddy soil,sandy loam,16.7,32.1,76.3,6.65,120,45,90,6700.5,,
LR-SC,LRSC0327,2008,广西壮族自治区,Guangxi,8659041,25.345745,30.338298,22.107447,2382.5,1442.5,417.3,546.4,1396.74,水稻土,Paddy soil,sandy loam,36.8,39.61,138.27,7.39,195,75,150,6019.5,,
LR-SC,LRSC0328,2009,广西壮族自治区,Guangxi,8659041,26.638824,31.965882,23.010588,2264.3,1414.3,189.8,592.9,1433.01,水稻土,Paddy soil,sandy loam,58.7,26.35,96.32,7.1,195,75,150,6105,,
LR-SC,LRSC0329,2007,广西壮族自治区,Guangxi,8657948,25.474528,30.641509,22.035849,2700.3,1640.3,515.8,657.5,1681.74,水稻土,Paddy soil,sandy loam,49.355,8.528,103,6.2,150,60,120,6579,,
LR-SC,LRSC0330,2008,广西壮族自治区,Guangxi,8657948,25.08866,29.892784,21.94433,2433.6,1463.6,460.2,520.06,1361.52,水稻土,Paddy soil,sandy loam,43.114,11.856,125,6.2,150,60,120,8029.5,,
LR-SC,LRSC0331,2008,广西壮族自治区,Guangxi,8657947,26.065957,31.404255,22.509574,2450.2,1510.2,207.3,549.5,1440.12,水稻土,Paddy soil,loam,30.12,79.3,66.096,5.2,150,60,120,7155,,
LR-SC,LRSC0332,2009,广西壮族自治区,Guangxi,8657947,26.615294,32.295294,22.815294,2262.3,1412.3,103.7,540.7,1369.81,水稻土,Paddy soil,sandy loam,27.46,9.3,40.467,4.7,150,60,120,7399.5,,
LR-SC,LRSC0333,2009,广西壮族自治区,Guangxi,8657947,26.615294,32.295294,22.815294,2262.3,1412.3,103.7,540.7,1369.81,水稻土,Paddy soil,sandy loam,38.9,19.6,44.047,5.8,150,60,120,7000.5,,
LR-SC,LRSC0334,2008,广西壮族自治区,Guangxi,8657947,25.989362,31.329787,22.440426,2443,1503,207.3,547,1431.16,水稻土,Paddy soil,sandy loam,52.79,24.8,97.285,6.2,120,45,90,8250,,
LR-SC,LRSC0335,2008,广西壮族自治区,Guangxi,8657947,26.461538,31.927473,22.812088,2408,1498,188.3,559.8,1444.45,水稻土,Paddy soil,sandy loam,27.54,31.9,76.893,5.8,195,75,150,7780.5,,
LR-SC,LRSC0336,2009,广西壮族自治区,Guangxi,8657947,25.527174,31.55,21.53587,2348.5,1428.5,104.2,587.8,1438.85,水稻土,Paddy soil,loam,33.38,5.9,33.013,5.6,150,60,120,5845.5,,
LR-SC,LRSC0337,2010,广西壮族自治区,Guangxi,8659241,25.131522,30.894565,21.529348,2312.1,1392.1,432.3,588.6,1446.02,水稻土,Paddy soil,clay loam,27.94,19.8,90.09,6.22,150,60,120,5700,,
LR-SC,LRSC0338,2008,广西壮族自治区,Guangxi,8659241,24.642157,30.261765,21.104902,2513.5,1493.5,383.5,629.1,1466.95,水稻土,Paddy soil,loam,50.61,13.15,73.899,7.83,195,75,150,5400,,
LR-SC,LRSC0339,2010,广西壮族自治区,Guangxi,8659241,24.306316,30.447368,20.476842,2309.1,1359.1,429.8,618.8,1472.56,水稻土,Paddy soil,sandy loam,29.51,12.45,59.262,5.3,150,60,120,6600,,
LR-SC,LRSC0340,2008,广西壮族自治区,Guangxi,8659241,25.174468,30.754255,21.623404,2366.4,1426.4,382.3,587.2,1373.13,水稻土,Paddy soil,sandy loam,17.65,29.3,41.156,5.145,120,45,90,7150.5,,
LR-SC,LRSC0341,2006,广西壮族自治区,Guangxi,8659246,26.19456522,31.8326087,22.2,2409.9,1489.9,178.6,631.6,1454.84,水稻土,Paddy soil,sandy loam,47.47,14.51429143,45.23287566,7.2,195,60,135,8179.5,,
LR-SC,LRSC0342,2006,广西壮族自治区,Guangxi,8659246,26.19456522,31.8326087,22.2,2409.9,1489.9,178.6,631.6,1454.84,水稻土,Paddy soil,clay loam,30.03,15.30109671,228.182745,5.5,150,52.5,108,7470,,
LR-SC,LRSC0343,2006,广西壮族自治区,Guangxi,8659246,26.19456522,31.8326087,22.2,2409.9,1489.9,178.6,631.6,1454.84,水稻土,Paddy soil,sandy loam,43.08,8.686297452,68.81693878,5.8,150,52.5,108,6745.5,,
LR-SC,LRSC0344,2006,广西壮族自治区,Guangxi,8659246,26.19456522,31.8326087,22.2,2409.9,1489.9,178.6,631.6,1454.84,水稻土,Paddy soil,sandy loam,29.73,10.20057063,55.75581693,7.5,150,52.5,108,6375,,
LR-SC,LRSC0345,2008,广西壮族自治区,Guangxi,8659033,23.255556,28.31,19.763333,2093,1193,512.8,437,1168.43,水稻土,Paddy soil,clay,39.8,26.7,61,7.76,120,45,90,5917.5,,
LR-SC,LRSC0346,2006,广西壮族自治区,Guangxi,8659033,24.95421687,30.31325301,21.33855422,2071.2,1241.2,142.2,350.3,1044.27,水稻土,Paddy soil,clay loam,36.5,9.7,58,6,150,52.5,108,5280,,
LR-SC,LRSC0347,2007,广西壮族自治区,Guangxi,8659033,23.520879,28.675824,19.91978,2140.4,1230.4,321.1,426.7,1194.34,水稻土,Paddy soil,clay loam,51.2,22.4,110,6.3,120,45,90,6844.5,,
LR-SC,LRSC0348,2007,广西壮族自治区,Guangxi,8659033,23.520879,28.675824,19.91978,2140.4,1230.4,321.1,426.7,1194.34,水稻土,Paddy soil,clay loam,57.2,22.4,110,6.3,120,45,90,6513,,
LR-SC,LRSC0349,2008,广西壮族自治区,Guangxi,8659033,24.763095,29.746429,21.308333,2080.1,1240.1,362.9,405.6,1136.41,水稻土,Paddy soil,loam,24.4,6.09,20,7.22,120,45,90,4813.5,,
LR-SC,LRSC0350,2007,广西壮族自治区,Guangxi,8659033,23.264078,28.706796,19.456311,2396.2,1366.2,323.2,516.8,1388.9,水稻土,Paddy soil,loam,44.2,8.7,66,6.4,150,60,120,4743,,
LR-SC,LRSC0351,2006,广西壮族自治区,Guangxi,8659033,25.17831325,30.49638554,21.68433735,2089.8,1259.8,192.3,334.9,1037.61,水稻土,Paddy soil,clay loam,36,11.8,118,5.8,150,52.5,108,5389.5,,
LR-SC,LRSC0352,2007,广西壮族自治区,Guangxi,8659033,23.440217,28.643478,19.804348,2156.5,1236.5,321.1,436,1211.3,水稻土,Paddy soil,clay loam,32.4,10.8,37,5.7,150,60,120,6199.5,,
LR-SC,LRSC0353,2008,广西壮族自治区,Guangxi,8659033,24.536782,29.445977,21.13908,2134.7,1264.7,416.6,408.3,1152.48,水稻土,Paddy soil,sandy loam,40,18.1,58,6.05,150,60,120,6625.5,,
LR-SC,LRSC0354,2006,广西壮族自治区,Guangxi,8659033,24.40505051,30.01010101,20.62424242,2416.1,1426.1,151.1,441.2,1254.16,水稻土,Paddy soil,loam,24.4,13.7,57,6.3,150,52.5,108,5200.5,,
LR-SC,LRSC0355,2007,广西壮族自治区,Guangxi,8659033,23.697872,28.882979,20.064894,2227.6,1287.6,323.2,452.3,1257.43,水稻土,Paddy soil,loam,38.8,19,149,6.1,150,60,120,4725,,
LR-SC,LRSC0356,2009,广西壮族自治区,Guangxi,8659033,25.654023,30.931034,21.875862,2231.9,1361.9,157.7,519.9,1335.8,水稻土,Paddy soil,loam,50.8,11,33,6,120,45,90,5524.5,,
LR-SC,LRSC0357,2008,广西壮族自治区,Guangxi,8659023,25.699,30.394,22.529,2569.9,1569.9,534.4,442.9,1299.99,水稻土,Paddy soil,loam,55.6,19.4,110,5.78,195,75,150,7435.5,,
LR-SC,LRSC0358,2008,广西壮族自治区,Guangxi,8659023,25.426136,30.070455,22.268182,2237.5,1357.5,470.8,382.4,1116.05,水稻土,Paddy soil,sandy loam,28.6,3.391,69,5.28,120,45,90,5676,,
LR-SC,LRSC0359,2008,海南省,Hainan,8659843,26.672727,31.861616,23.912121,2640.6,1650.6,1418.9,491.1,1414.67,水稻土,Paddy soil,sandy loam,54.9,23.51,62.32,4.9,135,67.5,135,4714.461,,110.0011
LR-SC,LRSC0360,2007,海南省,Hainan,8659940,25.870652,31.222826,22.819565,2380.1,1460.1,619.9,388.7,1179.09,水稻土,Paddy soil,sandy loam,31.02,15.8,58,5.1,172.5,30,207,6350,,
LR-SC,LRSC0361,2007,海南省,Hainan,8659940,26.479787,31.476596,22.997872,2489.1,1549.1,350.1,558.1,1452,水稻土,Paddy soil,sandy loam,27.88,35.2,138,5.63,136.5,168,258,6275,,
LR-SC,LRSC0362,2007,海南省,Hainan,8659940,26.523958,31.920833,23.521875,2546.3,1586.3,743.5,420.2,1300.98,水稻土,Paddy soil,loam,25.98,24.3,26,4.98,139.2,72,180,8465,,
LR-SC,LRSC0363,2008,海南省,Hainan,8659940,26.416216,31.921622,23.316216,2932.2,1822.2,1128.6,465.8,1418.35,水稻土,Paddy soil,sandy loam,12.9,37.8,142,5.49,150,60,150,8086,,
LR-SC,LRSC0364,2007,海南省,Hainan,8659940,26.371591,31.609091,23.490909,2320.7,1440.7,691.6,357.9,1138.89,水稻土,Paddy soil,loamy sand,15.21,7,56,4.8,100.5,57,190.5,7763.4,,
LR-SC,LRSC0365,2006,湖北省,Hubei,8657492,25.147,30.147,21.094,2514.7,1514.7,128.6,646.1,1587.54,水稻土,Paddy soil,loam,19.5,41.6,118,4.5,150,45,90,6240,,
LR-SC,LRSC0366,2006,湖北省,Hubei,8657492,24.67425743,29.81188119,20.53465347,2492.1,1482.1,128.6,654.5,1585.29,水稻土,Paddy soil,clay loam,39.6,20.6,40,6.4,150,45,90,8340,,
LR-SC,LRSC0367,2007,湖北省,Hubei,8657386,24.442553,29.38617,21.055319,2297.6,1357.6,233.9,539.1,1401.4,水稻土,Paddy soil,silty clay loam,38.8,27,62,5.6,165,60,120,6433.5,,
LR-SC,LRSC0368,2006,湖北省,Hubei,8658500,25.8967033,30.55604396,22.58351648,2356.6,1446.6,213.6,500.1,1319.98,水稻土,Paddy soil,loam,32.7,6.6,110,5.5,165,60,105,8754,,
LR-SC,LRSC0369,2007,湖北省,Hubei,8658500,27.246753,31.68961,24.087013,2098,1328,219.5,382.7,1084.29,水稻土,Paddy soil,clay loam,30.6,7,115,5.5,165,60,105,6003,,
LR-SC,LRSC0370,2006,湖北省,Hubei,8658500,25.8967033,30.55604396,22.58351648,2356.6,1446.6,213.6,500.1,1319.98,水稻土,Paddy soil,sandy loam,20.6,9.6,29,7.4,165,75,105,8002.5,,
LR-SC,LRSC0371,2006,湖北省,Hubei,8658500,24.94623656,29.64731183,21.64731183,2320,1390,204.2,490.9,1285.47,水稻土,Paddy soil,sandy loam,19.7,11.5,175,4.2,165,75,105,6960,,
LR-SC,LRSC0372,2009,湖北省,Hubei,8658408,27.17561,31.885366,23.786585,2228.4,1408.4,266.5,541.1,1357.77,水稻土,Paddy soil,sandy loam,9,23,80,6,157.5,60,85.5,8302.5,,
LR-SC,LRSC0373,2007,湖北省,Hubei,8658501,24.889773,29.681818,21.522727,2190.3,1310.3,200.2,611.8,1459.46,水稻土,Paddy soil,silty clay loam,18.9,17,27,4.9,165,60,120,6003,,
LR-SC,LRSC0374,2007,湖北省,Hubei,8657496,25.134906,29.838679,21.59434,2664.3,1604.3,215.6,775.4,1815.88,水稻土,Paddy soil,loamy sand,27.6,11,77,7.8,195,75,120,10800,,
LR-SC,LRSC0375,2007,湖北省,Hubei,8657496,25.73,30.443,22.155,2573,1573,191.9,751.5,1762.7,水稻土,Paddy soil,loamy sand,35.3,6.8,128,5.9,195,75,120,11505,,
LR-SC,LRSC0376,2006,湖北省,Hubei,8657399,25.70617284,31.56049383,21.35925926,2082.2,1272.2,221.4,571.7,1360.15,水稻土,Paddy soil,silty clay loam,19.4,17.8,85,5.4,150,60,120,7143,,
LR-SC,LRSC0377,2007,湖北省,Hubei,8657495,25.070526,30.149474,21.581053,2381.7,1431.7,178.5,614.4,1496.17,水稻土,Paddy soil,sandy loam,49.2,8.1,48,5.9,180,45,112.5,7834.5,,
LR-SC,LRSC0378,2009,湖南省,Hunan,8657687,26.92381,30.994048,23.903571,2261.6,1421.6,136.7,527,1358.57,水稻土,Paddy soil,clay loam,33.5,15.2,74,6,150,36,90,7072.5,,
LR-SC,LRSC0379,2008,湖南省,Hunan,8657687,26.571875,30.960417,23.291667,2550.9,1590.9,354.5,591,1526.51,水稻土,Paddy soil,sandy loam,25.3,6.1,73,6.3,150,36,75,7920,,
LR-SC,LRSC0380,2009,湖南省,Hunan,8657687,27.403297,31.492308,24.315385,2493.7,1583.7,136.7,611.8,1547.5,水稻土,Paddy soil,clay loam,30.8,8.2,59,5.9,150,36,75,7582.5,,
LR-SC,LRSC0381,2007,湖南省,Hunan,8657687,26.750602,31.16747,23.601205,2220.3,1390.3,275.9,546.5,1390.78,水稻土,Paddy soil,sandy loam,39,38.1,155,4.5,150,36,75,7920,,
LR-SC,LRSC0382,2010,湖南省,Hunan,8657687,24.587387,28.745045,21.555856,2729.2,1619.2,383.2,712,1759.07,水稻土,Paddy soil,sandy loam,36,28.4,85,5.2,150,72,67.5,6462,,
LR-SC,LRSC0383,2008,湖南省,Hunan,8657687,26.503061,30.914286,23.2,2597.3,1617.3,354.5,608.5,1559.89,水稻土,Paddy soil,clay loam,45.5,34.1,74,4.9,150,36,75,8104.5,,
LR-SC,LRSC0384,2009,湖南省,Hunan,8657687,27.136559,31.269892,24.021505,2523.7,1593.7,138.5,618.7,1562.29,水稻土,Paddy soil,sandy loam,29.1,20.9,43,7.6,150,36,75,7785,,
LR-SC,LRSC0385,2009,湖南省,Hunan,8657687,27.467391,31.567391,24.363043,2527,1607,136.7,623.3,1573.53,水稻土,Paddy soil,sandy loam,26.1,11.5,69,4.8,150,36,75,7830,,
LR-SC,LRSC0386,2008,湖南省,Hunan,8657687,26.364211,30.773684,23.061053,2504.6,1554.6,354.5,587.1,1503.25,水稻土,Paddy soil,sandy loam,34.5,17,23,5.4,150,36,75,8199,,
LR-SC,LRSC0387,2009,湖南省,Hunan,8657687,26.961702,31.137234,23.832979,2534.4,1594.4,141.4,618,1560.84,水稻土,Paddy soil,sandy loam,31,19.3,137,5.8,150,36,75,7815,,
LR-SC,LRSC0388,2008,湖南省,Hunan,8657688,26.481522,32.009783,22.553261,2436.3,1516.3,252.1,626.9,1569.13,水稻土,Paddy soil,clay loam,40.4,10.3,77,6.6,195,54,112.5,7755,,
LR-SC,LRSC0389,2010,湖南省,Hunan,8657688,25.418627,30.685294,21.698039,2592.7,1572.7,275.2,690.1,1721.92,水稻土,Paddy soil,clay loam,26.4,16.2,201,5.6,150,36,75,6000,,
LR-SC,LRSC0390,2006,湖南省,Hunan,8657688,25.50752688,31.55913978,21.33655914,2372.2,1442.2,206.3,598.3,1521.65,水稻土,Paddy soil,sandy loam,31.4,26.9,83,5,180,54,75,8010,,
LR-SC,LRSC0391,2008,湖南省,Hunan,8657688,26.017204,31.711828,21.953763,2419.6,1489.6,251.5,634.9,1561.17,水稻土,Paddy soil,clay loam,29.4,13.8,88,5.1,165,36,75,7260,,
LR-SC,LRSC0392,2007,湖南省,Hunan,8657688,25.595652,31.342391,21.670652,2354.8,1434.8,292.3,611.1,1528.58,水稻土,Paddy soil,sandy loam,28.9,17.9,144,5,180,72,112.5,7140,,
LR-SC,LRSC0393,2006,湖南省,Hunan,8657688,25.86086957,31.91413043,21.68043478,2379.2,1459.2,172.5,610.4,1551.3,水稻土,Paddy soil,sandy loam,36.2,50,221,5.4,180,72,75,8625,,
LR-SC,LRSC0394,2007,湖南省,Hunan,8657688,26.156522,31.883696,22.223913,2406.4,1486.4,292,631.5,1577.52,水稻土,Paddy soil,sandy loam,36.2,50,221,5.4,150,36,75,5310,,
LR-SC,LRSC0395,2006,湖南省,Hunan,8657688,25.88085106,31.96595745,21.67340426,2432.8,1492.8,172.5,628.9,1591.66,水稻土,Paddy soil,sandy loam,28.1,37.8,125,4.9,195,54,112.5,7845,,
LR-SC,LRSC0396,2007,湖南省,Hunan,8657688,26.173118,31.901075,22.23871,2434.1,1504.1,292,642,1601.91,水稻土,Paddy soil,clay loam,27.5,25.8,120,5.7,165,36,75,5880,,
LR-SC,LRSC0397,2005,湖南省,Hunan,8657678,24.013265,28.106122,20.946939,2353.3,1373.3,394.7,557,1470.33,水稻土,Paddy soil,clay,33.5,12.9,78,6,165,60,120,7684.5,,
LR-SC,LRSC0398,2007,湖南省,Hunan,8657678,26.037624,31.669307,22.132673,2629.8,1619.8,312.6,682.7,1715.35,水稻土,Paddy soil,clay loam,29.6,19.8,49,5,165,60,120,6471,,
LR-SC,LRSC0399,2005,湖南省,Hunan,8657678,24.013265,28.106122,20.946939,2353.3,1373.3,394.7,557,1470.33,水稻土,Paddy soil,silty clay loam,41.1,20.8,61,5.7,165,60,120,6756,,
LR-SC,LRSC0400,2005,湖南省,Hunan,8657678,24.013265,28.106122,20.946939,2353.3,1373.3,394.7,557,1470.33,水稻土,Paddy soil,silty clay loam,35.7,12.6,67,6.1,165,60,120,5596.5,,
LR-SC,LRSC0401,2005,湖南省,Hunan,8657678,24.013265,28.106122,20.946939,2353.3,1373.3,394.7,557,1470.33,水稻土,Paddy soil,silty clay loam,36.2,16.8,82,6.1,165,60,120,6489,,
LR-SC,LRSC0402,2005,湖南省,Hunan,8657678,24.013265,28.106122,20.946939,2353.3,1373.3,394.7,557,1470.33,水稻土,Paddy soil,clay loam,42.4,12.3,68,5.9,165,60,120,5784,,
LR-SC,LRSC0403,2006,湖南省,Hunan,8657678,26.21649485,30.27938144,23.06597938,2543,1573,358.4,605.9,1586.37,水稻土,Paddy soil,silty clay loam,50.4,17.6,92,6.2,165,60,120,6054,,
LR-SC,LRSC0404,2007,湖南省,Hunan,8657678,26.671134,32.38866,22.675258,2587.1,1617.1,311,681.8,1703.18,水稻土,Paddy soil,silty clay loam,47.8,20.6,101,5.7,165,60,120,6642,,
LR-SC,LRSC0405,2007,湖南省,Hunan,8657678,26.671134,32.38866,22.675258,2587.1,1617.1,311,681.8,1703.18,水稻土,Paddy soil,silty clay loam,46.8,18.5,77,6.1,165,60,120,6220.5,,
LR-SC,LRSC0406,2010,湖南省,Hunan,8657678,24.733684,28.871579,21.804211,2349.7,1400.2,315,561.1,1462.89,水稻土,Paddy soil,silty clay loam,42.2,24.6,81,5.5,195,90,225,7170,,
LR-SC,LRSC0407,2010,湖南省,Hunan,8657678,24.688776,28.80102,21.742857,2419.5,1440.8,316.8,584.4,1519.96,水稻土,Paddy soil,sandy loam,42.6,22.5,73,5.9,195,90,225,6202.5,,
LR-SC,LRSC0408,2009,湖南省,Hunan,8657678,26.259434,30.678302,23.016981,2783.5,1723.5,175.9,686,1741.44,水稻土,Paddy soil,sandy loam,45.3,16.4,85,6.1,165,60,120,7909.5,,
