Crop,NO,Year,Province,Province1,NO.Station,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil type1,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
W-NWC,WNWC0026,2007,甘肃省,Gansu,8657102,8.138139535,14.31255814,2.954883721,1855.4,562.5,107.7,966.2,2412.61,褐土,Cinnamon soils,loam,11.7,18.8,59,7.9,180,90,90,6400.5
W-NWC,WNWC0027,2007,甘肃省,Gansu,8657102,8.190654206,14.41542056,2.980373832,1858.5,574.5,110.7,972.5,2422.81,潮土,Fluvo-aquic soils,loam,11.3,8.2,114,7.7,150,90,120,8133
W-NWC,WNWC0028,2007,甘肃省,Gansu,8657102,7.362376238,13.4470297,2.303465347,1592.9,428.9,101.2,878.6,2182.68,潮土,Fluvo-aquic soils,loam,17.9,4.4,67,8.2,120,90,60,2878.5
W-NWC,WNWC0029,2008,甘肃省,Gansu,8657102,9.210931174,15.4951417,4.54534413,2330.6,729,182.3,1037.6,2652.22,褐土,Cinnamon soils,clay,13.3,9.4,167,7.5,120,90,60,7104
W-NWC,WNWC0030,2008,甘肃省,Gansu,8657102,9.17254902,15.39215686,4.557254902,2394.5,715.2,196.4,1061.2,2703.45,褐土,Cinnamon soils,clay,14.8,4.3,67,7.5,120,90,60,4386
W-NWC,WNWC0031,2008,甘肃省,Gansu,8657102,8.737552743,15.02236287,4.106751055,2126.3,624.2,169.5,984.2,2504.81,潮土,Fluvo-aquic soils,clay,13.1,10,136,7.7,150,90,120,8577
W-NWC,WNWC0032,2008,甘肃省,Gansu,8657102,8.719915254,15.01737288,4.085169492,2113.4,621.3,169.5,983.5,2499.91,潮土,Fluvo-aquic soils,loam,11.3,8.8,127,7.7,180,90,90,5254.5
W-NWC,WNWC0033,2008,甘肃省,Gansu,8657102,8.480090498,14.82262443,3.819004525,1929.6,580,149.3,929.5,2368.73,褐土,Cinnamon soils,clay,10.9,9.3,128,7.6,120,90,60,4827
W-NWC,WNWC0034,2008,甘肃省,Gansu,8653928,7.621268657,14.93432836,2.061567164,2233.7,668.9,139.3,1683.5,3498.8,新积土,Alluvial?soils,clay loam,13.1,14.2,231,8.2,172.5,63,10.5,6018
W-NWC,WNWC0035,2008,甘肃省,Gansu,8653926,6.959550562,14.93595506,0.974157303,2103,581.4,194.5,1359.6,3021.6,灌淤土,Irrigating warped soils,sandy loam,13.6,8.9,139,8,165,75,60,2817
W-NWC,WNWC0036,2008,甘肃省,Gansu,8653926,7.381751825,15.34416058,1.319343066,2267.4,675.8,198.2,1405.3,3148.88,灌淤土,Irrigating warped soils,sandy loam,13.4,8.8,119,8.4,165,75,60,3655.5
W-NWC,WNWC0037,2008,陕西省,Shanxi,8657036,10.62606838,16.07435897,6.5,2520.1,849.1,239.9,1155.8,2634.64,塿土,Cumulic cinnamon soils,loam,24.5,32.7,268,7.3,210,120,120,4333
W-NWC,WNWC0038,2008,陕西省,Shanxi,8657036,10.62606838,16.07435897,6.5,2520.1,849.1,239.9,1155.8,2634.64,塿土,Cumulic cinnamon soils,loam,16.7,10.2,167,7.3,210,120,120,5850
W-NWC,WNWC0039,2008,陕西省,Shanxi,8657036,10.62606838,16.07435897,6.5,2520.1,849.1,239.9,1155.8,2634.64,新积土,Alluvial?soils,sandy loam,26,23.2,199,7.3,210,120,120,5149.5
W-NWC,WNWC0040,2008,陕西省,Shanxi,8657036,10.62606838,16.07435897,6.5,2520.1,849.1,239.9,1155.8,2634.64,塿土,Cumulic cinnamon soils,loam,22.4,18.6,251,7.3,210,120,120,5299.5
W-NWC,WNWC0041,2008,陕西省,Shanxi,8657036,10.62606838,16.07435897,6.5,2520.1,849.1,239.9,1155.8,2634.64,塿土,Cumulic cinnamon soils,loam,20.3,28.7,259,7.2,210,120,120,6193.5
W-NWC,WNWC0042,2008,陕西省,Shanxi,8657036,10.62606838,16.07435897,6.5,2520.1,849.1,239.9,1155.8,2634.64,新积土,Alluvial?soils,sandy loam,24.3,36.2,287,7.1,210,120,120,5205
W-NWC,WNWC0043,2008,陕西省,Shanxi,8657036,10.62606838,16.07435897,6.5,2520.1,849.1,239.9,1155.8,2634.64,潮土,Fluvo-aquic soils,loam,21.4,31.4,198,7.2,210,120,120,6229.5
W-NWC,WNWC0044,2008,陕西省,Shanxi,8657044,10.09083333,15.85,5.2375,2492.3,821.6,264.4,1172.2,2668.22,塿土,Cumulic cinnamon soils,sandy loam,16.2,45.3,113,7.7,180,150,75,6349.5
W-NWC,WNWC0045,2008,陕西省,Shanxi,8657044,9.752192982,15.56666667,4.867982456,2294,743.3,229.2,1129.9,2553.23,塿土,Cumulic cinnamon soils,loam,16.4,71,108,7.5,180,150,75,6083.3
W-NWC,WNWC0046,2008,陕西省,Shanxi,8657044,9.75,15.54469027,4.869026549,2274,742.6,229.2,1121.9,2535.4,塿土,Cumulic cinnamon soils,loam,16,57.9,86,7.6,180,150,75,5883
W-NWC,WNWC0047,2008,陕西省,Shanxi,8657044,9.790909091,15.58225108,4.926406926,2332.2,751.5,251.4,1141.5,2579.9,塿土,Cumulic cinnamon soils,loam,16.9,29.6,82,7.8,180,150,75,7043.3
W-NWC,WNWC0048,2008,陕西省,Shanxi,8657044,9.939316239,15.70940171,5.077350427,2396.3,785.6,253.8,1152.8,2617.25,塿土,Cumulic cinnamon soils,sandy loam,16,22.7,68,7.6,180,150,75,5955
W-NWC,WNWC0049,2008,陕西省,Shanxi,8657044,9.742922374,15.5456621,4.838812785,2204.2,742.8,224.7,1098.4,2484.61,塿土,Cumulic cinnamon soils,loam,17.7,73.7,100,7.6,180,150,75,6063.8
W-NWC,WNWC0050,2008,陕西省,Shanxi,8657044,9.741964286,15.53392857,4.857589286,2252.7,741.3,229,1116.4,2520.74,塿土,Cumulic cinnamon soils,loam,17.1,36.5,114,7.7,180,150,75,6015
W-NWC,WNWC0051,2008,陕西省,Shanxi,8657044,9.881578947,15.67236842,4.989035088,2323.5,772.1,229.2,1133.2,2568.41,塿土,Cumulic cinnamon soils,loam,16.4,35.1,216,7.6,180,150,75,6420
W-NWC,WNWC0052,2007,陕西省,Shanxi,8657039,8.53902439,14.53130081,4.11300813,2250.9,692.8,250.2,1077.9,2655.7,水稻土,Paddy soils,silty clay loam,20,28.5,356,7,180,75,105,7584
W-NWC,WNWC0053,2007,陕西省,Shanxi,8657039,8.371721311,14.33893443,3.968032787,2193,654.9,249.3,1064.9,2617.39,塿土,Cumulic cinnamon soils,loam,12.9,13.2,124,7.3,150,60,60,7254
W-NWC,WNWC0054,2007,陕西省,Shanxi,8657039,8.355785124,14.35743802,3.925206612,2172.4,653.1,239.6,1064.9,2607.63,塿土,Cumulic cinnamon soils,silty clay loam,18.4,14.8,257,7.1,180,75,105,7203
W-NWC,WNWC0055,2007,陕西省,Shanxi,8657039,8.159504132,14.02892562,3.861983471,2124.9,606.8,262.3,1022.5,2527.19,新积土,Alluvial?soils,silty clay loam,16.3,4.4,125,7,180,75,105,7808
W-NWC,WNWC0056,2007,陕西省,Shanxi,8657039,8.53902439,14.53130081,4.11300813,2250.9,692.8,250.2,1077.9,2655.7,新积土,Alluvial?soils,sandy loam,13.1,9,121,7.8,180,75,105,6397.5
W-NWC,WNWC0057,2007,陕西省,Shanxi,8657039,8.056277056,14.10822511,3.582251082,2011.3,600.7,197.8,1034.6,2502.41,塿土,Cumulic cinnamon soils,silty clay loam,17.9,5,73,7.8,180,75,105,6174
W-NWC,WNWC0058,2007,陕西省,Shanxi,8657039,8.078448276,14.14137931,3.596982759,2024.5,603.9,197.8,1040.9,2514.87,塿土,Cumulic cinnamon soils,silty clay loam,15.8,17.4,189,7.5,180,75,105,7482.5
W-NWC,WNWC0059,2006,陕西省,Shanxi,8657040,10.46851064,16.72170213,5.233191489,2477.3,874.6,124.3,1284.1,2820.54,灌淤土,Irrigating warped soils,loam,13.2,23.3,135,8,90,60,60,6170
W-NWC,WNWC0060,2006,陕西省,Shanxi,8657040,10.60920502,16.87782427,5.369874477,2552.8,910.1,124.3,1304.3,2865.21,灌淤土,Irrigating warped soils,loam,17.2,25,180,7.9,90,60,60,9055
W-NWC,WNWC0061,2006,陕西省,Shanxi,8657040,10.58481013,16.84050633,5.35021097,2525.8,903.1,124.3,1292.5,2845.8,灌淤土,Irrigating warped soils,clay loam,10.6,32.9,185,8.1,90,60,60,7320
W-NWC,WNWC0062,2006,陕西省,Shanxi,8657040,10.59957627,16.84618644,5.356355932,2518.7,906,124.3,1298.5,2854.39,灌淤土,Irrigating warped soils,loam,13.9,24.5,205,8,90,60,60,9315
W-NWC,WNWC0063,2006,陕西省,Shanxi,8657040,10.39915254,16.66059322,5.172033898,2471.4,858.7,124.3,1284,2810.43,灌淤土,Irrigating warped soils,loam,7.4,36.7,120,7.9,90,60,60,7080
