Sort,Crop,NO,Year,Province,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
29,ER-SC,ERSC0029,2009,ERSC02,late_maturity,25.92386364,31.62613636,21.76477273,2281.3,1401.3,412.8,501.8,1461.13,Paddy soils,,38.9,16.5,49,4.9,150,60,105,6342,9093
30,ER-SC,ERSC0030,2009,ERSC02,late_maturity,24.71919192,30.52727273,20.58888889,2447.2,1457.2,527.6,523.5,1570.35,Paddy soils,,34.7,27.4,41,4.8,150,60,105,5532,7257
31,ER-SC,ERSC0031,2009,ERSC02,late_maturity,24.72035398,30.53982301,20.52123894,2793.4,1663.4,538.8,604.9,1801.26,Paddy soils,,40.1,57.4,190,6,150,60,105,6691.5,8175
32,ER-SC,ERSC0032,2009,ERSC02,late_maturity,24.38552632,30.16447368,20.32105263,1853.3,1093.3,386.9,372.3,1159.64,Paddy soils,,32.9,46.6,41,5.4,150,60,105,5715,6325.5
33,ER-SC,ERSC0033,2009,ERSC02,late_maturity,24.79191919,30.61414141,20.63535354,2454.4,1464.4,527.5,532.4,1585.45,Paddy soils,,39,23,76,5.1,150,60,105,4750.5,7950
34,ER-SC,ERSC0034,2009,ERSC02,late_maturity,24.55049505,30.40792079,20.35940594,2479.6,1469.6,525.9,530.1,1593.88,Paddy soils,,37.4,43.4,48,4.9,150,60,105,6943.5,9624
35,ER-SC,ERSC0035,2009,ERSC02,late_maturity,24.02142857,29.83660714,19.85892857,2690.4,1570.4,550.1,567.6,1728.04,Paddy soils,,6.6,3.5,64,5.2,150,60,105,8029.5,9567
36,ER-SC,ERSC0036,2008,ERSC02,late_maturity,24.54,30.12,20.91636364,2699.4,1599.4,814.1,487.1,1586.83,Paddy soils,,46.7,56,48,5.7,150,60,105,6960,7629
37,ER-SC,ERSC0037,2007,ERSC02,late_maturity,23.76636364,28.99,20.32181818,2614.3,1514.3,1011.5,415.6,1459.63,Paddy soils,,31.7,10.8,45,5.1,165,60,105,3654,8592
38,ER-SC,ERSC0038,2007,ERSC02,late_maturity,24.99622642,30.48396226,21.33962264,2649.6,1589.6,977.7,472.6,1534.33,Paddy soils,,38.6,24,103,5,165,60,105,6156,8143.5
39,ER-SC,ERSC0039,2007,ERSC02,late_maturity,24.85145631,30.31553398,21.23495146,2559.7,1529.7,977.7,449.1,1474.24,Paddy soils,,34,25.5,118,5.1,165,60,105,6208.5,8011.5
40,ER-SC,ERSC0040,2007,ERSC02,late_maturity,24.22752294,29.52477064,20.70917431,2640.8,1550.8,998.7,449.1,1513.53,Paddy soils,,30.7,24.3,62,5.3,165,60,105,6330,7402.5
41,ER-SC,ERSC0041,2007,ERSC02,late_maturity,24.02385321,29.29633028,20.55321101,2618.6,1528.6,1013.8,428.3,1476.97,Paddy soils,,26.6,51.1,47,4.7,165,60,105,6567.5,8076.5
42,ER-SC,ERSC0042,2007,ERSC02,late_maturity,24.225,29.51160714,20.70714286,2713.2,1593.2,1013.5,455.2,1543.61,Paddy soils,,38.6,54.2,31,4.8,165,60,105,5640,8070
43,ER-SC,ERSC0043,2007,ERSC02,late_maturity,25.14444444,31.66767677,20.92727273,2489.3,1499.3,576,478.1,1493.17,Paddy soils,,73.7,58.2,55,4.8,165,60,105,4683,7419
44,ER-SC,ERSC0044,2008,ERSC02,late_maturity,24.6953271,30.77757009,20.63271028,2642.4,1572.4,759.9,504.7,1593.99,Paddy soils,,70.2,19.3,89,5,150,60,135,5392.5,9123
45,ER-SC,ERSC0045,2008,ERSC02,late_maturity,24.18645833,30.21875,20.20625,2321.9,1361.9,662.8,422.5,1380.18,Paddy soils,,61.2,11.4,95,4.6,150,60,135,6259.5,6880.5
46,ER-SC,ERSC0046,2007,ERSC02,late_maturity,25.39724771,31.95229358,21.05137615,2768.3,1678.3,577.8,556.1,1691.54,Paddy soils,,34.2,37.5,73,5,165,60,105,6601.5,8323.5
47,ER-SC,ERSC0047,2008,ERSC02,late_maturity,24.29795918,30.34897959,20.29489796,2381.2,1401.2,662.8,440.6,1424.29,Paddy soils,,38.8,6,21,4.9,150,60,135,3327,6823.5
48,ER-SC,ERSC0048,2008,ERSC02,late_maturity,24.53809524,30.62285714,20.48952381,2576.5,1526.5,759.9,484.6,1545.1,Paddy soils,,42.9,4,27,5,150,60,135,6390,8004
49,ER-SC,ERSC0049,2008,ERSC02,late_maturity,24.65963303,30.79082569,20.56697248,2687.9,1597.9,759.9,515.2,1623.15,Paddy soils,,18.8,16.1,111,4.7,150,60,135,6331.5,8722.5
50,ER-SC,ERSC0050,2008,ERSC02,late_maturity,24.71090909,30.85818182,20.59818182,2718.2,1618.2,759.9,526.5,1648.81,Paddy soils,,41,11.3,89,4.9,150,60,135,5682,8709
51,ER-SC,ERSC0051,2008,ERSC02,late_maturity,24.72201835,30.84678899,20.62568807,2694.7,1604.7,759.9,522.1,1635.19,Paddy soils,,26.6,22.7,90,5,165,60,105,6765,8040
52,ER-SC,ERSC0052,2007,ERSC02,late_maturity,24.83269231,31.32884615,20.62211538,2582.6,1542.6,580,494.3,1553.07,Paddy soils,,37.7,52.9,89,5.1,165,60,105,6162,8643
53,ER-SC,ERSC0053,2007,ERSC02,late_maturity,24.89238095,31.39047619,20.66,2613.7,1563.7,580,505.8,1579.11,Paddy soils,,47.9,34.6,56,5,165,60,105,7014,9213
54,ER-SC,ERSC0054,2007,ERSC02,late_maturity,25.87241379,32.11724138,21.83333333,2250.9,1380.9,544.6,412.6,1305.43,Paddy soils,,56.6,39.6,67,4.9,165,60,105,6678,9388.5
55,ER-SC,ERSC0055,2007,ERSC02,late_maturity,23.51030928,28.82371134,19.78247423,2280.5,1310.5,653,375.1,1307.11,Paddy soils,,28.3,42.4,184,5.3,180,72,135,5730,7134
56,ER-SC,ERSC0056,2007,ERSC02,late_maturity,24.80824742,30.13092784,21.06701031,2406.4,1436.4,670.7,411.5,1372.86,Paddy soils,,49.3,41.2,220,4.6,180,72,135,4249.5,7624.5
57,ER-SC,ERSC0057,2007,ERSC02,late_maturity,24.93980583,30.30679612,21.14271845,2568.8,1538.8,681.5,448.1,1474.94,Paddy soils,,44.4,16.4,118,4.6,180,72,135,3450,4957.5
58,ER-SC,ERSC0058,2007,ERSC02,late_maturity,24.78842105,30.07052632,21.09473684,2354.9,1404.9,670.7,397.1,1335.33,Paddy soils,,47.5,34,88,5,180,72,135,4500,6915
59,ER-SC,ERSC0059,2007,ERSC02,late_maturity,24.29795918,29.73673469,20.53061224,2381.2,1401.2,681.5,402.8,1362.97,Paddy soils,,50.4,25.7,195,5.4,180,72,135,4633.5,6666
60,ER-SC,ERSC0060,2007,ERSC02,late_maturity,24.48888889,29.88484848,20.72222222,2424.4,1434.4,681.5,413.2,1387.89,Paddy soils,,50.4,33.8,175,6,180,72,135,5334,6583.5
61,ER-SC,ERSC0061,2007,ERSC02,late_maturity,24.5960396,29.99405941,20.80594059,2484.2,1474.2,681.5,430.4,1430.48,Paddy soils,,47.9,13.4,96,4.8,180,72,135,3999,5850
62,ER-SC,ERSC0062,2007,ERSC02,late_maturity,24.5960396,29.99405941,20.80594059,2484.2,1474.2,681.5,430.4,1430.48,Paddy soils,,45.7,9.4,125,5.4,180,72,135,5916,6583.5
63,ER-SC,ERSC0063,2010,ERSC03,late_maturity,25.78214286,30.10952381,22.94166667,2165.7,1325.7,815.1,277,1060.88,Paddy soils,,23.7,22.4,67,5,167.25,36,135,4597.5,6868.5
64,ER-SC,ERSC0064,2008,ERSC03,late_maturity,24.41752577,28.8628866,21.67525773,2368.5,1398.5,1681.3,231.4,1073.82,Paddy soils,,33.1,15.1,120,5.2,167.25,36,135,4668,7191
