Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
201,M-NEC,MNEC0201,2010,MNEC01,19.9 ,26.2 ,14.5 ,2821.5 ,1414.1 ,335.3 ,1122.8 ,2548.2 ,medium_maturity,Dark brown earths,clay,22.5 ,13.7 ,268.0 ,5.9 ,156 ,65 ,22 ,6000 ,7449 
202,M-NEC,MNEC0202,2010,MNEC01,19.9 ,26.2 ,14.5 ,2821.5 ,1414.1 ,335.3 ,1122.8 ,2548.2 ,medium_maturity,Dark brown earths,clay,23.8 ,13.0 ,282.0 ,6.0 ,156 ,65 ,22 ,6672 ,6728 
203,M-NEC,MNEC0203,2010,MNEC01,19.9 ,26.2 ,14.5 ,2821.5 ,1414.1 ,335.3 ,1122.8 ,2548.2 ,medium_maturity,Dark brown earths,clay,23.9 ,11.6 ,298.0 ,5.2 ,156 ,65 ,22 ,13032 ,15020 
204,M-NEC,MNEC0204,2012,MNEC01,19.3 ,25.3 ,14.3 ,2571.9 ,1242.7 ,381.4 ,968.8 ,2320.6 ,medium_maturity,Dark brown earths,sandy loam,21.2 ,53.0 ,166.0 ,5.8 ,150 ,98 ,48 ,7641 ,9215 
205,M-NEC,MNEC0205,2012,MNEC01,19.3 ,25.3 ,14.3 ,2571.9 ,1242.7 ,381.4 ,968.8 ,2320.6 ,medium_maturity,Dark brown earths,sandy loam,12.4 ,51.3 ,164.0 ,5.8 ,150 ,98 ,48 ,4893 ,6728 
206,M-NEC,MNEC0206,2012,MNEC01,19.3 ,25.3 ,14.3 ,2571.9 ,1242.7 ,381.4 ,968.8 ,2320.6 ,medium_maturity,Dark brown earths,sandy loam,15.6 ,51.2 ,166.0 ,5.9 ,150 ,98 ,48 ,6284 ,8243 
207,M-NEC,MNEC0207,2012,MNEC01,19.2 ,25.2 ,14.0 ,2643.9 ,1264.7 ,381.4 ,1010.2 ,2411.8 ,medium_maturity,Dark brown earths,sandy loam,15.0 ,47.3 ,165.0 ,5.8 ,165 ,92 ,48 ,8184 ,9156 
208,M-NEC,MNEC0208,2012,MNEC01,19.2 ,25.2 ,14.0 ,2643.9 ,1264.7 ,381.4 ,1010.2 ,2411.8 ,medium_maturity,Dark brown earths,sandy loam,15.3 ,52.5 ,152.0 ,5.8 ,165 ,92 ,48 ,6954 ,8612 
209,M-NEC,MNEC0209,2012,MNEC01,19.2 ,25.2 ,14.0 ,2643.9 ,1264.7 ,381.4 ,1010.2 ,2411.8 ,medium_maturity,Dark brown earths,sandy loam,15.0 ,51.6 ,165.0 ,5.8 ,165 ,92 ,48 ,6530 ,8472 
210,M-NEC,MNEC0210,2012,MNEC01,19.4 ,25.3 ,14.4 ,2506.3 ,1217.1 ,355.0 ,944.0 ,2271.3 ,medium_maturity,Dark brown earths,sandy loam,15.0 ,51.6 ,154.0 ,5.9 ,150 ,98 ,48 ,6468 ,8769 
211,M-NEC,MNEC0211,2012,MNEC01,19.4 ,25.3 ,14.4 ,2506.3 ,1217.1 ,355.0 ,944.0 ,2271.3 ,medium_maturity,Dark brown earths,sandy loam,15.3 ,51.8 ,164.0 ,5.9 ,150 ,98 ,48 ,6150 ,7658 
212,M-NEC,MNEC0212,2012,MNEC01,18.9 ,24.9 ,13.7 ,2790.4 ,1311.2 ,455.1 ,1084.1 ,2552.9 ,medium_maturity,Albic soils,sandy loam,14.5 ,43.4 ,157.0 ,5.7 ,180 ,98 ,50 ,6971 ,8915 
213,M-NEC,MNEC0213,2012,MNEC01,18.9 ,24.9 ,13.7 ,2790.4 ,1311.2 ,455.1 ,1084.1 ,2552.9 ,medium_maturity,Albic soils,sandy loam,19.5 ,32.6 ,145.0 ,5.7 ,180 ,98 ,50 ,6854 ,9938 
214,M-NEC,MNEC0214,2012,MNEC01,18.9 ,24.9 ,13.7 ,2790.4 ,1311.2 ,455.1 ,1084.1 ,2552.9 ,medium_maturity,Albic soils,sandy loam,8.8 ,41.1 ,139.0 ,5.7 ,180 ,98 ,50 ,6456 ,9006 
215,M-NEC,MNEC0215,2012,MNEC01,18.9 ,24.9 ,13.7 ,2790.4 ,1311.2 ,455.1 ,1084.1 ,2552.9 ,medium_maturity,Albic soils,sandy loam,19.6 ,42.6 ,129.0 ,5.7 ,180 ,98 ,50 ,7619 ,9822 
216,M-NEC,MNEC0216,2012,MNEC01,18.9 ,24.9 ,13.7 ,2790.4 ,1311.2 ,455.1 ,1084.1 ,2552.9 ,medium_maturity,Albic soils,sandy loam,19.5 ,29.8 ,135.0 ,5.7 ,180 ,98 ,50 ,6530 ,7511 
217,M-NEC,MNEC0217,2012,MNEC01,18.9 ,24.9 ,13.7 ,2790.4 ,1311.2 ,455.1 ,1084.1 ,2552.9 ,medium_maturity,Albic soils,sandy loam,17.0 ,34.1 ,130.0 ,5.7 ,180 ,98 ,50 ,6450 ,7848 
218,M-NEC,MNEC0218,2012,MNEC01,18.9 ,24.9 ,13.7 ,2790.4 ,1311.2 ,455.1 ,1084.1 ,2552.9 ,medium_maturity,Albic soils,sandy loam,19.6 ,28.2 ,126.0 ,5.7 ,180 ,98 ,50 ,6672 ,7809 
219,M-NEC,MNEC0219,2012,MNEC01,18.9 ,24.9 ,13.7 ,2790.4 ,1311.2 ,455.1 ,1084.1 ,2552.9 ,medium_maturity,Albic soils,sandy loam,19.3 ,28.0 ,136.0 ,5.7 ,180 ,98 ,50 ,7032 ,9456 
220,M-NEC,MNEC0220,2012,MNEC01,18.9 ,24.9 ,13.7 ,2790.4 ,1311.2 ,455.1 ,1084.1 ,2552.9 ,medium_maturity,Albic soils,sandy loam,20.3 ,32.8 ,126.0 ,5.7 ,180 ,98 ,50 ,7178 ,9218 
221,M-NEC,MNEC0221,2012,MNEC01,18.9 ,24.9 ,13.7 ,2790.4 ,1311.2 ,455.1 ,1084.1 ,2552.9 ,medium_maturity,Albic soils,sandy loam,19.4 ,25.8 ,136.0 ,5.8 ,180 ,98 ,50 ,6231 ,8079 
222,M-NEC,MNEC0222,2006,MNEC01,19.1 ,24.5 ,14.3 ,2449.8 ,1169.8 ,400.4 ,1007.0 ,2295.3 ,medium_maturity,Albic soils,silty clay loam,31.8 ,20.1 ,100.0 ,5.6 ,114 ,62 ,27 ,6459 ,7829 
