Sort,Crop,NO,Year,Province1,Cultivar,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk,,
42,LR-SC,LRSC0042,2006,LRSC02,late_maturity,26.46734694,31.64795918,22.7744898,2593.8,1613.8,284.5,664.8,1598.17,Paddy soil,clay loam,21.2,16.9,24,6.3,150,60,105,6303,7854,,
43,LR-SC,LRSC0043,2006,LRSC02,medium_maturity,24.3 ,29.3 ,20.9 ,2822.0 ,1662.0 ,353.0 ,639.9 ,1599.9 ,Paddy soil,sandy loam,26.3 ,37.8 ,42.0 ,5.3 ,150 ,60 ,105 ,5459 ,6945 ,,
44,LR-SC,LRSC0044,2006,LRSC02,medium_maturity,24.0 ,29.0 ,20.5 ,2831.5 ,1651.5 ,353.0 ,637.2 ,1583.9 ,Paddy soil,sandy loam,22.1 ,30.3 ,53.0 ,7.0 ,150 ,60 ,105 ,5111 ,7792 ,,
45,LR-SC,LRSC0045,2006,LRSC02,medium_maturity,24.1 ,29.2 ,20.7 ,2824.3 ,1654.3 ,353.0 ,647.1 ,1599.3 ,Paddy soil,sandy loam,19.4 ,21.7 ,49.0 ,6.4 ,150 ,60 ,105 ,5014 ,7681 ,,
46,LR-SC,LRSC0046,2006,LRSC02,medium_maturity,24.1 ,29.1 ,20.6 ,2843.4 ,1663.4 ,353.0 ,648.7 ,1605.5 ,Paddy soil,silty clay loam,29.2 ,52.9 ,81.0 ,5.4 ,150 ,60 ,105 ,4833 ,8031 ,,
47,LR-SC,LRSC0047,2006,LRSC02,medium_maturity,24.3 ,29.3 ,20.9 ,2746.4 ,1616.4 ,353.0 ,612.4 ,1539.8 ,Paddy soil,silty clay loam,18.8 ,43.4 ,52.0 ,5.2 ,150 ,60 ,105 ,4659 ,7311 ,,
48,LR-SC,LRSC0048,2006,LRSC02,medium_maturity,24.9 ,30.0 ,21.4 ,2693.3 ,1613.3 ,333.1 ,624.2 ,1556.6 ,Paddy soil,silty clay loam,18.6 ,37.8 ,43.0 ,5.3 ,150 ,60 ,105 ,4431 ,6778 ,,
49,LR-SC,LRSC0049,2006,LRSC02,medium_maturity,24.3 ,29.3 ,20.8 ,2939.8 ,1729.8 ,353.5 ,679.9 ,1681.0 ,Paddy soil,silty clay loam,28.2 ,44.9 ,74.0 ,5.6 ,150 ,60 ,105 ,6035 ,6906 ,,
50,LR-SC,LRSC0050,2008,LRSC02,late_maturity,25.818182,32.114141,21.610101,2556,1566,283,628.1,1559.56,Paddy soil,silty clay loam,31.8,46,30,5.6,150,60,105,8545.5,10195.5,,
51,LR-SC,LRSC0051,2008,LRSC02,late_maturity,25.742105,32.029474,21.554737,2445.5,1495.5,227.8,598.6,1482.96,Paddy soil,clay,33,15,45,5.1,150,60,105,6714,9420,,
52,LR-SC,LRSC0052,2008,LRSC02,late_maturity,25.84,32.055238,21.725714,2713.2,1663.2,387.2,651.4,1640.37,Paddy soil,silty clay loam,39.4,35.9,85,5.6,150,60,105,6630,8874,,
53,LR-SC,LRSC0053,2008,LRSC02,late_maturity,26.46036,32.738739,22.343243,2937.1,1827.1,543.2,713.2,1844.38,Paddy soil,clay,44.5,30.8,76,4.9,150,60,105,7855.5,8710.5,,
54,LR-SC,LRSC0054,2008,LRSC02,late_maturity,25.957426,32.174257,21.832673,2621.7,1611.7,387.1,632.5,1596.67,Paddy soil,clay,37.9,34.9,58,5.3,150,60,105,4998,7708.5,,
55,LR-SC,LRSC0055,2008,LRSC02,late_maturity,25.974747,32.189899,21.861616,2571.5,1581.5,386.4,622,1567.54,Paddy soil,loam,41.6,61.3,176,5.5,150,45,105,6579,8881.5,,
