Sort,Crop,NO,Year,Province,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Yck,Ynpk
50,W-NCP,WNCP0050,2006,WNCP01,9.7 ,15.4 ,5.0 ,2499.2 ,959.8 ,141.0 ,1419.1 ,2915.6 ,small_spike,Fluvo-aquic soils,loam,9.3 ,8.5 ,129.0 ,8.5 ,60 ,150 ,120 ,5216 ,7635 
51,W-NCP,WNCP0051,2007,WNCP01,8.7 ,14.2 ,4.0 ,2299.1 ,800.3 ,229.8 ,1515.5 ,3044.7 ,small_spike,Cinnamon soils,loam,19.1 ,56.0 ,64.0 ,8.4 ,73 ,150 ,150 ,7064 ,7425 
52,W-NCP,WNCP0052,2008,WNCP01,9.7 ,15.9 ,4.6 ,2550.2 ,999.6 ,88.4 ,1718.7 ,3300.0 ,small_spike,Cinnamon soils,loam,19.0 ,54.3 ,68.0 ,8.4 ,73 ,150 ,150 ,5958 ,7824 
53,W-NCP,WNCP0053,2009,WNCP01,7.7 ,13.1 ,3.2 ,2261.5 ,891.6 ,162.3 ,1647.7 ,3270.1 ,small_spike,Cinnamon soils,loam,15.5 ,28.1 ,118.0 ,8.0 ,225 ,150 ,150 ,4553 ,6527 
54,W-NCP,WNCP0054,2009,WNCP01,7.0 ,12.4 ,2.5 ,1986.4 ,736.5 ,141.6 ,1545.1 ,3043.5 ,small_spike,Fluvo-aquic soils,loam,16.6 ,8.9 ,65.0 ,8.3 ,183 ,150 ,120 ,4334 ,7154 
55,W-NCP,WNCP0055,2007,WNCP01,8.7 ,14.2 ,4.0 ,2299.1 ,800.3 ,229.8 ,1515.5 ,3044.7 ,small_spike,Cinnamon soils,loam,13.2 ,17.1 ,111.0 ,8.5 ,60 ,150 ,120 ,5112 ,5996 
56,W-NCP,WNCP0056,2009,WNCP01,7.0 ,12.3 ,2.5 ,1991.5 ,731.6 ,142.0 ,1546.1 ,3043.3 ,small_spike,Cinnamon soils,loamy sand,23.5 ,30.2 ,105.0 ,8.0 ,183 ,150 ,120 ,5376 ,6396 
57,W-NCP,WNCP0057,2009,WNCP01,7.7 ,13.1 ,3.2 ,2242.8 ,882.9 ,162.3 ,1637.0 ,3252.2 ,small_spike,Cinnamon soils,loam,15.0 ,4.4 ,58.0 ,6.5 ,183 ,150 ,120 ,1805 ,3786 
58,W-NCP,WNCP0058,2008,WNCP01,8.9 ,15.4 ,3.7 ,2334.9 ,850.5 ,90.7 ,1661.3 ,3165.5 ,small_spike,Cinnamon soils,loamy sand,25.5 ,72.6 ,150.0 ,6.8 ,225 ,150 ,150 ,7121 ,7925 
59,W-NCP,WNCP0059,2008,WNCP01,9.0 ,15.5 ,3.8 ,2380.6 ,886.2 ,89.8 ,1688.1 ,3218.0 ,small_spike,Cinnamon soils,sandy clay loam,18.8 ,12.7 ,74.0 ,7.2 ,225 ,150 ,150 ,5150 ,6431 
60,W-NCP,WNCP0060,2008,WNCP01,9.0 ,15.5 ,3.8 ,2351.0 ,866.6 ,89.8 ,1674.8 ,3189.6 ,small_spike,Cinnamon soils,loam,19.4 ,12.8 ,80.0 ,8.3 ,180 ,150 ,120 ,4451 ,5831 
61,W-NCP,WNCP0061,2008,WNCP01,9.1 ,15.6 ,3.9 ,2405.9 ,901.5 ,89.8 ,1699.1 ,3242.7 ,small_spike,Cinnamon soils,loamy sand,19.2 ,14.2 ,73.0 ,6.9 ,180 ,150 ,120 ,4220 ,4970 
62,W-NCP,WNCP0062,2008,WNCP01,9.0 ,15.5 ,3.8 ,2351.0 ,866.6 ,89.8 ,1674.8 ,3189.6 ,small_spike,Cinnamon soils,clay,15.6 ,15.3 ,54.0 ,7.1 ,225 ,150 ,150 ,5900 ,8000 
63,W-NCP,WNCP0063,2008,WNCP01,9.1 ,15.6 ,3.9 ,2405.9 ,901.5 ,89.8 ,1699.1 ,3242.7 ,small_spike,Cinnamon soils,loamy sand,22.9 ,20.4 ,80.0 ,6.8 ,225 ,150 ,150 ,5276 ,6620 
64,W-NCP,WNCP0064,2008,WNCP01,9.0 ,15.5 ,3.8 ,2378.3 ,873.9 ,96.9 ,1674.8 ,3198.8 ,small_spike,Cinnamon soils,loamy sand,20.5 ,27.4 ,82.0 ,8.3 ,225 ,150 ,150 ,4614 ,7079 
65,W-NCP,WNCP0065,2008,WNCP01,9.1 ,15.6 ,3.9 ,2405.9 ,901.5 ,89.8 ,1699.1 ,3242.7 ,small_spike,Cinnamon soils,loam,13.7 ,34.6 ,108.0 ,7.7 ,225 ,150 ,150 ,5066 ,6491 
66,W-NCP,WNCP0066,2008,WNCP01,9.0 ,15.5 ,3.8 ,2351.0 ,866.6 ,89.8 ,1674.8 ,3189.6 ,small_spike,Cinnamon soils,loamy sand,21.4 ,49.5 ,136.0 ,8.0 ,225 ,150 ,150 ,6875 ,8180 
67,W-NCP,WNCP0067,2009,WNCP01,7.3 ,12.7 ,2.8 ,2136.3 ,820.6 ,123.7 ,1540.3 ,3105.3 ,small_spike,Cinnamon soils,loamy sand,18.6 ,30.1 ,146.0 ,8.4 ,225 ,150 ,150 ,4568 ,6957 
68,W-NCP,WNCP0068,2009,WNCP01,7.6 ,13.1 ,3.1 ,2231.5 ,895.8 ,134.9 ,1571.6 ,3189.9 ,small_spike,Cinnamon soils,loamy sand,16.8 ,20.1 ,72.0 ,7.9 ,225 ,150 ,150 ,4893 ,6890 
69,W-NCP,WNCP0069,2009,WNCP01,7.3 ,12.8 ,2.9 ,2159.6 ,833.9 ,134.9 ,1549.3 ,3126.9 ,small_spike,Cinnamon soils,loamy sand,19.5 ,14.6 ,92.0 ,8.3 ,180 ,150 ,120 ,3957 ,5198 
70,W-NCP,WNCP0070,2009,WNCP01,7.2 ,12.7 ,2.7 ,2107.4 ,811.7 ,134.9 ,1529.2 ,3088.2 ,small_spike,Cinnamon soils,loamy sand,11.2 ,22.1 ,75.0 ,8.1 ,180 ,150 ,120 ,4158 ,5066 
71,W-NCP,WNCP0071,2009,WNCP01,7.3 ,12.9 ,2.8 ,2131.5 ,845.8 ,134.7 ,1552.9 ,3133.6 ,small_spike,Cinnamon soils,loamy sand,16.7 ,27.7 ,93.0 ,7.9 ,180 ,150 ,120 ,4041 ,5126 
72,W-NCP,WNCP0072,2009,WNCP01,7.5 ,13.1 ,3.0 ,2215.5 ,889.8 ,134.9 ,1567.8 ,3180.8 ,small_spike,Cinnamon soils,loamy sand,20.3 ,32.4 ,94.0 ,8.3 ,225 ,150 ,150 ,5126 ,6869 
73,W-NCP,WNCP0073,2009,WNCP01,7.4 ,12.9 ,2.9 ,2146.8 ,851.1 ,134.9 ,1552.9 ,3138.0 ,small_spike,Cinnamon soils,loamy sand,13.5 ,42.6 ,98.0 ,8.3 ,225 ,150 ,150 ,4716 ,6219 
74,W-NCP,WNCP0074,2009,WNCP01,7.3 ,12.8 ,2.8 ,2149.4 ,823.7 ,121.4 ,1552.5 ,3119.6 ,small_spike,Cinnamon soils,loamy sand,13.6 ,63.6 ,149.0 ,8.4 ,225 ,150 ,150 ,4836 ,6354 
75,W-NCP,WNCP0075,2008,WNCP01,9.5 ,15.6 ,4.5 ,2409.0 ,894.3 ,94.4 ,1635.0 ,3131.1 ,small_spike,Cinnamon soils,loamy sand,17.6 ,12.8 ,144.0 ,8.0 ,225 ,150 ,150 ,7365 ,8325 
76,W-NCP,WNCP0076,2008,WNCP01,9.9 ,15.9 ,4.8 ,2554.0 ,969.3 ,94.4 ,1691.3 ,3251.3 ,small_spike,Cinnamon soils,loamy sand,21.5 ,6.4 ,133.0 ,7.6 ,180 ,150 ,120 ,5220 ,6675 
77,W-NCP,WNCP0077,2009,WNCP01,7.7 ,13.0 ,3.4 ,2143.7 ,848.3 ,119.3 ,1575.6 ,3164.9 ,small_spike,Cinnamon soils,loamy sand,19.5 ,6.3 ,117.0 ,7.9 ,225 ,150 ,150 ,5775 ,7530 
78,W-NCP,WNCP0078,2009,WNCP01,8.2 ,13.4 ,3.9 ,2334.0 ,948.6 ,121.1 ,1635.4 ,3297.3 ,small_spike,Cinnamon soils,loamy sand,14.2 ,11.2 ,133.0 ,8.0 ,225 ,150 ,150 ,3285 ,4995 
79,W-NCP,WNCP0079,2009,WNCP01,7.8 ,13.1 ,3.5 ,2210.0 ,874.6 ,119.8 ,1594.6 ,3205.3 ,small_spike,Cinnamon soils,loamy sand,14.8 ,10.5 ,106.0 ,8.1 ,225 ,150 ,150 ,3240 ,4395 
80,W-NCP,WNCP0080,2009,WNCP01,7.8 ,13.0 ,3.5 ,2198.9 ,863.5 ,119.8 ,1587.8 ,3189.7 ,small_spike,Cinnamon soils,loamy sand,15.8 ,21.9 ,158.0 ,7.8 ,225 ,150 ,150 ,5085 ,6885 
81,W-NCP,WNCP0081,2009,WNCP01,7.8 ,13.1 ,3.6 ,2215.8 ,870.4 ,119.8 ,1593.2 ,3200.9 ,small_spike,Cinnamon soils,loamy sand,14.7 ,6.0 ,109.0 ,8.0 ,180 ,150 ,120 ,3435 ,5190 
82,W-NCP,WNCP0082,2009,WNCP01,7.8 ,13.0 ,3.5 ,2191.5 ,856.1 ,116.5 ,1584.1 ,3179.1 ,small_spike,Cinnamon soils,loamy sand,21.5 ,6.4 ,133.0 ,7.6 ,180 ,150 ,120 ,4200 ,7350 
83,W-NCP,WNCP0083,2009,WNCP01,7.8 ,13.1 ,3.6 ,2215.8 ,870.4 ,119.8 ,1593.2 ,3200.9 ,small_spike,Cinnamon soils,loamy sand,18.2 ,7.2 ,163.0 ,8.0 ,180 ,150 ,120 ,4650 ,6990 
84,W-NCP,WNCP0084,2005,WNCP01,8.4 ,14.9 ,2.9 ,2322.9 ,792.3 ,123.3 ,1652.8 ,3218.6 ,small_spike,Cinnamon soils,loam,18.2 ,26.4 ,130.0 ,8.3 ,180 ,150 ,120 ,3992 ,6090 
85,W-NCP,WNCP0085,2005,WNCP01,8.4 ,14.9 ,2.9 ,2328.5 ,797.9 ,123.3 ,1654.9 ,3227.9 ,small_spike,Cinnamon soils,loam,16.2 ,17.3 ,110.0 ,8.2 ,180 ,150 ,120 ,6522 ,8175 
86,W-NCP,WNCP0086,2006,WNCP01,9.5 ,15.8 ,4.0 ,2501.0 ,980.0 ,139.1 ,1491.3 ,3068.5 ,small_spike,Cinnamon soils,loam,14.7 ,15.2 ,70.0 ,8.1 ,180 ,150 ,120 ,4026 ,7488 
87,W-NCP,WNCP0087,2006,WNCP01,9.4 ,15.6 ,3.9 ,2433.4 ,942.4 ,139.1 ,1468.5 ,3019.8 ,small_spike,Cinnamon soils,loamy sand,17.8 ,40.9 ,200.0 ,8.2 ,180 ,150 ,120 ,6075 ,7356 
88,W-NCP,WNCP0088,2006,WNCP01,9.4 ,15.7 ,3.9 ,2460.1 ,959.1 ,139.1 ,1479.9 ,3045.2 ,small_spike,Cinnamon soils,loam,15.4 ,31.9 ,80.0 ,8.1 ,180 ,150 ,120 ,6573 ,7355 
89,W-NCP,WNCP0089,2007,WNCP01,8.3 ,14.4 ,3.2 ,2270.3 ,761.4 ,234.5 ,1513.4 ,3098.7 ,small_spike,Cinnamon soils,loam,18.2 ,26.4 ,130.0 ,8.3 ,180 ,150 ,120 ,3954 ,6537 
90,W-NCP,WNCP0090,2007,WNCP01,8.3 ,14.5 ,3.2 ,2265.6 ,766.7 ,228.6 ,1518.3 ,3107.6 ,small_spike,Cinnamon soils,loamy sand,22.5 ,23.0 ,110.0 ,7.9 ,180 ,150 ,120 ,3378 ,7073 
91,W-NCP,WNCP0091,2007,WNCP01,8.3 ,14.4 ,3.2 ,2270.3 ,761.4 ,234.5 ,1513.4 ,3098.7 ,small_spike,Cinnamon soils,loamy sand,19.1 ,31.9 ,79.0 ,8.0 ,225 ,60 ,150 ,3846 ,5592 
92,W-NCP,WNCP0092,2008,WNCP01,9.0 ,15.8 ,3.4 ,2390.5 ,899.3 ,94.9 ,1718.5 ,3278.5 ,small_spike,Cinnamon soils,loamy sand,20.8 ,41.0 ,90.0 ,7.9 ,180 ,150 ,120 ,5531 ,6647 
93,W-NCP,WNCP0093,2008,WNCP01,9.0 ,15.8 ,3.4 ,2417.4 ,916.2 ,94.9 ,1725.8 ,3297.5 ,small_spike,Cinnamon soils,sandy clay loam,16.8 ,41.0 ,110.0 ,8.2 ,180 ,150 ,120 ,3629 ,5688 
94,W-NCP,WNCP0094,2009,WNCP01,6.7 ,12.6 ,1.9 ,1986.1 ,730.2 ,113.3 ,1435.0 ,2961.8 ,small_spike,Cinnamon soils,loam,17.9 ,22.0 ,120.0 ,8.0 ,180 ,150 ,120 ,5628 ,7323 
95,W-NCP,WNCP0095,2009,WNCP01,6.7 ,12.6 ,1.8 ,1980.3 ,734.4 ,113.3 ,1436.0 ,2964.4 ,small_spike,Cinnamon soils,loamy sand,20.8 ,41.0 ,90.0 ,7.9 ,180 ,150 ,120 ,6030 ,7239 
96,W-NCP,WNCP0096,2009,WNCP01,6.7 ,12.6 ,1.8 ,1969.7 ,723.8 ,113.3 ,1426.6 ,2946.7 ,small_spike,Cinnamon soils,loamy sand,10.7 ,31.9 ,79.0 ,8.2 ,180 ,150 ,120 ,4476 ,5679 
