Sort,Soil quality,Crop,Year,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
355,low,early rice,2008,25.3,30.2,22.1,2684.1,1624.1,1072.2,457.7,1512.9,medium_maturity,Paddy soils,,23.8,7.7,94,5.7,150,60,120,8250
356,low,early rice,2008,25.3,30.2,22.1,2684.1,1624.1,1072.2,457.7,1512.9,medium_maturity,Paddy soils,,30.4,8.9,98,5.7,195,75,150,7730
357,low,early rice,2009,27.3,32.2,23.9,2482.7,1572.7,530.7,492.3,1350,late_maturity,Paddy soils,,21.1,9.1,125,6.2,150,60,120,7500
358,low,early rice,2006,26.4,30.8,23.3,2298.8,1428.8,645.2,465.9,1331.9,late_maturity,Paddy soils,,26,11.5,76.9,6,120,45,90,7143
359,high,early rice,2006,26.4,30.8,23.3,2298.8,1428.8,645.2,465.9,1331.9,late_maturity,Paddy soils,,59.2,26.4,60.8,7.5,150,53,108,7109
360,high,early rice,2008,25.8,30.1,23,2299.3,1409.3,709.2,394.3,1219.4,late_maturity,Paddy soils,,36.6,15.8,93.6,6.3,120,41,90,8360
361,high,early rice,2009,26.2,30.6,23.1,2439.9,1509.9,597.7,466.5,1392.3,medium_maturity,Paddy soils,,53.4,23.3,85.4,6,120,45,90,8019
362,high,early rice,2009,26.2,30.6,23.1,2439.9,1509.9,597.7,466.5,1392.3,medium_maturity,Paddy soils,,53.4,23.3,85.4,6,197,50,143,7230
363,low,early rice,2008,25.8,30.1,23,2299.3,1409.3,709.2,394.3,1219.4,medium_maturity,Paddy soils,,28.2,6.9,75.7,6,120,38,90,6144
364,high,early rice,2008,25.8,30.1,23,2299.3,1409.3,709.2,394.3,1219.4,late_maturity,Paddy soils,,40.4,22.7,72.2,6.3,150,60,120,7769
365,high,early rice,2009,26.2,30.6,23.1,2439.9,1509.9,597.7,466.5,1392.3,late_maturity,Paddy soils,,46.6,43.4,50,6,152,50,127,8199
366,high,early rice,2008,24.7,29.1,21.7,2443.4,1453.4,925.2,290,1189,late_maturity,Paddy soils,,41,16.3,40,6,150,60,120,8285
367,low,early rice,2007,25.6,30.5,22.3,2687.6,1637.6,735.2,473.9,1534.3,late_maturity,Paddy soils,,28.1,7,115,8.2,195,75,150,8060
368,low,early rice,2007,25.9,30.8,22.6,2382.3,1462.3,697.4,391.2,1307.1,medium_maturity,Paddy soils,,32.4,11.2,51,6,120,45,90,5550
369,high,early rice,2007,25.7,30.5,22.4,2591,1581,735.2,447.6,1463.1,late_maturity,Paddy soils,,40,18.1,58,6.1,195,75,150,7667
370,high,early rice,2008,25.3,29.9,22.2,2225.3,1345.3,755.4,394,1282.4,late_maturity,Paddy soils,,63.3,25.7,118,7.7,120,45,90,7059
371,low,early rice,2007,26.5,31.5,23.1,2170.9,1350.9,502.8,464.5,1356.2,medium_maturity,Paddy soils,,33.6,12.7,175,5.8,150,60,120,6741
372,low,early rice,2008,26.2,30.7,23.2,2700.1,1670.1,1006.6,406.4,1408.7,late_maturity,Paddy soils,,34,12.3,57,5.1,120,45,90,6026
373,high,late rice,2007,25,29.8,21.3,2477.8,1487.8,304,506.8,1563.5,medium_maturity,Paddy soil,loam,63.5,33.5,114,5.2,120,45,90,8100
374,high,late rice,2007,25,29.8,21.3,2477.8,1487.8,304,506.8,1563.5,medium_maturity,Paddy soil,clay loam,58.2,11.4,80,5.8,150,60,120,7362
375,high,late rice,2007,24.6,29.3,20.9,2284.6,1354.6,261.9,475.7,1444.7,medium_maturity,Paddy soil,loam,57.3,16.6,98,5.1,195,75,150,8261
376,low,late rice,2007,25.1,29.9,21.4,2487.5,1497.5,304.1,507.3,1574.6,medium_maturity,Paddy soil,loam,41.5,27.3,50,6.7,150,60,120,6161
377,low,late rice,2007,25,29.8,21.3,2477.8,1487.8,304,506.8,1563.5,late_maturity,Paddy soil,loam,39.7,18,29,5.5,195,75,150,6786
378,low,late rice,2009,23.3,27.9,19.8,2721.4,1578.3,549.4,557.6,1489.1,late_maturity,Paddy soil,clay loam,26.8,15.4,68,6.8,230,45,113,6450
379,low,late rice,2009,26.1,30.6,22.8,2507.5,1547.5,476.4,494.8,1358,late_maturity,Paddy soils,clay loam,25.8,11.2,65,6.1,230,45,113,6435
380,low,late rice,2006,25.5,30.6,22.1,2625.9,1595.9,421.8,568.8,1465,late_maturity,Paddy soil,clay loam,33.9,4.8,78,6,206,36,68,7233
381,low,late rice,2007,24.6,29.3,21.5,2612.6,1552.6,1078,534.1,1416.2,late_maturity,Paddy soil,clay loam,26.1,2.6,70,6.1,210,36,68,4734
382,low,late rice,2008,26.3,30.7,23.4,2390.9,1480.9,469.6,402,1173.3,late_maturity,Paddy soil,clay loam,33,11.4,57,5.7,210,36,90,6333
383,high,late rice,2007,25.1,29.7,22,2613.6,1573.6,1077.1,531.7,1424,late_maturity,Paddy soil,clay loam,30.7,3.9,96,5.9,210,36,68,7301
384,high,late rice,2008,25.3,29.6,22.5,2603.3,1573.3,314.1,439.2,1261.3,late_maturity,Paddy soil,clay loam,27.4,6.5,97,6.3,210,36,90,7584
385,high,late rice,2006,25.3,30.5,21.8,2375.8,1435.8,417.8,513.4,1315.2,late_maturity,Paddy soil,clay loam,31.1,5.2,85,6,210,36,68,6333
386,low,late rice,2007,26.3,30.9,23.2,2420.9,1500.9,1077.2,474.2,1312,late_maturity,Paddy soil,clay loam,27.5,3.1,72,5.8,210,36,68,6750
387,low,late rice,2007,24.9,29.4,21.8,2463,1473,1077.1,483.1,1309.1,late_maturity,Paddy soil,clay loam,36.1,5.7,41,5.9,210,36,68,5766
388,high,late rice,2007,27,31.1,24,2537,1597,233.4,615.6,1552.8,late_maturity,Paddy soil,sandy loam,37.3,56.1,149,5.5,150,45,135,6177
389,high,late rice,2008,27.6,31.9,24.5,2703.1,1723.1,188,602,1555.7,late_maturity,Paddy soil,sandy loam,47.3,18.2,153,4.7,188,45,135,7947
390,high,late rice,2008,27.2,31.6,24.1,2560,1620,181.8,564.9,1453.4,late_maturity,Paddy soil,sandy loam,47.3,18.2,153,4.7,188,45,135,7898
391,high,late rice,2009,27.5,31.7,24.7,2309.2,1469.2,130.1,470,1264.5,medium_maturity,Paddy soil,sandy loam,36.8,6,232,5.2,180,45,135,7130
392,low,late rice,2007,26.3,31.5,22.9,2237.8,1387.8,262.2,523.4,1354.6,late_maturity,Paddy soil,sandy loam,18.1,24.7,32,5.6,150,75,120,6765
393,low,late rice,2008,25.5,30.5,22.2,2196,1336,323.6,452.5,1213.6,medium_maturity,Paddy soil,sandy loam,35.7,31,70,5.5,150,60,117,7380
394,low,late rice,2009,25.8,31.1,22.1,2371.9,1451.9,159.7,562.4,1409.9,medium_maturity,Paddy soil,clay loam,22.2,9.4,79,4.8,146,45,113,6960
395,high,late rice,2008,27.8,32.3,24.4,2443.5,1563.5,224.9,552.6,1418.1,late_maturity,Paddy soil,loam,39.8,23.8,102,4.6,155,72,135,7080
396,high,late rice,2008,27.7,32.2,24.4,2383.6,1523.6,224.9,540.4,1383.7,medium_maturity,Paddy soil,silty clay loam,48.7,16.5,120,5.3,155,72,135,7658
397,high,late rice,2008,27.4,31.9,24.1,2274.9,1444.9,224.9,509.6,1307.7,medium_maturity,Paddy soil,loam,48,16,190,5.6,155,72,135,7035
398,low,late rice,2009,28,32.6,24.7,2550.1,1640.1,172.4,536.6,1424.2,late_maturity,Paddy soil,loam,36.6,19.5,70,5.6,152,70,108,7775
399,high,late rice,2009,27.2,31.9,23.8,2340.1,1480.1,171.9,480,1279.6,late_maturity,Paddy soil,loam,48,16,190,5.6,145,74,113,7758
400,low,late rice,2010,27,31.5,23.5,2373.4,1493.4,326.4,515.9,1359.3,medium_maturity,Paddy soil,silty clay loam,38.9,9.5,44,5,152,70,126,7655
401,high,late rice,2010,27,31.6,23.6,2404,1514,346.6,525.2,1381.7,late_maturity,Paddy soil,loam,33,8.8,92,5.5,152,72,117,7776
402,high,late rice,2009,26.6,31.4,23,2496.9,1556.9,213.3,513.1,1367.3,late_maturity,Paddy soil,silty clay loam,28.7,27,145,5.3,180,81,150,10665
403,high,late rice,2009,26.4,31.3,22.6,2399.5,1489.5,130.6,516.8,1344.4,medium_maturity,Paddy soil,silty clay loam,38,25.9,164,4.8,180,81,150,10710
404,low,late rice,2007,26.3,31,23,2107.2,1307.2,257.4,398.2,1134.4,medium_maturity,Paddy soil,loam,21.8,8.5,60,4.4,180,45,144,5400
405,low,late rice,2007,27,31.7,23.6,2940.3,1850.3,283.8,610.9,1678,medium_maturity,Paddy soil,loam,24.4,11.7,74,4.5,180,45,144,5520
406,high,late rice,2007,26.6,31.4,23.3,2582.3,1612.3,280.2,505.8,1423.1,late_maturity,Paddy soil,silty clay loam,31.2,24.8,114,4.8,180,45,144,6270
407,high,late rice,2009,25.6,30.9,22.1,2406.5,1466.5,391.6,473.8,1301.2,late_maturity,Paddy soil,silty clay loam,18.7,24.8,128,5,188,54,128,7715
408,high,late rice,2007,25.6,30.5,22.1,2483.2,1513.2,259.2,507.4,1393,medium_maturity,Paddy soil,loam,38.5,41.9,171,5.2,180,45,144,6195
409,high,late rice,2006,28.2,32.9,24.8,3162.9,2042.9,368.7,819.5,2051.8,late_maturity,Paddy soil,loam,17.5,6.9,88,4.6,150,75,135,8160
410,low,late rice,2006,28.1,32.7,24.7,2953.1,1903.1,335.6,754.9,1894.7,late_maturity,Paddy soil,silty clay loam,24.5,31.5,37,5.2,165,75,135,9000
411,low,late rice,2006,26.6,31.2,23.2,2549,1589,280.9,636,1582.3,late_maturity,Paddy soil,silty clay loam,15.6,52,45,5.5,165,60,135,5700
412,high,late rice,2006,26.6,31.2,23.3,2582.1,1612.1,280.9,641,1597.7,late_maturity,Paddy soil,loam,49.1,25.9,91,4.8,150,75,150,7470
413,high,late rice,2007,25.7,30.2,22.5,2462.5,1502.5,264,593.8,1484,late_maturity,Paddy soil,loam,16.9,16.8,132,5.1,195,98,195,7005
414,low,late rice,2007,25.4,30.1,21.9,2510.7,1520.7,263.8,556.7,1454.7,medium_maturity,Paddy soil,loam,23.9,14.3,75,5.2,150,60,165,8040
415,low,late rice,2008,26.7,31.3,23.3,2589.6,1619.6,163.7,574,1479.4,late_maturity,Paddy soil,clay loam,36,68,72,5.6,150,60,165,6600
416,low,late rice,2008,26.5,31.1,23.2,2494.6,1554.6,155,545.4,1411.2,late_maturity,Paddy soil,silty clay loam,26.6,80,78,5.2,150,60,165,6300
417,low,late rice,2009,26.3,31,22.8,2653.3,1643.3,217.1,577.2,1501.1,late_maturity,Paddy soil,silty clay loam,32,14.1,48,4.6,165,75,150,7140
418,low,late rice,2007,25.5,30.3,22.1,2527.9,1537.9,268.7,564.5,1470,late_maturity,Paddy soil,clay,35,40,67,5,150,60,165,7230
419,low,late rice,2007,25.7,30.6,22.3,2392,1462,238,423.1,1218,medium_maturity,Paddy soil,loam,37.1,23.2,74,5.1,174,60,153,6500
420,low,late rice,2007,26.5,30.9,23.5,2305.5,1435.5,210.1,600.1,1483.9,medium_maturity,Paddy soil,silty clay loam,18.3,2.3,65,6.4,170,60,137,6240
421,high,late rice,2007,26.5,30.9,23.5,2305.5,1435.5,210.1,600.1,1483.9,medium_maturity,Paddy soil,silty clay loam,12.8,6.4,87,6.2,170,60,137,6930
422,low,late rice,2007,25.7,30,22.5,2394.7,1464.7,304,606.1,1503.6,medium_maturity,Paddy soil,clay loam,18.8,16.9,64,5.3,173,54,135,7350
423,high,late rice,2007,26.1,30.3,23,2220.1,1370.1,290,550.4,1376.3,medium_maturity,Paddy soil,clay loam,19.5,18.7,94,5.1,173,54,135,7215
424,high,late rice,2009,24.6,28.8,21.8,2290.1,1360.1,239,495.9,1299.5,late_maturity,Paddy soil,sandy clay,43.9,9.6,223,6.7,152,45,99,7055
425,high,late rice,2008,24.8,29.5,21.5,2556.1,1526.1,471.5,552.8,1426.1,medium_maturity,Paddy soil,clay,35.1,18.6,95,4.8,184,78,150,6753
426,high,late rice,2008,25.8,30.8,22.3,2402.1,1472.1,362.9,558.5,1403,medium_maturity,Paddy soil,silty clay loam,44.1,54.7,147,4.9,169,74,110,8271
427,high,late rice,2009,25.7,31.1,21.9,2594.5,1584.5,212,652,1577,late_maturity,Paddy soil,silty clay loam,55.4,10.3,127,4.8,176,79,108,10733
428,low,late rice,2006,26.4,31.9,22.3,2588,1608,129.3,628.1,1575.2,medium_maturity,Paddy soil,sandy loam,14,40.7,56,5.6,144,138,126,6495
429,low,late rice,2007,28.6,33.5,24.9,2689,1749,385.4,633.1,1662.8,medium_maturity,Paddy soil,sandy loam,14,65.2,64,5.8,168,86,144,6465
430,high,late rice,2006,26.2,31.5,22.4,2515.6,1555.6,275.7,608.6,1526.7,medium_maturity,Paddy soil,silty clay loam,46.1,16.3,95,4.6,150,45,150,9057
431,high,late rice,2008,26.5,31.6,22.9,2546,1586,398.2,610.6,1523,medium_maturity,Paddy soil,loam,50,15.5,114,4.5,150,45,150,5495
432,low,late rice,2006,26.4,31.6,22.6,2507.7,1557.7,275.7,603.7,1521.4,late_maturity,Paddy soil,silty clay loam,30.4,16.6,77,4.6,150,45,150,4829
433,low,late rice,2009,26.6,32.4,22.7,2528.5,1578.5,299.2,572.3,1486.3,medium_maturity,Paddy soil,sandy loam,30.5,26.3,34,4.9,258,126,240,6300
434,high,late rice,2010,24.8,30.4,20.8,2229.6,1329.6,226.5,572.3,1402.9,late_maturity,Paddy soil,sandy loam,15.6,45.8,116,5.8,149,65,90,7905
435,high,late rice,2009,27.9,33.5,23.9,2401,1541,290,544,1401.7,medium_maturity,Paddy soil,sandy loam,32.1,24.3,128,5,147,66,120,7425
436,low,late rice,2009,27.1,32.1,23.4,2652.3,1672.3,242.3,530.3,1419.6,late_maturity,Paddy soil,loam,21.4,15.7,43,5.7,150,60,99,6675
437,low,late rice,2009,26.3,31.7,22.5,2657.5,1647.5,202.1,577.8,1499.2,medium_maturity,Paddy soil,sandy loam,19.7,7.1,55,7.2,243,120,198,5850
438,low,late rice,2009,26.4,31.8,22.7,2591.3,1611.3,202,567.5,1471.9,medium_maturity,Paddy soil,sandy loam,34.3,2.1,52,6.6,242,140,197,6810
439,high,late rice,2008,26.5,31.4,23.2,2916.7,1816.7,456.4,540.5,1484.3,medium_maturity,Paddy soil,loamy sand,30.2,11.6,114,4.8,128,84,95,7325
440,low,late rice,2008,27.6,32.8,24.1,2514,1604,332.9,491.1,1318.7,late_maturity,Paddy soil,sandy loam,35.6,17.8,43,5,146,98,117,7178
441,low,late rice,2009,27.5,32.6,24.1,2533.3,1613.3,265,501,1348.8,medium_maturity,Paddy soil,sandy loam,35.6,17.8,43,5,146,98,117,7403
442,high,late rice,2009,26.8,32,23.2,2600.8,1630.8,273.9,537.4,1414.8,medium_maturity,Paddy soil,loam,33.1,34.1,82,5.2,140,57,120,7571
443,high,late rice,2009,26.5,31,23.3,2652.6,1652.6,210.5,603.7,1523.3,late_maturity,Paddy soil,sandy loam,35.5,14.8,103,4.7,149,63,99,7620
444,low,late rice,2010,23.3,27.5,20.2,2794.9,1594.9,288.4,728.3,1741.9,early_maturity,Paddy soil,sandy loam,14.8,10.8,64,4.7,165,83,108,6036
445,low,late rice,2008,26.1,31.3,22.4,2609.8,1609.8,346.8,646.4,1590.4,medium_maturity,Paddy soil,clay loam,36.5,22.1,56,5.3,141,51,101,8400
446,high,late rice,2009,24.1,29.9,20,2432.9,1427.8,242.1,645.2,1520.9,medium_maturity,Paddy soil,clay loam,16.5,11.1,81,4.7,119,42,85,8865
447,low,late rice,2009,26,31.4,22.1,2465.7,1515.7,257.7,606.5,1500,late_maturity,Paddy soil,sandy loam,38.2,9,57,6.3,119,42,85,7080
448,low,late rice,2006,26,31.7,22.1,2416.3,1486.3,302.2,548,1456.2,late_maturity,Paddy soil,loam,42,7.4,58,5.4,104,45,113,7650
449,high,late rice,2006,26,31.7,22.1,2416.3,1486.3,302.2,548,1456.2,late_maturity,Paddy soil,silty clay loam,15,21.9,124,4.9,144,72,135,6410
450,high,late rice,2006,25.8,31.5,21.9,2452.6,1502.6,366,552.6,1467.8,late_maturity,Paddy soil,loam,35,17.7,125,5,138,63,90,6446
451,high,late rice,2006,26,31.7,22.1,2341.2,1441.2,295,536.7,1422.8,late_maturity,Paddy soil,silty clay loam,38,14.5,105,5.8,87,48,113,7530
452,low,late rice,2010,25.1,30.4,21.6,2133.8,1283.8,455.4,450.9,1218.9,medium_maturity,Paddy soil,sandy loam,38.8,16.3,73,4.9,143,58,95,6675
453,low,late rice,2009,26.9,32.1,23.3,2364.8,1484.8,270.6,442.7,1251.7,medium_maturity,Paddy soil,loam,32.2,13.5,53,5,142,57,95,6375
454,low,late rice,2010,24.5,29.7,21.1,2233.6,1323.6,455.9,462.8,1262.8,medium_maturity,Paddy soil,sandy loam,40.5,10.8,70,4.8,143,58,95,6975
455,low,late rice,2010,24.4,29.2,21,2465,1455,432.2,509.3,1373.8,medium_maturity,Paddy soil,loamy sand,15,13.6,48,5.1,165,72,153,6462
456,low,late rice,2008,26.7,31.6,23.4,2296.9,1436.9,188.6,462.1,1239.3,medium_maturity,Paddy soil,clay,46,18.5,62,5.7,165,68,158,7680
457,low,late rice,2008,26.7,31.6,23.4,2296.9,1436.9,188.6,462.1,1239.3,medium_maturity,Paddy soil,clay,29,18.7,68,5.3,174,72,158,7733
458,low,late rice,2009,26.6,31.8,23.1,2265.2,1415.2,164.3,414.2,1163.1,late_maturity,Paddy soil,clay,28,18.2,71,5.6,162,60,147,7781
459,high,late rice,2009,25.6,30.8,21.9,2253.3,1373.3,70.4,493.5,1269.2,late_maturity,Paddy soil,silty clay loam,70.6,13.7,96,7.1,138,54,135,6900
460,high,late rice,2009,27.9,33.1,24.1,2710.4,1740.4,434.9,636.3,1643.4,medium_maturity,Paddy soil,loam,49.7,8.8,115,6.9,180,72,144,8703
461,high,late rice,2006,26.3,30.4,23,2265.3,1405.3,355.1,556.4,1410.9,medium_maturity,Paddy soil,silty clay loam,36.2,9.2,100,4.7,159,54,144,7140
462,high,late rice,2010,26.2,30,23.1,2772.2,1712.2,387.3,571.1,1549.8,late_maturity,Paddy soil,loam,52.5,6,120,4.4,138,63,135,7629
463,high,late rice,2010,26.8,30.7,23.7,2732.4,1712.4,387.3,548.6,1506.6,late_maturity,Paddy soil,sandy loam,52.4,37.2,85,4.3,138,36,135,8004
464,low,late rice,2006,26.7,30.8,23.4,2617.3,1637.3,382.3,640.1,1628.6,late_maturity,Paddy soil,silty clay loam,42.6,9.7,60,5.6,159,54,144,6570
465,low,late rice,2007,27.3,31.7,24.2,2597.7,1647.7,288,551.1,1475.6,late_maturity,Paddy soil,sandy loam,40.5,10.8,72,5.3,131,57,99,6225
466,low,late rice,2007,26.6,31.6,23,2901.9,1811.9,285.3,673.2,1733.5,early_maturity,Paddy soil,sandy loam,35.9,29.7,41,4.4,150,90,120,5714
467,low,late rice,2007,28.2,33,24.7,3019.9,1949.9,302.8,697.5,1826.9,early_maturity,Paddy soil,sandy loam,43.1,18.3,39,4.6,150,90,120,4572
468,high,late rice,2007,27.2,32.1,23.5,2937.1,1857.1,285.3,691,1778.6,early_maturity,Paddy soil,sandy loam,42.2,36.1,82,5,150,90,120,6383
469,low,late rice,2007,25.7,31.3,22.2,2188.1,1338.1,259.2,432.6,1201.7,medium_maturity,Paddy soil,clay loam,19.5,5.6,25,5.2,173,60,113,6375
470,low,late rice,2007,25.2,30.9,21.6,2170.2,1310.2,248.3,437,1194,medium_maturity,Paddy soil,clay loam,25,17,28,5,173,60,113,6270
471,low,late rice,2007,25.6,31.2,22.1,2177.1,1327.1,259.2,431.2,1195.2,medium_maturity,Paddy soil,loam,23.5,9,25,5.5,173,60,113,6795
472,low,late rice,2007,25.3,31,21.7,2201.7,1331.7,248.3,447.2,1217.8,medium_maturity,Paddy soil,silty clay loam,34.3,15.7,60,5,173,60,113,7560
473,low,late rice,2010,26,31,22.6,2550.6,1570.6,139.2,511.4,1408.9,medium_maturity,Paddy soil,silty clay loam,17.6,20.8,66,5.2,141,83,102,7170
474,low,late rice,2008,26.2,31.9,22.5,2412.7,1492.7,311.9,514.7,1381.5,late_maturity,Paddy soil,sandy loam,42.2,10.9,35,5.5,150,48,108,6837
475,high,late rice,2008,26.2,31.7,22.4,2118.7,1308.7,234.8,456,1211.1,early_maturity,Paddy soil,sandy loam,39.2,22.7,85,4.9,150,48,108,7170
476,high,late rice,2008,26.1,31.5,22.6,2480.9,1530.9,322.8,508.8,1406.1,medium_maturity,Paddy soil,loamy sand,57,19.4,115,4.9,158,90,135,6800
477,low,late rice,2008,26,31.3,22.6,2525,1555,322.8,508.8,1416.3,medium_maturity,Paddy soil,loamy sand,35.6,28.5,77,5,158,90,135,6248
478,high,late rice,2008,26,31.3,22.5,2543.5,1563.5,322.4,518.5,1431,late_maturity,Paddy soil,loamy sand,37.6,17.2,90,4.7,158,90,135,6818
479,low,late rice,2010,25.9,31.1,22.7,2618.9,1608.9,408.8,536.6,1496.8,medium_maturity,Paddy soil,loamy sand,49.5,17.9,39,4.6,158,90,135,6774
480,low,late rice,2008,28.3,33.4,24.6,2574.3,1664.3,360.4,618.1,1557.5,medium_maturity,Paddy soil,sandy loam,29.1,7.5,78,4.7,135,60,135,7560
481,low,late rice,2008,28.2,33.3,24.5,2570.7,1660.7,350.5,615.1,1549.9,medium_maturity,Paddy soil,loam,22.6,12.7,75,5,135,60,135,6870
482,high,late rice,2006,27.1,32.3,23.3,2388.2,1508.2,256.6,574.1,1472.8,late_maturity,Paddy soil,silty clay loam,26.5,16.6,90,4.6,135,60,135,6495
483,high,late rice,2006,27.3,32.5,23.4,2371,1501,256.2,578.6,1481.4,late_maturity,Paddy soil,loam,26.5,16.6,90,4.6,135,60,135,6495
484,low,late rice,2006,27.3,32.5,23.4,2371,1501,256.2,578.6,1481.4,late_maturity,Paddy soil,silty clay loam,26.2,12.7,62,4.6,135,60,135,7080
485,low,late rice,2008,28.5,33.5,24.8,2478.8,1608.8,360.4,590.8,1497.8,medium_maturity,Paddy soil,loam,26.8,20.2,66,4.9,137,90,203,6405
486,low,late rice,2006,26.3,32,22.3,2364.3,1464.3,257.9,619.7,1542.1,medium_maturity,Paddy soil,sandy loam,11.9,16.3,64,5.7,135,60,135,6353
487,low,late rice,2008,26.6,32,22.8,2449.2,1529.2,347.4,616.4,1528.9,late_maturity,Paddy soil,sandy loam,11.2,15.9,76,5.7,150,48,108,7001
488,low,late rice,2006,26.6,32.2,22.7,2578.3,1608.3,402.3,655,1657.1,medium_maturity,Paddy soil,loam,10.9,9.1,59,5.7,165,75,165,6645
489,high,late rice,2007,26.4,31.5,22.7,2450.8,1520.8,485.6,540.8,1436.5,medium_maturity,Paddy soil,sandy loam,35.7,8.8,184,5.7,135,60,135,7571
490,low,late rice,2006,25.9,31.8,21.8,2538.3,1558.3,327.3,587.6,1540.5,late_maturity,Paddy soil,silty clay loam,9.8,7.4,43,5.4,132,38,89,5720
491,low,late rice,2006,25.9,31.8,21.8,2538.3,1558.3,327.3,587.6,1540.5,late_maturity,Paddy soil,silty clay loam,33.8,16.1,67,4.7,165,48,111,6155
492,low,late rice,2006,26,32,21.9,2551.5,1571.5,327.3,595.1,1560.2,late_maturity,Paddy soil,silty clay loam,20.1,9,40,5.8,165,48,111,6267
493,low,late rice,2006,26,31.9,21.9,2574.8,1584.8,327.3,598.2,1569.5,late_maturity,Paddy soil,clay loam,19,22.1,53,6.3,149,39,99,6099
494,low,late rice,2007,25.9,31.4,22,2560,1570,374.5,554.6,1481.2,late_maturity,Paddy soil,silty clay loam,40.2,24.7,76,4.8,165,48,111,6312
495,low,late rice,2007,25.8,31.4,21.9,2580.2,1580.2,374.5,564,1498.9,late_maturity,Paddy soil,silty clay loam,20.9,12.5,28,4.8,165,48,111,6579
496,low,late rice,2006,26,31.9,21.9,2574.8,1584.8,327.3,598.2,1569.5,late_maturity,Paddy soil,silty clay loam,28.2,3.2,60,5.2,158,59,126,7698
497,low,late rice,2007,26.7,31.9,23,2400.1,1500.1,374.2,504.3,1362.9,medium_maturity,Paddy soil,silty clay loam,15.2,32.7,45,4.6,180,45,144,6668
498,low,late rice,2007,26.5,31.7,22.9,2438.8,1518.8,374.2,519.8,1394.3,medium_maturity,Paddy soil,silty clay loam,43.3,19.4,75,5.1,180,45,144,5706
499,low,late rice,2009,27.9,33,24.2,2146.9,1376.9,214.6,493.4,1268.7,medium_maturity,Paddy soil,sandy loam,30.6,8.5,58,5.4,149,54,114,5174
500,low,late rice,2007,26.5,31.7,22.9,2438.8,1518.8,374.2,519.8,1394.3,medium_maturity,Paddy soil,loam,39,17.6,55,5,180,45,144,7785
501,low,late rice,2007,26.5,31.7,22.9,2438.8,1518.8,374.2,519.8,1394.3,medium_maturity,Paddy soil,loam,15.2,32.7,45,4.6,180,45,144,6477
502,low,late rice,2007,26.5,31.7,22.9,2438.8,1518.8,374.2,519.8,1394.3,medium_maturity,Paddy soil,loam,16.5,29,42,4.9,180,45,144,6623
503,low,late rice,2007,26.5,31.7,22.9,2438.8,1518.8,374.2,519.8,1394.3,medium_maturity,Paddy soil,loam,48.7,14.2,50,4.9,180,45,144,6525
504,low,late rice,2008,26.5,31.3,23,2436,1516,334.1,507.6,1339,late_maturity,Paddy soil,sandy loam,33.6,12.6,49,4.7,141,81,109,6284
505,low,late rice,2008,26.7,31.6,23.2,2562.3,1602.3,334.4,550,1436.8,medium_maturity,Paddy soil,sandy loam,30.2,5.9,75,4.8,152,45,126,6105
506,low,late rice,2009,27.8,32.9,24.2,2334.4,1494.4,214.6,537.5,1379.7,medium_maturity,Paddy soil,sandy loam,20,9.6,32,5,165,54,162,7620
507,low,late rice,2007,25.6,30.9,22,2432.6,1482.6,296.4,504.7,1384.6,medium_maturity,Paddy soil,loam,40.5,5,60,5.3,152,54,135,4800
508,low,late rice,2009,26.6,32.3,22.6,2816.8,1756.8,157.1,610.4,1620.4,late_maturity,Paddy soil,clay,42.2,31.1,48,5.1,152,54,135,6060
509,low,late rice,2010,25,29.9,21.7,2199.9,1319.9,296.5,443.1,1228.8,medium_maturity,Paddy soil,clay,16.2,66.1,62,5.3,152,54,83,6090
510,low,late rice,2008,26.5,32.1,22.7,2462.8,1532.8,383.1,522.9,1405.7,late_maturity,Paddy soil,sandy loam,34.8,32.7,57,5.7,138,54,108,7215
511,high,late rice,2010,24.3,30.1,20.5,2335.7,1375.7,289.5,511.8,1377.7,medium_maturity,Paddy soil,silty clay loam,24.3,10.6,140,5.8,149,64,105,7080
512,low,late rice,2008,26,31.6,22,1950.3,1200.3,167.7,440.8,1154.9,medium_maturity,Paddy soil,silty clay loam,26.2,11.3,55,5.3,173,60,162,6797
513,low,late rice,2009,27.2,32.5,23.5,2561.3,1621.3,216,578.3,1486.1,medium_maturity,Paddy soil,loam,26.2,13,57,4.8,138,54,135,7236
514,low,late rice,2008,26.1,31.1,22.6,2220.8,1370.8,162.5,511.8,1310,medium_maturity,Paddy soil,sandy loam,29.2,17.3,51,4.8,180,45,144,7436
515,high,late rice,2009,26.6,32.2,22.9,2156.3,1346.3,84.6,468.4,1245.2,medium_maturity,Paddy soil,sandy loam,36.2,10.3,103,5.3,180,45,144,7730
516,high,late rice,2008,26.7,31.7,23.1,2378.7,1488.7,211.2,555.1,1423.1,medium_maturity,Paddy soil,sandy loam,25,18.8,95,4.9,180,45,144,7953
517,low,late rice,2008,27,32.5,23,2371.9,1491.9,246.9,521.6,1370,medium_maturity,Paddy soil,clay,46.7,13.6,40,5,150,75,150,6396
518,low,late rice,2008,26.7,32.2,22.8,2487.1,1557.1,256.3,540.3,1420.3,medium_maturity,Paddy soil,clay,39.1,20.4,45,5.1,150,75,150,7700
