Sort,Soil quality,Crop,Year,Tave,Tmax,Tmin,GDD>0,GDD>10,PRE,SSD,RAD,Cultivar,Soil type,Soil texture,SOM,OP,AK,pH,N,P2O5,K2O,Ynpk
38,low,early rice,2006,25.2,29.9,22,1938.8,1168.8,988.3,365.6,1157.9,medium_maturity,Paddy soils,,32.9,7.1,66,5.4,255,141,225,5745
39,low,early rice,2006,25.2,29.9,22,1938.8,1168.8,988.3,365.6,1157.9,medium_maturity,Paddy soils,,32.9,7.1,66,5.4,255,141,225,6105
40,low,early rice,2007,26.6,32.2,22.6,1994.4,1244.4,455.1,416.1,1226,medium_maturity,Paddy soils,,26.3,12.6,57,6.6,240,135,228,4680
41,low,early rice,2007,26.6,32.2,22.6,1994.4,1244.4,455.1,416.1,1226,medium_maturity,Paddy soils,,33.1,7.3,66,5.3,255,141,228,4935
42,high,early rice,2008,26.1,31.4,22.2,1931.6,1191.6,553.1,434.1,1249,medium_maturity,Paddy soils,,35.2,17.3,78,5.2,255,141,225,6915
43,low,early rice,2009,25.9,31.3,21.7,2071.4,1271.4,531,474.2,1356.3,medium_maturity,Paddy soils,,24.4,8,65,5.9,225,138,195,6225
44,low,early rice,2009,25.9,31.3,21.7,2071.4,1271.4,531,474.2,1356.3,medium_maturity,Paddy soils,,18.1,3.9,44,5.4,255,141,225,6855
45,low,early rice,2009,25.9,31.3,21.7,2071.4,1271.4,531,474.2,1356.3,medium_maturity,Paddy soils,,31.5,2.8,49,5.6,240,113,185,6165
46,low,early rice,2007,27,32.4,23.2,2028.5,1278.5,405.5,387.9,1180,medium_maturity,Paddy soils,,21.6,11.5,30,4.7,149,67,100,6015
47,high,early rice,2008,26.6,31.7,22.8,1965.3,1225.3,482.3,387.6,1164.5,medium_maturity,Paddy soils,,39,17.4,40,5.6,135,80,117,8298
48,low,early rice,2010,25.1,29.5,22,1882.6,1132.6,1133.6,297.1,1033,early_maturity,Paddy soils,,26.5,13.6,64,5.3,135,60,75,6105
49,low,early rice,2010,25.6,29.5,22.8,2153.4,1313.4,1055.9,360.5,1200,medium_maturity,Paddy soils,,15.4,10.5,67,4.8,180,90,108,6875
50,high,early rice,2007,24.8,29.4,21.4,2130.3,1270.3,669.3,487.9,1417.3,medium_maturity,Paddy soils,,37.9,18,63,5.1,129,72,90,6630
51,high,early rice,2010,25.2,30.5,21,2240.3,1350.3,550.5,577.6,1584.3,medium_maturity,Paddy soils,,36.5,16,62,5.1,135,66,103,7140
52,high,early rice,2008,25.1,30.4,21.2,2008.2,1208.2,459.1,440.6,1296.8,medium_maturity,Paddy soils,,47.2,28.6,89,5.1,137,48,104,6150
53,low,early rice,2007,24.8,29.4,21.4,2130.3,1270.3,669.3,487.9,1417.3,medium_maturity,Paddy soils,,18.5,11.9,25,4.8,131,57,90,6000
54,low,early rice,2006,25.1,30,21.4,1907.4,1147.4,774.7,387.8,1185.7,medium_maturity,Paddy soils,,24,7.1,82,5,104,54,81,5942
55,high,early rice,2006,25.1,30,21.4,1907.4,1147.4,774.7,387.8,1185.7,medium_maturity,Paddy soils,,37,16.3,75,5.5,96,54,72,6201
56,low,early rice,2009,25.8,31.1,21.8,2008.5,1228.5,463.1,456.2,1313.5,medium_maturity,Paddy soils,,4.1,7.3,62,5.2,134,60,95,6525
57,high,early rice,2010,24.3,28.8,21.1,1898.9,1118.9,955.1,263.3,998.7,medium_maturity,Paddy soils,,38.8,16.3,73,4.9,150,60,99,6585
58,low,early rice,2008,25.1,30.2,21.3,2162.1,1302.1,585.9,419.7,1309.6,medium_maturity,Paddy soils,,31.5,9.9,98,4.5,116,62,89,6375
59,low,early rice,2007,25.8,30.6,22.2,2189.6,1339.6,551.1,426.5,1314.1,early_maturity,Paddy soils,,26,14.9,209,5.2,159,68,153,7752
60,high,early rice,2010,25.6,30.5,21.9,2201.4,1341.4,512.2,448.7,1356.4,early_maturity,Paddy soils,,36,18.9,101,4.7,150,69,150,7523
61,low,early rice,2010,25.1,29.7,21.8,2188,1318,1009.1,311,1139.6,early_maturity,Paddy soils,,26,12.5,61,4.9,154,72,148,7296
62,high,early rice,2008,25.8,30.6,22.2,2189.6,1339.6,551.1,426.5,1314.1,medium_maturity,Paddy soils,,37,25.6,106,5.3,156,68,150,7364
63,low,early rice,2007,26,29.8,23.2,2133.1,1313.1,582.6,456.9,1343.3,medium_maturity,Paddy soils,,27.5,9.9,78,4.4,138,60,99,6870
64,low,early rice,2006,26,29.8,23.2,2133.1,1313.1,582.6,456.9,1343.3,medium_maturity,Paddy soils,,33.9,13.2,75,7.1,153,72,120,6210
65,high,early rice,2006,26,29.8,23.2,2133.1,1313.1,582.6,456.9,1343.3,medium_maturity,Paddy soils,,41.6,15.6,123,6.2,153,72,120,7065
66,low,early rice,2006,26,29.8,23.2,2133.1,1313.1,582.6,456.9,1343.3,medium_maturity,Paddy soils,,34,7.4,108,6.1,153,72,120,6585
67,high,early rice,2006,26,29.8,23.2,2133.1,1313.1,582.6,456.9,1343.3,medium_maturity,Paddy soils,,40.6,38.5,134,7.5,153,72,120,7995
68,low,early rice,2008,24.2,29.1,21,2206.6,1296.6,626.8,362,1238,medium_maturity,Paddy soils,,32.5,9.3,42,4.9,170,75,113,7440
69,low,early rice,2008,24.2,29.1,21,2206.6,1296.6,626.8,362,1238,medium_maturity,Paddy soils,,12,12.3,26,5,170,75,113,7290
70,low,early rice,2010,25.1,29.6,21.8,2210,1330,620.4,310.5,1142.9,medium_maturity,Paddy soils,,32.9,9.5,118,6,169,75,113,7115
71,low,early rice,2008,23.2,28.4,19.9,2113.1,1203.1,807.7,311.4,1163.2,medium_maturity,Paddy soils,,24,9.3,37,5.6,135,60,135,5738
72,high,early rice,2008,23.2,28.4,19.9,2113.1,1203.1,807.7,311.4,1163.2,medium_maturity,Paddy soils,,34.8,25,65,5.2,135,60,135,5855
73,high,early rice,2010,25.4,30.2,22.1,2311.7,1401.7,838.1,315.3,1174.2,late_maturity,Paddy soils,,36.5,27.7,139,4.9,135,60,105,8430
74,high,early rice,2010,25.4,30.2,22.1,2311.7,1401.7,838.1,315.3,1174.2,late_maturity,Paddy soils,,36.5,27.7,139,4.9,135,60,105,8265
75,high,early rice,2010,25.2,29.9,22,2294.1,1384.1,833.3,347.2,1226.7,late_maturity,Paddy soils,,43.4,21.2,102,4.9,158,90,135,6828
76,high,early rice,2008,25.2,30.5,21.5,2063.9,1243.9,559.3,406.5,1260.7,early_maturity,Paddy soils,,40.2,21.4,169,5.1,165,48,111,5976
77,low,early rice,2008,25.3,30.7,21.6,1898.3,1148.3,684.2,446.6,1277.9,medium_maturity,Paddy soils,,21,10.5,47,4.2,177,76,140,6666
78,high,early rice,2008,25,30.4,21.2,2198.3,1318.3,727,516.7,1484.8,medium_maturity,Paddy soils,,43,20.7,44,5.6,177,76,140,7230
79,high,early rice,2008,26,30.6,22.6,2239.6,1379.6,447.8,483.8,1416,medium_maturity,Paddy soils,,38.8,18.6,82,5.1,146,54,108,3954
80,low,early rice,2006,25.7,30.1,22.6,2028.4,1238.4,527.1,358,1158.5,medium_maturity,Paddy soils,,11.6,8.7,43,5.1,138,63,126,4247
81,low,early rice,2008,26,30.6,22.6,2239.6,1379.6,447.8,483.8,1416,medium_maturity,Paddy soils,,32.3,12.6,71,5,146,54,108,7404
82,low,early rice,2008,26,30.6,22.6,2239.6,1379.6,447.8,483.8,1416,medium_maturity,Paddy soils,,33.6,11.3,92,5,146,54,108,5574
83,low,early rice,2009,26.4,31.2,22.7,2032.7,1262.7,489.3,390.1,1198.7,medium_maturity,Paddy soils,,25.9,13.1,27,5.1,149,54,114,6480
84,low,early rice,2007,25.7,30.1,22.6,2028.4,1238.4,527.1,358,1158.5,early_maturity,Paddy soils,,31,15.2,117,4.8,138,54,108,5955
85,low,early rice,2009,26,30.6,22.6,2239.6,1379.6,447.8,483.8,1416,medium_maturity,Paddy soils,,18,9.9,21,5,165,54,162,7245
86,high,early rice,2006,25.1,29.8,21.7,2054.8,1234.8,742,353.7,1174.1,medium_maturity,Paddy soils,,38,60,101,4.9,135,68,135,7200
87,high,early rice,2009,24.9,30.2,21,2141.6,1281.6,535.7,410.8,1295.9,medium_maturity,Paddy soils,,42,31.1,48,5.1,138,54,117,6600
88,high,early rice,2007,25.1,29.8,21.7,2054.8,1234.8,742,353.7,1174.1,medium_maturity,Paddy soils,,36.5,32.9,60,4.9,153,54,135,7200
89,high,early rice,2007,25.1,29.8,21.7,2054.8,1234.8,742,353.7,1174.1,medium_maturity,Paddy soils,,35.9,15.6,39,5.3,138,54,117,6750
90,high,early rice,2009,24.9,30.2,21,2141.6,1281.6,535.7,410.8,1295.9,medium_maturity,Paddy soils,,42.6,16.8,95,4.8,137,68,158,6600
91,high,early rice,2008,24.6,30.3,20.7,2116.8,1256.8,477.7,429,1325.9,medium_maturity,Paddy soils,,35.7,18.3,117,5.3,146,54,135,7596
92,low,early rice,2009,24.9,30.7,20.7,2014.8,1204.8,387.5,389.1,1224.6,medium_maturity,Paddy soils,,24.3,10.6,140,5.8,152,54,135,8106
93,low,early rice,2008,24.6,30.3,20.7,2116.8,1256.8,477.7,429,1325.9,medium_maturity,Paddy soils,,26.2,11.3,55,5.3,152,54,135,8165
94,low,early rice,2009,24.9,30.7,20.7,2014.8,1204.8,387.5,389.1,1224.6,medium_maturity,Paddy soils,,26.2,11.3,55,5.3,152,54,135,8165
95,high,early rice,2008,26,30.7,22.7,2236.3,1376.3,488.9,434.9,1335.8,medium_maturity,Paddy soils,,42.1,44.2,50,4.6,138,54,135,5850
96,low,early rice,2008,26,30.7,22.7,2236.3,1376.3,488.9,434.9,1335.8,medium_maturity,Paddy soils,,16.6,8,30,5.4,149,48,104,7467
97,high,early rice,2008,26.4,31.7,22.4,2033.3,1263.3,399.3,428.1,1261.1,medium_maturity,Paddy soils,,36.5,23.2,45,5,150,75,150,6251
98,high,early rice,2008,26.4,31.7,22.4,2033.3,1263.3,399.3,428.1,1261.1,medium_maturity,Paddy soils,,56,20.4,48,5.4,150,75,150,7608
99,high,early rice,2010,25.9,30,22.9,2230.9,1370.9,1133.8,342.7,1185.1,early_maturity,Paddy soils,,47.1,37.4,108,4.9,143,75,75,7656
100,high,early rice,2008,26.1,30.6,22.6,2243.3,1383.3,590.6,471.7,1395,early_maturity,Paddy soils,,39.5,18.8,140,4.9,138,63,120,7410
101,high,early rice,2008,26.1,30.6,22.6,2243.3,1383.3,590.6,471.7,1395,medium_maturity,Paddy soils,,54.5,26.3,64,4.7,158,83,128,7365
102,high,early rice,2010,25.9,30,22.9,2230.9,1370.9,1133.8,342.7,1185.1,medium_maturity,Paddy soils,,54.5,26.3,64,4.7,162,69,120,4032
103,low,early rice,2008,26.1,30.6,22.6,2243.3,1383.3,590.6,471.7,1395,early_maturity,Paddy soils,,27,10.7,115,5.2,138,63,120,7815
104,low,early rice,2010,25.9,30,22.9,2230.9,1370.9,1133.8,342.7,1185.1,early_maturity,Paddy soils,,27,10.7,115,5.2,138,63,120,7815
105,high,early rice,2010,25.9,30,22.9,2230.9,1370.9,1133.8,342.7,1185.1,late_maturity,Paddy soils,,37.6,16.4,75,4.9,138,66,108,6482
106,low,early rice,2006,24.8,29.6,21.3,2034,1214,907.3,422.1,1284.5,medium_maturity,Paddy soils,,30.5,15,161,4.9,162,78,123,5505
